ADDRESS,POINTS
404 CRESTHAVEN PL SW,-13659.650 4221.887|-13693.568 4221.954|-13693.582 4213.558|-13693.596 4208.076|-13664.166 4208.021|-13659.671 4212.502
408 CRESTHAVEN PL SW,-13659.629 4233.451|-13693.540 4233.518|-13693.561 4223.043|-13693.568 4221.954|-13659.650 4221.887|-13659.629 4232.928
412 CRESTHAVEN PL SW,-13659.489 4245.026|-13693.519 4245.093|-13693.540 4235.842|-13693.540 4233.518|-13659.629 4233.451
418 CRESTHAVEN PL SW,-13659.147 4256.602|-13693.498 4256.669|-13693.512 4248.629|-13693.519 4245.093|-13659.489 4245.026
420 CRESTHAVEN PL SW,-13658.587 4268.177|-13693.477 4268.244|-13693.491 4261.428|-13693.498 4256.669|-13659.147 4256.602
424 CRESTHAVEN PL SW,-13657.832 4279.753|-13693.449 4279.819|-13693.463 4274.215|-13693.477 4268.244|-13658.587 4268.177|-13658.091 4276.016
428 CRESTHAVEN PL SW,-13657.021 4291.317|-13693.428 4291.395|-13693.435 4287.014|-13693.449 4279.819|-13657.832 4279.753
432 CRESTHAVEN PL SW,-13658.049 4302.903|-13693.407 4302.970|-13693.414 4299.801|-13693.428 4291.395|-13657.021 4291.317|-13656.777 4294.886|-13656.749 4296.932|-13656.959 4298.967|-13657.392 4300.969
436 CRESTHAVEN PL SW,-13661.411 4314.479|-13693.386 4314.546|-13693.386 4312.600|-13693.407 4302.970|-13658.049 4302.903|-13658.692 4304.316|-13659.454 4305.661|-13660.426 4307.540|-13661.097 4309.542|-13661.446 4311.632|-13661.467 4313.745
440 CRESTHAVEN PL SW,-13661.411 4314.479|-13660.594 4326.254|-13693.365 4326.132|-13693.386 4314.546
403 CRESTHAVEN PL SW,-13609.277 4221.787|-13644.690 4221.853|-13644.704 4212.480|-13640.230 4207.976|-13609.304 4207.910
407 CRESTHAVEN PL SW,-13609.256 4232.751|-13644.669 4232.817|-13644.690 4221.853|-13609.277 4221.787
411 CRESTHAVEN PL SW,-13609.123 4244.326|-13644.536 4244.393|-13644.669 4232.895|-13644.669 4232.817|-13609.256 4232.751|-13609.256 4232.828
415 CRESTHAVEN PL SW,-13608.759 4255.901|-13644.194 4255.968|-13644.536 4244.393|-13609.123 4244.326
419 CRESTHAVEN PL SW,-13608.165 4267.466|-13643.635 4267.543|-13644.194 4255.968|-13608.759 4255.901
423 CRESTHAVEN PL SW,-13607.396 4278.429|-13642.915 4278.507|-13643.166 4274.971|-13643.635 4267.543|-13608.165 4267.466
427 CRESTHAVEN PL SW,-13606.354 4290.005|-13642.111 4290.072|-13642.915 4278.507|-13607.396 4278.429
431 CRESTHAVEN PL SW,-13605.012 4302.192|-13639.084 4302.258|-13640.160 4300.301|-13640.992 4298.222|-13641.559 4296.065|-13641.852 4293.852|-13642.111 4290.072|-13606.354 4290.005
435 CRESTHAVEN PL SW,-13603.502 4313.756|-13634.463 4313.823|-13634.596 4311.866|-13634.911 4309.775|-13635.540 4307.763|-13636.483 4305.861|-13637.707 4304.138|-13639.084 4302.258|-13605.012 4302.192
439 CRESTHAVEN PL SW,-13603.502 4313.756|-13601.566 4326.466|-13604.034 4326.455|-13633.589 4326.343|-13634.463 4313.823
304 CRESTHAVEN PL SW,-13575.254 4221.720|-13609.277 4221.787|-13609.304 4207.910|-13584.439 4207.865|-13579.322 4207.910|-13575.009 4212.524
308 CRESTHAVEN PL SW,-13575.338 4232.684|-13609.256 4232.751|-13609.277 4221.787|-13575.254 4221.720
312 CRESTHAVEN PL SW,-13575.198 4244.259|-13609.123 4244.326|-13609.256 4232.828|-13609.256 4232.751|-13575.338 4232.684
316 CRESTHAVEN PL SW,-13574.813 4255.835|-13608.759 4255.901|-13609.123 4244.326|-13575.198 4244.259
320 CRESTHAVEN PL SW,-13574.191 4267.399|-13608.165 4267.466|-13608.759 4255.901|-13574.813 4255.835
324 CRESTHAVEN PL SW,-13573.380 4278.363|-13607.396 4278.429|-13608.165 4267.466|-13574.191 4267.399|-13573.611 4275.416
328 CRESTHAVEN PL SW,-13572.465 4289.938|-13606.354 4290.005|-13607.396 4278.429|-13573.380 4278.363
332 CRESTHAVEN PL SW,-13571.500 4302.125|-13605.012 4302.192|-13606.354 4290.005|-13572.465 4289.938
336 CRESTHAVEN PL SW,-13570.584 4313.689|-13603.502 4313.756|-13605.012 4302.192|-13571.500 4302.125
340 CRESTHAVEN PL SW,-13570.584 4313.689|-13569.557 4326.577|-13601.566 4326.466|-13603.502 4313.756
339 CRESTHAVEN PL SW,-13506.097 4331.625|-13509.900 4343.912|-13513.423 4342.400|-13518.680 4340.243|-13524.014 4338.297|-13529.424 4336.551|-13534.891 4335.005|-13538.687 4334.016|-13534.996 4322.073|-13505.929 4331.091
311 CRESTHAVEN PL SW,-13545.607 4279.786|-13547.662 4280.153|-13549.746 4280.286|-13551.829 4280.175|-13553.891 4279.830|-13558.672 4274.504|-13559.693 4258.859|-13560.259 4243.203|-13554.345 4243.970|-13548.459 4244.904|-13541.958 4246.150
315 CRESTHAVEN PL SW,-13523.329 4250.931|-13536.142 4280.598|-13538.428 4279.819|-13540.812 4279.419|-13543.223 4279.408|-13545.607 4279.786|-13541.958 4246.150|-13537.240 4247.184|-13531.962 4248.485|-13526.719 4249.919
319 CRESTHAVEN PL SW,-13499.232 4259.993|-13530.403 4284.990|-13531.626 4283.633|-13533.003 4282.444|-13534.520 4281.421|-13536.142 4280.598|-13523.329 4250.931|-13516.352 4253.199|-13510.962 4255.145|-13505.636 4257.247
323 CRESTHAVEN PL SW,-13491.606 4284.756|-13527.390 4291.562|-13527.837 4289.794|-13528.495 4288.092|-13529.354 4286.480|-13530.403 4284.990|-13499.232 4259.993|-13495.681 4261.628|-13490.795 4264.007|-13485.971 4266.520|-13488.369 4274.271
327 CRESTHAVEN PL SW,-13495.604 4297.688|-13498.918 4308.396|-13527.977 4299.379|-13527.796 4298.789|-13527.362 4297.010|-13527.152 4295.198|-13527.159 4293.374|-13527.390 4291.562|-13491.606 4284.756|-13491.990 4285.980
331 CRESTHAVEN PL SW,-13499.044 4308.808|-13502.336 4319.449|-13531.396 4310.431|-13527.977 4299.379|-13498.918 4308.396
335 CRESTHAVEN PL SW,-13502.483 4319.927|-13505.929 4331.091|-13534.996 4322.073|-13531.396 4310.431|-13502.336 4319.449
238 CRESTHAVEN PL SW,-13477.974 4343.756|-13478.212 4344.457|-13481.798 4356.043|-13509.900 4343.912|-13506.097 4331.625
208 CRESTHAVEN PL SW,-13469.928 4236.587|-13462.854 4240.545|-13455.919 4244.748|-13449.125 4249.174|-13442.484 4253.822|-13441.177 4260.360|-13444.923 4267.154|-13478.541 4252.654
211 CRESTHAVEN PL SW,-13395.648 4291.150|-13400.422 4299.256|-13436.087 4283.233|-13432.851 4276.417|-13429.300 4269.756|-13423.547 4268.689
239 CRESTHAVEN PL SW,-13425.203 4367.196|-13428.817 4378.905|-13456.919 4366.774|-13453.298 4355.076
212 CRESTHAVEN PL SW,-13444.923 4267.154|-13447.657 4272.603|-13450.208 4278.140|-13484.315 4263.418|-13478.541 4252.654
216 CRESTHAVEN PL SW,-13450.208 4278.140|-13452.452 4283.478|-13454.528 4288.882|-13488.369 4274.271|-13485.971 4266.520|-13484.315 4263.418
220 CRESTHAVEN PL SW,-13454.528 4288.882|-13457.450 4297.555|-13458.359 4300.490|-13491.990 4285.980|-13491.606 4284.756|-13488.369 4274.271
224 CRESTHAVEN PL SW,-13458.359 4300.490|-13461.980 4312.199|-13495.604 4297.688|-13491.990 4285.980
228 CRESTHAVEN PL SW,-13461.980 4312.199|-13465.412 4323.319|-13499.044 4308.808|-13498.918 4308.396|-13495.604 4297.688
232 CRESTHAVEN PL SW,-13465.412 4323.319|-13467.041 4328.578|-13467.552 4330.024|-13468.188 4331.414|-13468.943 4332.759|-13469.803 4334.027|-13502.483 4319.927|-13502.336 4319.449|-13499.044 4308.808
236 CRESTHAVEN PL SW,-13469.803 4334.027|-13471.487 4335.973|-13473.424 4337.652|-13474.885 4338.919|-13476.143 4340.376|-13477.184 4342.011|-13477.974 4343.756|-13506.097 4331.625|-13505.929 4331.091|-13502.483 4319.927
215 CRESTHAVEN PL SW,-13404.672 4306.484|-13406.504 4309.597|-13440.757 4294.820|-13438.534 4288.982|-13436.087 4283.233|-13400.422 4299.256
219 CRESTHAVEN PL SW,-13410.908 4320.961|-13411.089 4321.551|-13444.721 4307.040|-13443.155 4301.992|-13440.757 4294.820|-13406.504 4309.597|-13408.377 4312.778
