ADDRESS,POINTS
101 4835 DALHOUSIE DR NW,-6066.118 6456.505|-6109.012 6485.237|-6110.172 6484.570|-6111.228 6483.747|-6112.745 6482.302|-6114.164 6480.767|-6115.485 6479.133|-6116.701 6477.431|-6126.817 6462.298|-6130.822 6455.837|-6086.426 6426.104
102 4835 DALHOUSIE DR NW,-6066.118 6456.505|-6109.012 6485.237|-6110.172 6484.570|-6111.228 6483.747|-6112.745 6482.302|-6114.164 6480.767|-6115.485 6479.133|-6116.701 6477.431|-6126.817 6462.298|-6130.822 6455.837|-6086.426 6426.104
103 4835 DALHOUSIE DR NW,-6066.118 6456.505|-6109.012 6485.237|-6110.172 6484.570|-6111.228 6483.747|-6112.745 6482.302|-6114.164 6480.767|-6115.485 6479.133|-6116.701 6477.431|-6126.817 6462.298|-6130.822 6455.837|-6086.426 6426.104
104 4835 DALHOUSIE DR NW,-6066.118 6456.505|-6109.012 6485.237|-6110.172 6484.570|-6111.228 6483.747|-6112.745 6482.302|-6114.164 6480.767|-6115.485 6479.133|-6116.701 6477.431|-6126.817 6462.298|-6130.822 6455.837|-6086.426 6426.104
105 4835 DALHOUSIE DR NW,-6066.118 6456.505|-6109.012 6485.237|-6110.172 6484.570|-6111.228 6483.747|-6112.745 6482.302|-6114.164 6480.767|-6115.485 6479.133|-6116.701 6477.431|-6126.817 6462.298|-6130.822 6455.837|-6086.426 6426.104
106 4835 DALHOUSIE DR NW,-6066.118 6456.505|-6109.012 6485.237|-6110.172 6484.570|-6111.228 6483.747|-6112.745 6482.302|-6114.164 6480.767|-6115.485 6479.133|-6116.701 6477.431|-6126.817 6462.298|-6130.822 6455.837|-6086.426 6426.104
107 4835 DALHOUSIE DR NW,-6066.118 6456.505|-6109.012 6485.237|-6110.172 6484.570|-6111.228 6483.747|-6112.745 6482.302|-6114.164 6480.767|-6115.485 6479.133|-6116.701 6477.431|-6126.817 6462.298|-6130.822 6455.837|-6086.426 6426.104
108 4835 DALHOUSIE DR NW,-6066.118 6456.505|-6109.012 6485.237|-6110.172 6484.570|-6111.228 6483.747|-6112.745 6482.302|-6114.164 6480.767|-6115.485 6479.133|-6116.701 6477.431|-6126.817 6462.298|-6130.822 6455.837|-6086.426 6426.104
201 4835 DALHOUSIE DR NW,-6066.118 6456.505|-6109.012 6485.237|-6110.172 6484.570|-6111.228 6483.747|-6112.745 6482.302|-6114.164 6480.767|-6115.485 6479.133|-6116.701 6477.431|-6126.817 6462.298|-6130.822 6455.837|-6086.426 6426.104
202 4835 DALHOUSIE DR NW,-6066.118 6456.505|-6109.012 6485.237|-6110.172 6484.570|-6111.228 6483.747|-6112.745 6482.302|-6114.164 6480.767|-6115.485 6479.133|-6116.701 6477.431|-6126.817 6462.298|-6130.822 6455.837|-6086.426 6426.104
203 4835 DALHOUSIE DR NW,-6066.118 6456.505|-6109.012 6485.237|-6110.172 6484.570|-6111.228 6483.747|-6112.745 6482.302|-6114.164 6480.767|-6115.485 6479.133|-6116.701 6477.431|-6126.817 6462.298|-6130.822 6455.837|-6086.426 6426.104
204 4835 DALHOUSIE DR NW,-6066.118 6456.505|-6109.012 6485.237|-6110.172 6484.570|-6111.228 6483.747|-6112.745 6482.302|-6114.164 6480.767|-6115.485 6479.133|-6116.701 6477.431|-6126.817 6462.298|-6130.822 6455.837|-6086.426 6426.104
205 4835 DALHOUSIE DR NW,-6066.118 6456.505|-6109.012 6485.237|-6110.172 6484.570|-6111.228 6483.747|-6112.745 6482.302|-6114.164 6480.767|-6115.485 6479.133|-6116.701 6477.431|-6126.817 6462.298|-6130.822 6455.837|-6086.426 6426.104
206 4835 DALHOUSIE DR NW,-6066.118 6456.505|-6109.012 6485.237|-6110.172 6484.570|-6111.228 6483.747|-6112.745 6482.302|-6114.164 6480.767|-6115.485 6479.133|-6116.701 6477.431|-6126.817 6462.298|-6130.822 6455.837|-6086.426 6426.104
207 4835 DALHOUSIE DR NW,-6066.118 6456.505|-6109.012 6485.237|-6110.172 6484.570|-6111.228 6483.747|-6112.745 6482.302|-6114.164 6480.767|-6115.485 6479.133|-6116.701 6477.431|-6126.817 6462.298|-6130.822 6455.837|-6086.426 6426.104
208 4835 DALHOUSIE DR NW,-6066.118 6456.505|-6109.012 6485.237|-6110.172 6484.570|-6111.228 6483.747|-6112.745 6482.302|-6114.164 6480.767|-6115.485 6479.133|-6116.701 6477.431|-6126.817 6462.298|-6130.822 6455.837|-6086.426 6426.104
17V 4835 DALHOUSIE DR NW,-6066.118 6456.505|-6109.012 6485.237|-6110.172 6484.570|-6111.228 6483.747|-6112.745 6482.302|-6114.164 6480.767|-6115.485 6479.133|-6116.701 6477.431|-6126.817 6462.298|-6130.822 6455.837|-6086.426 6426.104
18V 4835 DALHOUSIE DR NW,-6066.118 6456.505|-6109.012 6485.237|-6110.172 6484.570|-6111.228 6483.747|-6112.745 6482.302|-6114.164 6480.767|-6115.485 6479.133|-6116.701 6477.431|-6126.817 6462.298|-6130.822 6455.837|-6086.426 6426.104
19V 4835 DALHOUSIE DR NW,-6066.118 6456.505|-6109.012 6485.237|-6110.172 6484.570|-6111.228 6483.747|-6112.745 6482.302|-6114.164 6480.767|-6115.485 6479.133|-6116.701 6477.431|-6126.817 6462.298|-6130.822 6455.837|-6086.426 6426.104
