ADDRESS,POINTS
12 DEER RIDGE CO SE,3875.347 -13747.458|3873.648 -13744.756|3837.808 -13747.536|3837.850 -13749.070|3837.731 -13750.594|3837.465 -13752.106|3837.053 -13753.585|3836.494 -13755.008|3835.788 -13756.376|3834.956 -13757.666|3833.998 -13758.855|3853.592 -13776.469|3867.364 -13758.099
120 DEERCREST CL SE,4022.510 -13204.771|4013.898 -13175.582|3996.757 -13180.686|4005.370 -13209.886
13919 DEER RIDGE DR SE,3864.917 -13250.161|3860.436 -13234.972|3828.490 -13244.501|3832.963 -13259.690
1612 136 AV SE,3960.749 -12956.317|3954.346 -12926.450|3941.561 -12930.264|3949.131 -12959.786
14759 DEER RIDGE DR SE,3266.434 -13417.365|3258.018 -13404.021|3229.867 -13421.968|3235.844 -13431.442|3242.121 -13432.865
139 DEERPATH RD SE,3421.812 -13869.772|3433.073 -13862.600|3416.855 -13836.870|3409.942 -13841.273|3407.390 -13842.908|3405.594 -13844.042|3407.215 -13846.622|3420.190 -13867.204
76 DEERFIELD CI SE,3453.415 -14035.175|3450.375 -14033.151|3447.425 -14031.005|3444.566 -14028.737|3441.804 -14026.346|3418.547 -14052.366|3435.632 -14063.518
20 DEERFIELD CO SE,3495.023 -13999.759|3486.823 -13971.883|3478.176 -13977.398|3464.356 -13986.205|3470.025 -13993.054|3477.966 -13998.636|3487.396 -14005.286|3488.927 -14003.440|3490.745 -14001.872|3492.793 -14000.638
86 DEERPATH RD SE,3241.345 -13878.412|3248.308 -13886.218|3273.005 -13870.440|3267.497 -13861.700
215 DEERMONT CO SE,3877.220 -13540.424|3875.689 -13539.857|3874.221 -13539.123|3872.844 -13538.234|3871.572 -13537.199|3870.411 -13536.043|3869.391 -13534.764|3868.510 -13533.374|3867.783 -13531.907|3841.331 -13543.371|3858.821 -13580.543
99 DEERCREST CL SE,4053.653 -13245.869|4046.404 -13230.446|4019.008 -13243.467|4026.257 -13258.890
40 DEERMONT WY SE,3844.407 -13322.593|3838.053 -13309.083|3837.381 -13306.815|3809.692 -13320.025|3817.039 -13335.648
203 DEERCLIFF RD SE,3853.264 -12972.552|3857.039 -12987.218|3881.743 -12979.857|3884.959 -12974.142|3882.589 -12964.924
14700 DEER RIDGE DR SE,3383.455 -13620.118|3376.080 -13617.338|3368.810 -13614.291|3355.437 -13644.992|3363.336 -13648.305|3366.727 -13649.629|3372.354 -13651.708
219 DEERMONT CO SE,3894.626 -13566.900|3891.460 -13537.522|3889.936 -13538.656|3888.293 -13539.590|3886.538 -13540.302|3884.714 -13540.802|3882.834 -13541.058|3880.946 -13541.080|3879.059 -13540.869|3877.220 -13540.424|3858.821 -13580.543|3860.114 -13583.301
103 DEERCREST CL SE,4046.404 -13230.446|4045.844 -13229.267|4042.922 -13219.349|4037.274 -13216.269|4012.577 -13223.619|4017.456 -13240.164|4019.008 -13243.467
44 DEERMONT WY SE,3851.013 -13336.637|3844.407 -13322.593|3817.039 -13335.648|3821.422 -13344.966|3822.625 -13345.755|3823.757 -13346.645|3824.820 -13347.623|3825.798 -13348.680
207 DEERCLIFF RD SE,3882.589 -12964.924|3879.108 -12951.358|3849.783 -12958.986|3853.264 -12972.552
14672 DEER RIDGE DR SE,3489.235 -13673.858|3489.654 -13670.845|3493.450 -13645.236|3489.626 -13640.044|3478.246 -13638.331|3473.324 -13671.478
616 DEERPATH CO SE,3466.914 -13766.928|3464.167 -13758.878|3435.010 -13782.028|3441.168 -13791.803|3469.529 -13773.733
111 DEERFIELD CI SE,3555.064 -14004.530|3541.558 -14001.816|3541.537 -14018.418|3541.516 -14035.164|3554.323 -14035.186|3555.532 -14035.175
107 DEERPATH CO SE,3246.511 -13681.063|3238.402 -13668.198|3212.810 -13684.511|3214.921 -13687.846|3220.926 -13697.376
612 DEERPATH CO SE,3472.667 -13781.072|3469.529 -13773.733|3441.168 -13791.803|3447.655 -13802.099|3474.485 -13784.997
