ADDRESS,POINTS
464 QUARRY VI SE,4254.566 -10001.479|4246.205 -10001.490|4246.164 -10025.052|4248.156 -10025.052|4254.580 -10025.063
460 QUARRY VI SE,4260.634 -10001.479|4254.566 -10001.479|4254.580 -10025.063|4260.641 -10025.074
456 QUARRY VI SE,4266.695 -10001.479|4260.634 -10001.479|4260.641 -10025.074|4266.709 -10025.085
452 QUARRY VI SE,4272.762 -10001.479|4266.695 -10001.479|4266.709 -10025.085|4272.769 -10025.085
448 QUARRY VI SE,4280.067 -10001.468|4272.762 -10001.479|4272.769 -10025.085|4280.074 -10025.108
442 QUARRY VI SE,4288.610 -10001.468|4281.850 -10001.468|4281.857 -10025.108|4288.617 -10025.119
438 QUARRY VI SE,4294.677 -10001.468|4288.610 -10001.468|4288.617 -10025.119|4294.684 -10025.130
434 QUARRY VI SE,4300.738 -10001.468|4294.677 -10001.468|4294.684 -10025.130|4300.745 -10025.141
430 QUARRY VI SE,4306.799 -10001.468|4300.738 -10001.468|4300.745 -10025.141|4306.806 -10025.152
426 QUARRY VI SE,4314.104 -10001.457|4306.799 -10001.468|4306.806 -10025.152|4314.111 -10025.163
420 QUARRY VI SE,4322.653 -10001.457|4315.887 -10001.457|4315.894 -10025.163|4322.653 -10025.174
416 QUARRY VI SE,4328.700 -10001.457|4322.653 -10001.457|4322.653 -10025.174|4328.707 -10025.186
412 QUARRY VI SE,4334.754 -10001.457|4328.700 -10001.457|4328.707 -10025.186|4334.761 -10025.197
408 QUARRY VI SE,4340.808 -10001.457|4334.754 -10001.457|4334.761 -10025.197|4340.815 -10025.208
404 QUARRY VI SE,4348.106 -10001.445|4340.808 -10001.457|4340.815 -10025.208|4348.113 -10025.219
504 QUARRY VI SE,4269.721 -9994.284|4269.721 -9986.523|4246.233 -9986.534|4246.219 -9994.284
508 QUARRY VI SE,4269.721 -9986.523|4269.714 -9980.430|4246.240 -9980.441|4246.233 -9986.534
338 QUARRY VI SE,4350.315 -9985.811|4347.281 -9978.773|4324.268 -9987.201|4326.100 -9992.239|4330.776 -9990.526|4331.552 -9992.683
512 QUARRY VI SE,4269.714 -9980.430|4269.714 -9974.347|4246.254 -9974.347|4246.240 -9980.441
334 QUARRY VI SE,4347.281 -9978.773|4344.995 -9973.135|4322.199 -9981.475|4324.268 -9987.201
439 QUARRY VI SE,4291.434 -9992.872|4291.427 -9969.766|4283.633 -9969.766|4283.639 -9992.872
435 QUARRY VI SE,4297.495 -9992.872|4297.488 -9968.943|4294.838 -9969.755|4291.427 -9969.766|4291.434 -9992.872
516 QUARRY VI SE,4269.714 -9974.347|4269.714 -9968.254|4246.261 -9968.254|4246.254 -9974.347
431 QUARRY VI SE,4304.303 -9992.872|4304.296 -9972.101|4303.555 -9970.066|4302.723 -9967.331|4297.488 -9968.943|4297.495 -9992.872
