ADDRESS,POINTS
78 DOUGLASBANK DR SE,4460.352 -11376.582|4448.587 -11363.139|4425.889 -11388.002|4430.670 -11392.705|4435.123 -11397.720
214 DOUGLASBANK GR SE,4352.202 -11011.651|4321.577 -10996.051|4319.955 -10999.220|4315.181 -11008.482|4345.904 -11024.127
310 DOUGLASBANK BA SE,4523.175 -11118.276|4520.477 -11112.450|4517.932 -11106.545|4481.218 -11121.946|4484.175 -11128.795|4487.307 -11135.556
94 DOUGLASBANK WY SE,4058.071 -10895.708|4045.341 -10895.686|4045.271 -10930.657|4058.001 -10930.690
88 DOUGLAS WOODS DR SE,4944.498 -11511.139|4911.776 -11502.466|4909.965 -11508.915|4907.952 -11515.298|4940.786 -11526.350
100 DOUGLAS WOODS DR SE,4956.026 -11464.048|4923.184 -11455.931|4920.549 -11466.739|4923.611 -11472.821|4951.083 -11484.241|4955.166 -11467.551
266 DOUGLAS WOODS CL SE,5464.100 -11942.842|5451.839 -11937.872|5455.390 -11974.644|5457.089 -11974.555|5458.788 -11974.633|5460.472 -11974.877|5462.122 -11975.278|5463.730 -11975.834|5465.282 -11976.534|5466.757 -11977.390|5468.141 -11978.369|5477.760 -11948.369|5468.756 -11944.721
11551 DOUGLAS WOODS RI SE,5342.697 -11726.490|5330.247 -11718.929|5312.246 -11748.863|5321.173 -11754.278|5324.696 -11756.424
618 DOUGLAS WOODS PL SE,5162.972 -11254.434|5163.139 -11252.299|5163.049 -11250.153|5162.706 -11248.041|5162.112 -11245.984|5129.613 -11241.502|5127.803 -11254.768|5162.280 -11259.527
79 DOUGLAS WOODS TC SE,5425.205 -11317.093|5412.420 -11315.169|5413.343 -11350.674|5426.128 -11352.597
51 DOUGLAS WOODS HL SE,5802.146 -11414.199|5794.407 -11412.309|5789.444 -11411.130|5781.510 -11445.178|5793.771 -11448.147
447 DOUGLAS WOODS DR SE,5794.939 -11911.140|5762.195 -11908.950|5761.454 -11920.114|5765.621 -11924.906|5793.897 -11926.797
204 DOUGLASBANK PL SE,4357.186 -11582.504|4337.222 -11555.083|4327.610 -11562.144|4326.393 -11568.593|4336.362 -11584.394|4342.723 -11593.134|4355.956 -11583.405
172 DOUGLASBANK ME SE,4592.563 -11629.739|4567.103 -11594.769|4566.628 -11596.826|4566.362 -11597.971|4564.622 -11604.609|4562.504 -11611.137|4584.069 -11640.748|4586.103 -11637.846|4589.214 -11633.698
204 DOUGLAS SHORE CL SE,4879.592 -12035.223|4856.754 -12026.650|4848.910 -12038.659|4882.339 -12051.213|4890.189 -12039.204
282 DOUGLAS GLEN CO SE,4712.358 -10837.709|4720.209 -10822.898|4683.970 -10806.252|4676.106 -10821.030
71 DOUGLAS GLEN PL SE,4457.157 -10585.386|4458.716 -10584.263|4460.401 -10583.362|4462.197 -10582.672|4464.057 -10582.228|4457.856 -10545.978|4436.948 -10560.467
32 DOUGLAS PARK MR SE,5053.487 -12116.228|5045.846 -12112.359|5029.579 -12144.439|5041.876 -12151.055|5058.289 -12118.664
288 DOUGLAS RIDGE CL SE,6323.104 -12037.013|6290.242 -12037.002|6290.242 -12048.711|6290.249 -12049.845|6323.104 -12049.856
43 DOUGLAS GLEN ME SE,4609.151 -10556.809|4608.354 -10549.759|4607.334 -10542.742|4599.281 -10535.470|4575.786 -10556.986|4576.981 -10558.488|4577.981 -10560.133|4578.756 -10561.890|4579.302 -10563.736
12809 DOUGLASVIEW BV SE,5513.621 -12177.808|5483.751 -12162.975|5478.780 -12173.082|5476.501 -12177.719|5506.372 -12192.553
61 DOUGLASVIEW RI SE,5784.362 -12271.101|5772.017 -12264.974|5769.172 -12263.495|5754.394 -12293.562|5769.612 -12301.123
123 DOUGLASVIEW BA SE,5658.827 -11978.825|5655.346 -11978.591|5680.302 -12016.587|5681.987 -12015.630|5683.797 -12014.930|5685.685 -12014.507|5687.614 -12014.352|5687.390 -11980.749|5685.433 -11980.615|5672.130 -11979.726
66 DOUGLAS GLEN GR SE,4369.378 -10572.943|4355.648 -10567.150|4349.294 -10568.640|4349.637 -10603.232|4352.132 -10603.299|4354.614 -10603.566|4357.060 -10604.033|4359.472 -10604.689
180 DOUGLAS RIDGE GR SE,6643.380 -12217.616|6608.078 -12223.632|6609.889 -12234.973|6645.253 -12229.347
168 DOUGLAS RIDGE CL SE,6548.379 -12143.149|6550.952 -12142.782|6552.224 -12142.593|6542.899 -12110.546|6530.931 -12113.026|6540.270 -12145.128
319 DOUGLAS GLEN CL SE,4184.584 -10388.259|4172.456 -10388.248|4172.435 -10425.510|4174.301 -10425.510|4184.563 -10425.521
3110 DOUGLASDALE BV SE,6062.206 -12080.057|6051.307 -12072.329|6032.112 -12099.694|6043.010 -12107.411
199 DOUGLASVIEW RD SE,5802.523 -12400.721|5788.507 -12399.308|5790.563 -12443.931|5794.037 -12444.832|5797.546 -12445.588|5801.083 -12446.199|5804.641 -12446.655
152 DOUGLASVIEW RD SE,5972.119 -12488.531|5970.672 -12455.039|5956.139 -12455.707|5957.593 -12489.198|5958.802 -12489.143
633 DOUGLAS GLEN BV SE,4434.389 -10192.267|4425.924 -10169.294|4423.107 -10161.322|4411.698 -10165.769|4423.799 -10196.481
1745 DOUGLAS GLEN GV SE,4176.259 -10486.733|4164.130 -10486.711|4164.088 -10521.193|4169.191 -10521.204|4176.217 -10521.204
329 DOUGLAS RIDGE PL SE,6509.883 -12395.906|6477.048 -12394.427|6477.104 -12409.994|6504.535 -12409.872|6506.045 -12409.683|6507.471 -12409.149|6508.729 -12408.293|6509.757 -12407.159|6510.491 -12405.824|6510.896 -12404.357|6510.945 -12402.833|6510.638 -12401.332|6510.267 -12400.009|6510.016 -12398.652|6509.883 -12397.285
145 DOUGLAS RIDGE CI SE,6466.402 -12868.851|6463.592 -12834.436|6458.440 -12834.581|6453.288 -12834.859|6456.133 -12869.696
