ADDRESS,POINTS
665 QUARRY WY SE,3763.464 -10422.340|3779.158 -10433.404|3779.871 -10432.704|3797.249 -10415.991|3805.973 -10407.585|3804.323 -10406.073|3801.003 -10402.692|3797.920 -10399.101|3796.529 -10397.322|3796.194 -10396.832|3762.695 -10421.796
661 QUARRY WY SE,3762.695 -10421.796|3796.194 -10396.832|3793.964 -10393.630|3791.908 -10390.305|3789.629 -10386.013|3789.203 -10385.112|3755.719 -10400.969|3755.963 -10402.592|3758.284 -10417.804|3758.431 -10418.793
657 QUARRY WY SE,3784.939 -10373.548|3783.429 -10368.344|3752.363 -10378.474|3753.006 -10382.911|3754.167 -10390.872|3755.719 -10400.969|3789.203 -10385.112|3787.057 -10380.053|3785.309 -10374.838
653 QUARRY WY SE,3780.947 -10359.126|3779.997 -10354.356|3779.270 -10349.541|3753.244 -10356.546|3748.917 -10357.714|3749.385 -10359.471|3750.637 -10367.299|3752.363 -10378.474|3783.429 -10368.344|3782.527 -10365.253
649 QUARRY WY SE,3779.270 -10349.541|3778.969 -10347.084|3778.682 -10343.970|3778.396 -10337.421|3778.522 -10330.860|3778.585 -10329.515|3748.211 -10337.710|3743.898 -10338.878|3747.498 -10352.377|3748.917 -10357.714|3753.244 -10356.546
645 QUARRY WY SE,3778.654 -10328.214|3779.395 -10313.525|3739.969 -10324.155|3743.576 -10337.654|3743.898 -10338.878|3748.211 -10337.710|3778.585 -10329.515
641 QUARRY WY SE,3739.969 -10324.155|3779.395 -10313.525|3779.430 -10312.858|3780.171 -10298.158|3780.206 -10297.535|3736.020 -10309.444|3736.173 -10310.011|3739.808 -10323.533
637 QUARRY WY SE,3736.020 -10309.444|3780.206 -10297.535|3780.919 -10283.436|3781.010 -10281.545|3732.063 -10294.733|3732.531 -10296.468
633 QUARRY WY SE,3732.063 -10294.733|3781.010 -10281.545|3781.723 -10267.457|3728.484 -10281.801|3728.742 -10282.580|3729.050 -10283.536
629 QUARRY WY SE,3728.484 -10281.801|3781.723 -10267.457|3781.982 -10262.398|3782.059 -10256.104|3781.653 -10249.822|3723.150 -10265.578|3724.562 -10269.837|3724.877 -10270.782
625 QUARRY WY SE,3723.150 -10265.578|3781.653 -10249.822|3780.745 -10243.684|3779.367 -10237.635|3778.626 -10234.866|3718.334 -10251.100
621 QUARRY WY SE,3718.334 -10251.100|3778.626 -10234.866|3774.698 -10220.144|3713.454 -10236.634|3716.600 -10245.896|3716.915 -10246.842
617 QUARRY WY SE,3774.698 -10220.144|3770.769 -10205.421|3707.862 -10222.368|3711.909 -10232.264|3712.287 -10233.187|3713.454 -10236.634
613 QUARRY WY SE,3770.769 -10205.421|3766.701 -10190.143|3706.205 -10206.444|3702.808 -10207.356|3701.843 -10207.612|3706.799 -10219.766|3707.177 -10220.688|3707.862 -10222.368
30 QUARRY PT SE,3599.279 -9420.797|3621.201 -9420.808|3620.893 -9419.852|3609.688 -9385.047|3608.024 -9385.626|3606.304 -9385.982|3599.090 -9387.005|3595.287 -9392.086
26 QUARRY PT SE,3621.201 -9420.808|3622.242 -9420.819|3623.088 -9420.285|3648.562 -9404.262|3647.737 -9403.695|3614.784 -9381.234|3613.686 -9382.412|3612.463 -9383.446|3611.121 -9384.325|3609.688 -9385.047|3620.893 -9419.852
22 QUARRY PT SE,3647.737 -9403.695|3648.562 -9404.262|3653.483 -9401.171|3654.329 -9400.637|3655.419 -9399.292|3655.217 -9398.313|3650.869 -9376.697|3649.876 -9376.641|3617.650 -9375.040|3617.237 -9376.719|3616.615 -9378.320|3615.790 -9379.832|3614.784 -9381.234
18 QUARRY PT SE,3649.876 -9376.641|3650.869 -9376.697|3645.856 -9351.811|3644.983 -9352.289|3616.944 -9367.701|3617.503 -9369.480|3617.804 -9371.326|3617.859 -9373.183|3617.650 -9375.040
14 QUARRY PT SE,3616.944 -9367.701|3644.983 -9352.289|3645.856 -9351.811|3640.991 -9327.626|3640.627 -9325.825|3636.846 -9325.825|3636.279 -9326.648|3612.204 -9361.619|3613.707 -9362.864|3615.014 -9364.310|3616.105 -9365.933
10 QUARRY PT SE,3612.204 -9361.619|3636.279 -9326.648|3636.846 -9325.825|3627.283 -9325.825|3613.945 -9325.814|3608.660 -9325.814|3608.562 -9326.815|3605.521 -9359.184|3607.304 -9359.439|3609.030 -9359.951|3610.673 -9360.674
6 QUARRY PT SE,3602.578 -9359.261|3604.046 -9359.139|3605.521 -9359.184|3608.562 -9326.815|3608.660 -9325.814|3600.600 -9325.814|3585.787 -9325.870|3586.116 -9327.671|3586.773 -9331.274|3590.310 -9356.415|3595.364 -9360.262
82 QUARRY WY SE,3640.627 -9325.825|3640.627 -9325.225|3640.627 -9324.824|3640.620 -9295.413|3640.620 -9291.722|3627.283 -9291.744|3627.283 -9324.824|3627.283 -9325.825|3636.846 -9325.825
86 QUARRY WY SE,3613.945 -9325.814|3627.283 -9325.825|3627.283 -9324.824|3627.283 -9291.744|3613.938 -9291.755|3613.945 -9324.824
90 QUARRY WY SE,3608.660 -9325.814|3613.945 -9325.814|3613.945 -9324.824|3613.938 -9291.755|3600.593 -9291.766|3600.600 -9324.813|3600.600 -9325.814
94 QUARRY WY SE,3585.787 -9325.870|3600.600 -9325.814|3600.600 -9324.813|3600.593 -9291.766|3584.005 -9291.788|3580.335 -9296.214|3585.675 -9325.269
69 QUARRY WY SE,3677.209 -9270.695|3677.209 -9267.248|3677.209 -9235.134|3677.209 -9232.744|3665.688 -9232.744|3665.688 -9233.922|3665.695 -9270.739
73 QUARRY WY SE,3665.695 -9270.739|3665.688 -9233.922|3665.688 -9232.744|3654.161 -9232.744|3654.168 -9233.922|3654.175 -9270.728
77 QUARRY WY SE,3654.175 -9270.728|3654.168 -9233.922|3654.161 -9232.744|3642.641 -9232.744|3642.648 -9233.922|3642.648 -9270.728|3650.575 -9270.728
81 QUARRY WY SE,3642.648 -9270.728|3642.648 -9233.922|3642.641 -9232.744|3631.113 -9232.744|3631.127 -9233.934|3631.127 -9270.728
85 QUARRY WY SE,3631.127 -9270.728|3631.127 -9233.934|3631.113 -9232.744|3619.593 -9232.744|3619.600 -9233.934|3619.607 -9270.728
89 QUARRY WY SE,3608.066 -9232.744|3608.080 -9233.934|3608.087 -9270.728|3619.607 -9270.728|3619.600 -9233.934|3619.593 -9232.744
93 QUARRY WY SE,3608.087 -9270.728|3608.080 -9233.934|3608.066 -9232.744|3597.664 -9232.744|3594.721 -9232.744|3594.742 -9233.945|3594.742 -9270.728|3597.734 -9270.728
97 QUARRY WY SE,3594.742 -9270.728|3594.742 -9233.945|3594.721 -9232.744|3591.694 -9232.744|3581.376 -9232.744|3581.397 -9233.945|3581.404 -9270.728|3591.757 -9270.728|3591.764 -9270.728
101 QUARRY WY SE,3573.099 -9269.371|3574.742 -9269.961|3576.434 -9270.383|3578.154 -9270.639|3579.894 -9270.728|3581.404 -9270.728|3581.397 -9233.945|3581.376 -9232.744|3567.710 -9232.744|3564.767 -9232.744|3564.781 -9233.856|3564.788 -9235.301|3564.802 -9268.749|3566.885 -9268.415|3568.996 -9268.404|3571.086 -9268.726
656 QUARRY WY SE,3802.457 -10358.959|3803.596 -10363.385|3805.050 -10367.722|3806.805 -10371.947|3808.853 -10376.028|3809.741 -10377.585|3837.067 -10359.415|3837.892 -10358.859|3835.983 -10347.295|3834.103 -10347.951
652 QUARRY WY SE,3802.457 -10358.959|3834.103 -10347.951|3835.983 -10347.295|3834.236 -10336.698|3832.264 -10336.976|3799.451 -10341.568|3799.857 -10345.972|3800.493 -10350.342|3801.359 -10354.678
648 QUARRY WY SE,3834.236 -10336.698|3834.550 -10325.734|3832.558 -10325.668|3799.745 -10324.711|3799.381 -10331.939|3799.276 -10336.754|3799.451 -10341.568|3832.264 -10336.976
644 QUARRY WY SE,3834.550 -10325.734|3835.200 -10312.847|3833.215 -10312.747|3800.430 -10311.068|3799.745 -10324.711|3832.558 -10325.668
640 QUARRY WY SE,3800.430 -10311.068|3833.215 -10312.747|3835.200 -10312.847|3835.878 -10299.459|3833.893 -10299.359|3801.108 -10297.691
636 QUARRY WY SE,3801.108 -10297.691|3833.893 -10299.359|3835.878 -10299.459|3836.557 -10286.082|3834.564 -10285.971|3801.786 -10284.303
7 QUARRY CV SE,3850.223 -10276.597|3849.258 -10305.564|3849.195 -10307.554|3875.577 -10308.432|3874.620 -10306.687|3857.199 -10274.907|3855.669 -10275.641|3854.047 -10276.175|3852.376 -10276.497|3850.677 -10276.608
11 QUARRY CV SE,3875.577 -10308.432|3889.307 -10286.016|3887.594 -10285.004|3862.240 -10269.970|3861.240 -10271.438|3860.052 -10272.772|3858.695 -10273.929|3857.199 -10274.907|3874.620 -10306.687
632 QUARRY WY SE,3836.557 -10286.082|3837.319 -10270.993|3835.543 -10270.470|3833.802 -10270.148|3832.048 -10270.015|3807.029 -10269.192|3805.882 -10270.248|3802.331 -10273.539|3801.786 -10284.303|3834.564 -10285.971
15 QUARRY CV SE,3889.307 -10286.016|3903.323 -10263.120|3901.337 -10263.120|3864.099 -10263.143|3863.980 -10264.922|3863.624 -10266.679|3863.043 -10268.369|3862.240 -10269.970|3887.594 -10285.004
19 QUARRY CV SE,3864.099 -10263.143|3901.337 -10263.120|3903.323 -10263.120|3905.315 -10259.862|3904.867 -10258.973|3894.039 -10237.423|3892.327 -10238.446|3862.254 -10256.293|3863.050 -10257.894|3863.631 -10259.596|3863.980 -10261.352
624 QUARRY WY SE,3833.047 -10255.003|3834.613 -10254.970|3836.396 -10254.725|3836.529 -10251.111|3836.291 -10236.434|3834.327 -10236.756|3801.660 -10242.105|3802.191 -10245.819|3802.590 -10249.544|3807.350 -10254.169|3832.530 -10254.992
620 QUARRY WY SE,3836.291 -10236.434|3836.277 -10234.810|3836.018 -10233.843|3832.942 -10222.312|3831.020 -10222.823|3799.318 -10231.374|3799.542 -10232.197|3800.723 -10237.123|3801.660 -10242.105|3834.327 -10236.756
23 QUARRY CV SE,3857.199 -10251.334|3858.702 -10252.312|3860.059 -10253.469|3861.254 -10254.814|3862.254 -10256.293|3892.327 -10238.446|3894.039 -10237.423|3884.616 -10218.687|3884.162 -10217.797|3875.661 -10217.786|3874.697 -10219.532
27 QUARRY CV SE,3850.188 -10249.633|3850.642 -10249.633|3852.355 -10249.733|3854.033 -10250.055|3855.655 -10250.589|3857.199 -10251.334|3874.697 -10219.532|3875.661 -10217.786|3849.049 -10217.742|3849.118 -10219.732
616 QUARRY WY SE,3832.942 -10222.312|3829.643 -10209.958|3827.728 -10210.470|3796.026 -10219.021|3799.318 -10231.363|3831.020 -10222.823
612 QUARRY WY SE,3829.643 -10209.958|3826.350 -10197.604|3824.428 -10198.116|3792.726 -10206.667|3796.026 -10219.021|3827.728 -10210.470
608 QUARRY WY SE,3826.350 -10197.604|3823.051 -10185.251|3821.129 -10185.762|3789.427 -10194.302|3792.726 -10206.667|3824.428 -10198.116
604 QUARRY WY SE,3823.051 -10185.251|3821.115 -10178.012|3820.590 -10176.021|3820.192 -10174.543|3818.381 -10174.687|3812.719 -10175.299|3807.092 -10176.166|3801.506 -10177.278|3795.977 -10178.646|3790.287 -10180.169|3787.127 -10185.684|3789.427 -10194.313|3821.129 -10185.762
5 QUARRY HT SE,3925.755 -10207.845|3934.836 -10207.868|3935.654 -10206.044|3943.916 -10187.519|3944.322 -10186.607|3944.343 -10174.409|3929.355 -10174.376|3925.972 -10205.866
9 QUARRY HT SE,3915.241 -10207.834|3925.755 -10207.845|3925.972 -10205.866|3929.355 -10174.376|3915.297 -10174.354|3915.241 -10205.833
13 QUARRY HT SE,3903.721 -10207.812|3915.241 -10207.834|3915.241 -10205.833|3915.297 -10174.354|3903.777 -10174.331|3903.728 -10205.811
17 QUARRY HT SE,3892.201 -10207.790|3903.721 -10207.812|3903.728 -10205.811|3903.777 -10174.331|3892.264 -10174.320|3892.208 -10205.788
21 QUARRY HT SE,3880.680 -10207.768|3892.201 -10207.790|3892.208 -10205.788|3892.264 -10174.320|3880.743 -10174.298|3880.687 -10205.777
25 QUARRY HT SE,3869.160 -10207.757|3880.680 -10207.768|3880.687 -10205.777|3880.743 -10174.298|3869.223 -10174.276|3869.167 -10205.755
29 QUARRY HT SE,3857.647 -10207.734|3869.160 -10207.757|3869.167 -10205.755|3869.223 -10174.276|3857.703 -10174.253|3857.647 -10205.733
33 QUARRY HT SE,3857.647 -10207.734|3857.647 -10205.733|3857.703 -10174.253|3843.288 -10174.231|3847.154 -10206.722|3847.273 -10207.712
4 QUARRY GD SE,3944.420 -10135.580|3942.434 -10135.580|3909.607 -10135.524|3909.593 -10145.365|3915.549 -10151.370|3944.399 -10151.425|3944.399 -10147.923
8 QUARRY GD SE,3944.420 -10135.580|3944.448 -10122.792|3942.455 -10122.792|3909.635 -10122.737|3909.607 -10135.524|3942.434 -10135.580
20 QUARRY HT SE,3880.114 -10151.314|3888.699 -10151.325|3894.682 -10145.343|3894.731 -10117.366|3894.731 -10116.365|3880.771 -10116.343|3880.177 -10116.343|3880.177 -10117.344
24 QUARRY HT SE,3866.776 -10151.292|3880.114 -10151.314|3880.177 -10117.344|3880.177 -10116.343|3868.643 -10116.321|3866.839 -10116.321|3866.839 -10117.322
28 QUARRY HT SE,3854.047 -10151.269|3866.776 -10151.292|3866.839 -10117.322|3866.839 -10116.321|3854.110 -10116.299|3854.110 -10117.299
32 QUARRY HT SE,3841.261 -10151.247|3854.047 -10151.269|3854.110 -10117.299|3854.110 -10116.299|3843.652 -10116.276|3841.317 -10116.276|3841.317 -10117.277|3841.268 -10147.745
12 QUARRY GD SE,3909.635 -10122.737|3942.455 -10122.792|3944.448 -10122.792|3944.469 -10110.606|3942.476 -10110.606|3909.656 -10110.539
16 QUARRY GD SE,3909.656 -10110.539|3942.476 -10110.606|3944.469 -10110.606|3944.490 -10098.419|3942.497 -10098.407|3909.677 -10098.352
20 QUARRY GD SE,3909.677 -10098.352|3942.497 -10098.407|3944.490 -10098.419|3944.510 -10085.620|3942.518 -10085.620|3909.698 -10085.564
76 QUARRY GD SE,3880.771 -10116.343|3894.731 -10116.365|3894.780 -10087.888|3890.313 -10083.385|3880.834 -10083.363|3880.778 -10114.342
72 QUARRY GD SE,3880.177 -10116.343|3880.771 -10116.343|3880.778 -10114.342|3880.834 -10083.363|3868.699 -10083.341|3868.643 -10114.319|3868.643 -10116.321
68 QUARRY GD SE,3866.839 -10116.321|3868.643 -10116.321|3868.643 -10114.319|3868.699 -10083.341|3868.167 -10083.341|3866.539 -10083.240|3864.938 -10082.940|3863.379 -10082.451|3861.897 -10081.773|3844.589 -10114.508|3843.652 -10116.276|3854.110 -10116.299
64 QUARRY GD SE,3841.317 -10116.276|3843.652 -10116.276|3844.589 -10114.508|3861.897 -10081.773|3860.499 -10080.905|3859.213 -10079.882|3858.059 -10078.704|3857.060 -10077.392|3827.008 -10096.139|3825.323 -10097.195
24 QUARRY GD SE,3944.531 -10072.833|3942.749 -10072.833|3942.539 -10072.833|3913.207 -10072.777|3909.719 -10072.777|3909.698 -10085.564|3942.518 -10085.620|3944.510 -10085.620
60 QUARRY GD SE,3825.323 -10097.195|3827.008 -10096.139|3857.060 -10077.392|3856.109 -10075.746|3855.410 -10073.978|3854.955 -10072.121|3854.767 -10070.231|3821.184 -10074.067|3819.206 -10074.300
28 QUARRY GD SE,3909.719 -10072.777|3913.207 -10072.777|3942.539 -10072.833|3942.749 -10072.833|3944.531 -10072.833|3944.573 -10048.336|3942.756 -10049.148|3908.579 -10064.448|3909.076 -10065.761|3909.439 -10067.128|3909.656 -10068.518|3909.726 -10069.930
56 QUARRY GD SE,3854.767 -10070.231|3854.823 -10068.574|3855.081 -10066.950|3855.536 -10065.360|3856.179 -10063.837|3821.038 -10046.135|3819.255 -10045.245|3819.206 -10074.300|3821.184 -10074.067
32 QUARRY GD SE,3903.553 -10058.555|3905.119 -10059.734|3906.496 -10061.124|3907.657 -10062.714|3908.579 -10064.448|3942.756 -10049.148|3944.573 -10048.336|3944.594 -10035.482|3944.601 -10034.481|3934.381 -10024.207|3933.675 -10023.495|3925.923 -10023.484|3924.846 -10025.174
36 QUARRY GD SE,3896.318 -10056.409|3898.227 -10056.554|3900.093 -10056.965|3901.876 -10057.632|3903.553 -10058.555|3924.846 -10025.174|3925.923 -10023.484|3897.122 -10023.440|3897.073 -10025.430
40 QUARRY GD SE,3882.910 -10056.387|3896.318 -10056.409|3897.073 -10025.430|3897.122 -10023.440|3882.987 -10023.418|3882.987 -10025.408
44 QUARRY GD SE,3868.964 -10056.365|3882.910 -10056.387|3882.987 -10025.408|3882.987 -10023.418|3869.048 -10023.384|3869.041 -10025.386
52 QUARRY GD SE,3856.179 -10063.837|3857.171 -10062.147|3858.402 -10060.623|3859.842 -10059.289|3861.457 -10058.188|3842.345 -10025.074|3841.352 -10023.340|3819.255 -10045.245|3821.038 -10046.135
