ADDRESS,POINTS
2N 222 EAGLE RIDGE DR SW,-1985.840 -6797.986|-2041.204 -6797.908|-2041.211 -6841.686|-2029.446 -6900.452|-1973.033 -6869.807|-1968.343 -6867.394
2S 222 EAGLE RIDGE DR SW,-1985.840 -6797.986|-2041.204 -6797.908|-2041.211 -6841.686|-2029.446 -6900.452|-1973.033 -6869.807|-1968.343 -6867.394
3S 222 EAGLE RIDGE DR SW,-1985.840 -6797.986|-2041.204 -6797.908|-2041.211 -6841.686|-2029.446 -6900.452|-1973.033 -6869.807|-1968.343 -6867.394
3N 222 EAGLE RIDGE DR SW,-1985.840 -6797.986|-2041.204 -6797.908|-2041.211 -6841.686|-2029.446 -6900.452|-1973.033 -6869.807|-1968.343 -6867.394
4N 222 EAGLE RIDGE DR SW,-1985.840 -6797.986|-2041.204 -6797.908|-2041.211 -6841.686|-2029.446 -6900.452|-1973.033 -6869.807|-1968.343 -6867.394
4S 222 EAGLE RIDGE DR SW,-1985.840 -6797.986|-2041.204 -6797.908|-2041.211 -6841.686|-2029.446 -6900.452|-1973.033 -6869.807|-1968.343 -6867.394
5S 222 EAGLE RIDGE DR SW,-1985.840 -6797.986|-2041.204 -6797.908|-2041.211 -6841.686|-2029.446 -6900.452|-1973.033 -6869.807|-1968.343 -6867.394
5N 222 EAGLE RIDGE DR SW,-1985.840 -6797.986|-2041.204 -6797.908|-2041.211 -6841.686|-2029.446 -6900.452|-1973.033 -6869.807|-1968.343 -6867.394
6N 222 EAGLE RIDGE DR SW,-1985.840 -6797.986|-2041.204 -6797.908|-2041.211 -6841.686|-2029.446 -6900.452|-1973.033 -6869.807|-1968.343 -6867.394
6S 222 EAGLE RIDGE DR SW,-1985.840 -6797.986|-2041.204 -6797.908|-2041.211 -6841.686|-2029.446 -6900.452|-1973.033 -6869.807|-1968.343 -6867.394
236 EAGLE RIDGE DR SW,-1960.800 -6798.009|-1985.840 -6797.986|-1968.343 -6867.394|-1962.785 -6864.859|-1957.102 -6862.613|-1951.307 -6860.656|-1945.428 -6859.010
