ADDRESS,POINTS
135 EAGLE RIDGE DR SW,-1921.346 -7070.047|-1950.978 -7070.014|-1951.048 -7131.894|-1921.346 -7131.938
19 EAGLE RIDGE PL SW,-1818.187 -7008.356|-1842.458 -7008.323|-1842.479 -7070.147|-1821.235 -7070.180|-1818.201 -7070.180
23 EAGLE RIDGE PL SW,-1842.458 -7008.323|-1866.729 -7008.289|-1866.750 -7070.114|-1845.506 -7070.147|-1842.479 -7070.147
27 EAGLE RIDGE PL SW,-1866.729 -7008.289|-1890.993 -7008.256|-1891.021 -7070.091|-1869.770 -7070.114|-1866.750 -7070.114
173 EAGLE RIDGE DR SW,-1984.155 -7029.472|-2038.772 -7029.405|-2038.723 -7044.094|-2038.639 -7047.619|-2038.415 -7051.133|-2038.052 -7054.635|-2037.548 -7058.127|-1983.554 -7049.198|-1984.092 -7048.653
31 EAGLE RIDGE PL SW,-1890.993 -7008.256|-1897.669 -7008.256|-1911.321 -7013.226|-1913.279 -7013.816|-1915.285 -7014.183|-1915.292 -7070.058|-1897.075 -7070.080|-1891.021 -7070.091
20 EAGLE RIDGE PL SW,-1818.166 -6928.240|-1843.346 -6928.218|-1843.360 -6983.949|-1818.180 -6983.982
24 EAGLE RIDGE PL SW,-1843.346 -6928.218|-1870.483 -6928.173|-1870.497 -6983.915|-1843.360 -6983.949
40 EAGLE RIDGE PL SW,-1929.748 -6982.503|-1971.055 -6950.423|-1984.393 -6957.673|-1984.330 -6976.554|-1984.267 -6995.958|-1935.732 -6996.024|-1935.627 -6994.123|-1935.334 -6992.244|-1934.844 -6990.409|-1934.166 -6988.630|-1933.306 -6986.929|-1932.279 -6985.328|-1931.090 -6983.849
28 EAGLE RIDGE PL SW,-1870.483 -6928.173|-1897.627 -6928.140|-1897.634 -6983.882|-1870.497 -6983.915
40 EAGLE RIDGE PL SW,-1915.767 -6977.855|-1929.951 -6928.107|-1941.968 -6934.623|-1956.109 -6942.306|-1970.251 -6949.990|-1971.055 -6950.423|-1929.748 -6982.503|-1928.280 -6981.291|-1926.700 -6980.257|-1925.016 -6979.379|-1923.247 -6978.689|-1921.423 -6978.189|-1919.549 -6977.877|-1917.655 -6977.766
32 EAGLE RIDGE PL SW,-1927.420 -6928.107|-1929.951 -6928.107|-1915.767 -6977.855|-1913.488 -6978.222|-1911.279 -6978.878|-1897.634 -6983.882|-1897.627 -6928.140|-1900.081 -6928.140
35 EAGLE RIDGE DR SW,-1721.089 -6928.374|-1745.360 -6928.340|-1745.374 -6984.071|-1725.654 -6984.104|-1721.103 -6979.534
89 EAGLE RIDGE DR SW,-1745.388 -7070.269|-1769.659 -7070.236|-1769.673 -7132.138|-1745.402 -7132.172
8 EAGLE RIDGE PL SW,-1745.360 -6928.340|-1769.631 -6928.307|-1769.638 -6984.049|-1745.374 -6984.071
12 EAGLE RIDGE PL SW,-1769.631 -6928.307|-1793.902 -6928.273|-1793.909 -6984.015|-1769.638 -6984.049
16 EAGLE RIDGE PL SW,-1793.902 -6928.273|-1818.166 -6928.240|-1818.180 -6983.982|-1793.909 -6984.015
