ADDRESS,POINTS
2294 PASSCHENDAELE AV SW,-2968.603 -3688.676|-2976.768 -3688.676|-2976.775 -3719.166|-2968.617 -3719.166
118 AMIENS CR SW,-2928.499 -3844.260|-2958.977 -3844.249|-2958.977 -3856.091|-2928.506 -3856.102
58 QUENTIN PL SW,-2763.677 -3997.942|-2758.385 -3997.931|-2753.904 -3993.428|-2753.897 -3965.251|-2763.719 -3965.251
4714 21A ST SW,-2906.996 -4019.592|-2947.729 -4019.581|-2947.736 -4036.294|-2907.003 -4036.305
2266 PASSCHENDAELE AV SW,-2865.906 -3688.709|-2878.146 -3688.709|-2878.167 -3719.199|-2865.920 -3719.199
71 AMIENS CR SW,-2960.557 -3924.398|-2973.322 -3924.398|-2973.329 -3953.553|-2960.564 -3953.553
12 QUENTIN PL SW,-2769.619 -4014.944|-2779.832 -4014.955|-2779.790 -4045.812|-2769.577 -4045.801
122 AMIENS CR SW,-2928.499 -3834.241|-2958.970 -3834.241|-2958.977 -3844.249|-2928.499 -3844.260
4681 20 ST SW,-2660.498 -3911.755|-2695.765 -3911.744|-2695.765 -3920.762|-2660.498 -3920.773
2276 PASSCHENDAELE AV SW,-2897.755 -3688.698|-2910.030 -3688.698|-2910.037 -3719.166|-2897.775 -3719.188
126 AMIENS CR SW,-2928.492 -3824.289|-2958.970 -3824.289|-2958.970 -3834.241|-2928.499 -3834.241
4685 20 ST SW,-2660.498 -3920.773|-2695.765 -3920.762|-2695.772 -3929.658|-2660.505 -3929.669
130 AMIENS CR SW,-2928.492 -3813.526|-2958.963 -3813.526|-2958.970 -3824.289|-2928.492 -3824.289
4689 20 ST SW,-2660.505 -3929.669|-2695.772 -3929.658|-2695.772 -3939.910|-2660.505 -3939.921
2284 PASSCHENDAELE AV SW,-2928.429 -3688.687|-2938.845 -3688.687|-2938.859 -3719.177|-2928.443 -3719.177
134 AMIENS CR SW,-2928.485 -3803.507|-2958.963 -3803.496|-2958.963 -3813.526|-2928.492 -3813.526
