ADDRESS,POINTS
109 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
108 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
107 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
106 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
105 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
104 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
103 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
102 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
112 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
111 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
110 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
209 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
208 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
207 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
206 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
205 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
204 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
203 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
202 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
201 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
212 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
211 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
210 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
309 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
308 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
307 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
306 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
305 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
304 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
303 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
