ADDRESS,POINTS
398 ROWLEY WY NW,-13831.259 6279.371|-13834.622 6279.338|-13837.977 6279.438|-13841.332 6279.660|-13844.681 6280.016|-13844.632 6246.013|-13831.210 6245.412
394 ROWLEY WY NW,-13831.210 6245.412|-13830.071 6245.356|-13817.802 6247.369|-13817.844 6280.783|-13819.613 6280.494|-13825.415 6279.738|-13831.259 6279.371
402 ROWLEY WY NW,-13858.047 6246.602|-13844.632 6246.013|-13844.681 6280.016|-13848.071 6280.505|-13851.441 6281.128|-13854.782 6281.884|-13858.096 6282.762
390 ROWLEY WY NW,-13817.802 6247.369|-13804.388 6249.571|-13804.430 6283.052|-13807.869 6282.418|-13817.844 6280.783
386 ROWLEY WY NW,-13804.388 6249.571|-13790.966 6251.772|-13791.015 6286.943|-13794.307 6285.776|-13797.642 6284.731|-13801.018 6283.830|-13804.430 6283.052
406 ROWLEY WY NW,-13870.874 6247.180|-13858.047 6246.602|-13858.096 6282.762|-13862.031 6284.008|-13865.911 6285.420|-13870.923 6287.399
358 ROWLEY WY NW,-13710.450 6257.999|-13696.392 6258.389|-13697.315 6291.358|-13704.515 6291.158|-13710.492 6291.191
354 ROWLEY WY NW,-13682.977 6258.767|-13683.900 6291.736|-13697.315 6291.358|-13696.392 6258.389
350 ROWLEY WY NW,-13682.977 6258.767|-13669.562 6259.145|-13670.478 6292.103|-13683.900 6291.736
346 ROWLEY WY NW,-13669.562 6259.145|-13653.400 6259.601|-13658.077 6293.004|-13662.935 6292.459|-13667.808 6292.181|-13670.478 6292.103
362 ROWLEY WY NW,-13710.492 6291.191|-13713.868 6291.391|-13717.237 6291.725|-13720.586 6292.181|-13723.920 6292.770|-13723.871 6258.733|-13717.860 6257.788|-13710.450 6257.999
410 ROWLEY WY NW,-13883.156 6247.725|-13882.527 6247.725|-13870.874 6247.180|-13870.923 6287.399|-13882.562 6291.992|-13883.205 6292.247|-13883.205 6289.723|-13883.177 6272.432|-13883.149 6250.149
382 ROWLEY WY NW,-13790.966 6251.772|-13786.247 6252.551|-13777.551 6255.564|-13777.600 6292.781|-13780.550 6291.569|-13783.437 6290.224|-13787.184 6288.500|-13791.015 6286.943
338 ROWLEY WY NW,-13653.400 6259.601|-13637.700 6260.034|-13636.469 6260.357|-13637.099 6262.658|-13646.088 6295.550|-13652.037 6294.060|-13658.077 6293.004
368 ROWLEY WY NW,-13737.300 6260.857|-13723.871 6258.733|-13723.920 6292.770|-13727.800 6293.626|-13731.645 6294.660|-13734.483 6295.428|-13737.342 6296.084
378 ROWLEY WY NW,-13777.551 6255.564|-13764.137 6260.212|-13764.185 6296.495|-13767.604 6295.806|-13770.980 6294.961|-13774.322 6293.949|-13777.600 6292.781
370 ROWLEY WY NW,-13750.722 6262.981|-13737.300 6260.857|-13737.342 6296.084|-13740.670 6296.684|-13744.018 6297.140|-13747.387 6297.429|-13750.764 6297.551
374 ROWLEY WY NW,-13764.137 6260.212|-13754.448 6263.559|-13750.722 6262.981|-13750.764 6297.551|-13754.133 6297.529|-13757.496 6297.340|-13760.851 6296.995|-13764.185 6296.495
50 ROWLEY GD NW,-13813.958 6297.618|-13810.455 6298.196|-13809.001 6298.508|-13804.220 6299.542|-13799.522 6300.909|-13794.930 6302.589|-13790.463 6304.579|-13785.660 6306.781|-13780.739 6308.682|-13778.872 6309.282|-13778.558 6315.387|-13820.256 6315.643|-13820.333 6303.078|-13820.214 6301.888|-13819.837 6300.765|-13819.229 6299.742|-13818.411 6298.863|-13817.432 6298.196|-13816.320 6297.752|-13815.146 6297.551
322 ROWLEY WY NW,-13600.371 6280.872|-13586.047 6289.156|-13602.510 6317.722|-13613.114 6311.584|-13601.105 6282.551
64 ROWLEY TC NW,-13704.962 6307.136|-13687.444 6307.659|-13685.606 6307.681|-13686.102 6318.022|-13727.339 6320.635|-13727.646 6314.642|-13727.555 6313.330|-13727.150 6312.073|-13726.465 6310.950|-13725.528 6310.027|-13724.529 6309.405|-13723.417 6309.016|-13718.859 6308.093|-13714.253 6307.481|-13709.611 6307.159
318 ROWLEY WY NW,-13586.047 6289.156|-13574.422 6295.872|-13590.885 6324.438|-13602.510 6317.722
67 ROWLEY PA NW,-13685.606 6307.681|-13685.046 6307.726|-13668.255 6308.159|-13662.607 6308.549|-13657.007 6309.371|-13651.492 6310.639|-13646.095 6312.329|-13644.781 6313.041|-13643.712 6314.086|-13642.999 6315.198|-13642.579 6316.466|-13642.467 6317.789|-13642.684 6319.090|-13644.418 6324.839|-13686.137 6318.823|-13686.102 6318.022
65 ROWLEY TC NW,-13749.079 6313.508|-13748.017 6313.575|-13746.982 6313.853|-13746.031 6314.320|-13745.178 6314.965|-13744.472 6315.754|-13743.934 6316.666|-13743.578 6317.667|-13743.424 6318.723|-13743.116 6324.805|-13777.999 6326.562|-13778.055 6325.350|-13778.558 6315.387|-13778.872 6309.282|-13778.299 6309.494|-13774.741 6310.539|-13771.148 6311.417|-13767.513 6312.162|-13763.857 6312.741|-13760.180 6313.163|-13756.482 6313.430|-13752.777 6313.552
46 ROWLEY GD NW,-13820.256 6315.643|-13778.558 6315.387|-13778.055 6325.350|-13819.976 6328.141|-13820.221 6321.392
314 ROWLEY WY NW,-13574.422 6295.872|-13562.797 6302.589|-13579.259 6331.154|-13590.885 6324.438
60 ROWLEY TC NW,-13726.807 6331.221|-13726.926 6329.753|-13727.339 6320.635|-13686.102 6318.022|-13686.137 6318.823|-13686.605 6327.707|-13686.612 6327.830|-13686.633 6329.186
399 ROWLEY WY NW,-13854.251 6298.296|-13852.867 6297.929|-13847.694 6296.695|-13842.444 6295.839|-13841.081 6295.872|-13839.767 6296.228|-13838.578 6296.906|-13837.599 6297.863|-13837.061 6298.619|-13836.663 6299.453|-13836.404 6300.342|-13836.306 6301.265|-13836.187 6321.492|-13836.055 6327.563|-13835.894 6329.375|-13838.285 6330.187|-13842.856 6331.699|-13844.233 6332.122
63 ROWLEY PA NW,-13686.633 6329.186|-13686.612 6327.830|-13686.605 6327.707|-13686.137 6318.823|-13644.418 6324.839|-13646.962 6333.145|-13647.354 6334.579|-13686.640 6329.309
403 ROWLEY WY NW,-13860.088 6300.298|-13857.194 6299.230|-13854.251 6298.296|-13844.233 6332.122|-13850.497 6334.223|-13851.874 6334.646|-13864.639 6302.099|-13863.303 6301.599
57 ROWLEY TC NW,-13777.999 6326.562|-13743.116 6324.805|-13742.592 6335.180|-13777.474 6336.948|-13777.607 6334.246
310 ROWLEY WY NW,-13579.259 6331.154|-13562.797 6302.589|-13551.172 6309.316|-13567.634 6337.871
407 ROWLEY WY NW,-13872.943 6305.357|-13871.608 6304.868|-13864.639 6302.099|-13851.874 6334.646|-13858.983 6337.026|-13860.291 6337.426|-13860.360 6337.459
56 ROWLEY TC NW,-13686.640 6329.309|-13687.039 6336.670|-13687.039 6336.781|-13687.060 6338.149|-13726.353 6340.139|-13726.479 6338.682|-13726.807 6331.221|-13686.633 6329.186
411 ROWLEY WY NW,-13872.943 6305.357|-13860.360 6337.459|-13867.211 6340.484|-13868.574 6341.051|-13869.301 6339.505|-13880.395 6310.917|-13881.283 6308.660|-13879.906 6308.126
42 ROWLEY GD NW,-13777.999 6326.562|-13777.607 6334.246|-13818.152 6342.174|-13819.284 6335.180|-13819.976 6328.141|-13778.055 6325.350
59 ROWLEY PA NW,-13686.640 6329.309|-13647.354 6334.579|-13647.710 6335.747|-13649.423 6341.829|-13649.730 6343.275|-13687.067 6338.260|-13687.060 6338.149|-13687.039 6336.781|-13687.039 6336.670
306 ROWLEY WY NW,-13551.172 6309.316|-13539.547 6316.032|-13556.009 6344.587|-13567.634 6337.871
53 ROWLEY TC NW,-13777.474 6336.948|-13742.592 6335.180|-13742.068 6345.565|-13776.950 6347.322|-13777.055 6345.243
66 ROWLEY PA NW,-13628.913 6328.708|-13628.381 6327.496|-13627.578 6326.462|-13626.543 6325.628|-13625.348 6325.083|-13624.229 6324.839|-13623.083 6324.839|-13621.957 6325.072|-13620.909 6325.539|-13597.484 6339.127|-13595.841 6340.028|-13598.462 6348.734|-13631.898 6338.616
52 ROWLEY TC NW,-13687.067 6338.260|-13687.465 6345.643|-13687.465 6345.743|-13687.493 6347.122|-13725.906 6349.068|-13726.024 6347.600|-13726.353 6340.139|-13687.060 6338.149
41 ROWLEY GD NW,-13844.233 6332.122|-13842.856 6331.699|-13838.285 6330.187|-13835.894 6329.375|-13835.901 6330.043|-13835.439 6334.779|-13834.803 6339.494|-13870.308 6349.068|-13872.552 6342.797|-13868.574 6341.051|-13867.211 6340.484|-13860.360 6337.459|-13860.291 6337.426|-13858.983 6337.026|-13851.874 6334.646|-13850.497 6334.223
302 ROWLEY WY NW,-13539.547 6316.032|-13526.446 6323.604|-13545.041 6351.181|-13550.291 6347.900|-13556.009 6344.587
55 ROWLEY PA NW,-13687.067 6338.260|-13649.730 6343.275|-13651.275 6350.591|-13651.485 6352.048|-13687.493 6347.222|-13687.493 6347.122|-13687.465 6345.743|-13687.465 6345.643
38 ROWLEY GD NW,-13777.474 6336.948|-13777.055 6345.243|-13815.510 6353.004|-13816.055 6350.992|-13817.194 6346.611|-13818.152 6342.174|-13777.607 6334.246
49 ROWLEY TC NW,-13776.950 6347.322|-13742.068 6345.565|-13741.543 6355.940|-13776.426 6357.708|-13776.496 6356.351
58 ROWLEY PA NW,-13600.923 6358.364|-13635.239 6351.826|-13633.981 6346.066|-13632.429 6340.373|-13631.898 6338.616|-13598.462 6348.734|-13598.994 6350.491|-13600.063 6354.405
48 ROWLEY TC NW,-13687.493 6347.222|-13687.891 6354.605|-13687.940 6355.695|-13687.919 6356.084|-13725.458 6357.986|-13725.570 6356.518|-13725.906 6349.068|-13687.493 6347.122
37 ROWLEY GD NW,-13867.456 6357.185|-13868.644 6353.794|-13869.182 6352.426|-13869.854 6350.525|-13870.308 6349.068|-13834.803 6339.494|-13834.622 6341.017|-13833.181 6348.312|-13867.337 6357.519
298 ROWLEY WY NW,-13526.446 6323.604|-13526.027 6323.849|-13514.493 6332.544|-13534.744 6358.909|-13540.658 6354.350|-13545.041 6351.181
51 ROWLEY PA NW,-13687.968 6357.185|-13687.919 6356.084|-13687.940 6355.695|-13687.891 6354.605|-13687.493 6347.222|-13651.485 6352.048|-13652.478 6359.087|-13652.590 6360.577
34 ROWLEY GD NW,-13776.950 6347.322|-13776.496 6356.351|-13813.000 6363.712|-13814.167 6358.331|-13815.510 6353.004|-13777.055 6345.243
28 ROWLEY CM NW,-13868.644 6353.794|-13901.590 6365.425|-13902.122 6364.057|-13904.911 6356.229|-13905.079 6355.584|-13902.849 6354.795|-13893.453 6351.014|-13892.097 6350.480|-13885.149 6347.745|-13883.800 6347.211|-13876.851 6344.465|-13875.460 6344.075|-13874.209 6343.586|-13872.552 6342.797|-13870.308 6349.068|-13869.854 6350.525|-13869.182 6352.426
294 ROWLEY WY NW,-13514.493 6332.544|-13503.769 6340.628|-13524.105 6367.104|-13534.744 6358.909
44 ROWLEY TC NW,-13687.968 6357.185|-13688.318 6363.568|-13688.346 6365.058|-13725.004 6366.915|-13725.123 6365.447|-13725.458 6357.986|-13687.919 6356.084
50 ROWLEY PA NW,-13635.239 6351.826|-13600.923 6358.364|-13601.363 6360.910|-13601.811 6364.268|-13602.111 6367.649|-13637.050 6366.804|-13636.784 6363.034|-13636.393 6359.287|-13635.875 6355.551
45 ROWLEY RI NW,-13595.841 6340.028|-13595.351 6340.361|-13567.173 6356.596|-13566.439 6357.107|-13565.789 6357.730|-13565.257 6358.453|-13564.845 6359.253|-13564.572 6360.110|-13564.440 6360.999|-13564.461 6361.900|-13564.621 6362.789|-13565.978 6368.627|-13601.363 6360.910|-13600.923 6358.364|-13600.063 6354.405|-13598.994 6350.491|-13598.462 6348.734
33 ROWLEY GD NW,-13831.427 6355.328|-13831.014 6357.018|-13830.588 6358.431|-13864.317 6367.537|-13864.730 6366.125|-13865.380 6363.635|-13865.848 6362.245|-13866.890 6358.975|-13867.337 6357.519|-13833.181 6348.312|-13832.895 6349.802
45 ROWLEY TC NW,-13776.426 6357.708|-13741.543 6355.940|-13741.019 6366.314|-13775.902 6368.082
47 ROWLEY PA NW,-13687.968 6357.185|-13652.590 6360.577|-13653.100 6367.382|-13653.107 6368.850|-13688.486 6367.993|-13688.458 6366.537|-13688.346 6365.058|-13688.318 6363.568
24 ROWLEY CM NW,-13867.456 6357.185|-13867.337 6357.519|-13866.890 6358.975|-13865.848 6362.245|-13865.380 6363.635|-13898.920 6373.420|-13899.374 6372.041|-13900.402 6368.805|-13901.590 6365.425|-13868.644 6353.794
30 ROWLEY GD NW,-13776.426 6357.708|-13775.902 6368.082|-13775.853 6369.061|-13811.245 6374.009|-13812.049 6368.850|-13813.000 6363.712|-13776.496 6356.351
290 ROWLEY WY NW,-13503.769 6340.628|-13493.046 6348.712|-13513.465 6375.299|-13524.105 6367.104
40 ROWLEY TC NW,-13724.556 6375.833|-13724.668 6374.365|-13725.004 6366.915|-13688.346 6365.058|-13688.458 6366.537|-13688.486 6367.993|-13688.744 6372.541|-13688.772 6374.020
29 ROWLEY GD NW,-13864.317 6367.537|-13830.588 6358.431|-13829.498 6363.023|-13828.540 6367.649|-13828.225 6369.072|-13862.562 6375.488|-13862.723 6374.643|-13862.870 6374.065
43 ROWLEY PA NW,-13688.486 6367.993|-13653.107 6368.850|-13653.135 6369.672|-13653.331 6376.311|-13653.324 6377.779|-13688.912 6376.922|-13688.884 6375.455|-13688.772 6374.020|-13688.744 6372.541
41 ROWLEY RI NW,-13602.363 6375.388|-13602.258 6370.896|-13602.111 6367.649|-13601.811 6364.268|-13601.363 6360.910|-13565.978 6368.627|-13566.795 6373.464|-13567.341 6378.334
27 ROWLEY CM NW,-13919.933 6361.422|-13918.291 6366.214|-13917.766 6367.582|-13949.391 6376.956|-13949.908 6375.588|-13952.474 6368.238|-13920.856 6358.864|-13920.367 6360.321
42 ROWLEY PA NW,-13637.050 6366.804|-13602.111 6367.649|-13602.258 6370.896|-13602.363 6375.388|-13602.440 6378.635|-13637.357 6377.790|-13637.176 6370.050
