ADDRESS,POINTS
755Q 8835 MACLEOD TR SW,-141.437 -8228.887|-136.488 -8229.421|-135.195 -8229.565|-120.333 -8231.144|-115.461 -8231.667|-112.413 -8231.989|-41.760 -8239.584|-41.746 -8221.748|-41.599 -8130.769|-41.557 -8101.513|-41.592 -8094.564|-41.529 -8080.075|-41.495 -8034.997|-45.996 -8030.471|-48.737 -8030.371|-51.456 -8030.059|-54.147 -8029.570|-56.797 -8028.870|-57.111 -8028.781|-60.404 -8028.770|-60.942 -8028.770|-89.994 -8028.736|-89.973 -8010.467|-96.041 -7998.269|-105.115 -7998.247|-109.519 -7998.247|-109.498 -8020.308|-109.484 -8030.215|-118.152 -8030.215|-118.152 -8031.416|-143.884 -8031.394|-143.891 -8033.996|-155.586 -8033.985|-155.593 -8047.884|-155.607 -8067.388|-159.361 -8067.388|-159.368 -8079.897|-159.382 -8102.481|-166.778 -8102.470|-166.785 -8111.565|-159.431 -8111.576|-159.466 -8165.806|-159.473 -8180.373|-152.356 -8180.373|-152.356 -8182.330|-148.015 -8182.341|-148.036 -8203.724|-152.363 -8203.724|-152.363 -8204.825|-155.523 -8204.825|-155.523 -8205.025|-159.298 -8205.025|-159.298 -8204.813|-159.480 -8204.813|-159.487 -8226.963|-153.468 -8227.586
757Q 8835 MACLEOD TR SW,-141.437 -8228.887|-136.488 -8229.421|-135.195 -8229.565|-120.333 -8231.144|-115.461 -8231.667|-112.413 -8231.989|-41.760 -8239.584|-41.746 -8221.748|-41.599 -8130.769|-41.557 -8101.513|-41.592 -8094.564|-41.529 -8080.075|-41.495 -8034.997|-45.996 -8030.471|-48.737 -8030.371|-51.456 -8030.059|-54.147 -8029.570|-56.797 -8028.870|-57.111 -8028.781|-60.404 -8028.770|-60.942 -8028.770|-89.994 -8028.736|-89.973 -8010.467|-96.041 -7998.269|-105.115 -7998.247|-109.519 -7998.247|-109.498 -8020.308|-109.484 -8030.215|-118.152 -8030.215|-118.152 -8031.416|-143.884 -8031.394|-143.891 -8033.996|-155.586 -8033.985|-155.593 -8047.884|-155.607 -8067.388|-159.361 -8067.388|-159.368 -8079.897|-159.382 -8102.481|-166.778 -8102.470|-166.785 -8111.565|-159.431 -8111.576|-159.466 -8165.806|-159.473 -8180.373|-152.356 -8180.373|-152.356 -8182.330|-148.015 -8182.341|-148.036 -8203.724|-152.363 -8203.724|-152.363 -8204.825|-155.523 -8204.825|-155.523 -8205.025|-159.298 -8205.025|-159.298 -8204.813|-159.480 -8204.813|-159.487 -8226.963|-153.468 -8227.586
759Q 8835 MACLEOD TR SW,-141.437 -8228.887|-136.488 -8229.421|-135.195 -8229.565|-120.333 -8231.144|-115.461 -8231.667|-112.413 -8231.989|-41.760 -8239.584|-41.746 -8221.748|-41.599 -8130.769|-41.557 -8101.513|-41.592 -8094.564|-41.529 -8080.075|-41.495 -8034.997|-45.996 -8030.471|-48.737 -8030.371|-51.456 -8030.059|-54.147 -8029.570|-56.797 -8028.870|-57.111 -8028.781|-60.404 -8028.770|-60.942 -8028.770|-89.994 -8028.736|-89.973 -8010.467|-96.041 -7998.269|-105.115 -7998.247|-109.519 -7998.247|-109.498 -8020.308|-109.484 -8030.215|-118.152 -8030.215|-118.152 -8031.416|-143.884 -8031.394|-143.891 -8033.996|-155.586 -8033.985|-155.593 -8047.884|-155.607 -8067.388|-159.361 -8067.388|-159.368 -8079.897|-159.382 -8102.481|-166.778 -8102.470|-166.785 -8111.565|-159.431 -8111.576|-159.466 -8165.806|-159.473 -8180.373|-152.356 -8180.373|-152.356 -8182.330|-148.015 -8182.341|-148.036 -8203.724|-152.363 -8203.724|-152.363 -8204.825|-155.523 -8204.825|-155.523 -8205.025|-159.298 -8205.025|-159.298 -8204.813|-159.480 -8204.813|-159.487 -8226.963|-153.468 -8227.586
8740 HORTON RD SW,-155.593 -8047.884|-202.401 -8037.654|-206.840 -8058.092|-216.487 -8102.436|-166.778 -8102.470|-159.382 -8102.481|-159.368 -8079.897|-159.361 -8067.388|-155.607 -8067.388
8850 HORTON RD SW,-166.778 -8102.470|-216.487 -8102.436|-227.050 -8151.040|-159.466 -8165.806|-159.431 -8111.576|-166.785 -8111.565
2101 8710 HORTON RD SW,-118.718 -7998.235|-191.944 -7998.135|-193.803 -7998.135|-202.401 -8037.654|-155.593 -8047.884|-155.586 -8033.985|-143.891 -8033.996|-143.884 -8031.394|-118.152 -8031.416|-118.152 -8030.215|-109.484 -8030.215|-109.519 -7998.247
2111 8710 HORTON RD SW,-118.718 -7998.235|-191.944 -7998.135|-193.803 -7998.135|-202.401 -8037.654|-155.593 -8047.884|-155.586 -8033.985|-143.891 -8033.996|-143.884 -8031.394|-118.152 -8031.416|-118.152 -8030.215|-109.484 -8030.215|-109.519 -7998.247
2112 8710 HORTON RD SW,-118.718 -7998.235|-191.944 -7998.135|-193.803 -7998.135|-202.401 -8037.654|-155.593 -8047.884|-155.586 -8033.985|-143.891 -8033.996|-143.884 -8031.394|-118.152 -8031.416|-118.152 -8030.215|-109.484 -8030.215|-109.519 -7998.247
2102 8710 HORTON RD SW,-118.718 -7998.235|-191.944 -7998.135|-193.803 -7998.135|-202.401 -8037.654|-155.593 -8047.884|-155.586 -8033.985|-143.891 -8033.996|-143.884 -8031.394|-118.152 -8031.416|-118.152 -8030.215|-109.484 -8030.215|-109.519 -7998.247
2104 8710 HORTON RD SW,-118.718 -7998.235|-191.944 -7998.135|-193.803 -7998.135|-202.401 -8037.654|-155.593 -8047.884|-155.586 -8033.985|-143.891 -8033.996|-143.884 -8031.394|-118.152 -8031.416|-118.152 -8030.215|-109.484 -8030.215|-109.519 -7998.247
