ADDRESS,POINTS
9600 SOUTHLAND CI SW,-181.891 -8982.900|-175.879 -8976.873|-168.050 -8969.045|-142.080 -8943.037|-158.375 -8926.613|-141.109 -8909.322|-232.796 -8909.200|-232.845 -8926.891|-232.705 -8944.571|-232.460 -8959.527|-205.086 -8959.582|-201.828 -8962.851
101 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
102 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
103 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
201 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
202 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
203 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
204 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
205 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
301 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
302 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
303 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
304 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
305 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
306 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
307 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
308 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
309 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
310 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
311 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
312 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
313 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
315 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
316 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
401 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
402 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
403 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
404 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
