ADDRESS,POINTS
604 84 AV SW,-404.146 -7836.313|-389.795 -7839.305|-383.643 -7809.471|-397.995 -7806.480
20 HAULTAIN PL SW,-383.308 -8148.982|-386.803 -8146.970|-390.466 -8145.302|-394.283 -8144.012|-398.205 -8143.089|-405.656 -8179.194|-389.907 -8180.873
827 94 AV SW,-882.847 -8645.868|-898.003 -8645.868|-898.017 -8676.324|-882.854 -8676.324
608 84 AV SW,-397.995 -7806.480|-412.255 -7803.522|-418.407 -7833.356|-404.146 -7836.313
24 HAULTAIN PL SW,-413.800 -8140.621|-426.404 -8138.630|-431.885 -8142.377|-438.672 -8175.669|-421.413 -8177.515
612 84 AV SW,-412.255 -7803.522|-426.516 -7800.564|-432.668 -7830.398|-418.407 -7833.356
2 HARVEY PL SW,-384.678 -7999.270|-401.602 -7995.756|-407.747 -8025.589|-404.244 -8030.982|-391.766 -8033.573
6 HAULTAIN PL SW,-395.115 -8128.100|-390.976 -8128.367|-386.838 -8128.200|-382.735 -8127.633|-378.708 -8126.655|-372.277 -8095.153|-387.705 -8091.962
9614 ELBOW DR SW,-899.869 -8685.465|-916.926 -8685.453|-918.065 -8715.899|-899.869 -8715.910
4 HARCOURT RD SW,-1064.635 -7652.619|-1064.628 -7635.862|-1094.966 -7635.851|-1094.973 -7652.608
616 84 AV SW,-426.516 -7800.564|-440.777 -7797.595|-446.921 -7827.429|-432.668 -7830.398
4 HARVEY PL SW,-369.236 -8002.483|-384.678 -7999.270|-391.766 -8033.573|-376.856 -8036.676|-376.317 -8036.787
4 HOOVER PL SW,-941.379 -8174.101|-924.699 -8174.424|-923.986 -8157.889|-922.791 -8141.377|-941.400 -8141.377
6 HARCOURT RD SW,-1064.635 -7652.619|-1094.973 -7652.608|-1094.973 -7669.354|-1064.642 -7669.365
8903 ELBOW DR SW,-936.443 -8132.236|-921.924 -8132.248|-920.142 -8116.992|-917.947 -8101.780|-936.457 -8101.780
620 84 AV SW,-440.777 -7797.595|-455.030 -7794.638|-461.182 -7824.471|-446.921 -7827.429
216 HAYSBORO CR SW,-1513.696 -7654.065|-1547.117 -7654.087|-1547.110 -7670.822|-1513.668 -7670.811
8303 11 ST SW,-1288.505 -7653.553|-1288.505 -7640.377|-1293.049 -7635.807|-1318.836 -7635.796|-1318.836 -7653.542
8 HOOVER PL SW,-941.400 -8141.377|-956.870 -8141.366|-956.849 -8173.812|-941.379 -8174.101
624 84 AV SW,-455.030 -7794.638|-469.291 -7791.669|-475.442 -7821.513|-461.182 -7824.471
220 HAYSBORO CR SW,-1513.696 -7654.065|-1513.717 -7635.807|-1542.581 -7635.807|-1547.124 -7640.388|-1547.117 -7654.087
8307 11 ST SW,-1288.505 -7653.553|-1318.836 -7653.542|-1318.843 -7670.288|-1288.505 -7670.311
628 84 AV SW,-469.291 -7791.669|-483.551 -7788.711|-489.696 -7818.544|-475.442 -7821.513
27 HADDON RD SW,-386.558 -7751.005|-372.200 -7753.985|-366.062 -7724.151|-380.421 -7721.171
7 HAYSBORO CR SW,-1471.187 -7656.645|-1504.587 -7656.645|-1504.566 -7674.925|-1471.173 -7674.914
836 94 AV SW,-880.296 -8595.297|-896.975 -8595.297|-896.982 -8625.753|-880.303 -8625.764
632 84 AV SW,-483.551 -7788.711|-497.805 -7785.753|-503.957 -7815.587|-489.696 -7818.544
715 HERITAGE DR SW,-592.617 -7643.613|-592.617 -7626.867|-618.391 -7626.856|-622.934 -7631.426|-622.941 -7643.613
9711 ELBOW DR SW,-947.348 -8863.187|-983.748 -8863.187|-983.755 -8878.421|-947.348 -8878.421
9430 ELBOW DR SW,-896.975 -8595.297|-913.557 -8595.286|-914.696 -8625.753|-896.982 -8625.753
8 HEALY DR SW,-592.617 -7643.613|-622.941 -7643.613|-622.941 -7658.835|-592.617 -7658.835
16 HAULTAIN PL SW,-338.450 -8186.366|-335.815 -8184.465|-361.365 -8152.229|-363.308 -8153.408|-365.412 -8154.275|-367.621 -8154.809|-369.886 -8155.020|-367.083 -8183.308|-345.993 -8185.554
9715 ELBOW DR SW,-947.348 -8878.421|-983.755 -8878.421|-983.755 -8893.644|-947.348 -8893.644
18 HAULTAIN PL SW,-369.886 -8155.020|-372.508 -8154.831|-375.052 -8154.186|-377.457 -8153.108|-379.631 -8151.640|-381.434 -8150.261|-383.308 -8148.982|-389.907 -8180.873|-367.083 -8183.308
3 HOOVER PL SW,-941.973 -8224.973|-926.174 -8224.973|-925.287 -8194.517|-941.966 -8194.205
9719 ELBOW DR SW,-947.348 -8893.644|-983.755 -8893.644|-983.762 -8908.877|-947.355 -8908.877
6 HARVEY PL SW,-353.801 -8005.686|-369.236 -8002.483|-376.317 -8036.787|-372.298 -8037.365|-368.250 -8037.543|-364.196 -8037.321|-360.190 -8036.709
604 86 AV SW,-441.119 -8006.586|-424.978 -8009.933|-418.826 -7980.100|-434.967 -7976.753
7 HOOVER PL SW,-941.966 -8194.205|-957.436 -8193.905|-957.436 -8224.962|-941.973 -8224.973
9723 ELBOW DR SW,-947.355 -8908.877|-983.762 -8908.877|-983.769 -8924.111|-947.355 -8924.100
10 HARVEY PL SW,-301.610 -8038.288|-298.052 -8021.920|-301.533 -8016.538|-326.776 -8011.301|-342.428 -8037.120|-341.197 -8038.010|-340.058 -8039.022|-339.030 -8040.134|-338.114 -8041.357|-337.331 -8042.658|-336.674 -8044.026|-336.164 -8045.460|-335.794 -8046.939
9727 ELBOW DR SW,-947.355 -8924.100|-983.769 -8924.111|-983.769 -8939.334|-947.355 -8939.334
12 HARVEY PL SW,-310.677 -8079.953|-301.610 -8038.288|-335.794 -8046.939|-335.577 -8048.440|-335.507 -8049.963|-335.584 -8051.487|-335.822 -8052.988|-336.199 -8054.456|-336.723 -8055.890|-337.394 -8057.258|-338.191 -8058.548
9731 ELBOW DR SW,-947.355 -8939.334|-983.769 -8939.334|-983.776 -8954.567|-947.355 -8954.556
14 HARVEY PL SW,-310.677 -8079.953|-338.191 -8058.548|-339.107 -8059.760|-340.149 -8060.872|-341.288 -8061.872|-342.525 -8062.751|-343.847 -8063.496|-345.231 -8064.118|-346.671 -8064.597|-348.153 -8064.919|-344.895 -8094.619|-319.660 -8099.857|-314.235 -8096.309
9735 ELBOW DR SW,-947.355 -8954.556|-983.776 -8954.567|-983.776 -8969.801|-947.362 -8969.790
16 HARVEY PL SW,-348.153 -8064.919|-349.837 -8065.108|-351.536 -8065.108|-353.221 -8064.919|-354.871 -8064.530|-356.471 -8063.974|-357.995 -8063.240|-359.435 -8062.328|-360.757 -8061.272|-362.644 -8059.682|-364.615 -8058.214|-371.019 -8089.193|-344.895 -8094.619
8 HAYSBORO CR SW,-1420.807 -7655.121|-1454.200 -7655.121|-1454.186 -7673.391|-1420.800 -7673.402
9737 ELBOW DR SW,-947.362 -8969.790|-983.776 -8969.801|-983.783 -8985.024|-947.362 -8985.013
18 HARVEY PL SW,-364.615 -8058.214|-368.048 -8056.057|-371.676 -8054.233|-375.465 -8052.788|-379.379 -8051.709|-386.454 -8085.991|-371.019 -8089.193
9743 ELBOW DR SW,-947.362 -8985.013|-983.783 -8985.024|-983.790 -9000.257|-947.362 -9000.246
1004 96 AV SW,-945.727 -8807.223|-981.140 -8780.603|-988.676 -8781.470|-979.924 -8811.126
22 HAULTAIN PL SW,-398.205 -8143.089|-399.239 -8142.911|-413.800 -8140.621|-421.413 -8177.515|-405.656 -8179.194
9747 ELBOW DR SW,-947.362 -9000.246|-983.790 -9000.257|-983.790 -9015.491|-947.362 -9015.469
8 HARVEY PL SW,-326.776 -8011.301|-353.801 -8005.686|-360.190 -8036.709|-357.793 -8036.142|-355.437 -8035.441|-353.801 -8034.997|-352.123 -8034.741|-350.432 -8034.674|-348.740 -8034.796|-347.076 -8035.108|-345.454 -8035.597|-343.896 -8036.275|-342.428 -8037.120
8304 11 ST SW,-1238.145 -7644.969|-1238.145 -7626.689|-1268.477 -7626.678|-1268.484 -7644.958
9751 ELBOW DR SW,-947.362 -9015.469|-983.790 -9015.491|-983.797 -9030.714|-947.369 -9030.703
64 HEALY DR SW,-465.977 -7703.402|-480.238 -7700.444|-486.375 -7730.278|-472.115 -7733.236
20 HARVEY PL SW,-379.379 -8051.709|-379.910 -8051.598|-394.821 -8048.496|-401.896 -8082.788|-386.454 -8085.991
8308 11 ST SW,-1238.145 -7644.969|-1268.484 -7644.958|-1268.491 -7661.704|-1238.152 -7661.715
9755 ELBOW DR SW,-947.369 -9030.703|-983.797 -9030.714|-983.804 -9045.947|-947.369 -9045.925
9423 ELBOW DR SW,-937.059 -8575.482|-936.373 -8557.224|-972.948 -8561.404|-973.633 -8579.663
68 HEALY DR SW,-451.717 -7706.371|-465.977 -7703.402|-472.115 -7733.236|-457.854 -7736.194
100 HADDON RD SW,-394.821 -8048.496|-407.285 -8045.905|-412.668 -8049.452|-418.812 -8079.285|-401.896 -8082.788
904 87 AV SW,-934.472 -8081.320|-929.544 -8081.587|-924.608 -8081.676|-914.409 -8081.698|-913.305 -8076.172|-909.187 -8056.201|-928.488 -8052.187
9803 ELBOW DR SW,-947.369 -9045.925|-983.804 -9045.947|-983.804 -9061.181|-947.369 -9061.159
9427 ELBOW DR SW,-937.848 -8596.798|-937.059 -8575.482|-973.633 -8579.663|-974.094 -8591.861
72 HEALY DR SW,-437.456 -7709.329|-451.717 -7706.371|-457.854 -7736.194|-443.601 -7739.162
2 HARMON PL SW,-366.230 -7909.791|-383.154 -7906.277|-389.306 -7936.100|-385.769 -7941.504|-373.297 -7944.095
908 87 AV SW,-928.488 -8052.187|-946.314 -8048.484|-952.535 -8078.807|-948.055 -8079.652|-943.546 -8080.364|-939.016 -8080.920|-934.472 -8081.320
608 86 AV SW,-434.967 -7976.753|-451.304 -7973.361|-457.456 -8003.184|-441.119 -8006.586
124 HAVERHILL RD SW,-909.418 -7967.179|-925.958 -7963.743|-934.227 -7992.731|-929.096 -7994.099|-923.909 -7995.278|-915.570 -7997.012
9712 ELBOW DR SW,-889.775 -8886.583|-889.768 -8868.302|-923.126 -8868.302|-923.133 -8886.583
