ADDRESS,POINTS
3424 CENTRE ST NE,672.443 3892.394|672.443 3893.528|672.464 3901.145|672.478 3908.762|636.002 3908.795|635.988 3901.190|635.974 3893.573|635.967 3892.427
208 44 AV NW,507.237 5018.954|493.116 5031.475|472.991 5008.658|487.111 4996.148
3511 CENTRE ST NW,614.058 3969.741|579.721 3969.775|579.714 3962.158|579.700 3954.541|616.191 3954.519|616.198 3962.124|616.205 3969.741
212 44 AV NW,493.116 5031.475|478.995 5043.984|458.870 5021.178|472.991 5008.658
3515 CENTRE ST NW,614.072 3992.592|579.749 3992.614|579.742 3984.997|579.735 3977.391|579.721 3969.775|614.058 3969.741|614.065 3977.358|614.065 3984.975
216 44 AV NW,478.995 5043.984|471.641 5050.233|464.029 5056.160|445.896 5031.731|452.495 5026.593|458.870 5021.178
3519 CENTRE ST NW,614.086 4015.431|579.777 4015.465|579.770 4007.848|579.763 4000.231|579.749 3992.614|614.072 3992.592|614.079 4000.209|614.079 4007.825
220 44 AV NW,464.029 5056.160|456.179 5061.764|448.091 5067.024|432.068 5041.138|439.080 5036.579|445.896 5031.731
3603 CENTRE ST NW,614.100 4038.282|579.805 4038.304|579.798 4030.687|579.784 4023.070|579.777 4015.465|614.086 4015.431|614.086 4023.048|614.093 4030.665
4018 CENTRE A ST NE,764.081 4498.918|734.742 4498.929|734.770 4490.100|764.088 4490.089
224 44 AV NW,448.091 5067.024|439.793 5071.950|431.299 5076.509|417.514 5049.355|424.875 5045.408|432.068 5041.138
3611 CENTRE ST NW,616.295 4053.515|579.826 4053.527|579.819 4045.921|579.805 4038.304|614.100 4038.282|616.281 4038.282|616.288 4045.899
4115 CENTRE ST NW,614.625 4601.295|575.122 4601.284|575.108 4586.072|614.611 4586.084
228 44 AV NW,431.299 5076.509|422.617 5080.712|413.760 5084.548|402.310 5056.316|409.985 5052.991|417.514 5049.355
3418 CENTRE ST NE,672.443 3892.394|635.967 3892.427|635.953 3885.956|635.939 3878.350|635.939 3875.982|672.408 3875.948|672.415 3878.306|672.429 3885.922
4119 CENTRE ST NW,614.625 4601.295|614.632 4616.629|575.128 4616.618|575.122 4601.284
232 44 AV NW,413.760 5084.548|404.757 5087.995|395.613 5091.064|386.574 5061.964|394.502 5059.307|402.310 5056.316
3504 CENTRE ST NE,672.709 3938.040|636.239 3938.062|636.232 3931.646|636.225 3924.029|672.695 3923.996|672.702 3931.612
3820 CENTRE A ST NE,763.962 4301.880|734.637 4301.936|734.637 4283.667|763.962 4283.622
3508 CENTRE ST NE,672.723 3952.361|636.253 3952.373|636.246 3946.880|636.239 3939.263|636.239 3938.062|672.709 3938.040|672.709 3939.229|672.723 3946.857
3824 CENTRE A ST NE,763.969 4320.150|734.644 4320.194|734.637 4301.936|763.962 4301.880
3512 CENTRE ST NE,672.737 3966.672|636.267 3966.694|636.260 3962.113|636.253 3954.496|636.253 3952.373|672.723 3952.361|672.730 3954.474|672.737 3962.091
128 40 AV NW,528.614 4573.941|508.251 4573.930|508.237 4537.369|528.593 4537.369
3908 CENTRE A ST NE,764.347 4386.011|735.008 4386.033|735.036 4371.122|764.375 4371.099
3516 CENTRE ST NE,672.751 3980.983|636.281 3981.005|636.274 3977.347|636.267 3969.730|636.267 3966.694|672.737 3966.672|672.744 3969.708|672.751 3977.325
130 40 AV NW,508.251 4573.930|493.060 4573.930|493.046 4537.358|508.237 4537.369
3908 CENTRE A ST NE,764.312 4400.922|734.973 4400.944|735.008 4386.033|764.347 4386.011
3520 CENTRE ST NE,672.764 3995.305|636.295 3995.327|636.295 3992.581|636.281 3984.964|636.281 3981.005|672.751 3980.983|672.757 3984.942|672.764 3992.558
134 40 AV NW,493.060 4573.930|477.870 4573.930|477.856 4537.358|493.046 4537.358
3524 CENTRE ST NE,672.785 4009.616|636.309 4009.638|636.309 4007.814|636.302 4000.197|636.295 3995.327|672.764 3995.305|672.771 4000.175|672.778 4007.792
138 40 AV NW,477.870 4573.930|462.673 4573.919|462.666 4537.358|477.856 4537.358
3908 CENTRE ST NE,673.324 4393.427|636.833 4393.461|636.833 4385.844|636.840 4378.227|636.840 4370.610|636.840 4363.004|636.847 4355.387|673.338 4355.354|673.331 4362.971|673.331 4370.577|673.331 4378.194|673.331 4385.810
3604 CENTRE ST NE,672.799 4023.938|636.323 4023.949|636.323 4023.048|636.316 4015.431|636.309 4009.638|672.785 4009.616|672.785 4015.409|672.799 4023.026
3914 CENTRE ST NE,673.324 4408.650|636.833 4408.683|636.833 4401.066|636.833 4393.461|673.324 4393.427|673.324 4401.033
4507 CENTRE ST NW,613.443 4968.149|583.056 4968.149|583.042 4951.403|613.429 4951.403
3608 CENTRE ST NE,672.813 4038.259|636.337 4038.282|636.330 4030.665|636.323 4023.949|672.799 4023.938|672.806 4030.643
4511 CENTRE ST NW,613.464 4984.906|583.070 4984.906|583.056 4968.149|613.443 4968.149
3612 CENTRE ST NE,672.827 4053.493|636.351 4053.504|636.344 4045.887|636.337 4038.282|672.813 4038.259|672.820 4045.876
4515 CENTRE ST NW,613.478 5001.652|583.084 5001.652|583.070 4984.906|613.464 4984.906
3616 CENTRE ST NE,641.538 4068.738|636.365 4068.738|636.358 4061.121|636.351 4053.504|672.827 4053.493|672.834 4061.110|672.841 4068.727
4519 CENTRE ST NW,613.478 5001.652|613.499 5018.409|583.098 5018.409|583.084 5001.652
4012 CENTRE ST NE,673.310 4469.562|636.812 4469.607|636.812 4461.990|636.819 4454.373|673.310 4454.329|673.310 4461.946
104 44 AV NW,613.429 4951.403|583.042 4951.403|583.028 4934.657|613.408 4934.657
4016 CENTRE ST NE,673.303 4484.785|636.812 4484.829|636.812 4477.213|636.812 4469.607|673.310 4469.562|673.310 4477.168
115 41 AV NW,553.835 4580.046|565.992 4580.046|569.026 4583.092|569.054 4616.618|553.856 4616.607
4020 CENTRE ST NE,673.303 4500.019|636.805 4500.063|636.805 4492.446|636.812 4484.829|673.303 4484.785|673.303 4492.402
4024 CENTRE ST NE,673.303 4500.019|673.303 4507.624|673.296 4517.321|636.798 4517.332|636.805 4507.680|636.805 4500.063
3904 CENTRE A ST NE,764.375 4371.099|735.036 4371.122|735.064 4355.298|764.410 4355.276
3916 CENTRE A ST NE,764.137 4423.750|734.931 4423.761|734.959 4408.550|734.973 4400.944|764.312 4400.922|764.256 4408.527
135 41 AV NW,493.081 4616.595|477.884 4616.584|477.870 4580.023|493.060 4580.023
4004 CENTRE A ST NE,764.123 4445.967|734.889 4445.978|734.910 4428.354|734.931 4423.761|764.137 4423.750
139 41 AV NW,477.884 4616.584|462.694 4616.584|462.680 4580.012|477.870 4580.023
4008 CENTRE A ST NE,764.109 4463.613|734.840 4463.636|734.889 4445.978|764.123 4445.967
4415 CENTRE ST NW,595.107 4884.097|613.359 4884.097|613.387 4914.553|595.156 4914.553
4012 CENTRE A ST NE,764.095 4481.260|734.791 4481.282|734.840 4463.636|764.109 4463.613
107 44 AV NW,595.156 4914.553|576.918 4914.553|576.862 4884.086|595.107 4884.097
4016 CENTRE A ST NE,764.088 4490.089|734.770 4490.100|734.791 4481.282|764.095 4481.260
204 44 AV NW,487.111 4996.148|501.211 4983.650|521.337 5006.467|507.237 5018.954
4020 CENTRE A ST NE,764.039 4517.298|734.693 4517.309|734.742 4498.929|764.081 4498.918
112 44 AV NW,548.159 4942.041|550.221 4940.373|552.437 4938.894|554.772 4937.615|557.212 4936.570|559.742 4935.736|562.329 4935.136|564.964 4934.780|567.628 4934.657|576.953 4934.657|576.981 4966.682|566.230 4966.682
1 HIGHLAND PL NW,26.544 5192.752|6.782 5192.963|6.404 5157.314|26.159 5157.103
116 44 AV NW,566.230 4966.682|553.220 4978.201|533.102 4955.384|548.159 4942.041
5 HIGHLAND PL NW,46.271 5187.437|44.293 5187.748|42.370 5188.326|30.724 5192.707|26.544 5192.752|26.159 5157.103|42.874 5156.925|45.907 5156.892
120 44 AV NW,553.220 4978.201|539.561 4990.310|519.435 4967.504|533.102 4955.384
11 HIGHLAND PL NW,93.792 5158.682|58.728 5192.085|57.477 5190.906|56.100 5189.883|54.611 5189.016|53.038 5188.326|51.395 5187.815|49.703 5187.492|47.991 5187.370|46.271 5187.437|45.907 5156.892|91.492 5156.413
124 44 AV NW,539.561 4990.310|525.895 5002.431|505.769 4979.614|519.435 4967.504
13 HIGHLAND PL NW,96.560 5202.059|62.922 5202.437|62.845 5201.003|62.629 5199.590|62.286 5198.212|61.811 5196.866|61.210 5195.565|60.497 5194.331|59.665 5193.163|58.728 5192.085|93.792 5158.682|96.099 5160.939
2 HIGHLAND PL NW,27.131 5248.505|7.369 5248.716|6.991 5213.067|26.761 5212.856
