ADDRESS,POINTS
6601 HUNTSBAY RD NW,-717.991 6803.477|-717.970 6803.366|-712.692 6798.440|-702.864 6797.851|-693.021 6797.717|-683.185 6798.029|-684.961 6808.892
6603 HUNTSBAY RD NW,-684.961 6808.892|-685.793 6814.007|-718.823 6808.592|-717.991 6803.477
6605 HUNTSBAY RD NW,-685.793 6814.007|-686.632 6819.111|-719.662 6813.696|-718.823 6808.592
6607 HUNTSBAY RD NW,-686.632 6819.111|-687.471 6824.215|-720.494 6818.811|-719.662 6813.696
6609 HUNTSBAY RD NW,-687.471 6824.215|-688.302 6829.330|-721.325 6823.915|-720.494 6818.811
6611 HUNTSBAY RD NW,-688.302 6829.330|-689.141 6834.434|-722.164 6829.030|-721.325 6823.915
6613 HUNTSBAY RD NW,-689.141 6834.434|-689.973 6839.538|-722.996 6834.134|-722.164 6829.030
6615 HUNTSBAY RD NW,-689.973 6839.538|-690.805 6844.653|-723.835 6839.249|-722.996 6834.134
6617 HUNTSBAY RD NW,-690.805 6844.653|-691.986 6851.869|-725.016 6846.465|-723.835 6839.249
6619 HUNTSBAY RD NW,-691.986 6851.869|-693.168 6859.086|-726.198 6853.682|-725.016 6846.465
6621 HUNTSBAY RD NW,-693.168 6859.086|-694.007 6864.201|-727.030 6858.797|-726.198 6853.682
6623 HUNTSBAY RD NW,-694.007 6864.201|-694.838 6869.305|-727.861 6863.900|-727.030 6858.797
6625 HUNTSBAY RD NW,-694.838 6869.305|-695.677 6874.420|-728.700 6869.015|-727.861 6863.900
6627 HUNTSBAY RD NW,-695.677 6874.420|-696.509 6879.523|-729.532 6874.119|-728.700 6869.015
6629 HUNTSBAY RD NW,-696.509 6879.523|-697.348 6884.627|-730.371 6879.223|-729.532 6874.119
95 HUNTERHORN DR NE,1256.602 7439.835|1242.691 7452.333|1237.036 7446.150|1231.255 7440.079|1225.348 7434.130|1219.315 7428.315|1221.769 7425.702|1146.579 7354.504|1231.206 7261.011|1240.832 7269.740|1245.669 7274.365|1250.255 7279.247|1254.582 7284.351|1258.636 7289.677|1262.411 7295.203|1265.885 7300.930|1269.052 7306.812|1271.911 7312.872|1312.134 7404.108|1301.824 7408.667|1288.891 7414.382|1281.090 7417.840|1275.260 7423.066
6631 HUNTSBAY RD NW,-697.348 6884.627|-698.529 6891.855|-731.552 6886.451|-730.371 6879.223
35 HUNTERHORN DR NE,1231.206 7261.011|1146.579 7354.504|1124.664 7333.799|1119.071 7326.738|1113.633 7319.555|1108.355 7312.261|1103.231 7304.855|1098.268 7297.349|1093.465 7289.733|1088.831 7282.005|1084.364 7274.188|1080.065 7266.282|1075.940 7258.276|1071.984 7250.192|1068.202 7242.019|1064.602 7233.768|1061.183 7225.440|1057.940 7217.044|1054.878 7208.571|1054.500 7207.026|1054.445 7205.436|1054.703 7203.868|1055.262 7202.378|1056.115 7201.032|1057.213 7199.876|1058.513 7198.964|1059.974 7198.330|1086.076 7189.935|1091.739 7188.467|1097.485 7187.355|1103.287 7186.599|1109.124 7186.210|1114.975 7186.188|1120.812 7186.521|1126.621 7187.222|1132.374 7188.278|1138.051 7189.702|1143.629 7191.459|1149.082 7193.571|1154.394 7196.018|1159.546 7198.786|1164.517 7201.877|1169.284 7205.258|1173.828 7208.938
6633 HUNTSBAY RD NW,-698.529 6891.855|-699.704 6899.071|-732.734 6893.667|-731.552 6886.451
6635 HUNTSBAY RD NW,-699.704 6899.071|-700.543 6904.175|-733.566 6898.782|-732.734 6893.667
6637 HUNTSBAY RD NW,-700.543 6904.175|-701.375 6909.290|-734.405 6903.886|-733.566 6898.782
6639 HUNTSBAY RD NW,-701.375 6909.290|-702.213 6914.394|-735.236 6908.990|-734.405 6903.886
6641 HUNTSBAY RD NW,-702.213 6914.394|-703.052 6919.498|-736.068 6914.105|-735.236 6908.990
6643 HUNTSBAY RD NW,-703.052 6919.498|-703.884 6924.613|-736.907 6919.209|-736.068 6914.105
6645 HUNTSBAY RD NW,-703.884 6924.613|-705.066 6931.829|-733.587 6927.159|-737.348 6921.911|-736.907 6919.209
6614 HUNTSBAY RD NW,-675.090 6854.071|-669.834 6850.201|-660.319 6851.947|-650.924 6854.249|-641.683 6857.095|-642.885 6864.479|-675.908 6859.052
6616 HUNTSBAY RD NW,-642.885 6864.479|-643.724 6869.583|-676.740 6864.167|-675.908 6859.052
6618 HUNTSBAY RD NW,-643.724 6869.583|-644.556 6874.698|-677.579 6869.271|-676.740 6864.167
6624 HUNTSBAY RD NW,-646.227 6884.916|-647.066 6890.020|-680.082 6884.594|-679.250 6879.490
6626 HUNTSBAY RD NW,-647.066 6890.020|-647.897 6895.124|-680.920 6889.709|-680.082 6884.594
6628 HUNTSBAY RD NW,-647.897 6895.124|-648.729 6900.239|-681.752 6894.813|-680.920 6889.709
6630 HUNTSBAY RD NW,-648.729 6900.239|-649.911 6907.456|-682.934 6902.040|-681.752 6894.813
6632 HUNTSBAY RD NW,-649.911 6907.456|-651.092 6914.672|-684.115 6909.257|-682.934 6902.040
6634 HUNTSBAY RD NW,-651.092 6914.672|-651.931 6919.787|-684.947 6914.361|-684.115 6909.257
6636 HUNTSBAY RD NW,-651.931 6919.787|-652.763 6924.891|-685.786 6919.476|-684.947 6914.361
6638 HUNTSBAY RD NW,-652.763 6924.891|-653.595 6930.006|-686.618 6924.580|-685.786 6919.476
6640 HUNTSBAY RD NW,-653.595 6930.006|-654.434 6935.110|-687.457 6929.695|-686.618 6924.580
6642 HUNTSBAY RD NW,-654.434 6935.110|-655.265 6940.225|-688.288 6934.798|-687.457 6929.695
6644 HUNTSBAY RD NW,-655.265 6940.225|-656.104 6945.329|-689.127 6939.913|-688.288 6934.798
6646 HUNTSBAY RD NW,-656.104 6945.329|-656.936 6950.432|-689.959 6945.017|-689.127 6939.913
6648 HUNTSBAY RD NW,-656.936 6950.432|-658.117 6957.660|-691.993 6957.471|-689.959 6945.017
6503 HUNTSBAY RD NW,-515.624 6893.423|-511.723 6899.461|-513.331 6905.587|-538.587 6919.687|-542.523 6913.438
6505 HUNTSBAY RD NW,-518.560 6889.153|-515.624 6893.423|-542.523 6913.438|-545.431 6909.157
6507 HUNTSBAY RD NW,-518.560 6889.153|-545.431 6909.157|-548.458 6904.954|-521.593 6884.961
6509 HUNTSBAY RD NW,-524.732 6880.847|-521.593 6884.961|-548.458 6904.954|-551.597 6900.839
6511 HUNTSBAY RD NW,-524.732 6880.847|-551.597 6900.839|-554.861 6896.814|-527.962 6876.799
6513 HUNTSBAY RD NW,-534.910 6868.737|-527.962 6876.799|-554.861 6896.814|-559.706 6891.243
6515 HUNTSBAY RD NW,-542.411 6860.865|-534.910 6868.737|-559.706 6891.243|-564.627 6886.006
6517 HUNTSBAY RD NW,-546.116 6857.240|-542.411 6860.865|-564.627 6886.006|-568.311 6882.359
6519 HUNTSBAY RD NW,-549.912 6853.715|-546.116 6857.240|-568.311 6882.359|-572.086 6878.823
6521 HUNTSBAY RD NW,-549.912 6853.715|-572.086 6878.823|-575.965 6875.387|-553.785 6850.290
1 1055 72 AV NW,-427.201 7353.014|-427.194 7358.529|-426.831 7615.890|-426.824 7620.460|-487.676 7620.537|-487.592 7687.532|-488.123 7687.455|-492.863 7686.710|-497.574 7685.820|-502.251 7684.764|-506.893 7683.552|-511.492 7682.195|-516.043 7680.683|-520.545 7679.015|-524.984 7677.202|-529.360 7675.245|-533.666 7673.144|-537.909 7670.898|-542.069 7668.507|-546.144 7665.994|-550.136 7663.336|-554.043 7660.545|-557.846 7657.632|-574.428 7644.511|-575.287 7638.006|-569.737 7630.278|-564.347 7622.428|-559.118 7614.477|-554.050 7606.416|-549.150 7598.254|-544.417 7590.003|-539.846 7581.653|-535.449 7573.213|-531.226 7564.684|-527.179 7556.067|-523.306 7547.371|-519.608 7538.609|-516.092 7529.758|-512.758 7520.851|-509.598 7511.867|-506.627 7502.827|-503.838 7493.731|-501.237 7484.579|-498.825 7475.373|-496.596 7466.121|-494.554 7456.825|-492.709 7447.496|-491.045 7438.122|-489.577 7428.726|-488.298 7419.297|-487.214 7409.845|-486.320 7400.372|-485.620 7390.875|-485.110 7381.379|-484.803 7371.861|-484.677 7362.354|-484.754 7352.836|-484.879 7347.309
2 1055 72 AV NW,-427.201 7353.014|-427.194 7358.529|-426.831 7615.890|-426.824 7620.460|-487.676 7620.537|-487.592 7687.532|-488.123 7687.455|-492.863 7686.710|-497.574 7685.820|-502.251 7684.764|-506.893 7683.552|-511.492 7682.195|-516.043 7680.683|-520.545 7679.015|-524.984 7677.202|-529.360 7675.245|-533.666 7673.144|-537.909 7670.898|-542.069 7668.507|-546.144 7665.994|-550.136 7663.336|-554.043 7660.545|-557.846 7657.632|-574.428 7644.511|-575.287 7638.006|-569.737 7630.278|-564.347 7622.428|-559.118 7614.477|-554.050 7606.416|-549.150 7598.254|-544.417 7590.003|-539.846 7581.653|-535.449 7573.213|-531.226 7564.684|-527.179 7556.067|-523.306 7547.371|-519.608 7538.609|-516.092 7529.758|-512.758 7520.851|-509.598 7511.867|-506.627 7502.827|-503.838 7493.731|-501.237 7484.579|-498.825 7475.373|-496.596 7466.121|-494.554 7456.825|-492.709 7447.496|-491.045 7438.122|-489.577 7428.726|-488.298 7419.297|-487.214 7409.845|-486.320 7400.372|-485.620 7390.875|-485.110 7381.379|-484.803 7371.861|-484.677 7362.354|-484.754 7352.836|-484.879 7347.309
3 1055 72 AV NW,-427.201 7353.014|-427.194 7358.529|-426.831 7615.890|-426.824 7620.460|-487.676 7620.537|-487.592 7687.532|-488.123 7687.455|-492.863 7686.710|-497.574 7685.820|-502.251 7684.764|-506.893 7683.552|-511.492 7682.195|-516.043 7680.683|-520.545 7679.015|-524.984 7677.202|-529.360 7675.245|-533.666 7673.144|-537.909 7670.898|-542.069 7668.507|-546.144 7665.994|-550.136 7663.336|-554.043 7660.545|-557.846 7657.632|-574.428 7644.511|-575.287 7638.006|-569.737 7630.278|-564.347 7622.428|-559.118 7614.477|-554.050 7606.416|-549.150 7598.254|-544.417 7590.003|-539.846 7581.653|-535.449 7573.213|-531.226 7564.684|-527.179 7556.067|-523.306 7547.371|-519.608 7538.609|-516.092 7529.758|-512.758 7520.851|-509.598 7511.867|-506.627 7502.827|-503.838 7493.731|-501.237 7484.579|-498.825 7475.373|-496.596 7466.121|-494.554 7456.825|-492.709 7447.496|-491.045 7438.122|-489.577 7428.726|-488.298 7419.297|-487.214 7409.845|-486.320 7400.372|-485.620 7390.875|-485.110 7381.379|-484.803 7371.861|-484.677 7362.354|-484.754 7352.836|-484.879 7347.309
4 1055 72 AV NW,-427.201 7353.014|-427.194 7358.529|-426.831 7615.890|-426.824 7620.460|-487.676 7620.537|-487.592 7687.532|-488.123 7687.455|-492.863 7686.710|-497.574 7685.820|-502.251 7684.764|-506.893 7683.552|-511.492 7682.195|-516.043 7680.683|-520.545 7679.015|-524.984 7677.202|-529.360 7675.245|-533.666 7673.144|-537.909 7670.898|-542.069 7668.507|-546.144 7665.994|-550.136 7663.336|-554.043 7660.545|-557.846 7657.632|-574.428 7644.511|-575.287 7638.006|-569.737 7630.278|-564.347 7622.428|-559.118 7614.477|-554.050 7606.416|-549.150 7598.254|-544.417 7590.003|-539.846 7581.653|-535.449 7573.213|-531.226 7564.684|-527.179 7556.067|-523.306 7547.371|-519.608 7538.609|-516.092 7529.758|-512.758 7520.851|-509.598 7511.867|-506.627 7502.827|-503.838 7493.731|-501.237 7484.579|-498.825 7475.373|-496.596 7466.121|-494.554 7456.825|-492.709 7447.496|-491.045 7438.122|-489.577 7428.726|-488.298 7419.297|-487.214 7409.845|-486.320 7400.372|-485.620 7390.875|-485.110 7381.379|-484.803 7371.861|-484.677 7362.354|-484.754 7352.836|-484.879 7347.309
