ADDRESS,POINTS
8509 HUXBURY DR NE,11169.050 681.451|11170.846 679.650|11173.538 676.948|11178.718 676.937|11178.725 706.915|11176.537 706.926|11174.936 706.748|11173.405 706.237|11172.021 705.403|11170.846 704.302|11170.147 703.323|11169.672 702.423|11169.329 701.455|11169.120 700.455|11169.050 699.432
8513 HUXBURY DR NE,11185.407 676.926|11185.414 706.904|11178.725 706.915|11178.718 676.937
8517 HUXBURY DR NE,11192.097 676.926|11192.097 706.904|11185.414 706.904|11185.407 676.926
8521 HUXBURY DR NE,11192.097 676.926|11198.780 676.915|11198.787 706.893|11192.097 706.904
8525 HUXBURY DR NE,11205.470 676.904|11205.477 706.882|11198.787 706.893|11198.780 676.915
8529 HUXBURY DR NE,11212.160 676.892|11212.167 706.882|11205.477 706.882|11205.470 676.904
8533 HUXBURY DR NE,11218.850 676.892|11218.857 706.871|11212.167 706.882|11212.160 676.892
8537 HUXBURY DR NE,11218.857 706.871|11218.850 676.892|11225.540 676.881|11225.540 706.859
8541 HUXBURY DR NE,11232.230 676.870|11232.230 706.848|11225.540 706.859|11225.540 676.881
8545 HUXBURY DR NE,11238.913 676.859|11238.920 706.848|11232.230 706.848|11232.230 676.870
8549 HUXBURY DR NE,11245.595 676.859|11245.602 706.837|11238.920 706.848|11238.913 676.859
8553 HUXBURY DR NE,11252.292 706.826|11245.602 706.837|11245.595 676.859|11252.285 676.848
8557 HUXBURY DR NE,11258.975 676.837|11258.982 706.826|11252.292 706.826|11252.285 676.848
8561 HUXBURY DR NE,11265.665 676.837|11265.672 706.815|11258.982 706.826|11258.975 676.837
8565 HUXBURY DR NE,11272.355 676.826|11272.362 706.804|11265.672 706.815|11265.665 676.837
8569 HUXBURY DR NE,11279.045 676.815|11279.045 706.793|11272.362 706.804|11272.355 676.826
8573 HUXBURY DR NE,11285.728 676.804|11285.735 706.793|11279.045 706.793|11279.045 676.815
8577 HUXBURY DR NE,11292.418 676.804|11292.425 706.782|11285.735 706.793|11285.728 676.804
8581 HUXBURY DR NE,11299.108 676.792|11299.115 706.771|11292.425 706.782|11292.418 676.804
8585 HUXBURY DR NE,11305.797 676.781|11305.804 706.759|11299.115 706.771|11299.108 676.792
8589 HUXBURY DR NE,11305.797 676.781|11312.487 676.770|11312.494 706.759|11305.804 706.759
8593 HUXBURY DR NE,11319.177 676.759|11319.184 706.748|11312.494 706.759|11312.487 676.770
8597 HUXBURY DR NE,11325.867 676.759|11325.874 706.737|11319.184 706.748|11319.177 676.759
8601 HUXBURY DR NE,11332.557 676.748|11332.557 706.726|11325.874 706.737|11325.867 676.759
8605 HUXBURY DR NE,11339.240 676.737|11339.247 706.715|11332.557 706.726|11332.557 676.748
8609 HUXBURY DR NE,11345.930 676.726|11345.937 706.715|11339.247 706.715|11339.240 676.737
8613 HUXBURY DR NE,11352.620 676.726|11352.627 706.704|11345.937 706.715|11345.930 676.726
8617 HUXBURY DR NE,11364.923 676.703|11364.923 701.200|11364.825 702.267|11364.510 703.290|11364.007 704.246|11363.329 705.080|11362.497 705.759|11361.546 706.270|11360.519 706.582|11359.449 706.693|11352.627 706.704|11352.620 676.726|11362.127 676.715
8705 HUXBURY DR NE,11387.733 676.681|11387.740 706.659|11386.363 706.659|11385.286 706.559|11384.259 706.237|11383.308 705.736|11382.476 705.047|11381.791 704.213|11381.288 703.268|11380.973 702.234|11380.868 701.166|11380.868 676.692
8709 HUXBURY DR NE,11394.423 676.670|11394.430 706.648|11387.740 706.659|11387.733 676.681
8713 HUXBURY DR NE,11401.113 676.659|11401.113 706.637|11394.430 706.648|11394.423 676.670
8717 HUXBURY DR NE,11407.802 676.648|11407.802 706.626|11401.113 706.637|11401.113 676.659
8721 HUXBURY DR NE,11414.485 676.637|11414.492 706.626|11407.802 706.626|11407.802 676.648
8725 HUXBURY DR NE,11421.175 676.637|11421.182 706.615|11414.492 706.626|11414.485 676.637
8729 HUXBURY DR NE,11421.175 676.637|11427.865 676.626|11427.872 706.604|11421.182 706.615
8733 HUXBURY DR NE,11434.555 676.614|11434.562 706.593|11427.872 706.604|11427.865 676.626
8737 HUXBURY DR NE,11441.245 676.603|11441.245 706.593|11434.562 706.593|11434.555 676.614
8741 HUXBURY DR NE,11447.928 676.603|11447.935 706.582|11441.245 706.593|11441.245 676.603
8745 HUXBURY DR NE,11447.935 706.582|11447.928 676.603|11454.618 676.592|11454.625 706.570
8749 HUXBURY DR NE,11461.308 676.581|11461.308 702.968|11461.308 704.169|11461.308 706.570|11454.625 706.570|11454.618 676.592
9005 HUXBURY DR NE,11625.388 673.579|11625.395 706.348|11624.298 706.359|11623.228 706.248|11622.193 705.937|11621.250 705.425|11620.418 704.747|11619.733 703.913|11619.222 702.957|11618.915 701.934|11618.810 700.855|11618.803 673.579
9009 HUXBURY DR NE,11632.078 673.568|11632.085 706.348|11625.395 706.348|11625.388 673.579
9013 HUXBURY DR NE,11638.768 673.557|11638.775 706.337|11632.085 706.348|11632.078 673.568
9017 HUXBURY DR NE,11645.451 673.545|11645.465 706.326|11638.775 706.337|11638.768 673.557
9021 HUXBURY DR NE,11645.465 706.326|11645.451 673.545|11652.141 673.534|11652.148 706.315
9025 HUXBURY DR NE,11658.830 673.534|11658.837 706.315|11652.148 706.315|11652.141 673.534
9029 HUXBURY DR NE,11665.520 673.523|11665.527 706.304|11658.837 706.315|11658.830 673.534
9033 HUXBURY DR NE,11672.210 673.512|11672.217 706.292|11665.527 706.304|11665.520 673.523
