ADDRESS,POINTS
201 812 8 ST SE,2147.238 -491.755|2119.101 -481.003|2105.812 -516.029|2134.047 -526.815
202 812 8 ST SE,2147.238 -491.755|2119.101 -481.003|2105.812 -516.029|2134.047 -526.815
209 812 8 ST SE,2147.238 -491.755|2119.101 -481.003|2105.812 -516.029|2134.047 -526.815
203 812 8 ST SE,2147.238 -491.755|2119.101 -481.003|2105.812 -516.029|2134.047 -526.815
204 812 8 ST SE,2147.238 -491.755|2119.101 -481.003|2105.812 -516.029|2134.047 -526.815
205 812 8 ST SE,2147.238 -491.755|2119.101 -481.003|2105.812 -516.029|2134.047 -526.815
206 812 8 ST SE,2147.238 -491.755|2119.101 -481.003|2105.812 -516.029|2134.047 -526.815
207 812 8 ST SE,2147.238 -491.755|2119.101 -481.003|2105.812 -516.029|2134.047 -526.815
208 812 8 ST SE,2147.238 -491.755|2119.101 -481.003|2105.812 -516.029|2134.047 -526.815
301 812 8 ST SE,2147.238 -491.755|2119.101 -481.003|2105.812 -516.029|2134.047 -526.815
302 812 8 ST SE,2147.238 -491.755|2119.101 -481.003|2105.812 -516.029|2134.047 -526.815
309 812 8 ST SE,2147.238 -491.755|2119.101 -481.003|2105.812 -516.029|2134.047 -526.815
303 812 8 ST SE,2147.238 -491.755|2119.101 -481.003|2105.812 -516.029|2134.047 -526.815
304 812 8 ST SE,2147.238 -491.755|2119.101 -481.003|2105.812 -516.029|2134.047 -526.815
305 812 8 ST SE,2147.238 -491.755|2119.101 -481.003|2105.812 -516.029|2134.047 -526.815
306 812 8 ST SE,2147.238 -491.755|2119.101 -481.003|2105.812 -516.029|2134.047 -526.815
307 812 8 ST SE,2147.238 -491.755|2119.101 -481.003|2105.812 -516.029|2134.047 -526.815
308 812 8 ST SE,2147.238 -491.755|2119.101 -481.003|2105.812 -516.029|2134.047 -526.815
210 1020 9 AV SE,2321.448 -598.291|2330.815 -601.849|2340.182 -605.419|2349.549 -608.977|2358.916 -612.546|2368.291 -616.104|2379.965 -585.592|2381.677 -581.111|2378.322 -579.833|2372.303 -577.542|2362.922 -573.973|2353.548 -570.403|2344.174 -566.834|2334.799 -563.265
208 1020 9 AV SE,2321.448 -598.291|2330.815 -601.849|2340.182 -605.419|2349.549 -608.977|2358.916 -612.546|2368.291 -616.104|2379.965 -585.592|2381.677 -581.111|2378.322 -579.833|2372.303 -577.542|2362.922 -573.973|2353.548 -570.403|2344.174 -566.834|2334.799 -563.265
126 1020 9 AV SE,2321.448 -598.291|2330.815 -601.849|2340.182 -605.419|2349.549 -608.977|2358.916 -612.546|2368.291 -616.104|2379.965 -585.592|2381.677 -581.111|2378.322 -579.833|2372.303 -577.542|2362.922 -573.973|2353.548 -570.403|2344.174 -566.834|2334.799 -563.265
124 1020 9 AV SE,2321.448 -598.291|2330.815 -601.849|2340.182 -605.419|2349.549 -608.977|2358.916 -612.546|2368.291 -616.104|2379.965 -585.592|2381.677 -581.111|2378.322 -579.833|2372.303 -577.542|2362.922 -573.973|2353.548 -570.403|2344.174 -566.834|2334.799 -563.265
122 1020 9 AV SE,2321.448 -598.291|2330.815 -601.849|2340.182 -605.419|2349.549 -608.977|2358.916 -612.546|2368.291 -616.104|2379.965 -585.592|2381.677 -581.111|2378.322 -579.833|2372.303 -577.542|2362.922 -573.973|2353.548 -570.403|2344.174 -566.834|2334.799 -563.265
