ADDRESS,POINTS
6 GLENMORE GR SW,-1520.071 -6193.075|-1520.078 -6188.038|-1519.924 -6054.860|-1543.056 -6054.882|-1544.692 -6054.804|-1546.314 -6054.570|-1547.907 -6054.192|-1549.459 -6053.659|-1550.955 -6052.991|-1552.381 -6052.180|-1553.723 -6051.246|-1554.975 -6050.189|-1556.247 -6049.122|-1557.624 -6048.188|-1559.085 -6047.398|-1560.623 -6046.765|-1562.217 -6046.286|-1563.846 -6045.975|-1565.502 -6045.830|-1567.166 -6045.864|-1568.816 -6046.064|-1570.438 -6046.420|-1572.011 -6046.954|-1573.527 -6047.643|-1574.961 -6048.477|-1576.303 -6049.455|-1577.540 -6050.567|-1578.658 -6051.802|-1580.266 -6053.870|-1581.748 -6056.038|-1583.111 -6058.284|-1584.342 -6060.597|-1585.439 -6062.988|-1586.404 -6065.423|-1587.229 -6067.925|-1587.907 -6070.460|-1590.724 -6083.070|-1593.178 -6095.757|-1595.254 -6108.500|-1596.960 -6121.310|-1598.295 -6134.164|-1599.252 -6147.051|-1599.833 -6159.950|-1600.042 -6172.871|-1600.056 -6180.488|-1600.063 -6182.200|-1589.452 -6182.122|-1589.431 -6193.075|-1587.788 -6193.064
10 GLENMORE GR SW,-1520.071 -6193.075|-1520.078 -6188.038|-1519.924 -6054.860|-1543.056 -6054.882|-1544.692 -6054.804|-1546.314 -6054.570|-1547.907 -6054.192|-1549.459 -6053.659|-1550.955 -6052.991|-1552.381 -6052.180|-1553.723 -6051.246|-1554.975 -6050.189|-1556.247 -6049.122|-1557.624 -6048.188|-1559.085 -6047.398|-1560.623 -6046.765|-1562.217 -6046.286|-1563.846 -6045.975|-1565.502 -6045.830|-1567.166 -6045.864|-1568.816 -6046.064|-1570.438 -6046.420|-1572.011 -6046.954|-1573.527 -6047.643|-1574.961 -6048.477|-1576.303 -6049.455|-1577.540 -6050.567|-1578.658 -6051.802|-1580.266 -6053.870|-1581.748 -6056.038|-1583.111 -6058.284|-1584.342 -6060.597|-1585.439 -6062.988|-1586.404 -6065.423|-1587.229 -6067.925|-1587.907 -6070.460|-1590.724 -6083.070|-1593.178 -6095.757|-1595.254 -6108.500|-1596.960 -6121.310|-1598.295 -6134.164|-1599.252 -6147.051|-1599.833 -6159.950|-1600.042 -6172.871|-1600.056 -6180.488|-1600.063 -6182.200|-1589.452 -6182.122|-1589.431 -6193.075|-1587.788 -6193.064
14 GLENMORE GR SW,-1520.071 -6193.075|-1520.078 -6188.038|-1519.924 -6054.860|-1543.056 -6054.882|-1544.692 -6054.804|-1546.314 -6054.570|-1547.907 -6054.192|-1549.459 -6053.659|-1550.955 -6052.991|-1552.381 -6052.180|-1553.723 -6051.246|-1554.975 -6050.189|-1556.247 -6049.122|-1557.624 -6048.188|-1559.085 -6047.398|-1560.623 -6046.765|-1562.217 -6046.286|-1563.846 -6045.975|-1565.502 -6045.830|-1567.166 -6045.864|-1568.816 -6046.064|-1570.438 -6046.420|-1572.011 -6046.954|-1573.527 -6047.643|-1574.961 -6048.477|-1576.303 -6049.455|-1577.540 -6050.567|-1578.658 -6051.802|-1580.266 -6053.870|-1581.748 -6056.038|-1583.111 -6058.284|-1584.342 -6060.597|-1585.439 -6062.988|-1586.404 -6065.423|-1587.229 -6067.925|-1587.907 -6070.460|-1590.724 -6083.070|-1593.178 -6095.757|-1595.254 -6108.500|-1596.960 -6121.310|-1598.295 -6134.164|-1599.252 -6147.051|-1599.833 -6159.950|-1600.042 -6172.871|-1600.056 -6180.488|-1600.063 -6182.200|-1589.452 -6182.122|-1589.431 -6193.075|-1587.788 -6193.064
18 GLENMORE GR SW,-1520.071 -6193.075|-1520.078 -6188.038|-1519.924 -6054.860|-1543.056 -6054.882|-1544.692 -6054.804|-1546.314 -6054.570|-1547.907 -6054.192|-1549.459 -6053.659|-1550.955 -6052.991|-1552.381 -6052.180|-1553.723 -6051.246|-1554.975 -6050.189|-1556.247 -6049.122|-1557.624 -6048.188|-1559.085 -6047.398|-1560.623 -6046.765|-1562.217 -6046.286|-1563.846 -6045.975|-1565.502 -6045.830|-1567.166 -6045.864|-1568.816 -6046.064|-1570.438 -6046.420|-1572.011 -6046.954|-1573.527 -6047.643|-1574.961 -6048.477|-1576.303 -6049.455|-1577.540 -6050.567|-1578.658 -6051.802|-1580.266 -6053.870|-1581.748 -6056.038|-1583.111 -6058.284|-1584.342 -6060.597|-1585.439 -6062.988|-1586.404 -6065.423|-1587.229 -6067.925|-1587.907 -6070.460|-1590.724 -6083.070|-1593.178 -6095.757|-1595.254 -6108.500|-1596.960 -6121.310|-1598.295 -6134.164|-1599.252 -6147.051|-1599.833 -6159.950|-1600.042 -6172.871|-1600.056 -6180.488|-1600.063 -6182.200|-1589.452 -6182.122|-1589.431 -6193.075|-1587.788 -6193.064
22 GLENMORE GR SW,-1520.071 -6193.075|-1520.078 -6188.038|-1519.924 -6054.860|-1543.056 -6054.882|-1544.692 -6054.804|-1546.314 -6054.570|-1547.907 -6054.192|-1549.459 -6053.659|-1550.955 -6052.991|-1552.381 -6052.180|-1553.723 -6051.246|-1554.975 -6050.189|-1556.247 -6049.122|-1557.624 -6048.188|-1559.085 -6047.398|-1560.623 -6046.765|-1562.217 -6046.286|-1563.846 -6045.975|-1565.502 -6045.830|-1567.166 -6045.864|-1568.816 -6046.064|-1570.438 -6046.420|-1572.011 -6046.954|-1573.527 -6047.643|-1574.961 -6048.477|-1576.303 -6049.455|-1577.540 -6050.567|-1578.658 -6051.802|-1580.266 -6053.870|-1581.748 -6056.038|-1583.111 -6058.284|-1584.342 -6060.597|-1585.439 -6062.988|-1586.404 -6065.423|-1587.229 -6067.925|-1587.907 -6070.460|-1590.724 -6083.070|-1593.178 -6095.757|-1595.254 -6108.500|-1596.960 -6121.310|-1598.295 -6134.164|-1599.252 -6147.051|-1599.833 -6159.950|-1600.042 -6172.871|-1600.056 -6180.488|-1600.063 -6182.200|-1589.452 -6182.122|-1589.431 -6193.075|-1587.788 -6193.064
26 GLENMORE GR SW,-1520.071 -6193.075|-1520.078 -6188.038|-1519.924 -6054.860|-1543.056 -6054.882|-1544.692 -6054.804|-1546.314 -6054.570|-1547.907 -6054.192|-1549.459 -6053.659|-1550.955 -6052.991|-1552.381 -6052.180|-1553.723 -6051.246|-1554.975 -6050.189|-1556.247 -6049.122|-1557.624 -6048.188|-1559.085 -6047.398|-1560.623 -6046.765|-1562.217 -6046.286|-1563.846 -6045.975|-1565.502 -6045.830|-1567.166 -6045.864|-1568.816 -6046.064|-1570.438 -6046.420|-1572.011 -6046.954|-1573.527 -6047.643|-1574.961 -6048.477|-1576.303 -6049.455|-1577.540 -6050.567|-1578.658 -6051.802|-1580.266 -6053.870|-1581.748 -6056.038|-1583.111 -6058.284|-1584.342 -6060.597|-1585.439 -6062.988|-1586.404 -6065.423|-1587.229 -6067.925|-1587.907 -6070.460|-1590.724 -6083.070|-1593.178 -6095.757|-1595.254 -6108.500|-1596.960 -6121.310|-1598.295 -6134.164|-1599.252 -6147.051|-1599.833 -6159.950|-1600.042 -6172.871|-1600.056 -6180.488|-1600.063 -6182.200|-1589.452 -6182.122|-1589.431 -6193.075|-1587.788 -6193.064
30 GLENMORE GR SW,-1520.071 -6193.075|-1520.078 -6188.038|-1519.924 -6054.860|-1543.056 -6054.882|-1544.692 -6054.804|-1546.314 -6054.570|-1547.907 -6054.192|-1549.459 -6053.659|-1550.955 -6052.991|-1552.381 -6052.180|-1553.723 -6051.246|-1554.975 -6050.189|-1556.247 -6049.122|-1557.624 -6048.188|-1559.085 -6047.398|-1560.623 -6046.765|-1562.217 -6046.286|-1563.846 -6045.975|-1565.502 -6045.830|-1567.166 -6045.864|-1568.816 -6046.064|-1570.438 -6046.420|-1572.011 -6046.954|-1573.527 -6047.643|-1574.961 -6048.477|-1576.303 -6049.455|-1577.540 -6050.567|-1578.658 -6051.802|-1580.266 -6053.870|-1581.748 -6056.038|-1583.111 -6058.284|-1584.342 -6060.597|-1585.439 -6062.988|-1586.404 -6065.423|-1587.229 -6067.925|-1587.907 -6070.460|-1590.724 -6083.070|-1593.178 -6095.757|-1595.254 -6108.500|-1596.960 -6121.310|-1598.295 -6134.164|-1599.252 -6147.051|-1599.833 -6159.950|-1600.042 -6172.871|-1600.056 -6180.488|-1600.063 -6182.200|-1589.452 -6182.122|-1589.431 -6193.075|-1587.788 -6193.064
34 GLENMORE GR SW,-1520.071 -6193.075|-1520.078 -6188.038|-1519.924 -6054.860|-1543.056 -6054.882|-1544.692 -6054.804|-1546.314 -6054.570|-1547.907 -6054.192|-1549.459 -6053.659|-1550.955 -6052.991|-1552.381 -6052.180|-1553.723 -6051.246|-1554.975 -6050.189|-1556.247 -6049.122|-1557.624 -6048.188|-1559.085 -6047.398|-1560.623 -6046.765|-1562.217 -6046.286|-1563.846 -6045.975|-1565.502 -6045.830|-1567.166 -6045.864|-1568.816 -6046.064|-1570.438 -6046.420|-1572.011 -6046.954|-1573.527 -6047.643|-1574.961 -6048.477|-1576.303 -6049.455|-1577.540 -6050.567|-1578.658 -6051.802|-1580.266 -6053.870|-1581.748 -6056.038|-1583.111 -6058.284|-1584.342 -6060.597|-1585.439 -6062.988|-1586.404 -6065.423|-1587.229 -6067.925|-1587.907 -6070.460|-1590.724 -6083.070|-1593.178 -6095.757|-1595.254 -6108.500|-1596.960 -6121.310|-1598.295 -6134.164|-1599.252 -6147.051|-1599.833 -6159.950|-1600.042 -6172.871|-1600.056 -6180.488|-1600.063 -6182.200|-1589.452 -6182.122|-1589.431 -6193.075|-1587.788 -6193.064
38 GLENMORE GR SW,-1520.071 -6193.075|-1520.078 -6188.038|-1519.924 -6054.860|-1543.056 -6054.882|-1544.692 -6054.804|-1546.314 -6054.570|-1547.907 -6054.192|-1549.459 -6053.659|-1550.955 -6052.991|-1552.381 -6052.180|-1553.723 -6051.246|-1554.975 -6050.189|-1556.247 -6049.122|-1557.624 -6048.188|-1559.085 -6047.398|-1560.623 -6046.765|-1562.217 -6046.286|-1563.846 -6045.975|-1565.502 -6045.830|-1567.166 -6045.864|-1568.816 -6046.064|-1570.438 -6046.420|-1572.011 -6046.954|-1573.527 -6047.643|-1574.961 -6048.477|-1576.303 -6049.455|-1577.540 -6050.567|-1578.658 -6051.802|-1580.266 -6053.870|-1581.748 -6056.038|-1583.111 -6058.284|-1584.342 -6060.597|-1585.439 -6062.988|-1586.404 -6065.423|-1587.229 -6067.925|-1587.907 -6070.460|-1590.724 -6083.070|-1593.178 -6095.757|-1595.254 -6108.500|-1596.960 -6121.310|-1598.295 -6134.164|-1599.252 -6147.051|-1599.833 -6159.950|-1600.042 -6172.871|-1600.056 -6180.488|-1600.063 -6182.200|-1589.452 -6182.122|-1589.431 -6193.075|-1587.788 -6193.064
42 GLENMORE GR SW,-1520.071 -6193.075|-1520.078 -6188.038|-1519.924 -6054.860|-1543.056 -6054.882|-1544.692 -6054.804|-1546.314 -6054.570|-1547.907 -6054.192|-1549.459 -6053.659|-1550.955 -6052.991|-1552.381 -6052.180|-1553.723 -6051.246|-1554.975 -6050.189|-1556.247 -6049.122|-1557.624 -6048.188|-1559.085 -6047.398|-1560.623 -6046.765|-1562.217 -6046.286|-1563.846 -6045.975|-1565.502 -6045.830|-1567.166 -6045.864|-1568.816 -6046.064|-1570.438 -6046.420|-1572.011 -6046.954|-1573.527 -6047.643|-1574.961 -6048.477|-1576.303 -6049.455|-1577.540 -6050.567|-1578.658 -6051.802|-1580.266 -6053.870|-1581.748 -6056.038|-1583.111 -6058.284|-1584.342 -6060.597|-1585.439 -6062.988|-1586.404 -6065.423|-1587.229 -6067.925|-1587.907 -6070.460|-1590.724 -6083.070|-1593.178 -6095.757|-1595.254 -6108.500|-1596.960 -6121.310|-1598.295 -6134.164|-1599.252 -6147.051|-1599.833 -6159.950|-1600.042 -6172.871|-1600.056 -6180.488|-1600.063 -6182.200|-1589.452 -6182.122|-1589.431 -6193.075|-1587.788 -6193.064
