ADDRESS,POINTS
8247 7 ST SW,-729.721 -7559.794|-760.053 -7559.827|-760.039 -7578.108|-729.707 -7578.085
8251 4A ST SW,-459.756 -7575.139|-490.094 -7575.161|-490.080 -7593.453|-490.080 -7596.444|-464.293 -7596.455|-461.308 -7593.464|-459.742 -7591.885
8255 5 ST SW,-570.142 -7596.421|-555.085 -7596.421|-552.100 -7593.430|-550.541 -7591.863|-550.569 -7553.778|-570.191 -7553.800
7120 ELBOW DR SW,-768.218 -6382.985|-804.785 -6383.018|-804.806 -6401.298|-768.204 -6401.265
7124 ELBOW DR SW,-768.204 -6401.265|-804.806 -6401.298|-804.827 -6421.102|-768.190 -6421.069
7128 ELBOW DR SW,-768.190 -6421.069|-804.827 -6421.102|-804.848 -6442.429|-768.176 -6442.396
718 KINGSMERE CR SW,-409.389 -6389.812|-438.791 -6379.349|-438.791 -6403.722|-407.229 -6403.711|-408.970 -6398.885|-409.592 -6396.662|-409.872 -6394.382|-409.802 -6392.080
7204 ELBOW DR SW,-768.176 -6442.396|-804.848 -6442.429|-804.876 -6462.222|-768.155 -6462.189
7208 ELBOW DR SW,-768.155 -6462.189|-804.876 -6462.222|-804.897 -6483.549|-768.141 -6483.516
7212 ELBOW DR SW,-768.141 -6483.516|-804.897 -6483.549|-804.918 -6503.342|-771.160 -6503.320|-768.127 -6503.320
7216 ELBOW DR SW,-771.160 -6509.413|-804.931 -6509.447|-804.952 -6527.727|-768.106 -6527.694|-768.120 -6509.413
635 KINGSMERE CR SW,-334.032 -6403.100|-351.942 -6403.100|-352.005 -6437.203|-334.088 -6437.192
7220 ELBOW DR SW,-768.106 -6527.694|-804.952 -6527.727|-804.973 -6546.008|-768.092 -6545.974
6907 6 ST SW,-557.028 -6239.421|-534.414 -6239.399|-534.365 -6224.977|-544.760 -6224.999|-557.028 -6225.010
708 HERITAGE DR SW,-570.191 -7553.800|-588.387 -7553.812|-588.353 -7596.410|-570.142 -7596.421
705 67 AV SW,-377.925 -6101.573|-393.088 -6101.584|-393.060 -6138.734|-377.897 -6138.723
7224 ELBOW DR SW,-768.092 -6545.974|-804.973 -6546.008|-804.994 -6565.811|-768.078 -6565.767
709 67 AV SW,-393.088 -6101.584|-408.257 -6101.595|-408.222 -6138.745|-393.060 -6138.734
701 KINGSMERE CR SW,-369.851 -6403.100|-383.776 -6403.111|-388.341 -6407.670|-388.383 -6437.214|-369.921 -6437.203
712 KINGSMERE CR SW,-391.333 -6378.826|-397.890 -6347.447|-425.125 -6347.458|-403.259 -6381.094|-401.930 -6380.283|-400.525 -6379.604|-399.050 -6379.082|-397.533 -6378.704|-395.989 -6378.492|-394.430 -6378.448|-392.871 -6378.559
7308 ELBOW DR SW,-768.064 -6585.571|-805.015 -6585.604|-805.043 -6606.131|-768.050 -6606.097
7107 7 ST SW,-728.819 -6322.661|-759.158 -6322.695|-759.144 -6340.975|-728.805 -6340.942
7316 ELBOW DR SW,-768.029 -6627.424|-805.064 -6627.469|-805.092 -6647.262|-768.015 -6647.228
721 67 AV SW,-438.589 -6101.617|-453.758 -6101.639|-453.702 -6138.778|-438.540 -6138.767
722 KINGSMERE CR SW,-407.229 -6403.711|-438.791 -6403.722|-438.784 -6420.480|-405.370 -6420.468|-405.356 -6408.904
7404 ELBOW DR SW,-768.001 -6667.021|-805.113 -6667.065|-805.134 -6688.393|-767.987 -6688.348
726 KINGSMERE CR SW,-405.370 -6420.468|-438.784 -6420.480|-438.784 -6434.190|-438.784 -6437.237|-405.384 -6437.226
735 67 AV SW,-484.090 -6101.661|-499.259 -6101.673|-499.182 -6138.812|-484.027 -6138.801
814 68 AV SW,-557.049 -6182.200|-556.993 -6144.927|-564.585 -6144.939|-572.177 -6144.950|-572.226 -6182.222|-564.634 -6182.211
809 68 AV SW,-557.028 -6225.010|-557.035 -6202.293|-572.219 -6202.304|-572.205 -6239.432|-557.028 -6239.421
712 HERITAGE DR SW,-588.387 -7553.812|-606.591 -7553.823|-606.556 -7596.399|-588.353 -7596.410
8004 ELBOW DR SW,-766.330 -7214.812|-805.442 -7214.834|-805.449 -7236.161|-768.008 -7236.128
818 68 AV SW,-572.226 -6182.222|-572.177 -6144.950|-579.768 -6144.961|-587.360 -6144.972|-587.402 -6182.233|-579.817 -6182.222
8012 ELBOW DR SW,-769.392 -7257.466|-805.463 -7257.488|-805.470 -7276.447|-769.371 -7276.414
6804 6 ST SW,-499.259 -6101.673|-514.428 -6101.684|-514.344 -6138.823|-499.182 -6138.812
822 68 AV SW,-587.402 -6182.233|-587.360 -6144.972|-594.952 -6144.994|-602.543 -6145.005|-602.585 -6182.256|-594.993 -6182.244
8016 ELBOW DR SW,-769.371 -7276.414|-805.470 -7276.447|-805.484 -7296.240|-769.357 -7296.217
6904 6 ST SW,-499.091 -6202.237|-514.253 -6202.248|-514.386 -6239.376|-499.203 -6239.365
7408 ELBOW DR SW,-767.987 -6688.348|-805.134 -6688.393|-805.162 -6709.720|-766.750 -6709.686
826 68 AV SW,-602.585 -6182.256|-602.543 -6145.005|-610.128 -6145.016|-617.720 -6145.027|-617.761 -6182.267|-610.177 -6182.256
8020 ELBOW DR SW,-769.357 -7296.217|-805.484 -7296.240|-805.491 -7316.043|-769.343 -7316.021
6916 6 ST SW,-499.259 -6245.448|-514.407 -6245.459|-514.547 -6282.598|-499.378 -6282.587
7412 ELBOW DR SW,-766.750 -6709.686|-805.162 -6709.720|-805.183 -6731.047|-765.505 -6731.014
830 68 AV SW,-617.761 -6182.267|-617.720 -6145.027|-625.311 -6145.039|-632.903 -6145.061|-632.945 -6182.289|-625.353 -6182.278
8024 ELBOW DR SW,-769.343 -7316.021|-805.491 -7316.043|-805.498 -7337.371|-769.329 -7337.348
7320 ELBOW DR SW,-768.015 -6647.228|-805.092 -6647.262|-805.113 -6667.065|-768.001 -6667.021
8248 7 ST SW,-682.409 -7559.783|-712.734 -7559.805|-712.720 -7578.085|-682.395 -7578.063
724 68 AV SW,-453.695 -6144.872|-461.273 -6144.872|-461.203 -6182.078|-453.625 -6182.067
8252 7 ST SW,-682.395 -7578.063|-712.720 -7578.085|-712.706 -7591.807|-711.147 -7593.375|-708.162 -7596.377|-682.381 -7596.377|-682.381 -7593.375
726 68 AV SW,-461.273 -6144.872|-468.857 -6144.883|-468.780 -6182.089|-461.203 -6182.078
7816 ELBOW DR SW,-759.997 -7134.084|-805.400 -7134.106|-805.414 -7155.434|-761.674 -7155.400
7820 ELBOW DR SW,-761.674 -7155.400|-805.414 -7155.434|-805.421 -7175.226|-763.226 -7175.204
805 67 AV SW,-549.395 -6138.823|-549.339 -6101.595|-556.930 -6101.606|-564.529 -6101.617|-564.578 -6138.845|-556.986 -6138.834
813 68 AV SW,-572.205 -6239.432|-572.219 -6202.304|-587.402 -6202.326|-587.388 -6239.443
716 HERITAGE DR SW,-606.591 -7553.823|-623.270 -7553.845|-623.235 -7596.399|-606.556 -7596.399
7824 ELBOW DR SW,-763.226 -7175.204|-805.421 -7175.226|-805.428 -7193.507|-764.659 -7193.484
809 67 AV SW,-564.578 -6138.845|-564.529 -6101.617|-572.121 -6101.639|-579.712 -6101.650|-579.761 -6138.867|-572.170 -6138.856
7828 ELBOW DR SW,-764.659 -7193.484|-805.428 -7193.507|-805.442 -7214.834|-766.330 -7214.812
813 67 AV SW,-579.761 -6138.867|-579.712 -6101.650|-587.304 -6101.661|-594.896 -6101.684|-594.945 -6138.901|-587.353 -6138.890
703 68 AV SW,-377.750 -6202.126|-385.293 -6202.137|-385.370 -6229.602|-383.930 -6229.591|-383.874 -6239.276|-377.918 -6239.265
705 68 AV SW,-385.293 -6202.137|-392.920 -6202.137|-393.074 -6239.276|-383.874 -6239.276|-383.930 -6229.591|-385.370 -6229.602
827 67 AV SW,-625.304 -6138.945|-625.269 -6101.739|-632.861 -6101.750|-632.896 -6138.967
715 67 AV SW,-423.426 -6101.606|-431.004 -6101.617|-430.962 -6138.756|-423.384 -6138.756
831 67 AV SW,-648.079 -6138.990|-648.044 -6101.784|-655.636 -6101.795|-655.671 -6139.001
717 67 AV SW,-431.004 -6101.617|-438.589 -6101.617|-438.540 -6138.767|-430.962 -6138.756
829A 67 AV SW,-632.896 -6138.967|-632.861 -6101.750|-640.453 -6101.773|-640.488 -6138.978
701 68 AV SW,-377.918 -6239.265|-362.882 -6239.254|-362.889 -6202.115|-377.750 -6202.126
7416 ELBOW DR SW,-765.505 -6731.014|-805.183 -6731.047|-805.211 -6750.840|-764.359 -6750.806
833 67 AV SW,-655.671 -6139.001|-655.636 -6101.795|-663.228 -6101.806|-663.262 -6139.012
8247 4A ST SW,-456.582 -7562.552|-485.208 -7545.339|-490.108 -7553.545|-490.094 -7575.161|-459.756 -7575.139|-459.763 -7567.878
7420 ELBOW DR SW,-764.359 -6750.806|-805.211 -6750.840|-805.232 -6770.643|-763.212 -6770.610
7312 ELBOW DR SW,-768.050 -6606.097|-805.043 -6606.131|-805.064 -6627.469|-768.029 -6627.424
829B 67 AV SW,-640.488 -6138.978|-640.453 -6101.773|-648.044 -6101.784|-648.079 -6138.990
709 68 AV SW,-392.920 -6202.137|-408.089 -6202.148|-408.124 -6239.299|-393.074 -6239.276
7504 ELBOW DR SW,-763.212 -6770.610|-805.232 -6770.643|-805.253 -6790.436|-762.059 -6790.403
6803 6 ST SW,-549.395 -6138.823|-541.803 -6138.812|-534.211 -6138.789|-534.211 -6101.606|-541.747 -6101.573|-549.339 -6101.595
817 68 AV SW,-587.388 -6239.443|-587.402 -6202.326|-602.585 -6202.348|-602.571 -6239.454
720 HERITAGE DR SW,-623.270 -7553.845|-639.949 -7553.856|-639.914 -7596.388|-623.235 -7596.399
713 68 AV SW,-408.089 -6202.148|-423.258 -6202.159|-423.307 -6239.310|-408.124 -6239.299
7508 ELBOW DR SW,-762.059 -6790.403|-805.253 -6790.436|-805.260 -6797.264|-805.267 -6810.240|-760.912 -6810.196
812A 69 AV SW,-579.957 -6245.525|-585.899 -6245.537|-586.039 -6257.279|-587.528 -6257.268|-587.723 -6282.653|-580.055 -6282.642
715 68 AV SW,-423.258 -6202.159|-438.421 -6202.182|-438.484 -6239.321|-423.307 -6239.310
7512 ELBOW DR SW,-760.912 -6810.196|-805.267 -6810.240|-805.281 -6830.033|-759.759 -6829.988
8008 ELBOW DR SW,-768.008 -7236.128|-805.449 -7236.161|-805.463 -7257.488|-769.392 -7257.466|-769.392 -7253.808
812B 69 AV SW,-585.899 -6245.537|-595.126 -6245.548|-595.231 -6282.653|-587.723 -6282.653|-587.528 -6257.268|-586.039 -6257.279
725 68 AV SW,-453.590 -6202.193|-468.759 -6202.204|-468.836 -6239.343|-453.667 -6239.332
7516 ELBOW DR SW,-759.759 -6829.988|-805.281 -6830.033|-805.288 -6848.335|-758.696 -6848.302
803 68 AV SW,-544.760 -6224.999|-544.662 -6202.271|-557.035 -6202.293|-557.028 -6225.010
718A 69 AV SW,-423.496 -6245.392|-431.081 -6245.403|-431.137 -6282.542|-423.545 -6282.531
801 68 AV SW,-534.365 -6224.977|-534.302 -6206.752|-538.762 -6202.271|-544.662 -6202.271|-544.760 -6224.999
708 68 AV SW,-393.060 -6144.827|-400.630 -6144.827|-400.567 -6182.011|-393.004 -6182.000
718B 69 AV SW,-431.081 -6245.403|-438.651 -6245.403|-438.714 -6282.542|-431.137 -6282.542
6921 6 ST SW,-549.730 -6282.620|-542.145 -6282.620|-534.561 -6282.609|-534.435 -6245.492|-542.020 -6245.492|-549.604 -6245.503
712 68 AV SW,-408.215 -6144.838|-415.786 -6144.838|-415.723 -6182.022|-408.159 -6182.022
722 68 AV SW,-446.124 -6144.861|-453.695 -6144.872|-453.625 -6182.067|-446.054 -6182.067
808 69 AV SW,-564.781 -6245.514|-572.365 -6245.525|-579.957 -6245.525|-580.055 -6282.642|-572.484 -6282.642|-564.899 -6282.631
8244 4A ST SW,-399.868 -7571.825|-431.095 -7553.033|-442.769 -7572.592|-406.782 -7583.412
