ADDRESS,POINTS
260 LAKE WILLOW RD SE,383.603 -11592.445|389.636 -11591.677|353.971 -11308.597|353.992 -11304.739|347.938 -11304.694|347.910 -11308.942|348.008 -11309.687|364.799 -11443.088|381.583 -11576.388|383.492 -11591.544
101 12505 BONAVENTURE DR SE,588.264 -11901.222|605.523 -11855.676|602.888 -11849.783|564.650 -11835.161|545.789 -11884.987
102 12505 BONAVENTURE DR SE,588.264 -11901.222|605.523 -11855.676|602.888 -11849.783|564.650 -11835.161|545.789 -11884.987
103 12505 BONAVENTURE DR SE,588.264 -11901.222|605.523 -11855.676|602.888 -11849.783|564.650 -11835.161|545.789 -11884.987
104 12505 BONAVENTURE DR SE,588.264 -11901.222|605.523 -11855.676|602.888 -11849.783|564.650 -11835.161|545.789 -11884.987
105 12505 BONAVENTURE DR SE,588.264 -11901.222|605.523 -11855.676|602.888 -11849.783|564.650 -11835.161|545.789 -11884.987
106 12505 BONAVENTURE DR SE,588.264 -11901.222|605.523 -11855.676|602.888 -11849.783|564.650 -11835.161|545.789 -11884.987
107 12505 BONAVENTURE DR SE,588.264 -11901.222|605.523 -11855.676|602.888 -11849.783|564.650 -11835.161|545.789 -11884.987
201 12505 BONAVENTURE DR SE,588.264 -11901.222|605.523 -11855.676|602.888 -11849.783|564.650 -11835.161|545.789 -11884.987
202 12505 BONAVENTURE DR SE,588.264 -11901.222|605.523 -11855.676|602.888 -11849.783|564.650 -11835.161|545.789 -11884.987
203 12505 BONAVENTURE DR SE,588.264 -11901.222|605.523 -11855.676|602.888 -11849.783|564.650 -11835.161|545.789 -11884.987
204 12505 BONAVENTURE DR SE,588.264 -11901.222|605.523 -11855.676|602.888 -11849.783|564.650 -11835.161|545.789 -11884.987
205 12505 BONAVENTURE DR SE,588.264 -11901.222|605.523 -11855.676|602.888 -11849.783|564.650 -11835.161|545.789 -11884.987
206 12505 BONAVENTURE DR SE,588.264 -11901.222|605.523 -11855.676|602.888 -11849.783|564.650 -11835.161|545.789 -11884.987
207 12505 BONAVENTURE DR SE,588.264 -11901.222|605.523 -11855.676|602.888 -11849.783|564.650 -11835.161|545.789 -11884.987
301 12505 BONAVENTURE DR SE,588.264 -11901.222|605.523 -11855.676|602.888 -11849.783|564.650 -11835.161|545.789 -11884.987
302 12505 BONAVENTURE DR SE,588.264 -11901.222|605.523 -11855.676|602.888 -11849.783|564.650 -11835.161|545.789 -11884.987
303 12505 BONAVENTURE DR SE,588.264 -11901.222|605.523 -11855.676|602.888 -11849.783|564.650 -11835.161|545.789 -11884.987
