ADDRESS,POINTS
75 LINCOLN WY SW,-4738.298 -4162.822|-4751.741 -4162.844|-4753.642 -4162.711|-4755.509 -4162.311|-4757.298 -4161.655|-4758.976 -4160.743|-4760.507 -4159.609|-4761.863 -4158.263|-4763.017 -4156.751|-4763.946 -4155.083|-4765.177 -4152.859|-4766.714 -4150.824|-4768.525 -4149.045|-4770.566 -4147.522|-4772.803 -4146.321|-4775.187 -4145.431|-4777.676 -4144.898|-4780.206 -4144.720|-4826.043 -4144.809|-4830.335 -4149.312|-4826.861 -4232.597|-4822.205 -4237.456|-4790.265 -4240.036|-4786.309 -4240.258|-4782.373 -4240.714|-4778.472 -4241.393|-4774.614 -4242.293|-4770.811 -4243.416|-4767.078 -4244.751|-4763.429 -4246.296|-4759.878 -4248.053|-4758.249 -4248.809|-4738.179 -4226.859
3 LINCOLN GR SW,-4768.840 -4129.708|-4769.000 -4045.334|-4830.195 -4045.445|-4834.487 -4049.948|-4831.341 -4125.338|-4826.672 -4129.820
7 LINCOLN GR SW,-4768.840 -4129.708|-4769.000 -4045.334|-4830.195 -4045.445|-4834.487 -4049.948|-4831.341 -4125.338|-4826.672 -4129.820
11 LINCOLN GR SW,-4768.840 -4129.708|-4769.000 -4045.334|-4830.195 -4045.445|-4834.487 -4049.948|-4831.341 -4125.338|-4826.672 -4129.820
15 LINCOLN GR SW,-4768.840 -4129.708|-4769.000 -4045.334|-4830.195 -4045.445|-4834.487 -4049.948|-4831.341 -4125.338|-4826.672 -4129.820
19 LINCOLN GR SW,-4768.840 -4129.708|-4769.000 -4045.334|-4830.195 -4045.445|-4834.487 -4049.948|-4831.341 -4125.338|-4826.672 -4129.820
23 LINCOLN GR SW,-4768.840 -4129.708|-4769.000 -4045.334|-4830.195 -4045.445|-4834.487 -4049.948|-4831.341 -4125.338|-4826.672 -4129.820
27 LINCOLN GR SW,-4768.840 -4129.708|-4769.000 -4045.334|-4830.195 -4045.445|-4834.487 -4049.948|-4831.341 -4125.338|-4826.672 -4129.820
31 LINCOLN GR SW,-4768.840 -4129.708|-4769.000 -4045.334|-4830.195 -4045.445|-4834.487 -4049.948|-4831.341 -4125.338|-4826.672 -4129.820
35 LINCOLN GR SW,-4768.840 -4129.708|-4769.000 -4045.334|-4830.195 -4045.445|-4834.487 -4049.948|-4831.341 -4125.338|-4826.672 -4129.820
39 LINCOLN GR SW,-4768.840 -4129.708|-4769.000 -4045.334|-4830.195 -4045.445|-4834.487 -4049.948|-4831.341 -4125.338|-4826.672 -4129.820
43 LINCOLN GR SW,-4768.840 -4129.708|-4769.000 -4045.334|-4830.195 -4045.445|-4834.487 -4049.948|-4831.341 -4125.338|-4826.672 -4129.820
42 LINCOLN GR SW,-4768.840 -4129.708|-4769.000 -4045.334|-4830.195 -4045.445|-4834.487 -4049.948|-4831.341 -4125.338|-4826.672 -4129.820
38 LINCOLN GR SW,-4768.840 -4129.708|-4769.000 -4045.334|-4830.195 -4045.445|-4834.487 -4049.948|-4831.341 -4125.338|-4826.672 -4129.820
34 LINCOLN GR SW,-4768.840 -4129.708|-4769.000 -4045.334|-4830.195 -4045.445|-4834.487 -4049.948|-4831.341 -4125.338|-4826.672 -4129.820
30 LINCOLN GR SW,-4768.840 -4129.708|-4769.000 -4045.334|-4830.195 -4045.445|-4834.487 -4049.948|-4831.341 -4125.338|-4826.672 -4129.820
26 LINCOLN GR SW,-4768.840 -4129.708|-4769.000 -4045.334|-4830.195 -4045.445|-4834.487 -4049.948|-4831.341 -4125.338|-4826.672 -4129.820
22 LINCOLN GR SW,-4768.840 -4129.708|-4769.000 -4045.334|-4830.195 -4045.445|-4834.487 -4049.948|-4831.341 -4125.338|-4826.672 -4129.820
18 LINCOLN GR SW,-4768.840 -4129.708|-4769.000 -4045.334|-4830.195 -4045.445|-4834.487 -4049.948|-4831.341 -4125.338|-4826.672 -4129.820
14 LINCOLN GR SW,-4768.840 -4129.708|-4769.000 -4045.334|-4830.195 -4045.445|-4834.487 -4049.948|-4831.341 -4125.338|-4826.672 -4129.820
10 LINCOLN GR SW,-4768.840 -4129.708|-4769.000 -4045.334|-4830.195 -4045.445|-4834.487 -4049.948|-4831.341 -4125.338|-4826.672 -4129.820
6 LINCOLN GR SW,-4768.840 -4129.708|-4769.000 -4045.334|-4830.195 -4045.445|-4834.487 -4049.948|-4831.341 -4125.338|-4826.672 -4129.820
2 LINCOLN GR SW,-4768.840 -4129.708|-4769.000 -4045.334|-4830.195 -4045.445|-4834.487 -4049.948|-4831.341 -4125.338|-4826.672 -4129.820
20 LINCOLN WY SW,-4733.454 -3976.448|-4754.635 -3972.668|-4777.473 -3972.612|-4788.070 -3972.601|-4809.482 -3972.368|-4821.764 -3972.234|-4823.323 -3972.223|-4840.261 -3972.190|-4843.470 -3972.179|-4845.553 -3972.368|-4847.573 -3972.901|-4849.468 -3973.791|-4851.173 -3974.992|-4852.648 -3976.460|-4853.851 -3978.183|-4854.732 -3980.073|-4855.270 -3982.097|-4858.807 -4002.235|-4858.800 -4022.516|-4858.800 -4026.019|-4841.212 -4025.986|-4725.555 -4025.774|-4722.073 -4022.261|-4721.081 -4021.271|-4721.137 -3991.171|-4721.367 -3988.580|-4722.045 -3986.067|-4723.143 -3983.709|-4724.632 -3981.575|-4726.463 -3979.740|-4728.595 -3978.239|-4730.944 -3977.127
