ADDRESS,POINTS
14540 1 ST NW,-38.195 15073.033|-33.120 15073.033|-23.277 15073.088|-21.984 15073.200|-20.726 15073.544|-19.544 15074.100|-18.482 15074.845|-17.566 15075.768|-16.818 15076.836|-16.273 15078.014|-15.937 15079.271|-15.818 15080.572|-15.818 15081.239|-15.825 15086.232|-15.825 15092.470|-15.909 15216.708|-16.000 15217.886|-16.280 15219.032|-16.727 15220.121|-17.349 15221.122|-18.111 15222.012|-19.006 15222.779|-20.013 15223.391|-21.103 15223.835|-22.250 15224.113|-23.424 15224.202|-125.108 15223.980|-129.595 15219.476|-129.582 15172.964|-129.575 15164.468|-129.547 15113.997|-129.547 15107.003|-129.540 15098.207|-129.540 15096.106|-129.540 15088.222|-129.533 15080.227|-129.442 15079.048|-129.162 15077.903|-128.715 15076.824|-128.100 15075.824|-127.331 15074.923|-126.436 15074.167|-125.429 15073.555|-124.346 15073.099|-123.199 15072.833|-122.025 15072.744
500 144 AV NW,-22.718 15783.958|-21.257 15784.102|-19.845 15784.525|-18.545 15785.214|-17.412 15786.148|-16.476 15787.282|-15.784 15788.583|-15.357 15789.984|-15.217 15791.452|-15.245 15864.363|-129.910 15863.929|-129.889 15823.565|-129.924 15788.539|-125.422 15784.035
65 HOWSE LN NE,28.907 15588.210|28.983 15442.689|29.130 15441.221|29.557 15439.820|30.249 15438.530|31.185 15437.385|32.325 15436.462|33.618 15435.762|35.030 15435.339|36.498 15435.195|118.727 15435.384|135.155 15435.428|136.168 15435.473|137.168 15435.662|138.133 15435.984|139.042 15436.429|139.887 15436.996|140.642 15437.674|141.306 15438.442|141.852 15439.287|142.628 15441.032|142.942 15442.912|142.872 15471.211|142.851 15479.684|142.712 15534.314|142.705 15537.816|142.579 15587.176|142.579 15587.576|142.390 15589.111|141.894 15590.578|141.111 15591.913|140.069 15593.069|139.503 15593.536|138.468 15594.181|137.350 15594.648|136.168 15594.937|134.959 15595.026|36.533 15595.749|35.331 15595.671|34.163 15595.404|33.052 15594.959|32.024 15594.337|30.717 15593.136|29.731 15591.646|29.116 15589.978
14910 1 ST NW,-129.707 15438.330|-125.212 15433.838|-116.167 15433.860|-22.459 15434.083|-20.991 15434.227|-19.586 15434.661|-18.293 15435.350|-17.161 15436.284|-16.231 15437.419|-15.539 15438.720|-15.112 15440.121|-14.973 15441.577|-15.070 15588.377|-15.343 15589.889|-15.916 15591.301|-16.776 15592.580|-17.874 15593.647|-19.020 15594.404|-20.285 15594.926|-21.628 15595.215|-22.998 15595.249|-82.829 15595.738|-122.032 15596.060|-123.493 15595.971|-124.912 15595.604|-126.233 15594.959|-127.400 15594.070|-128.379 15592.980|-129.113 15591.713|-129.595 15590.334|-129.791 15588.888|-129.728 15469.710|-129.721 15463.182
110 LUCAS AV NW,-22.641 15753.968|-121.997 15754.035|-125.394 15754.046|-129.889 15749.554|-129.868 15718.553|-129.812 15625.305|-129.812 15622.469|-129.393 15621.157|-128.750 15619.945|-127.883 15618.878|-126.841 15617.988|-125.793 15617.287|-124.639 15616.776|-123.409 15616.465|-122.151 15616.365|-22.431 15615.653|-21.096 15615.742|-19.796 15616.075|-18.587 15616.643|-17.503 15617.421|-16.552 15618.399|-15.811 15619.534|-15.322 15620.801|-15.091 15622.136|-15.091 15624.582|-15.154 15746.485|-15.301 15747.941|-15.728 15749.343|-16.420 15750.632|-17.349 15751.767|-18.489 15752.689|-19.782 15753.390|-21.180 15753.813
14720 1 ST NW,-125.115 15244.973|-23.410 15245.196|-21.949 15245.352|-20.544 15245.785|-19.258 15246.475|-18.125 15247.409|-17.196 15248.543|-16.504 15249.833|-16.084 15251.234|-15.937 15252.690|-15.937 15258.361|-15.937 15264.266|-15.937 15279.255|-15.937 15297.213|-15.832 15311.112|-15.504 15325.012|-78.062 15324.945|-108.023 15324.911|-127.554 15324.889|-129.651 15324.889|-129.637 15290.219|-129.609 15249.455
300 40 LIVINGSTON PR NE,65.795 15346.405|108.696 15346.461|108.675 15367.855|65.767 15367.799
41 LIVINGSTON AV NE,65.718 15405.283|65.746 15383.722|92.443 15383.756|92.422 15405.339
65 LIVINGSTON AV NE,99.937 15383.767|142.215 15383.811|142.201 15397.955|142.061 15399.412|141.642 15400.813|140.957 15402.103|140.034 15403.226|138.902 15404.160|137.616 15404.861|136.217 15405.283|134.763 15405.439|99.923 15405.361
14724 CENTRE ST NE,30.773 15249.721|45.152 15249.733|46.166 15249.733|46.159 15256.838|30.116 15256.816|30.123 15252.813|30.158 15252.023|30.284 15251.234|30.486 15250.466
14728 CENTRE ST NE,30.116 15256.816|46.159 15256.838|46.152 15262.820|30.116 15262.809
14732 CENTRE ST NE,46.152 15262.820|46.145 15268.814|30.109 15268.791|30.116 15262.809
14736 CENTRE ST NE,46.145 15268.814|46.138 15274.796|30.109 15274.785|30.109 15268.791
14740 CENTRE ST NE,46.138 15274.796|46.131 15280.789|30.109 15280.778|30.109 15274.785
14744 CENTRE ST NE,30.102 15287.228|30.109 15280.778|46.131 15280.789|46.124 15287.239
14750 CENTRE ST NE,30.102 15288.740|46.124 15288.762|46.117 15295.211|30.102 15295.189
14754 CENTRE ST NE,46.117 15295.211|46.110 15301.194|30.081 15301.182|30.102 15297.257|30.102 15295.189
14758 CENTRE ST NE,46.110 15301.194|46.103 15307.187|30.032 15307.176|30.081 15301.182
14762 CENTRE ST NE,46.103 15307.187|46.103 15313.180|29.941 15313.158|30.032 15307.176
14766 CENTRE ST NE,46.103 15313.180|46.096 15319.163|29.808 15319.152|29.941 15313.158
14770 CENTRE ST NE,46.089 15325.612|29.620 15325.601|29.808 15319.152|46.096 15319.163
14776 CENTRE ST NE,29.564 15327.124|46.082 15327.147|46.075 15333.585|29.361 15333.574|29.543 15327.691|29.557 15327.680
14780 CENTRE ST NE,46.075 15333.585|46.075 15339.578|29.214 15339.556|29.361 15333.574
14784 CENTRE ST NE,29.214 15339.556|46.075 15339.578|46.068 15345.572|29.102 15345.549
14788 CENTRE ST NE,46.068 15345.572|46.061 15351.554|29.039 15351.543|29.102 15345.549
14792 CENTRE ST NE,46.061 15351.554|46.054 15357.547|29.025 15357.525|29.025 15357.180|29.039 15351.543
14796 CENTRE ST NE,46.054 15357.547|46.047 15363.997|29.025 15363.974|29.025 15357.525
14802 CENTRE ST NE,29.018 15365.498|46.047 15365.520|46.040 15371.958|29.018 15371.947
14806 CENTRE ST NE,46.040 15371.958|46.033 15377.951|29.018 15377.940|29.018 15371.947
14810 CENTRE ST NE,46.033 15377.951|46.026 15383.945|29.011 15383.923|29.018 15377.940
14814 CENTRE ST NE,46.026 15383.945|46.019 15389.927|29.011 15389.916|29.011 15383.923
14818 CENTRE ST NE,46.019 15389.927|46.019 15395.921|29.004 15395.909|29.011 15389.916
14822 CENTRE ST NE,46.019 15395.921|46.012 15403.015|31.199 15403.004|30.703 15402.459|30.270 15401.870|29.892 15401.247|29.578 15400.580|29.326 15399.890|29.151 15399.179|29.039 15398.456|29.004 15397.722|29.004 15395.898
300 14800 1 ST NW,-60.844 15327.458|-41.599 15327.469|-41.620 15354.967|-60.872 15354.956
100 14800 1 ST NW,-102.060 15358.548|-102.032 15327.413|-81.284 15327.436|-81.312 15358.559
14775 CENTRE ST NW,-35.595 15327.647|-15.427 15327.647|-15.050 15342.391|-14.931 15357.147|-14.938 15370.501|-35.636 15370.479
200 14800 1 ST NW,-79.886 15358.559|-50.463 15358.592|-50.484 15378.563|-82.165 15378.530|-82.144 15360.783|-82.144 15360.138|-79.893 15360.149
103 148 AV NW,-59.173 15384.545|-21.977 15384.579|-21.991 15401.191|-21.991 15402.726|-59.187 15402.692|-59.180 15391.150|-59.173 15385.746
300 60 HOWSE LN NE,115.302 15616.164|134.728 15616.031|136.154 15616.153|137.532 15616.554|138.811 15617.198|139.936 15618.077|140.929 15619.233|141.670 15620.557|142.124 15622.013|142.278 15623.525|142.271 15633.344|136.812 15633.388|115.428 15633.544
200 60 HOWSE LN NE,115.428 15633.544|91.632 15633.722|91.506 15616.342|96.330 15616.309|115.302 15616.164
1500 60 HOWSE LN NE,79.504 15616.431|79.636 15633.811|55.820 15633.978|55.694 15616.609
1400 60 HOWSE LN NE,36.351 15616.754|55.694 15616.609|55.820 15633.978|34.296 15634.145|28.900 15634.178|28.907 15624.248|29.102 15622.536|29.676 15620.924|30.612 15619.478|31.843 15618.288|32.863 15617.632|33.968 15617.154|35.142 15616.854
100 60 HOWSE LN NE,85.005 15640.961|111.415 15640.772|111.408 15646.543|111.408 15649.145|111.408 15651.747|111.408 15654.338|111.401 15656.940|111.401 15657.251|85.124 15657.451
1600 60 HOWSE LN NE,85.124 15657.451|58.581 15657.651|58.581 15657.051|58.581 15654.449|58.588 15651.858|58.588 15649.256|58.588 15646.654|58.588 15641.161|85.005 15640.961
400 60 HOWSE LN NE,116.791 15682.781|100.070 15682.770|99.790 15682.770|99.804 15661.821|116.798 15661.832
14867 1 ST NE,142.243 15686.762|123.984 15686.751|124.012 15641.272|142.271 15641.139
500 60 HOWSE LN NE,116.784 15688.775|116.770 15710.146|111.366 15710.146|111.373 15712.748|99.776 15712.715|99.790 15688.764
800 60 HOWSE LN NE,111.373 15712.748|111.373 15715.339|111.373 15717.941|111.373 15720.543|111.373 15723.134|111.380 15729.394|84.956 15729.339|84.991 15712.682|99.776 15712.715
14887 1 ST NE,142.243 15686.762|142.215 15730.640|136.819 15730.628|123.956 15730.606|123.984 15686.751
700 60 HOWSE LN NE,115.379 15736.600|115.344 15753.690|90.849 15753.635|90.884 15736.544
600 60 HOWSE LN NE,115.379 15736.600|136.805 15736.644|136.805 15735.832|142.208 15735.843|142.208 15746.240|142.103 15747.463|141.803 15748.653|141.467 15749.498|141.027 15750.288|140.496 15751.022|139.880 15751.678|138.685 15752.601|137.329 15753.257|136.029 15753.612|134.693 15753.735|115.344 15753.690
46 LIVINGSTON PR NE,66.103 15245.385|100.349 15245.463|100.314 15266.479|65.893 15266.434|65.914 15249.677|65.921 15245.385
52 LIVINGSTON PR NE,66.103 15245.385|100.349 15245.463|100.314 15266.479|65.893 15266.434|65.914 15249.677|65.921 15245.385
58 LIVINGSTON PR NE,66.103 15245.385|100.349 15245.463|100.314 15266.479|65.893 15266.434|65.914 15249.677|65.921 15245.385
60 LIVINGSTON PR NE,66.103 15245.385|100.349 15245.463|100.314 15266.479|65.893 15266.434|65.914 15249.677|65.921 15245.385
64 LIVINGSTON PR NE,66.103 15245.385|100.349 15245.463|100.314 15266.479|65.893 15266.434|65.914 15249.677|65.921 15245.385
54 LIVINGSTON PR NE,66.103 15245.385|100.349 15245.463|100.314 15266.479|65.893 15266.434|65.914 15249.677|65.921 15245.385
56 LIVINGSTON PR NE,66.103 15245.385|100.349 15245.463|100.314 15266.479|65.893 15266.434|65.914 15249.677|65.921 15245.385
62 LIVINGSTON PR NE,66.103 15245.385|100.349 15245.463|100.314 15266.479|65.893 15266.434|65.914 15249.677|65.921 15245.385
66 LIVINGSTON PR NE,66.103 15245.385|100.349 15245.463|100.314 15266.479|65.893 15266.434|65.914 15249.677|65.921 15245.385
50 LIVINGSTON PR NE,66.103 15245.385|100.349 15245.463|100.314 15266.479|65.893 15266.434|65.914 15249.677|65.921 15245.385
44 LIVINGSTON PR NE,66.103 15245.385|100.349 15245.463|100.314 15266.479|65.893 15266.434|65.914 15249.677|65.921 15245.385
48 LIVINGSTON PR NE,66.103 15245.385|100.349 15245.463|100.314 15266.479|65.893 15266.434|65.914 15249.677|65.921 15245.385
14633 1 ST NE,142.278 15323.121|129.618 15323.110|121.628 15323.099|121.684 15281.368|121.684 15280.901|142.313 15280.923|142.313 15281.401
14639 1 ST NE,142.278 15323.121|129.618 15323.110|121.628 15323.099|121.684 15281.368|121.684 15280.901|142.313 15280.923|142.313 15281.401
14641 1 ST NE,142.278 15323.121|129.618 15323.110|121.628 15323.099|121.684 15281.368|121.684 15280.901|142.313 15280.923|142.313 15281.401
14647 1 ST NE,142.278 15323.121|129.618 15323.110|121.628 15323.099|121.684 15281.368|121.684 15280.901|142.313 15280.923|142.313 15281.401
14649 1 ST NE,142.278 15323.121|129.618 15323.110|121.628 15323.099|121.684 15281.368|121.684 15280.901|142.313 15280.923|142.313 15281.401
14655 1 ST NE,142.278 15323.121|129.618 15323.110|121.628 15323.099|121.684 15281.368|121.684 15280.901|142.313 15280.923|142.313 15281.401
14657 1 ST NE,142.278 15323.121|129.618 15323.110|121.628 15323.099|121.684 15281.368|121.684 15280.901|142.313 15280.923|142.313 15281.401
14663 1 ST NE,142.278 15323.121|129.618 15323.110|121.628 15323.099|121.684 15281.368|121.684 15280.901|142.313 15280.923|142.313 15281.401
14635 1 ST NE,142.278 15323.121|129.618 15323.110|121.628 15323.099|121.684 15281.368|121.684 15280.901|142.313 15280.923|142.313 15281.401
14637 1 ST NE,142.278 15323.121|129.618 15323.110|121.628 15323.099|121.684 15281.368|121.684 15280.901|142.313 15280.923|142.313 15281.401
14643 1 ST NE,142.278 15323.121|129.618 15323.110|121.628 15323.099|121.684 15281.368|121.684 15280.901|142.313 15280.923|142.313 15281.401
14645 1 ST NE,142.278 15323.121|129.618 15323.110|121.628 15323.099|121.684 15281.368|121.684 15280.901|142.313 15280.923|142.313 15281.401
14651 1 ST NE,142.278 15323.121|129.618 15323.110|121.628 15323.099|121.684 15281.368|121.684 15280.901|142.313 15280.923|142.313 15281.401
14653 1 ST NE,142.278 15323.121|129.618 15323.110|121.628 15323.099|121.684 15281.368|121.684 15280.901|142.313 15280.923|142.313 15281.401
14659 1 ST NE,142.278 15323.121|129.618 15323.110|121.628 15323.099|121.684 15281.368|121.684 15280.901|142.313 15280.923|142.313 15281.401
14661 1 ST NE,142.278 15323.121|129.618 15323.110|121.628 15323.099|121.684 15281.368|121.684 15280.901|142.313 15280.923|142.313 15281.401
78 LIVINGSTON PR NE,101.887 15266.479|101.922 15245.463|134.896 15245.541|136.008 15245.630|137.091 15245.885|138.126 15246.308|139.084 15246.875|140.454 15248.076|141.488 15249.566|142.131 15251.267|142.341 15253.068|142.334 15262.909|142.327 15266.534
80 LIVINGSTON PR NE,101.887 15266.479|101.922 15245.463|134.896 15245.541|136.008 15245.630|137.091 15245.885|138.126 15246.308|139.084 15246.875|140.454 15248.076|141.488 15249.566|142.131 15251.267|142.341 15253.068|142.334 15262.909|142.327 15266.534
86 LIVINGSTON PR NE,101.887 15266.479|101.922 15245.463|134.896 15245.541|136.008 15245.630|137.091 15245.885|138.126 15246.308|139.084 15246.875|140.454 15248.076|141.488 15249.566|142.131 15251.267|142.341 15253.068|142.334 15262.909|142.327 15266.534
94 LIVINGSTON PR NE,101.887 15266.479|101.922 15245.463|134.896 15245.541|136.008 15245.630|137.091 15245.885|138.126 15246.308|139.084 15246.875|140.454 15248.076|141.488 15249.566|142.131 15251.267|142.341 15253.068|142.334 15262.909|142.327 15266.534
96 LIVINGSTON PR NE,101.887 15266.479|101.922 15245.463|134.896 15245.541|136.008 15245.630|137.091 15245.885|138.126 15246.308|139.084 15246.875|140.454 15248.076|141.488 15249.566|142.131 15251.267|142.341 15253.068|142.334 15262.909|142.327 15266.534
76 LIVINGSTON PR NE,101.887 15266.479|101.922 15245.463|134.896 15245.541|136.008 15245.630|137.091 15245.885|138.126 15246.308|139.084 15246.875|140.454 15248.076|141.488 15249.566|142.131 15251.267|142.341 15253.068|142.334 15262.909|142.327 15266.534
82 LIVINGSTON PR NE,101.887 15266.479|101.922 15245.463|134.896 15245.541|136.008 15245.630|137.091 15245.885|138.126 15246.308|139.084 15246.875|140.454 15248.076|141.488 15249.566|142.131 15251.267|142.341 15253.068|142.334 15262.909|142.327 15266.534
90 LIVINGSTON PR NE,101.887 15266.479|101.922 15245.463|134.896 15245.541|136.008 15245.630|137.091 15245.885|138.126 15246.308|139.084 15246.875|140.454 15248.076|141.488 15249.566|142.131 15251.267|142.341 15253.068|142.334 15262.909|142.327 15266.534
98 LIVINGSTON PR NE,101.887 15266.479|101.922 15245.463|134.896 15245.541|136.008 15245.630|137.091 15245.885|138.126 15246.308|139.084 15246.875|140.454 15248.076|141.488 15249.566|142.131 15251.267|142.341 15253.068|142.334 15262.909|142.327 15266.534
72 LIVINGSTON PR NE,101.887 15266.479|101.922 15245.463|134.896 15245.541|136.008 15245.630|137.091 15245.885|138.126 15246.308|139.084 15246.875|140.454 15248.076|141.488 15249.566|142.131 15251.267|142.341 15253.068|142.334 15262.909|142.327 15266.534
92 LIVINGSTON PR NE,101.887 15266.479|101.922 15245.463|134.896 15245.541|136.008 15245.630|137.091 15245.885|138.126 15246.308|139.084 15246.875|140.454 15248.076|141.488 15249.566|142.131 15251.267|142.341 15253.068|142.334 15262.909|142.327 15266.534
84 LIVINGSTON PR NE,101.887 15266.479|101.922 15245.463|134.896 15245.541|136.008 15245.630|137.091 15245.885|138.126 15246.308|139.084 15246.875|140.454 15248.076|141.488 15249.566|142.131 15251.267|142.341 15253.068|142.334 15262.909|142.327 15266.534
74 LIVINGSTON PR NE,101.887 15266.479|101.922 15245.463|134.896 15245.541|136.008 15245.630|137.091 15245.885|138.126 15246.308|139.084 15246.875|140.454 15248.076|141.488 15249.566|142.131 15251.267|142.341 15253.068|142.334 15262.909|142.327 15266.534
88 LIVINGSTON PR NE,101.887 15266.479|101.922 15245.463|134.896 15245.541|136.008 15245.630|137.091 15245.885|138.126 15246.308|139.084 15246.875|140.454 15248.076|141.488 15249.566|142.131 15251.267|142.341 15253.068|142.334 15262.909|142.327 15266.534
101 40 LIVINGSTON PR NE,65.872 15282.335|108.780 15282.379|108.752 15302.306|65.851 15302.250
104 40 LIVINGSTON PR NE,65.872 15282.335|108.780 15282.379|108.752 15302.306|65.851 15302.250
105 40 LIVINGSTON PR NE,65.872 15282.335|108.780 15282.379|108.752 15302.306|65.851 15302.250
108 40 LIVINGSTON PR NE,65.872 15282.335|108.780 15282.379|108.752 15302.306|65.851 15302.250
109 40 LIVINGSTON PR NE,65.872 15282.335|108.780 15282.379|108.752 15302.306|65.851 15302.250
112 40 LIVINGSTON PR NE,65.872 15282.335|108.780 15282.379|108.752 15302.306|65.851 15302.250
113 40 LIVINGSTON PR NE,65.872 15282.335|108.780 15282.379|108.752 15302.306|65.851 15302.250
116 40 LIVINGSTON PR NE,65.872 15282.335|108.780 15282.379|108.752 15302.306|65.851 15302.250
102 40 LIVINGSTON PR NE,65.872 15282.335|108.780 15282.379|108.752 15302.306|65.851 15302.250
103 40 LIVINGSTON PR NE,65.872 15282.335|108.780 15282.379|108.752 15302.306|65.851 15302.250
106 40 LIVINGSTON PR NE,65.872 15282.335|108.780 15282.379|108.752 15302.306|65.851 15302.250
107 40 LIVINGSTON PR NE,65.872 15282.335|108.780 15282.379|108.752 15302.306|65.851 15302.250
110 40 LIVINGSTON PR NE,65.872 15282.335|108.780 15282.379|108.752 15302.306|65.851 15302.250
111 40 LIVINGSTON PR NE,65.872 15282.335|108.780 15282.379|108.752 15302.306|65.851 15302.250
114 40 LIVINGSTON PR NE,65.872 15282.335|108.780 15282.379|108.752 15302.306|65.851 15302.250
115 40 LIVINGSTON PR NE,65.872 15282.335|108.780 15282.379|108.752 15302.306|65.851 15302.250
216 40 LIVINGSTON PR NE,65.844 15305.263|108.752 15305.319|108.724 15325.178|65.823 15325.123
213 40 LIVINGSTON PR NE,65.844 15305.263|108.752 15305.319|108.724 15325.178|65.823 15325.123
212 40 LIVINGSTON PR NE,65.844 15305.263|108.752 15305.319|108.724 15325.178|65.823 15325.123
209 40 LIVINGSTON PR NE,65.844 15305.263|108.752 15305.319|108.724 15325.178|65.823 15325.123
208 40 LIVINGSTON PR NE,65.844 15305.263|108.752 15305.319|108.724 15325.178|65.823 15325.123
205 40 LIVINGSTON PR NE,65.844 15305.263|108.752 15305.319|108.724 15325.178|65.823 15325.123
204 40 LIVINGSTON PR NE,65.844 15305.263|108.752 15305.319|108.724 15325.178|65.823 15325.123
201 40 LIVINGSTON PR NE,65.844 15305.263|108.752 15305.319|108.724 15325.178|65.823 15325.123
215 40 LIVINGSTON PR NE,65.844 15305.263|108.752 15305.319|108.724 15325.178|65.823 15325.123
214 40 LIVINGSTON PR NE,65.844 15305.263|108.752 15305.319|108.724 15325.178|65.823 15325.123
211 40 LIVINGSTON PR NE,65.844 15305.263|108.752 15305.319|108.724 15325.178|65.823 15325.123
210 40 LIVINGSTON PR NE,65.844 15305.263|108.752 15305.319|108.724 15325.178|65.823 15325.123
207 40 LIVINGSTON PR NE,65.844 15305.263|108.752 15305.319|108.724 15325.178|65.823 15325.123
206 40 LIVINGSTON PR NE,65.844 15305.263|108.752 15305.319|108.724 15325.178|65.823 15325.123
203 40 LIVINGSTON PR NE,65.844 15305.263|108.752 15305.319|108.724 15325.178|65.823 15325.123
202 40 LIVINGSTON PR NE,65.844 15305.263|108.752 15305.319|108.724 15325.178|65.823 15325.123
