ADDRESS,POINTS
11 MACEWAN DR NW,-2544.498 9598.106|-2549.999 9628.584|-2562.876 9626.260|-2557.367 9595.771
79 MACEWAN PARK WY NW,-2739.707 9667.636|-2745.124 9697.625|-2757.113 9695.457|-2751.695 9665.468
11 MACEWAN PARK PL NW,-2913.245 9795.777|-2913.595 9803.016|-2914.245 9810.232|-2944.514 9806.852|-2943.983 9800.914|-2943.696 9794.954
151 MACEWAN MEADOW WY NW,-2804.669 9938.718|-2808.311 9958.878|-2835.896 9956.787|-2835.448 9954.452|-2835.316 9952.084|-2835.497 9949.715|-2835.987 9947.391
103 MACEWAN MEADOW WY NW,-2939.907 9942.110|-2939.774 9942.977|-2939.425 9945.623|-2939.306 9948.281|-2939.432 9950.939|-2939.788 9953.585|-2940.096 9955.275|-2970.071 9949.849|-2967.764 9937.061
3 MACEWAN GLEN WY NW,-2900.593 9267.523|-2920.229 9291.475|-2926.765 9286.104|-2927.632 9285.237|-2928.310 9284.214|-2928.778 9283.091|-2929.016 9281.890|-2929.016 9280.656|-2928.778 9279.455|-2928.310 9278.332|-2927.632 9277.309|-2921.774 9270.170|-2919.264 9267.212|-2916.643 9264.343|-2913.916 9261.563|-2911.092 9258.895
132 MACEWAN GLEN WY NW,-2684.063 9501.177|-2686.230 9513.175|-2716.687 9507.660|-2714.520 9495.662
74 MACEWAN PARK CI NW,-3117.829 9626.294|-3120.939 9628.662|-3142.680 9600.041|-3133.459 9592.935|-3111.677 9621.613
158 MACEWAN RIDGE CI NW,-3263.979 10137.512|-3297.155 10146.842|-3300.630 10133.376|-3266.705 10125.359|-3265.426 10131.452
68 MACEWAN RIDGE GA NW,-3269.571 10409.729|-3276.002 10419.002|-3303.244 10398.076|-3299.546 10392.727|-3295.680 10387.501|-3269.166 10409.139
157 MACEWAN VALLEY RD NW,-2866.801 10295.587|-2856.734 10293.563|-2850.918 10325.009|-2859.139 10326.655|-2860.279 10326.800|-2861.432 10326.777|-2862.564 10326.577|-2863.655 10326.210|-2864.683 10325.677|-2865.605 10324.987|-2866.451 10324.131|-2867.143 10323.141|-2867.674 10322.063|-2868.024 10320.906|-2873.211 10296.988|-2871.750 10296.666
513 MACEWAN VALLEY RD NW,-2706.467 10569.927|-2716.785 10577.822|-2733.653 10544.853|-2723.440 10536.747
12 MACEWAN RIDGE GA NW,-3133.970 10262.874|-3143.190 10272.670|-3167.552 10249.730|-3158.339 10239.934
14 MACEWAN RIDGE PL NW,-2984.513 10552.603|-3017.215 10559.709|-3019.941 10547.143|-2987.240 10540.049
559 MACEWAN DR NW,-3031.238 10260.705|-3042.290 10292.307|-3050.706 10289.160|-3038.235 10258.092
63 MACEWAN PARK GR NW,-3128.126 9464.138|-3128.720 9470.365|-3128.930 9471.588|-3129.335 9472.767|-3129.936 9473.857|-3130.705 9474.835|-3131.628 9475.669|-3132.676 9476.336|-3133.823 9476.826|-3135.032 9477.126|-3166.965 9482.063|-3164.819 9468.519|-3163.504 9460.224
304 MACEWAN PARK VW NW,-3578.634 9391.561|-3580.766 9393.151|-3583.038 9394.541|-3585.422 9395.731|-3587.903 9396.699|-3590.119 9397.621|-3615.313 9375.071|-3601.744 9364.018
236 MACEWAN PARK VW NW,-3495.776 9577.501|-3514.769 9611.305|-3529.141 9588.132|-3502.927 9568.584|-3501.704 9571.219|-3500.075 9573.632|-3498.083 9575.745
2 MACEWAN PARK VW NW,-2979.823 9273.895|-2974.496 9277.575|-2969.358 9281.501|-2968.288 9282.535|-2967.443 9283.769|-2966.855 9285.137|-2966.548 9286.593|-2966.541 9288.072|-2966.820 9289.540|-2967.387 9290.908|-2968.212 9292.153|-2977.705 9303.728|-2982.528 9299.770|-2985.310 9297.557|-2988.169 9295.433|-2991.084 9293.398|-2994.069 9291.464
124 MACEWAN GLEN CL NW,-2526.581 9560.722|-2514.592 9562.890|-2520.101 9593.369|-2532.090 9591.201
31 MACEWAN PARK WY NW,-2831.771 9748.875|-2861.816 9753.868|-2862.823 9748.230|-2863.970 9742.615|-2834.218 9736.121|-2832.918 9742.481
64 MACEWAN PARK RD NW,-2802.153 9828.980|-2807.570 9858.980|-2813.372 9857.924|-2814.792 9857.524|-2816.099 9856.857|-2817.245 9855.934|-2818.196 9854.822|-2818.916 9853.532|-2819.363 9852.142|-2819.531 9850.685|-2819.412 9849.217|-2817.679 9839.632|-2816.581 9833.094|-2815.644 9826.545
31 MACEWAN MEADOW RI NW,-2801.286 10124.825|-2813.065 10125.070|-2814.225 10094.613|-2807.808 10094.424|-2801.391 10094.347
76 MACEWAN MEADOW RI NW,-2646.048 10162.409|-2651.466 10192.398|-2661.735 10190.541|-2656.317 10160.552
216 MACEWAN GLEN DR NW,-2979.921 9465.128|-2980.529 9468.464|-2981.193 9472.456|-2981.759 9476.470|-3012.461 9472.545|-3011.783 9467.741|-3010.986 9462.948|-3010.385 9459.613
48 MACEWAN GLEN WY NW,-2805.410 9384.534|-2814.470 9414.145|-2826.123 9410.576|-2825.158 9407.318|-2819.279 9388.114|-2818.713 9386.758|-2817.895 9385.546|-2816.854 9384.500|-2815.630 9383.689|-2814.274 9383.133|-2812.834 9382.855|-2811.366 9382.855|-2809.926 9383.144
119 MACEWAN PARK CI NW,-3202.323 9675.909|-3219.561 9691.276|-3231.808 9682.647|-3197.975 9656.528|-3195.304 9658.663|-3192.885 9661.076|-3189.705 9664.645
56 MACEWAN RIDGE VW NW,-3418.559 10304.194|-3454.951 10315.313|-3450.617 10289.027|-3418.762 10296.466|-3419.090 10298.389|-3419.167 10300.346|-3418.992 10302.292
164 MACEWAN VALLEY RD NW,-2825.333 10368.631|-2831.373 10369.410|-2837.399 10370.321|-2842.698 10338.786|-2836.672 10337.864|-2830.632 10337.063
615 MACEWAN VALLEY RD NW,-2811.038 10629.550|-2823.075 10633.953|-2833.414 10598.916|-2821.412 10594.435
8 MACEWAN RIDGE CL NW,-3165.427 10345.180|-3171.488 10351.618|-3172.592 10352.586|-3173.864 10353.320|-3175.255 10353.787|-3176.709 10353.976|-3178.177 10353.876|-3179.597 10353.498|-3180.911 10352.841|-3182.071 10351.941|-3200.987 10334.138|-3190.117 10322.585|-3189.796 10322.241
155 MACEWAN RIDGE CL NW,-3065.554 10431.946|-3087.434 10457.242|-3089.154 10456.086|-3091.020 10455.174|-3092.992 10454.529|-3095.040 10454.162|-3088.448 10417.090|-3067.826 10429.199
52 MACEWAN PARK MR NW,-3406.948 9525.851|-3409.555 9526.107|-3433.896 9491.481|-3432.372 9490.247|-3431.023 9488.824|-3429.877 9487.245|-3428.940 9485.521|-3381.398 9507.560|-3381.384 9508.194|-3380.992 9523.338|-3392.981 9524.506
200 MACEWAN PARK VW NW,-3392.429 9625.971|-3396.903 9626.083|-3401.314 9576.301|-3388.801 9575.011|-3382.880 9625.716
15 MACEWAN DR NW,-2557.367 9595.771|-2562.876 9626.260|-2576.339 9623.825|-2570.831 9593.336
83 MACEWAN PARK WY NW,-2727.718 9669.804|-2733.136 9699.805|-2745.124 9697.625|-2739.707 9667.636
15 MACEWAN PARK PL NW,-2914.650 9781.944|-2914.007 9784.224|-2913.546 9786.537|-2913.273 9788.883|-2913.182 9791.251|-2913.245 9795.777|-2943.696 9794.954|-2943.668 9788.049|-2943.983 9781.144
155 MACEWAN MEADOW WY NW,-2808.311 9958.878|-2810.884 9973.144|-2840.635 9967.762|-2839.412 9964.515|-2837.825 9961.424|-2836.693 9959.178|-2835.896 9956.787
39 MACEWAN GLEN WY NW,-2817.070 9332.862|-2828.877 9361.161|-2832.282 9359.660|-2835.623 9358.025|-2838.902 9356.279|-2842.110 9354.400|-2826.326 9328.503|-2823.376 9330.927
136 MACEWAN GLEN WY NW,-2686.230 9513.175|-2688.397 9525.173|-2718.854 9519.658|-2716.687 9507.660
78 MACEWAN PARK CI NW,-3127.566 9633.699|-3130.670 9636.068|-3152.376 9607.502|-3142.680 9600.041|-3120.939 9628.662
154 MACEWAN RIDGE CI NW,-3266.705 10125.359|-3300.630 10133.376|-3302.692 10125.392|-3303.181 10118.420|-3268.830 10112.694|-3267.858 10119.043
64 MACEWAN RIDGE GA NW,-3262.091 10399.132|-3262.594 10399.666|-3269.166 10409.139|-3295.680 10387.501|-3291.144 10381.786|-3286.397 10376.248
173 MACEWAN VALLEY RD NW,-2802.726 10320.039|-2809.080 10320.250|-2815.421 10320.595|-2817.483 10288.682|-2810.471 10288.304|-2803.453 10288.070
505 MACEWAN VALLEY RD NW,-2686.383 10553.048|-2693.045 10558.819|-2696.352 10561.643|-2713.437 10528.229|-2703.489 10519.623
16 MACEWAN RIDGE GA NW,-3143.190 10272.670|-3152.823 10282.922|-3177.192 10259.983|-3167.552 10249.730
18 MACEWAN RIDGE PL NW,-2981.661 10565.758|-3014.363 10572.863|-3017.215 10559.709|-2984.513 10552.603
561 MACEWAN DR NW,-3023.947 10263.085|-3033.740 10295.098|-3042.290 10292.307|-3031.238 10260.705
121 MACEWAN PARK GR NW,-3166.965 9482.063|-3190.460 9485.699|-3192.172 9485.766|-3193.857 9485.432|-3195.423 9484.732|-3196.793 9483.697|-3197.884 9482.374|-3198.646 9480.840|-3199.044 9479.172|-3199.044 9477.448|-3198.932 9476.414|-3197.625 9464.906|-3164.819 9468.519
80 MACEWAN PARK VW NW,-3282.252 9268.513|-3261.770 9286.438|-3261.280 9286.871|-3260.134 9294.421|-3261.777 9297.224|-3262.965 9299.314|-3294.010 9281.912|-3291.346 9278.332|-3288.494 9274.896|-3285.460 9271.615
240 MACEWAN PARK VW NW,-3502.927 9568.584|-3529.141 9588.132|-3538.502 9573.043|-3509.246 9554.095|-3507.695 9556.497|-3506.345 9558.798|-3505.213 9561.211|-3504.297 9563.702|-3503.605 9566.282
4 MACEWAN PARK VW NW,-2979.823 9273.895|-2994.069 9291.464|-2998.368 9288.906|-3002.779 9286.538|-3007.288 9284.381|-3011.888 9282.412|-2997.166 9264.265|-2992.699 9266.423|-2988.316 9268.758|-2984.017 9271.248
19 MACEWAN DR NW,-2570.831 9593.336|-2576.339 9623.825|-2589.502 9621.446|-2583.994 9590.956
87 MACEWAN PARK WY NW,-2727.718 9669.804|-2714.947 9672.117|-2719.029 9694.734|-2719.434 9696.146|-2720.099 9697.459|-2721.014 9698.604|-2722.133 9699.560|-2723.412 9700.272|-2724.810 9700.728|-2726.271 9700.894|-2727.732 9700.772|-2733.136 9699.805
19 MACEWAN PARK PL NW,-2921.208 9768.290|-2920.837 9769.724|-2920.313 9771.103|-2919.649 9772.426|-2918.852 9773.672|-2917.559 9775.606|-2916.426 9777.641|-2915.454 9779.765|-2914.650 9781.944|-2943.983 9781.144|-2944.619 9774.361|-2945.576 9767.611
163 MACEWAN MEADOW WY NW,-2813.282 9986.421|-2815.588 9999.208|-2845.571 9993.782|-2843.264 9980.995
2 MACEWAN PARK RD NW,-2973.154 9719.875|-2997.956 9737.700|-2999.620 9735.031|-3000.165 9733.986|-3000.508 9732.852|-3000.619 9731.662|-3000.515 9730.483|-3000.186 9729.349|-2999.648 9728.293|-2998.921 9727.359|-2998.026 9726.569|-2978.257 9712.359|-2977.670 9713.170|-2975.363 9716.495
43 MACEWAN GLEN WY NW,-2803.215 9337.109|-2812.282 9366.743|-2819.818 9364.430|-2822.977 9363.407|-2826.095 9362.273|-2814.197 9333.751
140 MACEWAN GLEN WY NW,-2688.397 9525.173|-2690.564 9537.171|-2721.028 9531.656|-2718.854 9519.658
82 MACEWAN PARK CI NW,-3136.822 9640.749|-3139.933 9643.118|-3161.596 9614.607|-3152.376 9607.502|-3130.670 9636.068
150 MACEWAN RIDGE CI NW,-3268.830 10112.694|-3303.181 10118.420|-3304.426 10100.774|-3270.109 10101.652|-3269.536 10107.179
76 MACEWAN RIDGE GA NW,-3283.007 10429.099|-3288.564 10439.896|-3316.764 10421.571|-3314.639 10417.446|-3310.710 10410.196|-3282.573 10428.476
217 MACEWAN VALLEY RD NW,-2660.631 10307.029|-2648.859 10309.153|-2650.096 10319.850|-2651.068 10330.569|-2651.452 10336.140|-2656.632 10340.243|-2666.321 10338.497
631 MACEWAN VALLEY RD NW,-2876.699 10651.177|-2892.050 10656.070|-2901.767 10658.472|-2911.512 10660.740|-2918.097 10630.362|-2908.121 10628.193|-2874.553 10610.536|-2872.225 10611.392|-2869.807 10611.926|-2867.332 10612.115|-2864.857 10611.970
20 MACEWAN RIDGE GA NW,-3153.082 10283.189|-3162.463 10293.174|-3186.825 10270.235|-3177.192 10259.983|-3152.823 10282.922
22 MACEWAN RIDGE PL NW,-2978.942 10578.323|-3011.636 10585.417|-3013.657 10576.099|-3014.363 10572.863|-2981.661 10565.758
563 MACEWAN DR NW,-3016.676 10265.120|-3025.051 10297.711|-3033.251 10295.242|-3033.740 10295.098|-3023.947 10263.085
125 MACEWAN PARK GR NW,-3163.504 9460.224|-3164.819 9468.519|-3197.625 9464.906|-3196.038 9450.962|-3162.617 9454.631
352 MACEWAN PARK VW NW,-3439.307 9318.195|-3441.977 9318.551|-3444.571 9319.296|-3447.024 9320.430|-3449.275 9321.920|-3450.575 9322.865|-3459.279 9289.318|-3441.236 9283.691
244 MACEWAN PARK VW NW,-3509.246 9554.095|-3538.502 9573.043|-3545.178 9561.367|-3516.538 9542.809
23 MACEWAN DR NW,-2583.994 9590.956|-2589.502 9621.446|-2596.724 9620.145|-2597.905 9619.800|-2598.995 9619.244|-2599.953 9618.488|-2600.743 9617.554|-2601.344 9616.475|-2601.715 9615.319|-2601.855 9614.096|-2601.757 9612.884|-2597.360 9588.543
112 MACEWAN DR NW,-2873.197 9675.620|-2884.396 9683.670|-2902.732 9658.096|-2891.540 9650.056
23 MACEWAN PARK PL NW,-2919.698 9758.627|-2920.718 9760.895|-2921.326 9763.319|-2921.487 9765.810|-2921.208 9768.290|-2945.576 9767.611|-2946.751 9761.418|-2948.198 9755.291|-2949.910 9749.220|-2951.889 9743.238|-2949.715 9741.681
167 MACEWAN MEADOW WY NW,-2815.588 9999.197|-2816.602 10005.368|-2817.399 10011.573|-2847.794 10006.069|-2845.571 9993.782
4 MACEWAN PARK RD NW,-2968.163 9728.515|-2995.069 9742.793|-2997.956 9737.700|-2973.154 9719.875|-2970.581 9724.145
91 MACEWAN GLEN WY NW,-2672.319 9407.996|-2674.667 9407.974|-2677.002 9407.774|-2679.316 9407.384|-2681.588 9406.817|-2672.437 9376.917|-2655.737 9379.941
144 MACEWAN GLEN WY NW,-2690.564 9537.171|-2692.836 9549.758|-2723.300 9544.243|-2721.028 9531.656
86 MACEWAN PARK CI NW,-3146.560 9648.166|-3148.685 9649.778|-3170.313 9621.323|-3161.596 9614.607|-3139.933 9643.118
146 MACEWAN RIDGE CI NW,-3305.796 10081.337|-3276.785 10086.596|-3275.583 10086.930|-3274.457 10087.453|-3273.430 10088.164|-3272.542 10089.032|-3271.801 10090.032|-3271.242 10091.133|-3270.871 10092.323|-3270.703 10093.557|-3270.109 10101.652|-3304.426 10100.774
113 MACEWAN PARK CL NW,-3348.270 9884.911|-3354.491 9919.326|-3366.871 9917.080|-3370.304 9890.860|-3370.325 9889.103|-3369.940 9887.391|-3369.164 9885.812|-3368.046 9884.466|-3366.641 9883.410|-3365.026 9882.709|-3363.299 9882.398|-3361.538 9882.509
44 MACEWAN RIDGE VW NW,-3391.758 10325.187|-3413.882 10353.453|-3422.173 10342.167|-3402.460 10317.092|-3399.412 10319.183
986 MACEWAN VALLEY RD NW,-2898.286 10383.209|-2912.260 10386.244|-2917.447 10362.315|-2917.621 10360.859|-2917.503 10359.391|-2917.097 10357.979|-2916.426 10356.678|-2915.517 10355.521|-2914.399 10354.576|-2913.113 10353.853|-2911.714 10353.397|-2905.060 10351.952
427 MACEWAN VALLEY RD NW,-2666.468 10535.824|-2676.422 10544.441|-2693.542 10511.016|-2684.314 10503.032|-2683.587 10502.410
24 MACEWAN RIDGE GA NW,-3171.565 10302.848|-3171.676 10302.971|-3196.045 10280.031|-3186.825 10270.235|-3162.463 10293.174|-3162.770 10293.497
26 MACEWAN RIDGE PL NW,-2976.090 10591.477|-3008.784 10598.571|-3011.636 10585.417|-2978.942 10578.323
565 MACEWAN DR NW,-3009.127 10266.899|-3016.327 10300.335|-3025.051 10297.711|-3016.676 10265.120
