ADDRESS,POINTS
186V 11 MAHOGANY RO SE,9345.136 -16677.667|9345.136 -16685.940|9334.441 -16696.692|9296.056 -16696.659|9296.049 -16705.999|9295.008 -16705.988|9294.994 -16722.812|9317.028 -16722.834|9371.379 -16722.879|9376.391 -16722.890|9376.391 -16719.343|9376.321 -16714.083|9376.104 -16708.823|9375.741 -16703.575|9375.230 -16698.338|9374.566 -16693.112|9373.762 -16687.908|9372.812 -16682.726|9371.714 -16677.578
187V 11 MAHOGANY RO SE,9345.136 -16677.667|9345.136 -16685.940|9334.441 -16696.692|9296.056 -16696.659|9296.049 -16705.999|9295.008 -16705.988|9294.994 -16722.812|9317.028 -16722.834|9371.379 -16722.879|9376.391 -16722.890|9376.391 -16719.343|9376.321 -16714.083|9376.104 -16708.823|9375.741 -16703.575|9375.230 -16698.338|9374.566 -16693.112|9373.762 -16687.908|9372.812 -16682.726|9371.714 -16677.578
188V 11 MAHOGANY RO SE,9345.136 -16677.667|9345.136 -16685.940|9334.441 -16696.692|9296.056 -16696.659|9296.049 -16705.999|9295.008 -16705.988|9294.994 -16722.812|9317.028 -16722.834|9371.379 -16722.879|9376.391 -16722.890|9376.391 -16719.343|9376.321 -16714.083|9376.104 -16708.823|9375.741 -16703.575|9375.230 -16698.338|9374.566 -16693.112|9373.762 -16687.908|9372.812 -16682.726|9371.714 -16677.578
189V 11 MAHOGANY RO SE,9345.136 -16677.667|9345.136 -16685.940|9334.441 -16696.692|9296.056 -16696.659|9296.049 -16705.999|9295.008 -16705.988|9294.994 -16722.812|9317.028 -16722.834|9371.379 -16722.879|9376.391 -16722.890|9376.391 -16719.343|9376.321 -16714.083|9376.104 -16708.823|9375.741 -16703.575|9375.230 -16698.338|9374.566 -16693.112|9373.762 -16687.908|9372.812 -16682.726|9371.714 -16677.578
190V 11 MAHOGANY RO SE,9345.136 -16677.667|9345.136 -16685.940|9334.441 -16696.692|9296.056 -16696.659|9296.049 -16705.999|9295.008 -16705.988|9294.994 -16722.812|9317.028 -16722.834|9371.379 -16722.879|9376.391 -16722.890|9376.391 -16719.343|9376.321 -16714.083|9376.104 -16708.823|9375.741 -16703.575|9375.230 -16698.338|9374.566 -16693.112|9373.762 -16687.908|9372.812 -16682.726|9371.714 -16677.578
191V 11 MAHOGANY RO SE,9345.136 -16677.667|9345.136 -16685.940|9334.441 -16696.692|9296.056 -16696.659|9296.049 -16705.999|9295.008 -16705.988|9294.994 -16722.812|9317.028 -16722.834|9371.379 -16722.879|9376.391 -16722.890|9376.391 -16719.343|9376.321 -16714.083|9376.104 -16708.823|9375.741 -16703.575|9375.230 -16698.338|9374.566 -16693.112|9373.762 -16687.908|9372.812 -16682.726|9371.714 -16677.578
192V 11 MAHOGANY RO SE,9345.136 -16677.667|9345.136 -16685.940|9334.441 -16696.692|9296.056 -16696.659|9296.049 -16705.999|9295.008 -16705.988|9294.994 -16722.812|9317.028 -16722.834|9371.379 -16722.879|9376.391 -16722.890|9376.391 -16719.343|9376.321 -16714.083|9376.104 -16708.823|9375.741 -16703.575|9375.230 -16698.338|9374.566 -16693.112|9373.762 -16687.908|9372.812 -16682.726|9371.714 -16677.578
193V 11 MAHOGANY RO SE,9345.136 -16677.667|9345.136 -16685.940|9334.441 -16696.692|9296.056 -16696.659|9296.049 -16705.999|9295.008 -16705.988|9294.994 -16722.812|9317.028 -16722.834|9371.379 -16722.879|9376.391 -16722.890|9376.391 -16719.343|9376.321 -16714.083|9376.104 -16708.823|9375.741 -16703.575|9375.230 -16698.338|9374.566 -16693.112|9373.762 -16687.908|9372.812 -16682.726|9371.714 -16677.578
194V 11 MAHOGANY RO SE,9345.136 -16677.667|9345.136 -16685.940|9334.441 -16696.692|9296.056 -16696.659|9296.049 -16705.999|9295.008 -16705.988|9294.994 -16722.812|9317.028 -16722.834|9371.379 -16722.879|9376.391 -16722.890|9376.391 -16719.343|9376.321 -16714.083|9376.104 -16708.823|9375.741 -16703.575|9375.230 -16698.338|9374.566 -16693.112|9373.762 -16687.908|9372.812 -16682.726|9371.714 -16677.578
195V 11 MAHOGANY RO SE,9345.136 -16677.667|9345.136 -16685.940|9334.441 -16696.692|9296.056 -16696.659|9296.049 -16705.999|9295.008 -16705.988|9294.994 -16722.812|9317.028 -16722.834|9371.379 -16722.879|9376.391 -16722.890|9376.391 -16719.343|9376.321 -16714.083|9376.104 -16708.823|9375.741 -16703.575|9375.230 -16698.338|9374.566 -16693.112|9373.762 -16687.908|9372.812 -16682.726|9371.714 -16677.578
