ADDRESS,POINTS
123 MCKENNA WY SE,5585.022 -16485.600|5556.612 -16475.014|5551.363 -16489.258|5579.779 -16499.844
912 MCKENZIE DR SE,6091.670 -16273.373|6082.219 -16244.407|6069.287 -16248.677|6078.738 -16277.643
107 MCKINLEY RD SE,5769.249 -16007.662|5739.315 -16002.936|5737.421 -16015.078|5767.347 -16019.804
167 MCKENNA WY SE,5674.898 -16314.093|5653.500 -16292.487|5650.753 -16295.123|5647.894 -16297.636|5646.810 -16298.737|5645.937 -16300.004|5645.315 -16301.416|5644.951 -16302.918|5644.867 -16304.452|5645.056 -16305.987|5645.524 -16307.454|5646.244 -16308.822|5647.929 -16311.291|5649.712 -16313.681|5651.585 -16315.994|5653.556 -16318.240|5655.618 -16320.386|5657.765 -16322.466|5659.988 -16324.445|5662.301 -16326.324
23 MCKERRELL WY SE,6316.750 -15801.706|6333.422 -15800.828|6332.059 -15774.942|6327.291 -15770.627|6315.107 -15771.272
515 MCKERRELL PL SE,6529.827 -15944.814|6501.578 -15933.673|6500.383 -15936.597|6499.075 -15939.477|6497.670 -15942.312|6496.160 -15945.092|6523.941 -15961.049
100 MCKERRELL CL SE,6329.144 -16354.634|6307.970 -16332.818|6302.301 -16338.389|6298.449 -16341.958|6318.414 -16365.176
72 MCKINLEY RD SE,5831.632 -16171.874|5817.965 -16169.361|5798.525 -16168.172|5797.805 -16173.298|5796.784 -16178.368|5829.416 -16180.381
36 MCKERNAN RD SE,6161.911 -15969.500|6156.137 -15939.566|6144.232 -15941.890|6150.013 -15971.824
69 MCKENZIE LAKE PT SE,6338.511 -15407.242|6337.833 -15402.783|6336.799 -15398.391|6335.400 -15394.110|6333.660 -15389.952|6331.584 -15385.949|6329.193 -15382.123|6326.495 -15378.510|6323.510 -15375.140|6295.485 -15411.735|6296.058 -15413.291|6296.463 -15414.893|6296.680 -15416.538|6296.722 -15418.195|6296.575 -15419.852|6296.254 -15421.475|6295.757 -15423.054|6295.086 -15424.567|6294.178 -15426.346|6311.940 -15424.200
131 MT VICTORIA PL SE,5663.825 -14898.526|5631.334 -14898.492|5654.675 -14933.641|5656.835 -14932.662|5659.100 -14931.962|5661.435 -14931.584|5663.804 -14931.506
179 MT ROBSON CI SE,5706.460 -15224.983|5709.005 -15216.699|5709.298 -15215.220|5709.291 -15213.697|5708.977 -15212.207|5708.376 -15210.817|5707.502 -15209.571|5706.397 -15208.537|5705.104 -15207.736|5703.685 -15207.225|5698.365 -15206.069|5692.990 -15205.235|5687.572 -15204.723|5682.133 -15204.556|5674.668 -15204.545|5670.298 -15218.789
31 MCKENZIE LAKE MR SE,6670.838 -15333.387|6670.776 -15313.883|6670.678 -15311.670|6637.795 -15321.378|6637.739 -15323.023|6637.536 -15324.647|6637.186 -15326.259|6636.697 -15327.827|6635.823 -15330.640|6635.229 -15333.531
36 MT BELCHER PL SE,5310.513 -15198.396|5312.260 -15196.995|5314.204 -15195.883|5316.287 -15195.060|5318.468 -15194.571|5311.296 -15144.922|5299.279 -15139.374|5280.817 -15169.574
206 MCKENZIE LAKE BA SE,6192.466 -14853.358|6192.410 -14831.931|6192.291 -14830.574|6191.942 -14829.251|6191.376 -14828.006|6190.607 -14826.883|6142.645 -14863.588|6144.162 -14864.255|6145.546 -14865.167|6146.762 -14866.290|6147.769 -14867.613|6148.552 -14869.070|6149.083 -14870.649|6149.342 -14872.284|6149.328 -14873.952|6148.755 -14880.390
318 MT CORNWALL CI SE,6581.878 -14400.717|6571.797 -14393.934|6555.006 -14419.909|6564.381 -14426.225
139 MT COPPER PA SE,5514.649 -15394.166|5486.099 -15393.666|5492.880 -15430.071|5494.900 -15429.826|5496.935 -15429.871|5498.948 -15430.182|5500.891 -15430.771
7 MT CASCADE CL SE,5156.289 -15593.483|5127.677 -15573.379|5119.309 -15586.166|5147.558 -15605.981
175 MT LORETTE CL SE,6493.120 -14177.171|6493.015 -14144.201|6483.871 -14144.224|6483.983 -14177.193
