ADDRESS,POINTS
328 AMBLETON ST NW,-2749.675 15498.565|-2749.668 15505.081|-2766.900 15505.103|-2766.900 15498.576
330 AMBLETON ST NW,-2749.668 15505.081|-2749.661 15510.874|-2766.893 15510.896|-2766.900 15505.103
332 AMBLETON ST NW,-2749.661 15510.874|-2749.661 15516.667|-2766.886 15516.678|-2766.893 15510.896
101 340 AMBLETON ST NW,-2738.980 15518.869|-2744.593 15515.522|-2736.561 15502.023|-2735.988 15502.367|-2730.941 15505.370
102 340 AMBLETON ST NW,-2725.964 15508.328|-2734.003 15521.827|-2738.980 15518.869|-2730.941 15505.370
334 AMBLETON ST NW,-2749.661 15516.667|-2749.654 15522.449|-2766.879 15522.472|-2766.886 15516.678
103 340 AMBLETON ST NW,-2720.986 15511.296|-2729.025 15524.784|-2734.003 15521.827|-2725.964 15508.328
104 340 AMBLETON ST NW,-2724.048 15527.753|-2729.025 15524.784|-2720.986 15511.296|-2716.016 15514.254
336 AMBLETON ST NW,-2749.654 15522.449|-2749.647 15528.976|-2766.879 15528.999|-2766.879 15522.472
105 340 AMBLETON ST NW,-2711.039 15517.212|-2719.071 15530.711|-2724.048 15527.753|-2716.016 15514.254
106 340 AMBLETON ST NW,-2705.419 15520.559|-2713.458 15534.058|-2719.071 15530.711|-2711.039 15517.212
110 340 AMBLETON ST NW,-2697.848 15525.062|-2705.887 15538.561|-2711.507 15535.214|-2703.468 15521.715
111 340 AMBLETON ST NW,-2692.871 15528.020|-2700.910 15541.519|-2705.887 15538.561|-2697.848 15525.062
112 340 AMBLETON ST NW,-2687.900 15530.978|-2695.932 15544.477|-2700.910 15541.519|-2692.871 15528.020
113 340 AMBLETON ST NW,-2682.923 15533.936|-2690.955 15547.435|-2695.932 15544.477|-2687.900 15530.978
114 340 AMBLETON ST NW,-2677.946 15536.905|-2685.985 15550.404|-2690.955 15547.435|-2682.923 15533.936
344 AMBLETON ST NW,-2767.193 15548.113|-2766.949 15541.553|-2748.305 15544.166|-2749.221 15550.637
115 340 AMBLETON ST NW,-2672.326 15540.240|-2680.365 15553.740|-2685.985 15550.404|-2677.946 15536.905
346 AMBLETON ST NW,-2767.193 15548.113|-2749.221 15550.637|-2750.025 15556.364|-2767.550 15553.906
348 AMBLETON ST NW,-2750.829 15562.101|-2768.032 15559.688|-2767.550 15553.906|-2750.025 15556.364
201 340 AMBLETON ST NW,-2735.967 15554.473|-2732.206 15549.136|-2719.973 15557.765|-2723.734 15563.102
202 340 AMBLETON ST NW,-2739.308 15559.210|-2735.967 15554.473|-2723.734 15563.102|-2727.075 15567.828
350 AMBLETON ST NW,-2768.032 15559.688|-2750.829 15562.101|-2751.633 15567.828|-2768.640 15565.448
146 AMBLEFIELD TC NW,-2704.160 15560.289|-2700.392 15554.952|-2685.838 15565.215|-2689.606 15570.552
203 340 AMBLETON ST NW,-2742.643 15563.936|-2739.308 15559.210|-2727.075 15567.828|-2730.409 15572.565
352 AMBLETON ST NW,-2768.640 15565.448|-2751.633 15567.828|-2752.443 15573.566|-2769.381 15571.186
148 AMBLEFIELD TC NW,-2689.606 15570.552|-2692.941 15575.289|-2707.502 15565.026|-2704.160 15560.289
204 340 AMBLETON ST NW,-2745.984 15568.662|-2742.643 15563.936|-2730.409 15572.565|-2733.751 15577.291
354 AMBLETON ST NW,-2769.381 15571.186|-2752.443 15573.566|-2753.247 15579.292|-2770.241 15576.913
150 AMBLEFIELD TC NW,-2710.836 15569.752|-2707.502 15565.026|-2692.941 15575.289|-2696.282 15580.015
205 340 AMBLETON ST NW,-2737.512 15582.628|-2749.752 15573.999|-2745.984 15568.662|-2733.751 15577.291
152 AMBLEFIELD TC NW,-2714.178 15574.489|-2710.836 15569.752|-2696.282 15580.015|-2699.616 15584.741
356 AMBLETON ST NW,-2770.241 15576.913|-2753.247 15579.292|-2754.051 15585.030|-2771.234 15582.617
154 AMBLEFIELD TC NW,-2717.512 15579.214|-2714.178 15574.489|-2699.616 15584.741|-2702.958 15589.478
358 AMBLETON ST NW,-2771.234 15582.617|-2754.051 15585.030|-2754.855 15590.767|-2772.359 15588.310
156 AMBLEFIELD TC NW,-2720.853 15583.940|-2717.512 15579.214|-2702.958 15589.478|-2706.292 15594.203
360 AMBLETON ST NW,-2772.359 15588.310|-2754.855 15590.767|-2755.764 15597.228|-2773.771 15594.704
158 AMBLEFIELD TC NW,-2709.634 15598.940|-2724.188 15588.677|-2720.853 15583.940|-2706.292 15594.203
160 AMBLEFIELD TC NW,-2727.529 15593.403|-2724.188 15588.677|-2709.634 15598.940|-2712.968 15603.666
162 AMBLEFIELD TC NW,-2731.297 15598.751|-2727.529 15593.403|-2712.968 15603.666|-2716.743 15609.015
301 340 AMBLETON ST NW,-2763.698 15598.762|-2759.888 15601.453|-2769.046 15614.430|-2770.759 15613.218|-2774.380 15610.660|-2765.774 15598.473
302 340 AMBLETON ST NW,-2755.156 15604.789|-2764.313 15617.766|-2765.418 15616.976|-2769.046 15614.430|-2759.888 15601.453
303 340 AMBLETON ST NW,-2750.423 15608.125|-2759.581 15621.101|-2760.685 15620.312|-2764.313 15617.766|-2755.156 15604.789
304 340 AMBLETON ST NW,-2745.691 15611.461|-2754.848 15624.437|-2755.953 15623.648|-2759.581 15621.101|-2750.423 15608.125
305 340 AMBLETON ST NW,-2754.848 15624.437|-2745.691 15611.461|-2740.958 15614.797|-2750.116 15627.773|-2751.227 15626.995
306 340 AMBLETON ST NW,-2735.624 15618.555|-2744.782 15631.532|-2746.495 15630.331|-2750.116 15627.773|-2740.958 15614.797
207 AMBLETON BV NW,-2769.046 15614.430|-2765.418 15616.976|-2778.238 15635.145|-2779.923 15634.289|-2782.181 15629.419|-2770.759 15613.218
209 AMBLETON BV NW,-2765.418 15616.976|-2764.313 15617.766|-2760.685 15620.312|-2773.135 15637.947|-2775.666 15636.513|-2778.238 15635.145
211 AMBLETON BV NW,-2759.581 15621.101|-2755.953 15623.648|-2768.221 15641.039|-2770.654 15639.460|-2773.135 15637.947|-2760.685 15620.312
213 AMBLETON BV NW,-2751.227 15626.995|-2763.502 15644.397|-2765.837 15642.684|-2768.221 15641.039|-2755.953 15623.648|-2754.848 15624.437
215 AMBLETON BV NW,-2750.116 15627.773|-2746.495 15630.331|-2758.980 15648.022|-2761.217 15646.176|-2763.502 15644.397|-2751.227 15626.995
217 AMBLETON BV NW,-2744.782 15631.532|-2741.161 15634.089|-2754.023 15652.303|-2758.113 15648.756|-2758.980 15648.022|-2746.495 15630.331
