ADDRESS,POINTS
2308 4 ST NW,7.348 2742.138|14.947 2742.149|14.926 2760.419|7.327 2760.407|0.861 2760.396|0.875 2742.127
423 27 AV NW,190.156 3207.255|177.615 3207.266|177.755 3170.672|190.289 3170.661
403 26 AV NW,257.656 3107.791|250.323 3107.803|250.365 3071.286|257.971 3071.275
622 18 AV NW,-266.777 2315.561|-262.981 2315.572|-263.009 2352.122|-266.812 2352.111|-274.410 2352.111|-274.375 2315.550
739 18 AV NW,-514.743 2295.179|-514.694 2258.640|-507.102 2258.651|-503.306 2258.651|-503.348 2295.190|-507.144 2295.190
911 19 AV NW,-744.897 2394.231|-752.503 2394.231|-760.102 2394.220|-760.025 2357.682|-752.433 2357.682|-744.834 2357.693
735 23 AV NW,-492.352 2755.170|-492.387 2791.753|-499.986 2791.742|-499.951 2755.159
608 27 AV NW,-210.440 3261.830|-214.082 3261.830|-221.681 3261.830|-224.114 3261.830|-224.121 3225.069|-221.695 3225.069|-214.089 3225.069|-210.447 3225.069
3103 5A ST NW,-313.941 3535.781|-359.114 3535.759|-359.121 3528.142|-359.128 3520.525|-313.955 3520.558|-313.948 3528.164
730 19 AV NW,-469.263 2414.625|-469.298 2451.185|-476.889 2451.174|-476.861 2414.625
738 18 AV NW,-499.566 2315.305|-499.594 2351.855|-507.193 2351.844|-507.158 2315.294
3216 4A ST NW,-60.453 3665.256|-97.146 3665.245|-97.160 3657.639|-60.467 3657.639
1817 3 ST NW,94.351 2287.395|94.337 2299.593|86.739 2299.582|79.140 2299.571|71.542 2299.560|63.943 2299.549|63.957 2287.351|71.555 2287.362|79.154 2287.373|86.753 2287.384
442 22 AV NW,113.722 2724.269|113.687 2760.552|106.095 2760.541|106.123 2724.258
410 29 AV NW,234.699 3462.381|227.101 3462.381|219.502 3462.392|219.530 3425.853|227.136 3425.853|234.734 3425.842
602 17 AV NW,-198.305 2216.386|-190.706 2216.397|-190.734 2252.936|-198.340 2252.925|-205.938 2252.914|-205.904 2216.375
627 19 AV NW,-289.614 2358.171|-289.642 2394.732|-297.241 2394.721|-297.206 2358.160
707 18 AV NW,-385.573 2258.785|-385.594 2295.324|-393.185 2295.312|-393.171 2258.774
910 18 AV NW,-744.848 2351.599|-744.813 2315.049|-737.215 2315.049|-735.677 2315.061|-735.712 2351.599|-737.250 2351.599
516 21 AV NW,-72.253 2613.675|-68.457 2613.675|-68.492 2650.224|-72.288 2650.213|-79.886 2650.213|-79.851 2613.663
627 27 AV NW,-282.498 3204.976|-290.097 3204.976|-297.695 3204.976|-297.702 3168.215|-290.104 3168.215|-282.505 3168.215
628 28 AV NW,-289.992 3360.326|-297.591 3360.326|-302.442 3360.326|-302.603 3323.565|-297.640 3323.554|-290.041 3323.554
3209 5 ST NW,-215.550 3657.628|-252.229 3657.628|-252.236 3650.011|-252.243 3642.394|-215.564 3642.406|-215.557 3650.022
443 23 AV NW,113.666 2764.811|113.638 2801.094|106.040 2801.083|106.074 2764.800
427 27 AV NW,177.615 3207.266|165.074 3207.266|165.221 3170.683|177.755 3170.672
450 29 AV NW,82.733 3462.481|75.142 3462.481|67.543 3462.492|67.529 3425.942|75.128 3425.942|82.726 3425.942
640 17 AV NW,-335.067 2216.208|-327.468 2216.219|-327.503 2252.758|-335.102 2252.747|-342.700 2252.736|-342.665 2216.197
628 18 AV NW,-297.171 2315.528|-291.089 2315.528|-291.124 2352.077|-297.206 2352.077|-304.805 2352.066|-304.770 2315.517
735 18 AV NW,-484.313 2258.674|-484.355 2295.212|-491.947 2295.212|-491.912 2258.663
612 27 AV NW,-224.114 3261.830|-229.287 3261.830|-236.885 3261.830|-238.102 3261.830|-238.109 3225.069|-236.892 3225.069|-229.294 3225.069|-224.121 3225.069
3107 5A ST NW,-313.920 3551.014|-359.107 3550.992|-359.114 3543.375|-359.114 3535.759|-313.941 3535.781|-313.934 3543.398
732 19 AV NW,-476.861 2414.625|-476.889 2451.174|-484.488 2451.163|-484.460 2414.613
740 18 AV NW,-507.158 2315.294|-507.193 2351.844|-514.792 2351.833|-514.764 2319.775|-510.269 2315.294
3218 4A ST NW,-60.446 3672.873|-97.139 3672.862|-97.146 3665.245|-60.453 3665.256
415 19 AV NW,216.853 2362.808|216.804 2400.892|213.008 2400.881|205.409 2400.881|205.458 2362.785|213.057 2362.797
431 27 AV NW,165.074 3207.266|152.533 3207.278|152.687 3170.683|165.221 3170.683
428 27 AV NW,171.345 3263.909|166.521 3263.909|162.795 3263.909|162.837 3227.382|166.563 3227.382|171.366 3227.370
921 19 AV NW,-775.306 2394.209|-782.905 2394.209|-790.510 2394.198|-792.013 2394.198|-791.985 2357.659|-790.405 2357.659|-782.814 2357.659|-775.215 2357.670
601 21 AV NW,-191.014 2556.876|-191.056 2593.426|-198.654 2593.426|-198.619 2556.876
708 23 AV NW,-386.006 2811.968|-378.408 2811.980|-378.422 2831.294|-378.435 2848.474|-386.034 2848.463|-393.633 2848.463|-393.612 2811.968
520 29 AV NW,-79.879 3458.834|-87.471 3458.834|-95.070 3458.834|-95.104 3422.062|-87.506 3422.062|-79.907 3422.062
638 25 AV NW,-320.519 3064.848|-328.118 3064.848|-335.717 3064.848|-335.724 3028.087|-328.125 3028.087|-320.526 3028.087
718 21 AV NW,-423.853 2613.274|-423.881 2649.824|-431.479 2649.813|-431.451 2613.263
435 27 AV NW,152.533 3207.278|139.992 3207.278|140.153 3170.694|152.687 3170.683
607 18 AV NW,-213.537 2258.996|-205.938 2259.007|-205.973 2295.546|-213.572 2295.535|-221.171 2295.524|-221.136 2258.996
636 18 AV NW,-319.967 2315.494|-319.995 2352.044|-327.594 2352.033|-327.580 2333.752|-327.566 2315.483
808 18 AV NW,-557.608 2315.239|-550.010 2315.250|-550.045 2351.799|-557.643 2351.788|-565.235 2351.777|-565.207 2315.227
925 19 AV NW,-800.521 2394.198|-804.554 2394.198|-809.028 2389.695|-808.937 2357.648|-800.486 2357.648
605 21 AV NW,-206.211 2556.865|-198.619 2556.876|-198.654 2593.426|-206.246 2593.415|-213.845 2593.404|-213.810 2556.854
515 22 AV NW,-79.893 2656.307|-72.302 2656.307|-64.703 2656.318|-64.738 2692.868|-72.336 2692.856|-79.928 2692.845|-82.969 2692.845|-82.927 2656.296
524 29 AV NW,-95.070 3458.834|-102.668 3458.834|-110.267 3458.834|-110.302 3422.062|-102.703 3422.062|-95.104 3422.062
720 21 AV NW,-431.451 2613.263|-431.479 2649.813|-439.078 2649.802|-439.043 2613.252
314 17 AV NW,220.879 2218.744|220.823 2256.817|213.225 2256.806|209.422 2256.794|209.478 2218.732|213.280 2218.732
421 19 AV NW,190.869 2362.774|190.820 2400.859|190.212 2400.859|182.613 2400.847|182.662 2362.763|190.261 2362.774
445 23 AV NW,106.074 2764.800|106.040 2801.083|98.441 2801.071|98.476 2764.788
439 27 AV NW,139.992 3207.278|127.493 3207.289|127.612 3170.706|140.153 3170.694
403 30 AV NW,249.883 3468.463|257.481 3468.452|265.080 3468.452|265.031 3504.980|257.432 3504.980|249.834 3504.991
609 18 AV NW,-221.136 2258.996|-221.171 2295.524|-228.769 2295.513|-228.734 2258.985
640 18 AV NW,-335.164 2315.472|-327.566 2315.483|-327.580 2333.752|-335.178 2333.741|-342.777 2333.730|-342.756 2315.461
812 18 AV NW,-572.799 2315.227|-572.834 2351.777|-580.432 2351.766|-580.397 2315.216
904 19 AV NW,-706.946 2450.907|-714.552 2450.907|-722.150 2450.896|-729.756 2450.896|-729.721 2414.347|-722.115 2414.347|-714.517 2414.358|-706.911 2414.358
519 22 AV NW,-87.492 2656.296|-82.927 2656.296|-82.969 2692.845|-87.527 2692.845|-95.125 2692.834|-95.090 2656.284
724 23 AV NW,-446.802 2811.902|-439.204 2811.913|-439.232 2848.418|-446.830 2848.418|-454.429 2848.407|-454.401 2811.902
528 29 AV NW,-110.267 3458.834|-117.858 3458.834|-125.457 3458.834|-125.492 3422.062|-117.893 3422.062|-110.302 3422.062
3119 5A ST NW,-313.878 3596.693|-359.058 3596.682|-359.065 3589.065|-359.072 3581.449|-313.892 3581.471|-313.885 3589.076
920A 17 AV NW,-775.103 2252.280|-782.702 2252.269|-782.660 2215.730|-775.061 2215.730
2405 6 ST NW,-363.231 2848.485|-370.830 2848.474|-378.435 2848.474|-378.422 2831.294|-370.823 2831.305|-363.217 2831.305
506 19 AV NW,-34.078 2415.136|-34.106 2451.686|-41.704 2451.675|-41.676 2415.125
318 17 AV NW,209.478 2218.732|209.422 2256.794|205.626 2256.794|198.027 2256.783|194.231 2256.783|194.287 2218.710|198.083 2218.710|205.682 2218.721
425 19 AV NW,175.063 2362.752|175.008 2400.836|167.409 2400.825|167.465 2362.741
453 23 AV NW,68.081 2764.755|68.053 2801.027|60.455 2801.016|52.856 2801.005|52.884 2764.733|60.483 2764.744
443 27 AV NW,127.493 3207.289|114.959 3207.289|115.078 3170.706|127.612 3170.706
611 18 AV NW,-236.333 2258.974|-228.734 2258.985|-228.769 2295.513|-236.368 2295.501|-240.164 2295.501|-240.129 2258.963
1910 6 ST NW,-335.178 2333.741|-327.580 2333.752|-327.594 2352.033|-335.192 2352.022|-342.791 2352.011|-342.777 2333.730
816 18 AV NW,-587.996 2315.205|-580.397 2315.216|-580.432 2351.766|-588.031 2351.755|-595.623 2351.744|-595.595 2315.194
908 19 AV NW,-729.756 2450.896|-737.362 2450.885|-737.327 2414.335|-729.721 2414.347
1006 21 AV NW,-833.655 2612.829|-826.008 2612.841|-826.197 2649.379|-833.802 2649.357|-841.408 2649.346|-841.261 2612.818
728 23 AV NW,-462.000 2811.891|-454.401 2811.902|-454.429 2848.407|-462.028 2848.396|-469.633 2848.396|-469.605 2811.880
532 29 AV NW,-125.457 3458.834|-133.056 3458.834|-140.654 3458.834|-140.689 3422.062|-133.091 3422.062|-125.492 3422.062
3125 5A ST NW,-313.878 3596.693|-313.871 3604.310|-313.864 3611.927|-359.044 3611.905|-359.051 3604.299|-359.058 3596.682
650 25 AV NW,-366.111 3064.848|-373.710 3064.848|-381.309 3064.848|-381.316 3028.087|-373.717 3028.087|-366.118 3028.087
702 23 AV NW,-370.809 2811.991|-367.698 2811.991|-363.210 2816.494|-363.217 2831.305|-370.823 2831.305|-378.422 2831.294|-378.408 2811.980
508 19 AV NW,-41.676 2415.125|-41.704 2451.675|-49.303 2451.664|-49.268 2415.114
322 17 AV NW,194.287 2218.710|194.231 2256.783|190.429 2256.772|182.830 2256.761|181.313 2256.761|181.369 2218.688|182.886 2218.699|190.484 2218.699
423 19 AV NW,182.662 2362.763|182.613 2400.847|175.008 2400.836|175.063 2362.752
457 23 AV NW,52.884 2764.733|52.856 2801.005|45.257 2800.994|45.285 2764.722
447 27 AV NW,114.959 3207.289|102.425 3207.300|102.544 3170.717|115.078 3170.706
2905 2 ST NW,249.994 3369.200|257.593 3369.200|265.199 3369.200|265.157 3405.727|257.558 3405.738|249.952 3405.738
411 30 AV NW,234.629 3505.002|227.031 3505.002|219.425 3505.013|219.474 3468.486|227.080 3468.474|234.678 3468.474
615 18 AV NW,-243.932 2258.963|-240.129 2258.963|-240.164 2295.501|-243.967 2295.501|-251.565 2295.490|-251.530 2258.952
820 18 AV NW,-603.186 2315.194|-595.595 2315.194|-595.623 2351.744|-603.221 2351.744|-610.820 2351.733|-610.785 2315.183
910 19 AV NW,-737.362 2450.885|-744.960 2450.885|-744.925 2414.335|-737.327 2414.335
639 21 AV NW,-335.367 2556.709|-327.769 2556.721|-327.803 2593.270|-335.395 2593.259|-342.994 2593.259|-342.966 2556.698
527 22 AV NW,-117.879 2656.262|-110.281 2656.262|-110.316 2692.812|-117.914 2692.812|-125.513 2692.801|-125.478 2656.251
730 23 AV NW,-477.204 2811.868|-469.605 2811.880|-469.633 2848.396|-477.232 2848.385|-484.831 2848.385|-484.803 2811.868
636 27 AV NW,-312.886 3261.830|-320.484 3261.830|-328.090 3261.830|-328.090 3225.080|-320.491 3225.080|-312.893 3225.080
536 29 AV NW,-140.654 3458.834|-148.253 3458.834|-154.335 3458.834|-154.370 3422.062|-148.288 3422.062|-140.689 3422.062
624 18 AV NW,-274.375 2315.550|-274.410 2352.111|-281.401 2352.100|-281.366 2315.550
326 17 AV NW,181.369 2218.688|181.313 2256.761|175.231 2256.750|169.157 2256.750|169.212 2218.677|175.294 2218.688
427 19 AV NW,167.465 2362.741|167.409 2400.825|159.810 2400.814|152.212 2400.803|152.268 2362.719|159.866 2362.730
451 27 AV NW,102.425 3207.300|89.885 3207.300|90.010 3170.728|102.544 3170.717
415 30 AV NW,219.425 3505.013|211.826 3505.024|204.228 3505.024|204.277 3468.497|211.875 3468.486|219.474 3468.486
918 19 AV NW,-760.171 2450.874|-767.770 2450.863|-775.376 2450.863|-775.341 2414.313|-767.735 2414.324|-760.137 2414.324
736 23 AV NW,-492.401 2811.857|-484.803 2811.868|-484.831 2848.385|-492.429 2848.374|-500.028 2848.363|-500.000 2811.846
640 27 AV NW,-328.090 3261.830|-335.689 3261.830|-343.287 3261.830|-343.294 3225.080|-335.696 3225.080|-328.090 3225.080
540 29 AV NW,-154.335 3458.834|-155.845 3458.823|-163.443 3458.823|-171.042 3458.823|-171.077 3422.062|-163.485 3422.062|-155.887 3422.062|-154.370 3422.062
3104 4A ST NW,-60.599 3535.814|-97.292 3535.814|-97.299 3528.197|-97.306 3520.580|-60.613 3520.580|-60.606 3528.197
654 25 AV NW,-396.513 3064.848|-404.112 3064.848|-410.494 3064.848|-410.494 3028.076|-404.112 3028.076|-396.513 3028.087
626 18 AV NW,-289.573 2315.539|-281.974 2315.550|-281.366 2315.550|-281.401 2352.100|-282.009 2352.100|-289.608 2352.089|-291.124 2352.077|-291.089 2315.528
916 21 AV NW,-760.290 2612.874|-760.311 2649.424|-767.903 2649.413|-767.882 2612.874
1813 3 ST NW,94.372 2273.707|94.351 2287.395|86.753 2287.384|79.154 2287.373|71.555 2287.362|63.957 2287.351|63.978 2273.663|71.576 2273.674|79.175 2273.685|86.774 2273.696
440 22 AV NW,128.912 2724.291|128.884 2760.563|121.286 2760.552|113.687 2760.552|113.722 2724.269|121.314 2724.280
403 23 AV NW,250.442 2765.000|258.033 2765.011|265.632 2765.022|265.611 2801.294|258.012 2801.283|250.414 2801.272
705 18 AV NW,-377.981 2258.796|-377.995 2295.335|-385.594 2295.324|-385.573 2258.785
328 17 AV NW,169.212 2218.677|169.157 2256.750|167.640 2256.750|160.041 2256.739|157.000 2256.728|157.056 2218.655|160.097 2218.666|167.696 2218.677
433 19 AV NW,152.268 2362.719|152.212 2400.803|144.613 2400.792|140.810 2400.792|140.866 2362.697|144.669 2362.708
455 27 AV NW,89.885 3207.300|77.351 3207.300|77.476 3170.728|90.010 3170.728
621 18 AV NW,-266.728 2258.929|-266.763 2295.468|-274.361 2295.457|-274.326 2258.918
612 21 AV NW,-229.056 2613.486|-221.457 2613.497|-221.492 2650.046|-229.091 2650.035|-236.690 2650.035|-236.655 2613.486
535 22 AV NW,-148.267 2656.229|-140.668 2656.229|-140.703 2692.779|-148.302 2692.779|-155.894 2692.768|-155.866 2656.218
740 23 AV NW,-507.599 2811.835|-500.000 2811.846|-500.028 2848.363|-507.627 2848.363|-515.232 2848.351|-515.197 2811.835
642 27 AV NW,-343.287 3261.830|-350.886 3261.841|-358.492 3261.841|-358.492 3225.080|-350.893 3225.080|-343.294 3225.080
603 29 AV NW,-206.407 3365.185|-198.801 3365.185|-191.203 3365.185|-191.161 3401.958|-198.759 3401.958|-206.358 3401.958
601 25 AV NW,-191.342 3007.994|-198.941 3007.994|-206.547 3007.994|-206.554 2971.233|-198.955 2971.233|-191.349 2971.233
918 21 AV NW,-767.882 2612.874|-767.903 2649.413|-775.502 2649.413|-775.481 2612.863
442 30 AV NW,112.939 3561.756|105.333 3561.767|105.403 3525.195|113.009 3525.184
514 21 AV NW,-64.654 2613.675|-57.062 2613.686|-57.097 2650.235|-64.696 2650.224|-68.492 2650.224|-68.457 2613.675
626 28 AV NW,-274.795 3360.326|-282.393 3360.326|-289.992 3360.326|-290.041 3323.554|-282.442 3323.554|-274.844 3323.554
3205 5 ST NW,-215.564 3642.406|-252.243 3642.394|-252.250 3634.778|-252.250 3633.254|-215.571 3633.265|-215.571 3634.789
645 26 AV NW,-350.907 3106.479|-358.506 3106.479|-366.104 3106.479|-366.111 3069.718|-358.513 3069.718|-350.914 3069.718
332 17 AV NW,157.056 2218.655|157.000 2256.728|152.442 2256.728|144.844 2256.717|144.900 2218.643|152.498 2218.655
435 19 AV NW,140.866 2362.697|140.810 2400.792|137.007 2400.781|129.409 2400.770|127.123 2400.770|127.179 2362.685|129.451 2362.685|137.063 2362.697
416 23 AV NW,212.407 2821.331|212.379 2857.614|204.780 2857.603|197.181 2857.592|197.209 2821.309|204.808 2821.320
459 27 AV NW,77.351 3207.300|64.817 3207.311|64.943 3170.739|77.476 3170.728
421 30 AV NW,189.023 3505.035|181.425 3505.046|181.474 3468.508|189.072 3468.497
623 18 AV NW,-281.925 2258.907|-274.326 2258.918|-274.361 2295.457|-281.960 2295.446|-285.756 2295.446|-285.721 2258.896
834 18 AV NW,-663.969 2315.116|-656.370 2315.127|-656.405 2351.677|-664.003 2351.666|-671.602 2351.666|-671.567 2315.116
926 19 AV NW,-799.856 2450.841|-809.196 2450.830|-809.112 2418.794|-804.610 2414.291|-799.814 2414.302
711 24 AV NW,-393.668 2862.751|-393.668 2872.814|-393.668 2882.099|-393.668 2891.084|-393.668 2900.380|-393.668 2909.375|-401.273 2909.375|-408.872 2909.375|-408.865 2854.545|-401.266 2854.545|-393.668 2854.556
648 27 AV NW,-358.492 3261.841|-366.090 3261.841|-373.689 3261.841|-373.689 3225.080|-366.090 3225.080|-358.492 3225.080
605 25 AV NW,-206.547 3007.994|-214.138 3007.994|-221.744 3007.994|-221.751 2971.233|-214.152 2971.233|-206.554 2971.233
625 28 AV NW,-282.477 3303.461|-290.083 3303.461|-290.090 3266.711|-282.484 3266.711
444 30 AV NW,105.333 3561.767|97.735 3561.767|97.805 3525.195|105.403 3525.195
336 17 AV NW,144.900 2218.643|144.844 2256.717|137.245 2256.706|129.646 2256.694|129.702 2218.621|137.301 2218.632
422 23 AV NW,197.209 2821.309|197.181 2857.592|189.583 2857.581|181.970 2857.570|182.005 2821.287|189.611 2821.298
461 27 AV NW,64.817 3207.311|52.276 3207.311|52.409 3170.750|64.943 3170.739
627 18 AV NW,-289.517 2258.896|-285.721 2258.896|-285.756 2295.446|-289.552 2295.435|-297.150 2295.424|-297.115 2258.885
516 18 AV NW,-71.973 2315.806|-72.008 2352.355|-79.600 2352.344|-79.572 2315.806
838 18 AV NW,-671.567 2315.116|-671.602 2351.666|-679.194 2351.655|-679.159 2315.105
1003 19 AV NW,-832.823 2357.615|-825.225 2357.626|-825.288 2394.176|-832.886 2394.165|-836.759 2394.154|-836.661 2357.604
618 21 AV NW,-251.845 2613.463|-251.880 2650.013|-259.479 2650.002|-259.444 2613.452
502 22 AV NW,-26.780 2713.005|-19.181 2713.016|-19.216 2749.566|-26.814 2749.555|-34.413 2749.544|-34.371 2713.005
715 24 AV NW,-408.872 2909.375|-416.471 2909.386|-424.076 2909.386|-424.062 2854.523|-416.464 2854.534|-408.865 2854.545
1004 24 AV NW,-830.377 2975.414|-854.725 2975.425|-854.697 2929.568|-830.412 2929.568
650 27 AV NW,-373.689 3261.841|-381.288 3261.841|-386.153 3261.841|-386.160 3225.080|-381.295 3225.080|-373.689 3225.080
611 29 AV NW,-221.555 3401.958|-229.154 3401.958|-236.753 3401.958|-236.794 3365.185|-229.196 3365.185|-221.597 3365.185
609 25 AV NW,-221.744 3007.994|-229.343 3007.994|-236.941 3007.994|-236.948 2971.233|-229.350 2971.233|-221.751 2971.233
627 28 AV NW,-290.083 3303.461|-297.682 3303.461|-297.688 3266.711|-290.090 3266.711
528 22 AV NW,-117.935 2712.905|-117.963 2749.466|-125.562 2749.455|-125.527 2712.905
444 22 AV NW,106.123 2724.258|106.095 2760.541|98.497 2760.530|98.525 2724.247
606 17 AV NW,-205.904 2216.375|-205.938 2252.914|-213.537 2252.903|-213.502 2216.364
631 19 AV NW,-304.805 2358.149|-297.206 2358.160|-297.241 2394.721|-304.840 2394.710|-312.438 2394.698|-312.403 2358.138
912 18 AV NW,-744.848 2351.599|-752.447 2351.588|-752.412 2315.049|-744.813 2315.049
520 21 AV NW,-87.450 2613.652|-79.851 2613.663|-79.886 2650.213|-87.485 2650.202|-95.083 2650.191|-95.042 2613.641
701 23 AV NW,-363.210 2791.887|-370.816 2791.887|-378.415 2791.876|-378.387 2755.292|-370.788 2755.304|-363.182 2755.304
634 28 AV NW,-302.442 3360.326|-305.189 3360.326|-312.788 3360.326|-315.221 3360.326|-315.395 3323.565|-312.844 3323.565|-305.245 3323.565|-302.603 3323.565
3215 5 ST NW,-215.529 3680.479|-252.208 3680.468|-252.215 3672.862|-252.222 3665.245|-252.229 3657.628|-215.550 3657.628|-215.543 3665.245|-215.536 3672.862
340 17 AV NW,129.702 2218.621|129.646 2256.694|122.048 2256.683|114.456 2256.672|114.505 2218.599|122.104 2218.610
465 27 AV NW,52.276 3207.311|39.742 3207.322|39.875 3170.750|52.409 3170.750
429 30 AV NW,158.622 3505.058|151.023 3505.069|143.418 3505.069|143.467 3468.530|151.065 3468.530|158.671 3468.519
631 18 AV NW,-304.714 2258.874|-297.115 2258.885|-297.150 2295.424|-304.749 2295.412|-312.348 2295.401|-312.313 2258.863
518 18 AV NW,-87.163 2315.794|-79.572 2315.806|-79.600 2352.344|-87.198 2352.333|-94.797 2352.333|-94.762 2315.783
840 18 AV NW,-679.159 2315.105|-679.194 2351.655|-686.792 2351.644|-686.757 2315.094
1007 19 AV NW,-840.422 2357.604|-836.661 2357.604|-836.759 2394.154|-840.485 2394.154|-848.084 2394.142|-848.014 2357.593
