ADDRESS,POINTS
120 LISSINGTON DR SW,-2996.313 -4906.160|-3032.741 -4906.183|-3032.741 -4922.628|-2996.313 -4920.471
5659 19 ST SW,-2483.037 -5031.510|-2475.453 -5031.510|-2467.861 -5031.510|-2460.249 -5031.510|-2460.228 -4994.349|-2467.826 -4994.349|-2475.418 -4994.349|-2483.003 -4994.349
2128 53 AV SW,-2744.992 -4635.590|-2752.576 -4635.590|-2760.168 -4635.590|-2760.175 -4672.751|-2752.590 -4672.751|-2744.999 -4672.751
6444 LAURENTIAN WY SW,-2690.081 -5727.290|-2720.420 -5727.279|-2720.420 -5748.606|-2690.088 -5748.606
6311 LOMBARDY CR SW,-3105.386 -5450.259|-3123.176 -5425.585|-3138.416 -5436.660|-3120.625 -5461.334
2232 LANGRIVILLE DR SW,-2831.911 -5375.392|-2847.185 -5370.355|-2856.671 -5399.288|-2841.390 -5404.325
72 LISSINGTON DR SW,-2918.313 -4938.674|-2933.483 -4938.696|-2933.490 -4975.846|-2918.320 -4975.835
104 LANGTON DR SW,-3095.263 -4976.291|-3131.684 -4976.324|-3131.684 -4991.547|-3095.263 -4991.525
2003 55 AV SW,-2475.404 -4930.957|-2467.812 -4930.957|-2460.249 -4930.957|-2460.242 -4893.795|-2467.819 -4893.795|-2475.411 -4893.795
2019 55 AV SW,-2520.933 -4893.807|-2528.518 -4893.807|-2536.109 -4893.818|-2536.102 -4930.979|-2528.518 -4930.968|-2520.926 -4930.968
6415 20 ST SW,-2650.627 -5664.543|-2680.973 -5664.532|-2680.973 -5684.024|-2650.634 -5684.036
6536 LOMBARDY CR SW,-3093.033 -5796.465|-3115.410 -5775.894|-3127.301 -5788.926|-3108.273 -5806.406|-3101.848 -5806.128
2115 LINCOLN DR SW,-2694.716 -5244.026|-2728.117 -5244.026|-2728.124 -5259.871|-2694.709 -5259.860
125 LISSINGTON DR SW,-3049.734 -4884.878|-3086.155 -4884.900|-3086.155 -4900.134|-3049.734 -4900.100
2128 52 AV SW,-2767.732 -4535.092|-2775.316 -4535.092|-2782.908 -4535.092|-2782.908 -4572.242|-2775.323 -4572.242|-2767.732 -4572.242
128 LISSINGTON DR SW,-2996.313 -4872.646|-3032.741 -4872.680|-3032.741 -4889.437|-2996.313 -4889.403
2007 56 AV SW,-2483.003 -4994.349|-2490.594 -4994.349|-2498.179 -4994.349|-2498.214 -5031.521|-2490.629 -5031.510|-2483.037 -5031.510
6448 LAURENTIAN WY SW,-2690.088 -5748.606|-2720.420 -5748.606|-2720.427 -5769.923|-2690.088 -5769.934
6315 LOMBARDY CR SW,-3120.625 -5461.334|-3138.416 -5436.660|-3153.648 -5447.735|-3135.864 -5472.409
2236 LANGRIVILLE DR SW,-2847.185 -5370.355|-2862.760 -5365.217|-2872.239 -5394.150|-2856.671 -5399.288
76 LISSINGTON DR SW,-2933.483 -4938.696|-2948.659 -4938.707|-2948.666 -4975.857|-2933.490 -4975.846
2040 51 AV SW,-2596.807 -4429.490|-2604.399 -4429.490|-2611.991 -4429.490|-2611.991 -4471.666|-2604.399 -4471.666|-2596.807 -4471.666
6512 LOMBARDY CR SW,-3116.102 -5684.647|-3146.441 -5684.647|-3146.441 -5702.316|-3116.102 -5702.316
6431 LAURENTIAN WY SW,-2737.393 -5657.204|-2767.725 -5657.204|-2767.725 -5679.743|-2737.400 -5679.743
6319 LOMBARDY CR SW,-3135.864 -5472.420|-3153.648 -5447.735|-3168.887 -5458.810|-3152.236 -5481.928|-3150.055 -5481.394|-3147.832 -5481.116
2240 LANGRIVILLE DR SW,-2862.760 -5365.217|-2881.208 -5359.135|-2889.268 -5383.731|-2886.367 -5389.491|-2872.239 -5394.150
80 LISSINGTON DR SW,-2948.659 -4938.707|-2963.835 -4938.718|-2963.842 -4975.868|-2948.666 -4975.857
