ADDRESS,POINTS
101 9500 OAKFIELD DR SW,-4111.001 -8706.025|-4199.339 -8643.867|-4204.380 -8650.338|-4209.294 -8656.888|-4214.089 -8663.537|-4218.759 -8670.275|-4223.296 -8677.103|-4227.714 -8684.008|-4231.999 -8690.991|-4236.151 -8698.063|-4122.360 -8739.783
102 9500 OAKFIELD DR SW,-4111.001 -8706.025|-4199.339 -8643.867|-4204.380 -8650.338|-4209.294 -8656.888|-4214.089 -8663.537|-4218.759 -8670.275|-4223.296 -8677.103|-4227.714 -8684.008|-4231.999 -8690.991|-4236.151 -8698.063|-4122.360 -8739.783
103 9500 OAKFIELD DR SW,-4111.001 -8706.025|-4199.339 -8643.867|-4204.380 -8650.338|-4209.294 -8656.888|-4214.089 -8663.537|-4218.759 -8670.275|-4223.296 -8677.103|-4227.714 -8684.008|-4231.999 -8690.991|-4236.151 -8698.063|-4122.360 -8739.783
104 9500 OAKFIELD DR SW,-4111.001 -8706.025|-4199.339 -8643.867|-4204.380 -8650.338|-4209.294 -8656.888|-4214.089 -8663.537|-4218.759 -8670.275|-4223.296 -8677.103|-4227.714 -8684.008|-4231.999 -8690.991|-4236.151 -8698.063|-4122.360 -8739.783
105 9500 OAKFIELD DR SW,-4111.001 -8706.025|-4199.339 -8643.867|-4204.380 -8650.338|-4209.294 -8656.888|-4214.089 -8663.537|-4218.759 -8670.275|-4223.296 -8677.103|-4227.714 -8684.008|-4231.999 -8690.991|-4236.151 -8698.063|-4122.360 -8739.783
106 9500 OAKFIELD DR SW,-4111.001 -8706.025|-4199.339 -8643.867|-4204.380 -8650.338|-4209.294 -8656.888|-4214.089 -8663.537|-4218.759 -8670.275|-4223.296 -8677.103|-4227.714 -8684.008|-4231.999 -8690.991|-4236.151 -8698.063|-4122.360 -8739.783
107 9500 OAKFIELD DR SW,-4111.001 -8706.025|-4199.339 -8643.867|-4204.380 -8650.338|-4209.294 -8656.888|-4214.089 -8663.537|-4218.759 -8670.275|-4223.296 -8677.103|-4227.714 -8684.008|-4231.999 -8690.991|-4236.151 -8698.063|-4122.360 -8739.783
108 9500 OAKFIELD DR SW,-4111.001 -8706.025|-4199.339 -8643.867|-4204.380 -8650.338|-4209.294 -8656.888|-4214.089 -8663.537|-4218.759 -8670.275|-4223.296 -8677.103|-4227.714 -8684.008|-4231.999 -8690.991|-4236.151 -8698.063|-4122.360 -8739.783
109 9500 OAKFIELD DR SW,-4111.001 -8706.025|-4199.339 -8643.867|-4204.380 -8650.338|-4209.294 -8656.888|-4214.089 -8663.537|-4218.759 -8670.275|-4223.296 -8677.103|-4227.714 -8684.008|-4231.999 -8690.991|-4236.151 -8698.063|-4122.360 -8739.783
110 9500 OAKFIELD DR SW,-4111.001 -8706.025|-4199.339 -8643.867|-4204.380 -8650.338|-4209.294 -8656.888|-4214.089 -8663.537|-4218.759 -8670.275|-4223.296 -8677.103|-4227.714 -8684.008|-4231.999 -8690.991|-4236.151 -8698.063|-4122.360 -8739.783
