ADDRESS,POINTS
1 3402 PARKDALE BV NW,-4498.154 984.658|-4497.308 1021.196|-4521.922 1021.864|-4521.880 985.303
2 3402 PARKDALE BV NW,-4498.154 984.658|-4497.308 1021.196|-4521.922 1021.864|-4521.880 985.303
3 3402 PARKDALE BV NW,-4498.154 984.658|-4497.308 1021.196|-4521.922 1021.864|-4521.880 985.303
4 3402 PARKDALE BV NW,-4498.154 984.658|-4497.308 1021.196|-4521.922 1021.864|-4521.880 985.303
5 3402 PARKDALE BV NW,-4498.154 984.658|-4497.308 1021.196|-4521.922 1021.864|-4521.880 985.303
6 3402 PARKDALE BV NW,-4498.154 984.658|-4497.308 1021.196|-4521.922 1021.864|-4521.880 985.303
7 3402 PARKDALE BV NW,-4498.154 984.658|-4497.308 1021.196|-4521.922 1021.864|-4521.880 985.303
8 3402 PARKDALE BV NW,-4498.154 984.658|-4497.308 1021.196|-4521.922 1021.864|-4521.880 985.303
9 3402 PARKDALE BV NW,-4498.154 984.658|-4497.308 1021.196|-4521.922 1021.864|-4521.880 985.303
10 3402 PARKDALE BV NW,-4498.154 984.658|-4497.308 1021.196|-4521.922 1021.864|-4521.880 985.303
11 3402 PARKDALE BV NW,-4498.154 984.658|-4497.308 1021.196|-4521.922 1021.864|-4521.880 985.303
12 3402 PARKDALE BV NW,-4498.154 984.658|-4497.308 1021.196|-4521.922 1021.864|-4521.880 985.303
1 3422 PARKDALE BV NW,-4562.634 986.404|-4562.662 1022.976|-4590.058 1023.721|-4590.037 987.137
2 3422 PARKDALE BV NW,-4562.634 986.404|-4562.662 1022.976|-4590.058 1023.721|-4590.037 987.137
3 3422 PARKDALE BV NW,-4562.634 986.404|-4562.662 1022.976|-4590.058 1023.721|-4590.037 987.137
4 3422 PARKDALE BV NW,-4562.634 986.404|-4562.662 1022.976|-4590.058 1023.721|-4590.037 987.137
5 3422 PARKDALE BV NW,-4562.634 986.404|-4562.662 1022.976|-4590.058 1023.721|-4590.037 987.137
6 3422 PARKDALE BV NW,-4562.634 986.404|-4562.662 1022.976|-4590.058 1023.721|-4590.037 987.137
7 3422 PARKDALE BV NW,-4562.634 986.404|-4562.662 1022.976|-4590.058 1023.721|-4590.037 987.137
8 3422 PARKDALE BV NW,-4562.634 986.404|-4562.662 1022.976|-4590.058 1023.721|-4590.037 987.137
9 3422 PARKDALE BV NW,-4562.634 986.404|-4562.662 1022.976|-4590.058 1023.721|-4590.037 987.137
10 3422 PARKDALE BV NW,-4562.634 986.404|-4562.662 1022.976|-4590.058 1023.721|-4590.037 987.137
11 3422 PARKDALE BV NW,-4562.634 986.404|-4562.662 1022.976|-4590.058 1023.721|-4590.037 987.137
12 3422 PARKDALE BV NW,-4562.634 986.404|-4562.662 1022.976|-4590.058 1023.721|-4590.037 987.137
13 3422 PARKDALE BV NW,-4562.634 986.404|-4562.662 1022.976|-4590.058 1023.721|-4590.037 987.137
14 3422 PARKDALE BV NW,-4562.634 986.404|-4562.662 1022.976|-4590.058 1023.721|-4590.037 987.137
