ADDRESS,POINTS
3616 ERLTON CO SW,753.651 -2820.266|722.117 -2801.585|718.993 -2808.501|715.868 -2815.407|712.743 -2822.323|709.618 -2829.239|740.992 -2847.976|744.228 -2841.093|747.367 -2834.154|750.506 -2827.215
3624 ERLTON CO SW,740.992 -2847.976|709.618 -2829.239|706.494 -2836.156|703.376 -2843.072|700.251 -2849.988|731.673 -2868.836|734.812 -2861.897|737.951 -2854.970
3628 ERLTON CO SW,731.673 -2868.836|700.251 -2849.988|696.511 -2858.250|728.017 -2876.920
51 39 AV SW,548.446 -3269.404|554.758 -3255.527|520.176 -3239.693|513.906 -3253.492
111 38 AV SW,455.983 -3126.052|455.983 -3125.841|456.074 -3102.634|440.883 -3102.634|440.799 -3126.019|455.976 -3126.052
4004 STANLEY RD SW,548.446 -3269.404|513.906 -3253.492|507.600 -3267.358|542.154 -3283.259
123 38 AV SW,410.510 -3102.634|400.478 -3102.634|400.422 -3125.874|410.440 -3125.874
4006 STANLEY RD SW,542.154 -3283.259|507.600 -3267.358|499.282 -3285.672|533.836 -3301.562
125 38 AV SW,400.478 -3102.634|390.454 -3102.645|390.398 -3125.874|400.422 -3125.874
30 38 AV SW,593.122 -3067.641|556.737 -3067.619|556.737 -3075.236|556.730 -3082.853|593.115 -3082.875|593.122 -3075.258
4010 STANLEY RD SW,527.537 -3315.417|492.969 -3299.549|489.817 -3306.488|486.671 -3313.426|521.246 -3329.272|524.392 -3322.344
4014 STANLEY RD SW,521.246 -3329.272|486.671 -3313.426|483.518 -3320.365|480.366 -3327.292|514.947 -3343.127|518.093 -3336.199
4016 STANLEY RD SW,514.947 -3343.127|480.366 -3327.292|477.213 -3334.231|474.060 -3341.170|508.649 -3356.981|511.795 -3350.054
4528 STANLEY RD SW,352.048 -3839.912|315.747 -3829.326|315.705 -3829.482|313.587 -3836.788|349.888 -3847.373|352.006 -3840.068
3816 PARKHILL PL SW,652.604 -3006.762|613.178 -3006.729|613.178 -3014.345|652.597 -3014.368
