ADDRESS,POINTS
323 QUEEN CHARLOTTE PL SE,3421.231 -12505.255|3430.046 -12521.245|3452.577 -12508.680|3454.345 -12502.475|3447.725 -12490.488
48 QUEEN ISABELLA CL SE,2782.476 -12616.505|2778.730 -12586.283|2763.693 -12588.173|2767.440 -12618.396
411 QUEENSLAND RD SE,3199.130 -12606.453|3191.482 -12592.599|3159.683 -12610.334|3167.330 -12624.178
224 QUEENSLAND RD SE,3191.426 -12686.681|3183.045 -12671.503|3155.223 -12687.014|3153.454 -12693.219|3159.627 -12704.405
239 QUEEN ALEXANDRA RD SE,2857.757 -12299.934|2844.489 -12292.572|2827.782 -12323.006|2841.273 -12329.945
371 QUEENSLAND DR SE,3153.398 -12164.687|3126.142 -12145.395|3116.370 -12159.339|3143.626 -12178.642
268 QUEEN ANNE WY SE,3867.734 -12016.398|3877.381 -12030.052|3904.602 -12010.660|3903.728 -12009.426|3894.948 -11996.994
640 QUEEN CHARLOTTE DR SE,3570.122 -12206.207|3554.910 -12201.048|3545.235 -12229.903|3560.454 -12235.074
243 QUEEN CHARLOTTE PL SE,3437.736 -12351.595|3432.856 -12349.938|3413.374 -12377.737|3437.813 -12394.616|3438.756 -12393.360|3439.805 -12392.181|3440.951 -12391.102|3442.189 -12390.124|3443.503 -12389.256|3444.894 -12388.511|3446.334 -12387.878|3447.830 -12387.377
564 QUEENSLAND CI SE,3546.759 -11928.787|3516.756 -11921.437|3515.624 -11926.641|3514.757 -11931.901|3514.156 -11937.193|3513.813 -11942.509|3547.025 -11943.821
324 QUEENSLAND CI SE,3407.383 -11555.072|3416.785 -11553.549|3409.396 -11507.736|3404.545 -11508.748|3399.771 -11510.083|3395.094 -11511.717|3390.536 -11513.663
847 QUEENSLAND DR SE,3775.439 -12397.218|3775.348 -12396.795|3771.489 -12379.060|3738.914 -12386.210|3742.863 -12404.368
106 QUEEN ANNE CL SE,3868.643 -12442.485|3838.633 -12437.871|3837.934 -12446.255|3867.706 -12450.836
240 QUEEN CHARLOTTE WY SE,3582.159 -12466.859|3550.003 -12458.053|3545.620 -12474.220|3577.776 -12483.016
331 QUEENSLAND RD SE,3279.143 -12767.619|3277.283 -12759.335|3274.998 -12751.163|3239.675 -12762.126|3242.946 -12774.847
355 QUEENSLAND RD SE,3238.528 -12677.841|3231.174 -12664.519|3199.375 -12682.244|3206.729 -12695.565
12 QUEEN ISABELLA CL SE,2920.804 -12599.170|2917.078 -12568.936|2901.433 -12570.904|2905.166 -12601.127
164 QUEENSLAND RD SE,3128.771 -12571.983|3127.205 -12559.318|3091.113 -12563.832|3091.924 -12570.382|3092.826 -12575.942|3094.126 -12581.423
236 QUEEN CHARLOTTE WY SE,3577.776 -12483.016|3545.620 -12474.220|3541.558 -12489.210|3573.708 -12498.005
272 QUEEN ALEXANDRA RD SE,2889.550 -12209.365|2876.799 -12201.148|2857.463 -12231.437|2870.501 -12239.210
436 QUEEN ALEXANDRA WY SE,3000.838 -12120.042|2988.451 -12111.280|2970.996 -12136.188|2983.383 -12144.950
280 QUEEN ANNE WY SE,3939.617 -12045.820|3927.719 -12034.511|3896.318 -12056.884|3905.615 -12070.049
671 QUEEN CHARLOTTE DR SE,3674.468 -12292.584|3670.693 -12292.306|3666.933 -12291.894|3663.179 -12291.360|3659.453 -12290.704|3652.826 -12324.908|3666.912 -12329.689|3672.399 -12328.477
311 QUEEN CHARLOTTE PL SE,3434.115 -12460.421|3433.136 -12456.452|3432.332 -12452.448|3431.703 -12448.412|3431.256 -12444.342|3400.994 -12447.000|3403.685 -12468.772
