ADDRESS,POINTS
114 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
113 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
111 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
109 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
107 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
105 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
103 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
201 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
202 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
204 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
206 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
208 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
210 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
212 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
214 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
213 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
211 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
209 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
207 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
205 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
203 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
301 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
302 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
304 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
