ADDRESS,POINTS
238 RED EMBERS WY NE,8045.390 13225.095|8045.397 13247.390|8040.832 13247.401|8040.825 13225.095
126 31 RED EMBERS PR NE,8006.977 13262.390|8011.549 13262.390|8011.556 13282.806|8006.984 13282.806
120 31 RED EMBERS PR NE,8020.686 13262.379|8025.257 13262.379|8025.264 13282.806|8020.693 13282.806
112 31 RED EMBERS PR NE,8038.966 13262.379|8043.531 13262.379|8043.531 13262.679|8043.537 13282.794|8038.973 13282.794
134 RED EMBERS GA NE,7956.569 13280.482|7978.869 13280.482|7978.869 13285.041|7956.569 13285.052
140 RED EMBERS GA NE,7956.569 13294.181|7978.876 13294.181|7978.876 13298.751|7956.576 13298.751
213 31 RED EMBERS PR NE,8000.812 13297.795|8005.376 13297.795|8005.383 13318.299|8000.819 13318.299
309 31 RED EMBERS PR NE,8023.391 13297.784|8027.963 13297.784|8027.970 13318.288|8023.398 13318.288
150 RED EMBERS GA NE,7956.597 13325.538|7956.576 13317.020|7978.883 13317.020|7978.890 13325.527
120 RED EMBERS GA NE,7978.862 13253.339|7978.862 13257.898|7956.562 13257.909|7956.562 13253.339
122 31 RED EMBERS PR NE,8020.693 13282.806|8016.121 13282.806|8016.121 13262.390|8020.686 13262.379
136 RED EMBERS GA NE,7956.569 13285.052|7978.869 13285.041|7978.876 13289.611|7956.569 13289.622
205 31 RED EMBERS PR NE,7980.078 13297.795|7987.103 13297.795|7987.110 13318.299|7980.078 13318.299
305 31 RED EMBERS PR NE,8012.703 13297.784|8018.826 13297.784|8018.833 13318.288|8012.709 13318.288
110 RED EMBERS GA NE,7978.855 13228.620|7978.855 13235.070|7956.555 13235.070|7956.555 13229.621|7957.555 13228.620
222 RED EMBERS WY NE,8009.102 13225.107|8015.827 13225.107|8015.827 13247.401|8009.109 13247.401
118 RED EMBERS GA NE,7956.562 13248.769|7978.862 13248.769|7978.862 13253.339|7956.562 13253.339
118 31 RED EMBERS PR NE,8025.257 13262.379|8029.822 13262.379|8029.829 13282.794|8025.264 13282.806
214 RED EMBERS WY NE,7990.829 13225.107|7995.394 13225.107|7995.401 13247.412|7990.836 13247.412
216 RED EMBERS WY NE,7995.394 13225.107|7999.966 13225.107|7999.973 13247.412|7995.401 13247.412
228 RED EMBERS WY NE,8015.827 13225.107|8022.545 13225.095|8022.552 13247.401|8015.827 13247.401
232 RED EMBERS WY NE,8027.117 13225.095|8031.682 13225.095|8031.689 13247.401|8027.124 13247.401
234 RED EMBERS WY NE,8031.682 13225.095|8036.253 13225.095|8036.260 13247.401|8031.689 13247.401
122 RED EMBERS GA NE,7956.562 13257.909|7978.862 13257.898|7978.862 13262.468|7956.562 13262.479
126 RED EMBERS GA NE,7956.562 13267.038|7978.869 13267.038|7978.869 13273.009|7956.569 13273.009
110 31 RED EMBERS PR NE,8043.531 13262.679|8045.621 13262.679|8046.473 13262.757|8047.298 13263.013|8048.060 13263.424|8048.731 13263.969|8049.277 13264.636|8049.682 13265.392|8049.934 13266.215|8050.018 13267.071|8050.018 13282.794|8043.537 13282.794
307 31 RED EMBERS PR NE,8018.826 13297.784|8023.391 13297.784|8023.398 13318.288|8018.833 13318.288
311 31 RED EMBERS PR NE,8027.963 13297.784|8032.534 13297.784|8032.541 13318.288|8027.970 13318.288
112 RED EMBERS GA NE,7956.555 13235.070|7978.855 13235.070|7978.862 13239.629|7956.555 13239.640
218 RED EMBERS WY NE,7999.973 13247.412|7999.966 13225.107|8004.531 13225.107|8004.538 13247.412
220 RED EMBERS WY NE,8004.531 13225.107|8009.102 13225.107|8009.109 13247.401|8004.538 13247.412
230 RED EMBERS WY NE,8027.124 13247.401|8022.552 13247.401|8022.545 13225.095|8027.117 13225.095
236 RED EMBERS WY NE,8036.253 13225.095|8040.825 13225.095|8040.832 13247.401|8036.260 13247.401
124 RED EMBERS GA NE,7956.562 13262.479|7978.862 13262.468|7978.869 13267.038|7956.562 13267.038
124 31 RED EMBERS PR NE,8011.549 13262.390|8016.121 13262.390|8016.121 13282.806|8011.556 13282.806
116 31 RED EMBERS PR NE,8029.822 13262.379|8034.394 13262.379|8034.401 13282.794|8029.829 13282.794
114 RED EMBERS GA NE,7956.555 13239.640|7978.862 13239.629|7978.862 13244.199|7956.555 13244.210
138 RED EMBERS GA NE,7956.569 13289.622|7978.876 13289.611|7978.876 13294.181|7956.569 13294.181
144 RED EMBERS GA NE,7956.576 13307.891|7956.576 13303.321|7978.876 13303.310|7978.876 13307.880
207 31 RED EMBERS PR NE,7991.682 13318.299|7987.110 13318.299|7987.103 13297.795|7991.675 13297.795
315 31 RED EMBERS PR NE,8037.099 13297.784|8041.671 13297.772|8041.671 13298.073|8041.678 13318.277|8037.106 13318.288
