ADDRESS,POINTS
124 REDSTONE AV NE,7826.106 13903.407|7832.404 13903.429|7832.397 13937.410|7826.092 13937.399|7824.638 13937.410|7824.652 13906.909|7824.659 13903.407
128 REDSTONE AV NE,7840.150 13937.410|7832.397 13937.410|7832.404 13903.429|7840.164 13903.429
132 REDSTONE AV NE,7840.164 13903.429|7847.923 13903.407|7847.909 13937.410|7840.150 13937.410
136 REDSTONE AV NE,7847.923 13903.407|7855.682 13903.407|7855.682 13906.909|7855.675 13934.408|7852.670 13937.410|7847.909 13937.410
120 REDSTONE AV NE,7816.200 13903.551|7824.659 13903.407|7824.652 13906.909|7824.638 13937.410|7817.074 13937.521
116 REDSTONE AV NE,7807.875 13903.863|7816.200 13903.551|7817.074 13937.521|7809.489 13937.799
112 REDSTONE AV NE,7799.556 13904.341|7807.875 13903.863|7809.489 13937.799|7801.912 13938.244
108 REDSTONE AV NE,7791.251 13905.019|7799.556 13904.341|7801.912 13938.244|7794.348 13938.856
104 REDSTONE AV NE,7782.960 13905.864|7791.251 13905.019|7794.348 13938.856|7786.798 13939.623
100 REDSTONE AV NE,7774.691 13906.898|7782.960 13905.864|7786.798 13939.623|7779.270 13940.568
96 REDSTONE AV NE,7766.442 13908.110|7774.691 13906.898|7779.270 13940.568|7771.755 13941.669
92 REDSTONE AV NE,7764.275 13942.936|7758.228 13909.511|7766.442 13908.110|7771.755 13941.669
88 REDSTONE AV NE,7750.042 13911.079|7758.228 13909.511|7764.275 13942.936|7756.823 13944.371
84 REDSTONE AV NE,7756.823 13944.371|7749.399 13945.972|7741.891 13912.836|7750.042 13911.079
80 REDSTONE AV NE,7734.104 13914.682|7741.891 13912.836|7749.399 13945.972|7741.912 13947.751
76 REDSTONE AV NE,7730.832 13942.447|7725.876 13921.454|7729.197 13915.938|7729.798 13915.783|7734.104 13914.682|7741.912 13947.751|7738.417 13948.696|7732.531 13950.186
68 REDSTONE AV NE,7694.384 13925.034|7699.767 13928.270|7704.576 13948.652|7706.687 13956.936|7697.257 13959.404|7689.449 13926.324
64 REDSTONE AV NE,7689.449 13926.324|7697.257 13959.404|7689.708 13961.373|7681.906 13928.292
60 REDSTONE AV NE,7681.906 13928.292|7689.708 13961.373|7682.165 13963.341|7674.356 13930.271
56 REDSTONE AV NE,7674.356 13930.271|7682.165 13963.341|7674.615 13965.320|7666.814 13932.240
52 REDSTONE AV NE,7674.615 13965.320|7667.065 13967.288|7659.271 13934.208|7666.814 13932.240
48 REDSTONE AV NE,7659.271 13934.208|7667.065 13967.288|7659.516 13969.256|7651.721 13936.176
44 REDSTONE AV NE,7651.721 13936.176|7659.516 13969.256|7651.973 13971.224|7644.179 13938.144
40 REDSTONE AV NE,7644.179 13938.144|7651.973 13971.224|7644.423 13973.193|7636.629 13940.112
36 REDSTONE AV NE,7636.629 13940.112|7644.423 13973.193|7636.873 13975.161|7629.079 13942.080
32 REDSTONE AV NE,7629.079 13942.080|7636.873 13975.161|7629.324 13977.129|7621.536 13944.048
28 REDSTONE AV NE,7621.536 13944.048|7629.324 13977.129|7621.781 13979.097|7614.791 13949.419|7613.987 13946.005
24 REDSTONE AV NE,7613.987 13946.005|7614.791 13949.419|7621.781 13979.097|7614.231 13981.065|7606.437 13947.974
20 REDSTONE AV NE,7606.437 13947.974|7614.231 13981.065|7606.689 13983.022|7598.894 13949.942
16 REDSTONE AV NE,7591.345 13951.910|7598.894 13949.942|7606.689 13983.022|7599.139 13984.990
12 REDSTONE AV NE,7591.345 13951.910|7599.139 13984.990|7591.575 13986.970|7583.788 13953.911|7585.801 13953.355
8 REDSTONE AV NE,7572.428 13958.181|7575.203 13956.958|7578.028 13955.835|7580.894 13954.823|7583.788 13953.911|7591.575 13986.970|7588.157 13987.926|7584.095 13985.847|7573.777 13961.373
151 REDSTONE GV NE,7332.389 13731.933|7334.675 13729.264|7337.457 13726.318|7340.393 13723.538|7343.476 13720.902|7346.692 13718.445|7350.033 13716.154|7353.494 13714.053|7357.066 13712.129|7360.729 13710.406|7362.476 13709.638|7366.803 13707.726|7370.872 13709.761|7372.032 13710.306|7373.242 13714.720|7338.338 13737.192|7334.235 13733.456
155 REDSTONE GV NE,7375.940 13723.149|7344.238 13743.564|7341.372 13740.306|7338.338 13737.192|7373.242 13714.720|7374.535 13718.957
159 REDSTONE GV NE,7379.295 13731.877|7349.726 13750.914|7347.083 13747.167|7344.238 13743.564|7375.940 13723.149|7377.555 13727.541
163 REDSTONE GV NE,7383.105 13740.306|7354.367 13758.809|7352.158 13754.795|7349.726 13750.914|7379.295 13731.877|7381.141 13736.125
167 REDSTONE GV NE,7387.069 13747.923|7358.450 13766.348|7354.444 13758.964|7354.367 13758.809|7383.105 13740.306|7384.853 13743.753
171 REDSTONE GV NE,7391.417 13755.284|7362.847 13773.676|7358.450 13766.348|7387.069 13747.923|7389.194 13751.626
175 REDSTONE GV NE,7396.324 13762.645|7368.698 13782.427|7365.713 13778.090|7362.847 13773.676|7391.417 13755.284|7393.822 13758.998
179 REDSTONE GV NE,7401.637 13769.728|7375.017 13790.844|7371.802 13786.674|7368.698 13782.427|7396.324 13762.645|7398.932 13766.225
183 REDSTONE GV NE,7406.915 13776.044|7381.413 13798.494|7378.163 13794.714|7375.017 13790.844|7401.637 13769.728|7404.230 13772.919
187 REDSTONE GV NE,7412.507 13782.071|7388.194 13805.811|7384.755 13802.197|7381.413 13798.494|7406.915 13776.044|7409.669 13779.091
