ADDRESS,POINTS
16700 88 ST SE,12369.923 -16498.865|12369.699 -16398.323|12369.468 -16297.769|12369.468 -16295.134|11717.271 -16296.179|11580.174 -16296.413|11580.439 -16500.144
9110 178 AV SE,12092.932 -17303.027|12092.240 -16998.219|11960.113 -16998.531|11960.812 -17303.338
9800 178 AV SE,12371.384 -17302.338|13169.396 -17301.315|13167.998 -16497.564|12375.445 -16498.899|12369.923 -16498.865
16505 104 ST SE,13162.014 -15994.852|13161.874 -15918.683|12950.908 -15919.006|12951.027 -15995.186
16611 104 ST SE,13162.321 -16183.750|12750.547 -16184.406|12750.575 -16096.050|12539.994 -16096.395|12539.973 -16190.844|12750.547 -16190.499|13162.328 -16189.843
16625 104 ST SE,13162.328 -16189.843|12750.547 -16190.499|12539.973 -16190.844|12539.994 -16096.395|12369.021 -16096.684|12369.028 -16101.299|12369.245 -16197.227|13162.342 -16195.948
16651 104 ST SE,13162.349 -16202.042|13162.342 -16195.948|12369.245 -16197.227|12369.468 -16295.134|12369.468 -16297.769|12529.208 -16297.502|12528.697 -16203.064|12667.389 -16202.831
16665 104 ST SE,13162.363 -16208.135|13162.349 -16202.042|12667.389 -16202.831|12528.697 -16203.064|12529.208 -16297.502|12667.857 -16297.280|12667.389 -16208.924
16699 104 ST SE,13162.510 -16296.490|13162.363 -16208.135|12667.389 -16208.924|12667.857 -16297.280
16715 104 ST SE,13162.685 -16397.033|13162.510 -16296.490|12667.857 -16297.280|12529.208 -16297.502|12369.468 -16297.769|12369.699 -16398.323
16909 104 ST SE,13167.998 -16497.564|13167.830 -16397.022|13162.685 -16397.033|12369.699 -16398.323|12369.923 -16498.865|12375.445 -16498.899
18300 88 ST SE,11576.427 -18068.904|11691.120 -18068.682|11689.421 -17894.439|11578.817 -17894.628|11572.694 -17894.640|11572.715 -17904.892|11572.729 -17910.062|11573.022 -18068.815|11573.022 -18068.904
11755 210 AV SE,14549.414 -20904.408|14560.179 -20894.334|14675.235 -20786.642|14674.928 -20554.300|14373.883 -20555.023|14177.360 -20555.523|14239.498 -20613.800|14396.958 -20761.445
19200 104 ST SE,13366.450 -18929.909|13365.562 -18772.446|13190.842 -18631.106|13191.185 -18931.010
11625 178 AV SE,14443.005 -17522.893|14523.116 -17522.759|14517.810 -17324.665|14294.373 -17324.977|14301.308 -17340.500
11023 22X HI SE,13983.164 -16117.800|13982.486 -15697.806|13869.939 -15698.162|13869.862 -15740.638|13821.006 -15827.515|13804.376 -15899.069|13808.290 -15958.803|13820.104 -16012.243|13850.135 -16057.677|13880.159 -16079.071|13936.489 -16102.945
11888 178 AV SE,14283.077 -17299.702|14780.945 -17299.002|14779.596 -16495.251|14449.457 -16495.685|14439.880 -16536.371|14326.285 -16775.707|14273.521 -17031.222|14255.408 -17198.982|14266.146 -17261.851
