ADDRESS,POINTS
101 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
102 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
103 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
104 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
105 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
106 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
107 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
108 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
109 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
201 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
202 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
203 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
204 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
205 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
206 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
207 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
208 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
209 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
301 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
302 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
303 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
304 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
305 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
306 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
307 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
308 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
309 1917 24A ST SW,-3362.391 -1229.155|-3362.474 -1183.465|-3395.966 -1183.488|-3400.447 -1187.980|-3400.363 -1229.189
