ADDRESS,POINTS
175 ROYAL OAK GD NW,-11277.973 11754.965|-11277.869 11755.065|-11276.380 11756.333|-11274.709 11757.345|-11272.884 11758.067|-11270.976 11758.490|-11271.018 11782.997|-11278.015 11782.875
177 ROYAL OAK GD NW,-11277.973 11754.965|-11278.015 11782.875|-11283.803 11782.753|-11283.748 11749.172
179 ROYAL OAK GD NW,-11283.748 11749.172|-11283.803 11782.753|-11289.585 11782.608|-11289.536 11751.296|-11288.040 11750.962|-11286.586 11750.473|-11285.188 11749.828|-11283.866 11749.049
181 ROYAL OAK GD NW,-11289.536 11751.296|-11289.585 11782.608|-11295.366 11782.452|-11295.317 11751.518|-11292.122 11751.518|-11290.822 11751.462
183 ROYAL OAK GD NW,-11295.317 11751.518|-11295.366 11782.452|-11301.154 11782.274|-11301.105 11751.507
185 ROYAL OAK GD NW,-11301.105 11751.507|-11301.154 11782.274|-11308.431 11782.030|-11308.382 11751.496
189 ROYAL OAK GD NW,-11308.382 11751.496|-11308.431 11782.030|-11315.715 11781.763|-11315.666 11751.485
191 ROYAL OAK GD NW,-11315.666 11751.485|-11315.715 11781.763|-11321.496 11781.529|-11321.447 11751.473
193 ROYAL OAK GD NW,-11321.447 11751.473|-11321.496 11781.529|-11326.564 11781.329|-11327.277 11781.285|-11327.235 11751.462
195 ROYAL OAK GD NW,-11327.277 11781.285|-11330.779 11781.140|-11333.065 11780.362|-11333.016 11751.451|-11327.235 11751.462
197 ROYAL OAK GD NW,-11333.065 11780.362|-11338.846 11778.394|-11338.798 11751.362|-11337.274 11751.440|-11333.016 11751.451
199 ROYAL OAK GD NW,-11345.802 11748.771|-11344.187 11749.739|-11342.468 11750.506|-11340.657 11751.051|-11338.798 11751.362|-11338.846 11778.394|-11343.474 11776.815|-11343.970 11776.604|-11344.432 11776.314|-11344.844 11775.948|-11345.194 11775.536|-11345.473 11775.069|-11345.676 11774.569|-11345.802 11774.035|-11345.844 11773.501
180 ROYAL OAK GD NW,-11284.579 11719.049|-11284.607 11736.540|-11284.747 11737.997|-11285.181 11739.409|-11285.873 11740.699|-11286.802 11741.833|-11287.942 11742.767|-11289.242 11743.456|-11290.647 11743.879|-11292.108 11744.023|-11292.947 11744.023|-11292.905 11719.038
182 ROYAL OAK GD NW,-11292.947 11744.023|-11298.735 11744.012|-11298.707 11719.027|-11292.905 11719.038
184 ROYAL OAK GD NW,-11298.735 11744.012|-11304.516 11744.001|-11304.474 11719.016|-11298.707 11719.027
186 ROYAL OAK GD NW,-11304.516 11744.001|-11311.800 11743.990|-11311.758 11719.005|-11304.474 11719.016
190 ROYAL OAK GD NW,-11311.800 11743.990|-11319.084 11743.979|-11319.042 11718.993|-11311.758 11719.005
192 ROYAL OAK GD NW,-11319.084 11743.979|-11324.866 11743.968|-11324.824 11718.993|-11319.042 11718.993
194 ROYAL OAK GD NW,-11324.866 11743.968|-11330.647 11743.957|-11330.605 11718.982|-11324.824 11718.993
196 ROYAL OAK GD NW,-11330.647 11743.957|-11336.435 11743.957|-11336.393 11718.971|-11330.605 11718.982
198 ROYAL OAK GD NW,-11336.435 11743.957|-11337.260 11743.946|-11338.721 11743.801|-11340.133 11743.367|-11341.426 11742.678|-11342.558 11741.744|-11343.488 11740.610|-11344.180 11739.309|-11344.600 11737.908|-11344.739 11736.440|-11344.711 11718.960|-11336.393 11718.971
134 ROYAL OAK GD NW,-11336.393 11718.971|-11344.711 11718.960|-11344.684 11701.469|-11344.537 11700.012|-11344.110 11698.600|-11343.418 11697.310|-11342.482 11696.176|-11341.349 11695.242|-11340.049 11694.553|-11338.644 11694.130|-11337.183 11693.986|-11336.351 11693.986
136 ROYAL OAK GD NW,-11330.605 11718.982|-11336.393 11718.971|-11336.351 11693.986|-11330.570 11693.997
138 ROYAL OAK GD NW,-11324.824 11718.993|-11330.605 11718.982|-11330.570 11693.997|-11324.782 11694.008
140 ROYAL OAK GD NW,-11319.042 11718.993|-11324.824 11718.993|-11324.782 11694.008|-11319.000 11694.019
142 ROYAL OAK GD NW,-11311.758 11719.005|-11319.042 11718.993|-11319.000 11694.019|-11311.716 11694.030
146 ROYAL OAK GD NW,-11304.474 11719.016|-11311.758 11719.005|-11311.716 11694.030|-11304.432 11694.041
148 ROYAL OAK GD NW,-11298.707 11719.027|-11304.474 11719.016|-11304.432 11694.041|-11298.651 11694.052
150 ROYAL OAK GD NW,-11292.905 11719.038|-11298.707 11719.027|-11298.651 11694.052|-11292.870 11694.064
152 ROYAL OAK GD NW,-11284.579 11719.049|-11292.905 11719.038|-11292.870 11694.052|-11292.031 11694.064|-11290.563 11694.208|-11289.158 11694.642|-11287.865 11695.331|-11286.732 11696.265|-11285.803 11697.399|-11285.111 11698.700|-11284.691 11700.101|-11284.551 11701.569
