ADDRESS,POINTS
3 RUNDLELAWN PA NE,6927.368 3121.424|6927.368 3126.517|6927.277 3127.395|6927.025 3128.240|6926.606 3129.019|6926.047 3129.697|6925.369 3130.253|6924.593 3130.664|6923.747 3130.920|6922.873 3131.009|6901.056 3130.998|6901.056 3130.253|6901.063 3121.413
7 RUNDLELAWN PA NE,6927.375 3114.274|6927.368 3121.424|6901.063 3121.413|6901.063 3114.252
11 RUNDLELAWN PA NE,6927.382 3106.546|6927.375 3114.274|6901.063 3114.252|6901.070 3105.890|6921.300 3105.890
15 RUNDLELAWN PA NE,6927.389 3103.333|6927.382 3106.546|6921.300 3105.890|6901.070 3105.890|6901.077 3091.479|6922.048 3100.075
19 RUNDLELAWN PA NE,6929.584 3101.142|6928.745 3101.309|6928.032 3101.787|6927.557 3102.499|6927.389 3103.333|6922.048 3100.075|6901.077 3091.479|6901.091 3074.288|6906.075 3074.300|6918.958 3088.788|6920.014 3093.670
23 RUNDLELAWN PA NE,6924.376 3074.311|6928.878 3095.137|6932.891 3101.142|6929.584 3101.142|6920.014 3093.670|6918.958 3088.788|6906.075 3074.300
27 RUNDLELAWN PA NE,6935.959 3074.311|6935.959 3101.142|6932.891 3101.142|6928.878 3095.137|6924.376 3074.311
31 RUNDLELAWN PA NE,6944.313 3074.322|6944.320 3101.153|6935.959 3101.142|6935.959 3074.311
35 RUNDLELAWN PA NE,6956.015 3074.322|6956.015 3080.938|6952.674 3086.364|6952.674 3092.502|6948.507 3101.153|6944.320 3101.153|6944.313 3074.322
39 RUNDLELAWN PA NE,6968.346 3080.393|6956.658 3097.061|6951.988 3101.164|6948.507 3101.153|6952.674 3092.502|6952.674 3086.364|6956.015 3080.938|6956.015 3074.322|6962.264 3074.333
43 RUNDLELAWN PA NE,6980.482 3092.491|6963.719 3098.785|6954.183 3103.355|6954.023 3102.521|6953.547 3101.809|6952.834 3101.331|6951.988 3101.164|6956.658 3097.061|6968.346 3080.393
47 RUNDLELAWN PA NE,6980.482 3092.491|6980.482 3095.026|6980.482 3106.535|6954.183 3106.513|6954.183 3103.355|6963.719 3098.785
51 RUNDLELAWN PA NE,6980.482 3106.535|6980.482 3114.908|6954.183 3114.886|6954.183 3106.513
55 RUNDLELAWN PA NE,6980.482 3114.908|6980.475 3123.281|6954.177 3123.259|6954.183 3114.886
59 RUNDLELAWN PA NE,6980.475 3123.281|6980.475 3130.431|6954.177 3130.420|6954.177 3123.259
63 RUNDLELAWN PA NE,6980.475 3130.431|6980.475 3140.027|6977.238 3140.027|6954.442 3140.027|6954.177 3140.027|6954.177 3130.420
4805 26 AV NE,7383.329 3188.886|7408.474 3171.250|7427.704 3211.581|7422.462 3214.238|7417.296 3217.029|7412.207 3219.976|7407.201 3223.056|7405.454 3220.554
1 4807 26 AV NE,7448.207 3202.641|7442.993 3204.676|7437.841 3206.844|7432.745 3209.146|7427.704 3211.581|7408.474 3171.250|7431.039 3155.405
2 4807 26 AV NE,7448.207 3202.641|7442.993 3204.676|7437.841 3206.844|7432.745 3209.146|7427.704 3211.581|7408.474 3171.250|7431.039 3155.405
4 4807 26 AV NE,7448.207 3202.641|7442.993 3204.676|7437.841 3206.844|7432.745 3209.146|7427.704 3211.581|7408.474 3171.250|7431.039 3155.405
3 4807 26 AV NE,7448.207 3202.641|7442.993 3204.676|7437.841 3206.844|7432.745 3209.146|7427.704 3211.581|7408.474 3171.250|7431.039 3155.405
