ADDRESS,POINTS
110 7210 80 AV NE,9778.581 8595.050|9857.266 8595.061|9859.055 8595.161|9860.824 8595.417|9862.558 8595.862|9864.242 8596.462|9865.864 8597.229|9867.395 8598.152|9868.835 8599.220|9870.156 8600.421|9871.359 8601.744|9872.421 8603.189|9873.344 8604.724|9874.106 8606.336|9874.707 8608.026|9875.140 8609.761|9875.399 8611.529|9875.483 8613.308|9875.483 8624.895|9875.483 8634.880|9875.483 8642.319|9875.588 8648.334|9846.661 8648.401|9846.640 8626.674|9778.595 8626.729
108 7210 80 AV NE,9778.581 8595.050|9857.266 8595.061|9859.055 8595.161|9860.824 8595.417|9862.558 8595.862|9864.242 8596.462|9865.864 8597.229|9867.395 8598.152|9868.835 8599.220|9870.156 8600.421|9871.359 8601.744|9872.421 8603.189|9873.344 8604.724|9874.106 8606.336|9874.707 8608.026|9875.140 8609.761|9875.399 8611.529|9875.483 8613.308|9875.483 8624.895|9875.483 8634.880|9875.483 8642.319|9875.588 8648.334|9846.661 8648.401|9846.640 8626.674|9778.595 8626.729
106 7210 80 AV NE,9778.581 8595.050|9857.266 8595.061|9859.055 8595.161|9860.824 8595.417|9862.558 8595.862|9864.242 8596.462|9865.864 8597.229|9867.395 8598.152|9868.835 8599.220|9870.156 8600.421|9871.359 8601.744|9872.421 8603.189|9873.344 8604.724|9874.106 8606.336|9874.707 8608.026|9875.140 8609.761|9875.399 8611.529|9875.483 8613.308|9875.483 8624.895|9875.483 8634.880|9875.483 8642.319|9875.588 8648.334|9846.661 8648.401|9846.640 8626.674|9778.595 8626.729
104 7210 80 AV NE,9778.581 8595.050|9857.266 8595.061|9859.055 8595.161|9860.824 8595.417|9862.558 8595.862|9864.242 8596.462|9865.864 8597.229|9867.395 8598.152|9868.835 8599.220|9870.156 8600.421|9871.359 8601.744|9872.421 8603.189|9873.344 8604.724|9874.106 8606.336|9874.707 8608.026|9875.140 8609.761|9875.399 8611.529|9875.483 8613.308|9875.483 8624.895|9875.483 8634.880|9875.483 8642.319|9875.588 8648.334|9846.661 8648.401|9846.640 8626.674|9778.595 8626.729
102 7210 80 AV NE,9778.581 8595.050|9857.266 8595.061|9859.055 8595.161|9860.824 8595.417|9862.558 8595.862|9864.242 8596.462|9865.864 8597.229|9867.395 8598.152|9868.835 8599.220|9870.156 8600.421|9871.359 8601.744|9872.421 8603.189|9873.344 8604.724|9874.106 8606.336|9874.707 8608.026|9875.140 8609.761|9875.399 8611.529|9875.483 8613.308|9875.483 8624.895|9875.483 8634.880|9875.483 8642.319|9875.588 8648.334|9846.661 8648.401|9846.640 8626.674|9778.595 8626.729
101 7210 80 AV NE,9778.581 8595.050|9857.266 8595.061|9859.055 8595.161|9860.824 8595.417|9862.558 8595.862|9864.242 8596.462|9865.864 8597.229|9867.395 8598.152|9868.835 8599.220|9870.156 8600.421|9871.359 8601.744|9872.421 8603.189|9873.344 8604.724|9874.106 8606.336|9874.707 8608.026|9875.140 8609.761|9875.399 8611.529|9875.483 8613.308|9875.483 8624.895|9875.483 8634.880|9875.483 8642.319|9875.588 8648.334|9846.661 8648.401|9846.640 8626.674|9778.595 8626.729
103 7210 80 AV NE,9778.581 8595.050|9857.266 8595.061|9859.055 8595.161|9860.824 8595.417|9862.558 8595.862|9864.242 8596.462|9865.864 8597.229|9867.395 8598.152|9868.835 8599.220|9870.156 8600.421|9871.359 8601.744|9872.421 8603.189|9873.344 8604.724|9874.106 8606.336|9874.707 8608.026|9875.140 8609.761|9875.399 8611.529|9875.483 8613.308|9875.483 8624.895|9875.483 8634.880|9875.483 8642.319|9875.588 8648.334|9846.661 8648.401|9846.640 8626.674|9778.595 8626.729
105 7210 80 AV NE,9778.581 8595.050|9857.266 8595.061|9859.055 8595.161|9860.824 8595.417|9862.558 8595.862|9864.242 8596.462|9865.864 8597.229|9867.395 8598.152|9868.835 8599.220|9870.156 8600.421|9871.359 8601.744|9872.421 8603.189|9873.344 8604.724|9874.106 8606.336|9874.707 8608.026|9875.140 8609.761|9875.399 8611.529|9875.483 8613.308|9875.483 8624.895|9875.483 8634.880|9875.483 8642.319|9875.588 8648.334|9846.661 8648.401|9846.640 8626.674|9778.595 8626.729
107 7210 80 AV NE,9778.581 8595.050|9857.266 8595.061|9859.055 8595.161|9860.824 8595.417|9862.558 8595.862|9864.242 8596.462|9865.864 8597.229|9867.395 8598.152|9868.835 8599.220|9870.156 8600.421|9871.359 8601.744|9872.421 8603.189|9873.344 8604.724|9874.106 8606.336|9874.707 8608.026|9875.140 8609.761|9875.399 8611.529|9875.483 8613.308|9875.483 8624.895|9875.483 8634.880|9875.483 8642.319|9875.588 8648.334|9846.661 8648.401|9846.640 8626.674|9778.595 8626.729
109 7210 80 AV NE,9778.581 8595.050|9857.266 8595.061|9859.055 8595.161|9860.824 8595.417|9862.558 8595.862|9864.242 8596.462|9865.864 8597.229|9867.395 8598.152|9868.835 8599.220|9870.156 8600.421|9871.359 8601.744|9872.421 8603.189|9873.344 8604.724|9874.106 8606.336|9874.707 8608.026|9875.140 8609.761|9875.399 8611.529|9875.483 8613.308|9875.483 8624.895|9875.483 8634.880|9875.483 8642.319|9875.588 8648.334|9846.661 8648.401|9846.640 8626.674|9778.595 8626.729
