ADDRESS,POINTS
194 SADDLECREST GV NE,9417.753 9478.482|9428.036 9478.494|9438.319 9478.505|9448.595 9478.516|9461.703 9478.527|9461.703 9479.127|9461.696 9486.822|9417.746 9486.778|9417.753 9479.083
198 SADDLECREST GV NE,9417.746 9486.778|9461.696 9486.822|9461.689 9495.106|9417.739 9495.062
202 SADDLECREST GV NE,9417.739 9495.062|9461.689 9495.106|9461.675 9503.401|9417.732 9503.357
206 SADDLECREST GV NE,9417.725 9511.641|9417.732 9503.357|9461.675 9503.401|9461.668 9511.685
210 SADDLECREST GV NE,9417.725 9511.641|9461.668 9511.685|9461.661 9519.980|9417.718 9519.936
214 SADDLECREST GV NE,9461.654 9528.264|9417.712 9528.231|9417.718 9519.936|9461.661 9519.980
218 SADDLECREST GV NE,9417.712 9528.231|9461.654 9528.264|9461.647 9536.560|9417.698 9536.515
222 SADDLECREST GV NE,9417.698 9536.515|9461.647 9536.560|9461.647 9543.854|9457.145 9548.346|9453.754 9548.346|9417.691 9548.302
9 SAVANNA MR NE,8218.859 9867.553|8218.859 9860.070|8218.852 9858.569|8247.820 9858.547|8252.322 9863.039|8252.329 9865.530|8252.329 9867.520|8248.834 9867.531
13 SAVANNA MR NE,8218.859 9867.553|8248.834 9867.531|8252.329 9867.520|8252.329 9869.522|8252.336 9873.002|8218.866 9873.035|8218.866 9869.544
17 SAVANNA MR NE,8218.866 9873.035|8252.336 9873.002|8252.336 9878.495|8218.873 9878.517
21 SAVANNA MR NE,8218.873 9878.517|8252.336 9878.495|8252.343 9883.977|8218.873 9883.999
25 SAVANNA MR NE,8218.873 9883.999|8252.343 9883.977|8252.350 9891.071|8218.880 9891.093
29 SAVANNA MR NE,8218.880 9891.093|8252.350 9891.071|8252.350 9898.165|8218.887 9898.188
33 SAVANNA MR NE,8218.887 9898.188|8252.350 9898.165|8252.357 9903.647|8218.887 9903.670
37 SAVANNA MR NE,8218.887 9903.670|8252.357 9903.647|8252.364 9909.129|8218.894 9909.151
41 SAVANNA MR NE,8218.894 9909.151|8252.364 9909.129|8252.364 9914.611|8218.901 9914.645
45 SAVANNA MR NE,8218.901 9914.645|8252.364 9914.611|8252.371 9921.705|8218.901 9921.739
49 SAVANNA MR NE,8218.915 9930.634|8218.908 9929.133|8218.901 9921.739|8252.371 9921.705|8252.378 9928.599|8252.378 9929.100|8252.378 9930.601
6 SAVANNA RI NE,8272.860 9943.655|8277.677 9943.655|8277.698 9977.203|8270.385 9977.214|8268.393 9977.214|8268.372 9948.159
10 SAVANNA RI NE,8277.677 9943.655|8285.065 9943.644|8285.086 9977.203|8277.698 9977.203
14 SAVANNA RI NE,8285.065 9943.644|8291.853 9943.644|8291.881 9977.192|8285.086 9977.203
18 SAVANNA RI NE,8291.853 9943.644|8298.641 9943.633|8298.669 9977.192|8291.881 9977.192
22 SAVANNA RI NE,8305.457 9977.181|8298.669 9977.192|8298.641 9943.633|8305.436 9943.633
26 SAVANNA RI NE,8305.436 9943.633|8312.223 9943.622|8312.251 9977.181|8305.457 9977.181
30 SAVANNA RI NE,8312.223 9943.622|8319.011 9943.622|8319.039 9977.181|8312.251 9977.181
34 SAVANNA RI NE,8319.011 9943.622|8325.806 9943.611|8325.827 9977.169|8319.039 9977.181
38 SAVANNA RI NE,8332.622 9977.169|8325.827 9977.169|8325.806 9943.611|8332.594 9943.611
42 SAVANNA RI NE,8332.594 9943.611|8339.388 9943.600|8339.409 9977.158|8332.622 9977.169
46 SAVANNA RI NE,8339.388 9943.600|8346.176 9943.600|8346.204 9977.158|8339.409 9977.158
50 SAVANNA RI NE,8346.176 9943.600|8352.964 9943.600|8352.992 9977.147|8346.204 9977.158
54 SAVANNA RI NE,8359.780 9977.147|8352.992 9977.147|8352.964 9943.600|8359.759 9943.589
58 SAVANNA RI NE,8359.759 9943.589|8366.546 9943.589|8366.574 9977.136|8359.780 9977.147
62 SAVANNA RI NE,8366.546 9943.589|8373.935 9943.577|8373.963 9977.136|8366.574 9977.136
66 SAVANNA RI NE,8373.935 9943.577|8378.759 9943.577|8383.254 9948.070|8383.254 9950.194|8383.275 9971.932|8383.275 9977.125|8381.974 9977.125|8373.963 9977.136
