ADDRESS,POINTS
4 SAGE HILL RI NW,-4501.503 13974.816|-4508.074 13974.794|-4507.424 13970.835|-4506.585 13966.910|-4505.571 13963.018|-4504.369 13959.193|-4502.992 13955.413|-4501.440 13951.710|-4499.720 13948.085|-4497.826 13944.538|-4495.771 13941.091|-4493.555 13937.733|-4491.185 13934.486|-4488.668 13931.361|-4486.005 13928.348|-4483.209 13925.468|-4480.273 13922.710|-4477.218 13920.097|-4474.037 13917.629|-4470.752 13915.316|-4467.361 13913.158|-4463.866 13911.157|-4460.287 13909.322|-4456.624 13907.654|-4452.891 13906.164|-4449.088 13904.841|-4445.229 13903.696|-4441.322 13902.740|-4437.372 13901.961|-4433.388 13901.372|-4429.382 13900.960|-4425.362 13900.738|-4421.336 13900.705|-4417.316 13900.860|-4415.583 13900.805|-4396.555 13902.373|-4394.241 13902.751|-4392.011 13903.485|-4389.928 13904.541|-4388.033 13905.920|-4386.384 13907.576|-4385.006 13909.467|-4383.944 13911.557|-4383.217 13913.770|-4377.471 13937.555|-4375.087 13975.316
201 SAGE HILL GV NW,-4422.825 13698.119|-4402.546 13711.473|-4405.950 13716.655|-4427.313 13702.589
203 SAGE HILL GV NW,-4427.313 13702.589|-4405.950 13716.655|-4408.627 13720.725|-4430.836 13706.102
205 SAGE HILL GV NW,-4430.836 13706.102|-4408.627 13720.725|-4411.312 13724.794|-4433.402 13710.250|-4431.437 13706.703
207 SAGE HILL GV NW,-4411.312 13724.794|-4413.989 13728.875|-4435.764 13714.531|-4433.402 13710.250
209 SAGE HILL GV NW,-4435.764 13714.531|-4413.989 13728.875|-4416.666 13732.945|-4438.127 13718.812
211 SAGE HILL GV NW,-4438.127 13718.812|-4416.666 13732.945|-4418.421 13735.614|-4419.344 13737.015|-4440.490 13723.093
213 SAGE HILL GV NW,-4440.490 13723.093|-4419.344 13737.015|-4420.343 13738.538|-4422.028 13741.084|-4442.853 13727.374
215 SAGE HILL GV NW,-4425.453 13747.556|-4445.991 13733.078|-4442.853 13727.374|-4422.028 13741.084|-4424.132 13744.287
221 SAGE HILL GV NW,-4445.991 13733.078|-4425.453 13747.556|-4426.642 13750.503|-4426.984 13751.225|-4427.411 13751.904|-4428.585 13753.572|-4449.263 13738.994
172 SAGE HILL GV NW,-4416.009 13748.323|-4391.039 13748.345|-4390.948 13754.539|-4417.009 13754.517|-4417.009 13751.915|-4416.939 13750.970|-4416.750 13750.047|-4416.436 13749.168
