ADDRESS,POINTS
2429 15 AV SW,-3194.836 -1042.948|-3210.019 -1042.959|-3210.005 -1062.007|-3209.998 -1081.021|-3194.808 -1081.010
1112 SURREY ST SW,-3006.121 -561.330|-3023.094 -548.476|-3045.065 -577.620|-3028.092 -590.485
2303 STATE RD SW,-2977.956 -766.562|-2958.893 -765.272|-2961.494 -726.121|-2962.416 -727.077|-2963.423 -727.944|-2964.514 -728.700|-2965.674 -729.345|-2966.890 -729.879|-2968.156 -730.290|-2969.456 -730.580|-2970.770 -730.735|-2972.098 -730.757|-2973.426 -730.657|-2974.734 -730.413|-2976.013 -730.057|-2977.250 -729.568|-2978.432 -728.967|-2979.550 -728.244|-2980.592 -727.422
2411 SANDHURST AV SW,-3118.486 -620.141|-3130.118 -584.914|-3148.265 -590.985|-3136.829 -625.567
1738 SUFFOLK ST SW,-3020.577 -1082.356|-3057.515 -1082.389|-3057.494 -1101.570|-3020.556 -1101.537
1713 22 ST SW,-2977.712 -948.077|-3014.649 -948.099|-3014.628 -967.280|-2977.691 -967.258
1715 22 ST SW,-2977.691 -967.258|-3014.628 -967.280|-3014.607 -986.461|-3014.607 -989.497|-2977.670 -989.464|-2977.670 -986.428
1717 22 ST SW,-2977.670 -989.464|-3014.607 -989.497|-3014.586 -1005.631|-3014.579 -1011.736|-2977.649 -1011.703|-2977.649 -1005.609
1721 22 ST SW,-2977.649 -1011.703|-3014.579 -1011.736|-3014.565 -1024.812|-3014.558 -1033.953|-2977.621 -1033.919|-2977.635 -1024.790
2330 STATE RD SW,-3077.151 -716.769|-3079.402 -683.477|-3118.710 -700.012|-3115.487 -711.910|-3114.942 -713.411|-3114.152 -714.790|-3113.138 -716.002|-3111.929 -717.036|-3110.559 -717.848|-3109.077 -718.415|-3107.518 -718.715|-3105.924 -718.748
2407 SANDHURST AV SW,-3100.143 -614.703|-3111.971 -578.854|-3130.118 -584.914|-3118.486 -620.141
1729 22 ST SW,-2977.621 -1033.919|-3014.558 -1033.953|-3014.544 -1043.994|-3014.530 -1056.181|-2977.600 -1056.147|-2977.614 -1043.960
1736 SUFFOLK ST SW,-3020.598 -1063.175|-3057.536 -1063.219|-3057.515 -1082.389|-3020.577 -1082.356
1731 22 ST SW,-2977.600 -1056.147|-3014.530 -1056.181|-3014.523 -1063.175|-3014.509 -1078.408|-2977.579 -1078.375|-2977.593 -1063.141
1735 22 ST SW,-2977.579 -1078.375|-3014.509 -1078.408|-3014.502 -1082.356|-3014.488 -1100.614|-2977.551 -1100.570|-2977.572 -1082.311
2307 STATE RD SW,-2980.592 -727.422|-2981.668 -726.654|-2982.871 -726.110|-2984.157 -725.809|-2985.485 -725.776|-2999.822 -726.754|-2997.026 -767.852|-2977.956 -766.562
2415 SANDHURST AV SW,-3136.829 -625.567|-3148.265 -590.985|-3166.413 -597.057|-3155.172 -630.993
2303 SUNSET AV SW,-2977.712 -948.077|-2977.935 -944.697|-2978.592 -941.372|-2979.676 -938.169|-2981.172 -935.123|-2983.045 -932.298|-2985.268 -929.752|-2987.806 -927.506|-2990.616 -925.604|-3014.691 -911.560|-3014.649 -948.099
1703 SUFFOLK ST SW,-3077.745 -909.759|-3115.662 -909.815|-3115.648 -928.084|-3077.731 -928.028
1707 SUFFOLK ST SW,-3077.731 -928.028|-3115.648 -928.084|-3115.641 -946.342|-3077.710 -946.287
1711 SUFFOLK ST SW,-3077.710 -946.287|-3115.641 -946.342|-3115.627 -964.612|-3077.689 -964.556
1713 SUFFOLK ST SW,-3077.689 -964.556|-3115.627 -964.612|-3115.613 -982.870|-3077.668 -982.814
1717 SUFFOLK ST SW,-3077.668 -982.814|-3115.613 -982.870|-3115.599 -1001.139|-3077.647 -1001.083
1723 SUFFOLK ST SW,-3077.647 -1001.083|-3115.599 -1001.139|-3115.585 -1022.766|-3077.626 -1022.722
1702 23 ST SW,-3115.662 -909.815|-3153.641 -909.848|-3153.627 -928.117|-3115.648 -928.084
1704 23 ST SW,-3115.648 -928.084|-3153.627 -928.117|-3153.613 -946.387|-3115.641 -946.342
2304 STATE RD SW,-2967.757 -704.204|-2971.050 -656.479|-2997.837 -658.281|-2994.167 -711.098|-2986.499 -710.576|-2985.198 -710.353|-2983.961 -709.886|-2982.843 -709.175|-2981.878 -708.274|-2980.508 -706.906|-2978.949 -705.739|-2977.243 -704.816|-2975.419 -704.149|-2973.517 -703.748|-2971.581 -703.626|-2969.645 -703.782
1708 23 ST SW,-3115.641 -946.342|-3153.613 -946.387|-3153.599 -964.645|-3115.627 -964.612
1616 22 ST SW,-2945.332 -1122.786|-2941.361 -1122.775|-2932.022 -1088.527|-2860.558 -777.493|-2935.545 -733.571|-2954.342 -673.336|-2935.063 -623.165|-3023.646 -660.015|-3004.520 -658.725|-2997.837 -658.281|-2971.050 -656.479|-2967.757 -704.204|-2966.177 -704.805|-2964.681 -705.583|-2963.297 -706.550|-2962.039 -707.685|-2960.934 -708.963|-2959.998 -710.364|-2959.243 -711.877|-2958.677 -713.467|-2958.313 -715.112|-2958.159 -716.791|-2958.215 -718.482|-2958.481 -720.149|-2958.949 -721.773|-2959.613 -723.319|-2960.466 -724.775|-2961.494 -726.121|-2958.893 -765.272|-2977.956 -766.562|-2997.026 -767.852|-3016.096 -769.153|-3026.987 -769.887|-3024.457 -771.444|-3021.996 -773.112|-3019.619 -774.902|-3017.327 -776.792|-3015.118 -778.783|-3013.013 -780.873|-3011.000 -783.064|-3009.085 -785.343|-3007.288 -787.712|-3005.597 -790.147|-3004.017 -792.671|-3002.556 -795.262|-3001.214 -797.919|-2999.997 -800.632|-2998.907 -803.390|-2997.949 -806.203|-2957.684 -933.221|-2957.495 -1110.610|-2957.264 -1112.979|-2956.572 -1115.258|-2955.447 -1117.371|-2953.937 -1119.217|-2952.091 -1120.729|-2949.987 -1121.852|-2947.708 -1122.553
2311 STATE RD SW,-2997.026 -767.852|-2999.822 -726.754|-3018.913 -728.055|-3016.096 -769.153
2419 SANDHURST AV SW,-3155.172 -630.993|-3166.413 -597.057|-3184.553 -603.117|-3173.515 -636.431
1712 23 ST SW,-3115.627 -964.612|-3153.599 -964.645|-3153.578 -982.914|-3115.613 -982.870
1716 23 ST SW,-3115.613 -982.870|-3153.578 -982.914|-3153.564 -1001.184|-3115.599 -1001.139
2416 15 AV SW,-3115.599 -1001.139|-3153.564 -1001.184|-3153.550 -1022.811|-3115.585 -1022.766
1433 SUFFOLK ST SW,-3082.653 -885.874|-3083.925 -883.083|-3085.337 -880.359|-3086.882 -877.713|-3088.567 -875.144|-3090.370 -872.664|-3092.292 -870.274|-3094.341 -867.994|-3096.494 -865.815|-3120.317 -890.767|-3119.926 -891.556|-3115.669 -900.041
1445 SUFFOLK ST SW,-3077.745 -909.759|-3077.829 -906.690|-3078.067 -903.632|-3078.458 -900.585|-3078.997 -897.572|-3079.689 -894.581|-3080.535 -891.623|-3081.520 -888.721|-3082.653 -885.874|-3115.669 -900.041|-3115.662 -909.815
2329 SUNSET AV SW,-3096.494 -865.815|-3099.150 -863.402|-3101.946 -861.167|-3104.868 -859.088|-3107.902 -857.186|-3119.339 -850.503|-3121.848 -849.236|-3124.491 -848.291|-3127.231 -847.668|-3130.027 -847.401|-3132.830 -847.468|-3135.605 -847.890|-3138.311 -848.646|-3140.904 -849.725|-3120.317 -890.767
1436 23 ST SW,-3120.317 -890.767|-3140.904 -849.725|-3143.652 -851.326|-3146.154 -853.294|-3148.356 -855.596|-3150.223 -858.176|-3151.712 -860.989|-3152.795 -863.980|-3153.452 -867.094|-3153.676 -870.274|-3153.655 -891.579|-3119.926 -891.556
1440 23 ST SW,-3119.926 -891.556|-3153.655 -891.579|-3153.641 -909.848|-3115.662 -909.815|-3115.669 -900.041
2421 15 AV SW,-3164.462 -1042.915|-3179.652 -1042.926|-3179.625 -1080.988|-3164.434 -1080.966
