ADDRESS,POINTS
2181V 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2182V 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2183V 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2184V 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2185V 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2186V 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2187V 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2188V 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2189V 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2190V 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2191V 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2192V 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2193V 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2194V 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2195V 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2196V 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2197V 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2198V 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2199V 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2200V 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2201V 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2202V 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2203V 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2007 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2008 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2101 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2103 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2105 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2107 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2108 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2106 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2104 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2102 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2201 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
2202 14645 6 ST SW,-486.096 -14067.877|-486.047 -14021.765|-503.796 -14021.742|-521.482 -14021.731|-521.538 -14067.844
1006V 14645 6 ST SW,-449.228 -14067.911|-449.186 -14045.071|-449.151 -14021.798|-486.047 -14021.765|-486.096 -14067.877
1007V 14645 6 ST SW,-449.228 -14067.911|-449.186 -14045.071|-449.151 -14021.798|-486.047 -14021.765|-486.096 -14067.877
1008V 14645 6 ST SW,-449.228 -14067.911|-449.186 -14045.071|-449.151 -14021.798|-486.047 -14021.765|-486.096 -14067.877
1009V 14645 6 ST SW,-449.228 -14067.911|-449.186 -14045.071|-449.151 -14021.798|-486.047 -14021.765|-486.096 -14067.877
1010V 14645 6 ST SW,-449.228 -14067.911|-449.186 -14045.071|-449.151 -14021.798|-486.047 -14021.765|-486.096 -14067.877
1011V 14645 6 ST SW,-449.228 -14067.911|-449.186 -14045.071|-449.151 -14021.798|-486.047 -14021.765|-486.096 -14067.877
