ADDRESS,POINTS
16287 5 ST SW,-190.441 -16065.338|-187.239 -16074.857|-179.235 -16073.989|-154.174 -16068.118|-156.656 -16057.410
12 SHAWINIGAN RD SW,-593.630 -15722.180|-593.595 -15704.489|-627.387 -15704.433|-627.422 -15722.124
45 SHAWFIELD RD SW,-522.957 -15982.621|-533.296 -15981.442|-538.098 -15985.489|-540.468 -16015.990|-527.962 -16016.613
21 SHAWGLEN CO SW,-22.355 -15703.110|-32.610 -15703.088|-32.659 -15742.050|-30.736 -15742.061|-28.569 -15741.928|-26.444 -15741.539|-24.375 -15740.894|-22.404 -15740.004
12 SHAWGLEN RD SW,-212.579 -16009.252|-228.916 -15980.041|-232.782 -15982.398|-236.711 -15984.644|-222.660 -16015.067|-217.578 -16012.232
116 SHAWGLEN WY SW,-232.698 -15910.344|-254.215 -15884.802|-262.554 -15891.919|-241.038 -15917.449
96 SHAWFIELD WY SW,-1083.341 -15860.284|-1098.427 -15848.064|-1103.474 -15887.849|-1101.216 -15888.894|-1099.126 -15890.251|-1097.238 -15891.874|-1095.596 -15893.754
442 SHAWBROOKE CI SW,-1254.433 -15831.195|-1292.217 -15826.481|-1293.160 -15831.896|-1294.244 -15837.289|-1258.942 -15843.160
8 SHAWMEADOWS GA SW,-99.781 -15215.187|-114.769 -15212.618|-114.790 -15250.057|-103.933 -15251.325
87 SHAWMEADOWS CR SW,-160.892 -15531.091|-183.268 -15509.786|-193.663 -15520.272|-164.897 -15535.128
140 SHAWNESSY DR SW,-250.615 -15500.235|-244.407 -15494.731|-238.416 -15488.982|-262.212 -15464.864|-267.245 -15469.689|-272.467 -15474.315
79 SHAWCLIFFE GR SW,-377.562 -15163.792|-415.003 -15163.714|-415.129 -15165.616|-415.492 -15167.484|-416.086 -15169.285|-370.543 -15187.755
79 SHAWMEADOWS PL SW,-93.112 -15568.175|-59.879 -15583.720|-59.851 -15564.995|-91.560 -15562.871|-91.980 -15564.639|-92.441 -15566.440
53 SHAWINIGAN WY SW,-601.271 -15661.100|-613.399 -15661.078|-613.462 -15695.460|-601.334 -15695.482
167 SHANNON CI SW,-1168.695 -14998.379|-1201.473 -14997.178|-1201.970 -15011.166|-1169.198 -15012.356
71 SHANNON WY SW,-886.566 -15088.558|-889.761 -15053.353|-901.302 -15054.421|-904.602 -15054.721|-901.414 -15089.925
359 SHAWNESSY DR SW,-747.721 -15046.904|-748.078 -15041.711|-748.232 -15036.507|-782.017 -15036.874|-781.821 -15043.390|-781.381 -15049.895
143 SHAWCLIFFE CI SW,-650.722 -15052.052|-653.658 -15044.658|-692.294 -15054.132|-690.050 -15061.749|-687.065 -15069.099
3 SHAWCLIFFE CI SW,-320.463 -15206.669|-324.112 -15194.204|-356.520 -15203.811|-352.871 -15216.265
51 SHANNON CL SW,-688.645 -15327.738|-680.082 -15322.668|-685.296 -15317.686|-690.882 -15313.127|-696.796 -15309.013|-703.003 -15305.366|-707.785 -15302.808|-710.812 -15302.964|-715.446 -15303.197|-720.535 -15306.633|-698.487 -15333.587
157 SHANNON HL SW,-1478.904 -15071.156|-1493.570 -15069.099|-1497.974 -15100.767|-1483.315 -15102.835
64 SHANNON RD SW,-1504.077 -15157.421|-1517.855 -15155.486|-1522.399 -15188.144|-1508.621 -15190.079
57 SHAWBROOKE CL SW,-1357.417 -15661.401|-1369.538 -15661.390|-1369.573 -15694.381|-1357.452 -15694.392
16150 SHAWBROOKE RD SW,-1535.031 -15608.149|-1567.802 -15608.138|-1567.802 -15620.136|-1535.031 -15620.147
182 SHAWBROOKE GR SW,-1812.105 -15612.686|-1812.105 -15610.207|-1843.751 -15610.295|-1856.998 -15643.787|-1855.300 -15644.332|-1853.678 -15645.077|-1852.154 -15646.011|-1850.756 -15647.123
144 SHAWBROOKE MR SW,-1765.528 -15548.627|-1765.521 -15537.029|-1800.299 -15537.129|-1800.306 -15548.716
15879 SHANNON LI SW,-1582.531 -15238.726|-1615.331 -15238.704|-1615.338 -15251.514|-1582.538 -15251.536
16276 5 ST SW,-114.056 -16027.755|-115.475 -16021.617|-116.544 -16017.358|-148.666 -16026.142|-147.890 -16029.222|-146.470 -16035.360
113 SHAWINIGAN PL SW,-627.660 -15819.398|-636.042 -15789.030|-637.656 -15789.686|-639.341 -15790.142|-641.061 -15790.409|-642.801 -15790.465|-647.275 -15821.010|-637.475 -15820.131
101 SHAWFIELD RD SW,-444.258 -16092.136|-439.162 -16061.146|-441.566 -16061.858|-444.048 -16062.236|-446.551 -16062.247|-449.039 -16061.914|-459.560 -16092.281
248 SHAWINIGAN PL SW,-748.141 -15767.303|-748.134 -15760.309|-752.594 -15755.805|-785.379 -15755.750|-785.407 -15775.720
229 SHAWFIELD RD SW,-669.757 -16092.114|-681.752 -16091.058|-685.324 -16124.583|-673.112 -16125.828
80 SHAWGLEN WY SW,-166.743 -15854.146|-188.260 -15828.604|-195.690 -15834.931|-174.174 -15860.473
203 SHAWINIGAN DR SW,-1002.154 -15904.528|-990.948 -15910.299|-977.128 -15881.344|-975.835 -15878.642|-986.572 -15873.416
32 SHAWMEADOWS CL SW,-43.389 -15181.761|-51.638 -15179.938|-58.866 -15213.063|-50.526 -15214.486
108 SHAWMEADOWS CR SW,-208.329 -15563.582|-211.286 -15553.008|-240.947 -15561.381|-237.990 -15571.955
100 SHAWNESSY DR SW,-137.495 -15387.083|-161.940 -15363.621|-163.961 -15365.711|-171.014 -15372.828|-147.079 -15396.812|-140.032 -15389.696
308 SHAWCLIFFE CI SW,-391.557 -15451.776|-383.364 -15451.765|-375.185 -15451.164|-378.114 -15416.805|-383.972 -15417.105|-389.830 -15417.016
166 SHANNON CI SW,-1120.838 -14994.731|-1153.610 -14993.542|-1154.148 -15008.731|-1121.376 -15009.910
47 SHANNON WY SW,-934.178 -15121.171|-936.401 -15119.103|-938.247 -15116.690|-939.666 -15113.988|-940.610 -15111.097|-971.906 -15118.491|-960.819 -15137.161
31 SHANNON PL SW,-904.602 -15054.721|-901.302 -15054.421|-901.260 -15021.363|-911.788 -15021.352|-914.675 -15021.585|-914.717 -15055.644
81 SHAWCLIFFE CI SW,-490.982 -14986.659|-501.657 -14980.877|-517.686 -15010.788|-507.011 -15016.570
27 SHAWCLIFFE PL SW,-419.553 -15317.764|-415.897 -15329.695|-382.525 -15319.354|-386.181 -15307.423
124 SHAWINIGAN WY SW,-894.675 -15624.228|-909.544 -15592.615|-920.505 -15597.831|-905.636 -15629.432
166 SHANNON HL SW,-1453.389 -15122.172|-1467.167 -15120.237|-1471.732 -15152.895|-1457.947 -15154.830
33 SHAWBROOKE BA SW,-1355.725 -15793.345|-1379.066 -15793.300|-1397.479 -15823.567|-1395.333 -15824.212|-1393.313 -15825.169|-1391.460 -15826.425|-1389.811 -15827.937
37 SHANNON RD SW,-1493.081 -15222.937|-1525.873 -15220.479|-1525.887 -15236.669|-1493.088 -15236.569
17 SHAWBROOKE CL SW,-1231.651 -15694.592|-1234.923 -15660.422|-1240.718 -15660.889|-1246.520 -15661.234|-1246.562 -15694.559
16114 SHAWBROOKE RD SW,-1535.003 -15500.224|-1567.746 -15500.212|-1567.753 -15512.199|-1535.003 -15512.210
2 SHAWBROOKE PL SW,-1715.203 -15804.842|-1715.245 -15790.198|-1760.460 -15790.320|-1760.439 -15797.470|-1760.292 -15798.938|-1759.866 -15800.339|-1759.174 -15801.629|-1758.244 -15802.763|-1757.111 -15803.697|-1755.818 -15804.386|-1754.420 -15804.809|-1752.966 -15804.953
169 SHAWBROOKE GR SW,-1873.531 -15682.839|-1873.559 -15671.608|-1873.559 -15671.230|-1909.329 -15671.341|-1909.301 -15682.939
108 SHAWBROOKE MR SW,-1717.405 -15482.810|-1722.068 -15448.129|-1729.548 -15449.152|-1732.889 -15449.619|-1728.234 -15484.278
16 SHAWINIGAN RD SW,-593.630 -15722.180|-627.422 -15722.124|-627.443 -15734.923|-593.651 -15734.967
217 SHAWFIELD RD SW,-627.891 -16095.839|-640.921 -16094.683|-643.500 -16124.049|-639.425 -16128.920|-630.512 -16129.642
25 SHAWGLEN CO SW,-22.404 -15740.004|-20.838 -15739.070|-19.377 -15737.992|-17.748 -15736.824|-15.972 -15735.879|-14.092 -15735.190|-12.134 -15734.767|-12.100 -15703.132|-22.355 -15703.110
16 SHAWGLEN RD SW,-203.093 -16003.025|-221.373 -15975.037|-225.106 -15977.595|-228.916 -15980.041|-212.579 -16009.252|-207.791 -16006.205
51 SHAWGLEN RI SW,-262.456 -15880.043|-282.079 -15856.503|-289.517 -15863.809|-290.852 -15864.943|-271.719 -15887.938
92 SHAWFIELD WY SW,-1092.813 -15899.080|-1087.661 -15903.005|-1071.576 -15869.824|-1083.341 -15860.284|-1095.596 -15893.754|-1094.736 -15894.988|-1093.981 -15896.300|-1093.338 -15897.657
446 SHAWBROOKE CI SW,-1249.155 -15817.174|-1290.861 -15816.584|-1292.217 -15826.481|-1254.433 -15831.195
12 SHAWMEADOWS GA SW,-87.716 -15217.244|-99.781 -15215.187|-103.933 -15251.325|-91.791 -15252.737
91 SHAWMEADOWS CR SW,-164.897 -15535.128|-193.663 -15520.272|-200.115 -15526.777|-202.059 -15534.294|-201.660 -15535.739|-168.560 -15539.676|-168.742 -15539.020
136 SHAWNESSY DR SW,-228.448 -15478.930|-252.376 -15454.945|-261.499 -15464.141|-262.212 -15464.864|-238.416 -15488.982|-237.563 -15488.126
83 SHAWCLIFFE GR SW,-377.562 -15163.792|-382.756 -15146.057|-416.597 -15156.086|-415.611 -15159.445|-415.156 -15161.557|-415.003 -15163.714
55 SHAWINIGAN WY SW,-613.399 -15661.078|-622.837 -15661.067|-627.317 -15665.559|-627.373 -15695.437|-613.462 -15695.460
171 SHANNON CI SW,-1169.198 -15012.356|-1201.970 -15011.166|-1202.473 -15025.154|-1169.695 -15026.344
75 SHANNON WY SW,-887.880 -15053.365|-889.761 -15053.353|-886.566 -15088.558|-871.404 -15087.168|-874.466 -15053.376
