ADDRESS,POINTS
2721 84 AV SE,5171.619 -7863.234|5171.605 -7825.461|5164.020 -7825.494|5156.429 -7825.528|5148.844 -7825.561|5148.858 -7863.323|5156.449 -7863.289|5164.034 -7863.267
8504 24 ST SE,5127.879 -7945.440|5127.656 -7937.734|5127.551 -7932.553|5127.649 -7927.371|5089.725 -7927.538|5089.635 -7932.719|5089.732 -7937.901|5089.956 -7945.607
8506 24 ST SE,5128.544 -7953.179|5127.879 -7945.440|5089.956 -7945.607|5090.620 -7953.346
8510 24 ST SE,5131.242 -7968.691|5129.662 -7960.930|5128.544 -7953.179|5090.620 -7953.346|5091.732 -7961.096|5093.312 -7968.858
2725 85 AV SE,5206.599 -7964.788|5206.606 -7927.037|5186.809 -7927.115|5186.809 -7964.877
2716 85 AV SE,5164.055 -7907.122|5164.034 -7869.349|5156.449 -7869.383|5148.858 -7869.416|5148.879 -7907.178|5156.463 -7907.156
2720 85 AV SE,5179.231 -7907.056|5179.203 -7869.294|5171.619 -7869.316|5164.034 -7869.349|5164.055 -7907.122|5171.647 -7907.089
2724 85 AV SE,5194.408 -7906.989|5194.380 -7869.227|5186.795 -7869.260|5179.203 -7869.294|5179.231 -7907.056|5186.823 -7907.022
2728 85 AV SE,5209.584 -7906.922|5209.556 -7869.160|5201.964 -7869.194|5194.380 -7869.227|5194.408 -7906.989|5201.999 -7906.956
2736 85 AV SE,5224.760 -7906.867|5224.725 -7869.094|5217.141 -7869.127|5209.556 -7869.160|5209.584 -7906.922|5217.176 -7906.889
2731 84 AV SE,5247.486 -7862.911|5247.466 -7825.149|5232.289 -7825.216|5232.310 -7862.978
2715 84 AV SE,5148.858 -7863.323|5148.844 -7825.561|5141.252 -7825.594|5133.668 -7825.628|5133.682 -7863.389|5141.273 -7863.356
2725 84 AV SE,5186.795 -7863.167|5186.781 -7825.405|5171.605 -7825.461|5171.619 -7863.234
8512 24 ST SE,5133.290 -7976.430|5132.207 -7972.583|5131.242 -7968.691|5093.312 -7968.858|5094.605 -7973.962|5097.247 -7975.352|5099.966 -7976.586
8514 24 ST SE,5135.807 -7984.103|5134.492 -7980.289|5133.290 -7976.430|5099.966 -7976.586|5102.022 -7977.398|5104.112 -7978.109|5121.155 -7983.702|5122.727 -7984.158
8510 24 ST SE,5137.184 -7987.739|5135.807 -7984.103|5122.727 -7984.158|5126.314 -7985.159|5129.921 -7986.093|5133.542 -7986.949
2721 85 AV SE,5206.606 -7997.112|5206.599 -7964.788|5186.809 -7964.877|5186.809 -7927.115|5171.640 -7927.182|5133.716 -7927.349|5133.723 -7937.701|5134.080 -7944.284|5134.723 -7950.844|5135.646 -7957.371|5136.841 -7963.843|5138.316 -7970.270|5140.057 -7976.619|5142.070 -7982.902|5144.349 -7989.073|5148.746 -7989.762|5164.237 -7992.264|5174.709 -7993.821|5185.215 -7995.111|5195.750 -7996.156|5206.306 -7996.935
