ADDRESS,POINTS
32 SKYVIEW CI NE,8297.788 11893.658|8298.019 11899.441|8263.710 11901.520|8263.465 11895.738
48 SKYVIEW CI NE,8265.436 11922.636|8299.571 11918.644|8300.333 11924.582|8300.479 11925.961|8266.604 11931.898|8266.191 11928.451
64 SKYVIEW CI NE,8269.505 11949.334|8303.353 11943.396|8304.842 11950.601|8271.294 11957.985
68 SKYVIEW CI NE,8306.505 11957.785|8273.307 11966.602|8271.294 11957.985|8304.842 11950.601
113 SKYVIEW PR NE,8125.095 12008.690|8125.102 11978.144|8128.605 11978.144|8135.288 11978.144|8135.315 12013.182|8134.540 12013.182|8129.597 12013.182
118 SKYVIEW CI NE,8341.842 12052.189|8311.343 12068.045|8308.526 12062.641|8339.025 12046.796
150 SKYVIEW CI NE,8369.517 12096.300|8342.087 12117.027|8337.179 12110.177|8365.365 12090.507
24 SKYVIEW CI NE,8297.634 11883.551|8297.641 11886.331|8263.283 11887.309|8263.269 11883.651|8263.276 11878.903|8297.641 11879.014
56 SKYVIEW CI NE,8267.456 11937.625|8301.311 11931.687|8302.304 11937.703|8268.456 11943.641
84 SKYVIEW CI NE,8311.266 11975.120|8312.643 11979.512|8309.616 11985.227|8281.291 11994.490|8278.173 11984.293|8278.068 11983.926
94 SKYVIEW CI NE,8325.743 12017.752|8294.125 12031.240|8291.986 12025.858|8323.611 12012.370
98 SKYVIEW CI NE,8325.743 12017.752|8328.078 12023.378|8296.467 12036.855|8294.125 12031.240
36 SKYVIEW PR NE,8267.554 12021.054|8277.802 12053.868|8271.700 12055.770|8261.445 12022.956
44 SKYVIEW PR NE,8255.293 12024.702|8265.548 12057.538|8259.361 12059.183|8249.092 12026.314
78 SKYVIEW PR NE,8200.837 12033.653|8203.822 12067.912|8196.496 12068.290|8193.658 12065.399|8195.308 12033.931
162 SKYVIEW CI NE,8379.682 12109.555|8380.283 12110.311|8352.845 12131.037|8349.252 12126.501|8376.683 12105.774
8 SKYVIEW CI NE,8293.188 11843.810|8297.676 11848.313|8297.662 11861.345|8263.297 11861.234|8263.304 11853.762|8276.796 11848.780|8276.803 11843.788
12 SKYVIEW CI NE,8263.297 11861.234|8297.662 11861.345|8297.655 11867.138|8263.290 11867.016
76 SKYVIEW CI NE,8309.539 11969.271|8276.348 11978.089|8274.817 11972.507|8308.008 11963.689
33 SKYVIEW PR NE,8268.225 11998.771|8262.724 12000.561|8252.455 11967.058|8257.956 11965.257
37 SKYVIEW PR NE,8250.945 11967.547|8252.455 11967.058|8262.724 12000.561|8261.850 12000.850|8257.208 12002.318|8246.939 11968.815
28 SKYVIEW PR NE,8281.081 12016.640|8283.786 12024.023|8286.631 12031.351|8289.623 12038.634|8292.755 12045.851|8291.133 12049.520|8283.884 12051.889|8273.629 12019.075
74 SKYVIEW PR NE,8206.304 12033.264|8209.289 12067.523|8203.822 12067.912|8200.837 12033.653
154 SKYVIEW CI NE,8372.971 12100.948|8345.540 12121.664|8342.087 12117.027|8369.517 12096.300
60 SKYVIEW CI NE,8303.353 11943.396|8269.505 11949.334|8268.456 11943.641|8302.304 11937.703
57 SKYVIEW PR NE,8223.109 11974.619|8229.652 12009.045|8223.955 12010.035|8217.405 11975.598
93 SKYVIEW PR NE,8161.474 11978.144|8170.939 11978.155|8169.114 12013.182|8161.509 12013.182
32 SKYVIEW PR NE,8279.019 12053.479|8277.802 12053.868|8267.554 12021.054|8268.344 12020.799|8273.629 12019.075|8283.884 12051.889
48 SKYVIEW PR NE,8249.092 12026.314|8259.361 12059.183|8249.477 12061.518|8246.045 12062.219|8245.206 12057.315|8241.011 12032.763|8244.640 12027.370
112 SKYVIEW PR NE,8134.595 12034.253|8134.693 12066.522|8123.704 12066.533|8125.095 12041.670|8132.428 12034.253
126 SKYVIEW CI NE,8347.637 12062.664|8348.155 12063.553|8318.417 12080.788|8317.998 12080.066|8315.048 12074.862|8314.097 12073.138|8344.603 12057.282|8344.680 12057.426
142 SKYVIEW CI NE,8361.332 12084.647|8332.405 12103.228|8329.217 12098.391|8358.137 12079.821
72 SKYVIEW CI NE,8308.008 11963.689|8274.817 11972.507|8273.307 11966.602|8306.505 11957.785
53 SKYVIEW PR NE,8228.785 11973.496|8235.335 12007.933|8229.652 12009.045|8223.109 11974.619
105 SKYVIEW PR NE,8141.991 11978.144|8148.381 11978.144|8148.409 12013.182|8142.012 12013.182
97 SKYVIEW PR NE,8154.777 11978.144|8161.474 11978.144|8161.509 12013.182|8154.805 12013.182
106 SKYVIEW CI NE,8298.774 12042.170|8330.385 12028.682|8333.349 12035.187|8302.269 12049.865
100 SKYVIEW PR NE,8151.037 12034.264|8151.135 12066.500|8145.654 12066.511|8145.557 12034.264
96 SKYVIEW PR NE,8160.852 12034.264|8159.398 12063.498|8156.245 12066.500|8151.135 12066.500|8151.037 12034.264
122 SKYVIEW CI NE,8344.603 12057.282|8314.097 12073.138|8311.343 12068.045|8341.842 12052.189
134 SKYVIEW CI NE,8354.858 12074.684|8325.939 12093.264|8322.891 12088.339|8351.825 12069.758
138 SKYVIEW CI NE,8358.137 12079.821|8329.217 12098.391|8325.939 12093.264|8354.858 12074.684
20 SKYVIEW CI NE,8263.283 11873.110|8297.648 11873.221|8297.641 11879.014|8263.276 11878.903
28 SKYVIEW CI NE,8263.283 11887.309|8297.641 11886.331|8297.788 11893.658|8263.465 11895.738
36 SKYVIEW CI NE,8263.710 11901.520|8298.019 11899.441|8298.382 11905.523|8264.073 11907.602
80 SKYVIEW CI NE,8311.266 11975.120|8278.068 11983.926|8276.348 11978.089|8309.539 11969.271
102 SKYVIEW CI NE,8330.385 12028.682|8298.774 12042.170|8296.467 12036.855|8328.078 12023.378
110 SKYVIEW CI NE,8336.431 12041.614|8305.925 12057.471|8302.269 12049.865|8333.349 12035.187
104 SKYVIEW PR NE,8145.557 12034.264|8145.654 12066.511|8140.174 12066.511|8140.076 12034.253
166 SKYVIEW CI NE,8382.674 12113.235|8382.541 12122.309|8372.523 12133.573|8370.258 12130.926|8369.252 12129.736|8356.949 12136.063|8352.845 12131.037|8380.283 12110.311
16 SKYVIEW CI NE,8263.290 11867.016|8297.655 11867.138|8297.648 11873.221|8263.283 11873.110
40 SKYVIEW CI NE,8264.073 11907.602|8298.382 11905.523|8298.837 11911.294|8264.513 11913.373
29 SKYVIEW PR NE,8257.956 11965.257|8261.906 11963.967|8266.030 11966.280|8268.610 11976.343|8271.483 11986.328|8274.657 11996.669|8268.225 11998.771
41 SKYVIEW PR NE,8246.939 11968.815|8257.208 12002.318|8249.232 12004.609|8240.823 11970.583
65 SKYVIEW PR NE,8217.405 11975.598|8223.955 12010.035|8214.601 12011.358|8210.952 11976.499
73 SKYVIEW PR NE,8204.836 11977.177|8205.521 12012.292|8199.747 12012.715|8199.062 11977.644
109 SKYVIEW PR NE,8135.288 11978.144|8141.991 11978.144|8142.012 12013.182|8135.315 12013.182
101 SKYVIEW PR NE,8148.381 11978.144|8154.777 11978.144|8154.805 12013.182|8148.409 12013.182
81 SKYVIEW PR NE,8193.281 11977.966|8193.959 12013.004|8184.382 12013.193|8186.185 11978.144
