ADDRESS,POINTS
139 SPRING CREEK CM SW,-9736.860 -1476.875|-9721.851 -1476.887|-9721.837 -1453.124|-9736.839 -1453.113
141 SPRING CREEK CM SW,-9736.860 -1476.875|-9721.851 -1476.887|-9721.837 -1453.124|-9736.839 -1453.113
143 SPRING CREEK CM SW,-9736.860 -1476.875|-9721.851 -1476.887|-9721.837 -1453.124|-9736.839 -1453.113
145 SPRING CREEK CM SW,-9736.860 -1476.875|-9721.851 -1476.887|-9721.837 -1453.124|-9736.839 -1453.113
147 SPRING CREEK CM SW,-9736.860 -1476.875|-9721.851 -1476.887|-9721.837 -1453.124|-9736.839 -1453.113
149 SPRING CREEK CM SW,-9736.860 -1476.875|-9721.851 -1476.887|-9721.837 -1453.124|-9736.839 -1453.113
121 SPRING CREEK CM SW,-9736.860 -1481.056|-9736.881 -1505.119|-9721.872 -1505.130|-9721.858 -1481.067
123 SPRING CREEK CM SW,-9736.860 -1481.056|-9736.881 -1505.119|-9721.872 -1505.130|-9721.858 -1481.067
125 SPRING CREEK CM SW,-9736.860 -1481.056|-9736.881 -1505.119|-9721.872 -1505.130|-9721.858 -1481.067
127 SPRING CREEK CM SW,-9736.860 -1481.056|-9736.881 -1505.119|-9721.872 -1505.130|-9721.858 -1481.067
129 SPRING CREEK CM SW,-9736.860 -1481.056|-9736.881 -1505.119|-9721.872 -1505.130|-9721.858 -1481.067
131 SPRING CREEK CM SW,-9736.860 -1481.056|-9736.881 -1505.119|-9721.872 -1505.130|-9721.858 -1481.067
103 SPRING CREEK CM SW,-9736.881 -1512.625|-9736.902 -1538.555|-9731.421 -1538.555|-9721.893 -1538.544|-9721.879 -1512.636
105 SPRING CREEK CM SW,-9736.881 -1512.625|-9736.902 -1538.555|-9731.421 -1538.555|-9721.893 -1538.544|-9721.879 -1512.636
107 SPRING CREEK CM SW,-9736.881 -1512.625|-9736.902 -1538.555|-9731.421 -1538.555|-9721.893 -1538.544|-9721.879 -1512.636
109 SPRING CREEK CM SW,-9736.881 -1512.625|-9736.902 -1538.555|-9731.421 -1538.555|-9721.893 -1538.544|-9721.879 -1512.636
111 SPRING CREEK CM SW,-9736.881 -1512.625|-9736.902 -1538.555|-9731.421 -1538.555|-9721.893 -1538.544|-9721.879 -1512.636
113 SPRING CREEK CM SW,-9736.881 -1512.625|-9736.902 -1538.555|-9731.421 -1538.555|-9721.893 -1538.544|-9721.879 -1512.636
154 SPRING CREEK CM SW,-9715.672 -1474.107|-9699.663 -1474.118|-9699.642 -1443.161|-9701.949 -1442.472|-9715.651 -1442.461
152 SPRING CREEK CM SW,-9715.672 -1474.107|-9699.663 -1474.118|-9699.642 -1443.161|-9701.949 -1442.472|-9715.651 -1442.461
150 SPRING CREEK CM SW,-9715.672 -1474.107|-9699.663 -1474.118|-9699.642 -1443.161|-9701.949 -1442.472|-9715.651 -1442.461
148 SPRING CREEK CM SW,-9715.672 -1474.107|-9699.663 -1474.118|-9699.642 -1443.161|-9701.949 -1442.472|-9715.651 -1442.461
146 SPRING CREEK CM SW,-9715.672 -1474.107|-9699.663 -1474.118|-9699.642 -1443.161|-9701.949 -1442.472|-9715.651 -1442.461
144 SPRING CREEK CM SW,-9715.672 -1474.107|-9699.663 -1474.118|-9699.642 -1443.161|-9701.949 -1442.472|-9715.651 -1442.461
142 SPRING CREEK CM SW,-9715.672 -1474.107|-9699.663 -1474.118|-9699.642 -1443.161|-9701.949 -1442.472|-9715.651 -1442.461
140 SPRING CREEK CM SW,-9715.672 -1474.107|-9699.663 -1474.118|-9699.642 -1443.161|-9701.949 -1442.472|-9715.651 -1442.461
83 SPRING CREEK CM SW,-9711.869 -1535.731|-9680.517 -1535.753|-9680.510 -1521.676|-9681.796 -1520.964|-9710.303 -1520.942|-9711.855 -1521.731
85 SPRING CREEK CM SW,-9711.869 -1535.731|-9680.517 -1535.753|-9680.510 -1521.676|-9681.796 -1520.964|-9710.303 -1520.942|-9711.855 -1521.731
