ADDRESS,POINTS
7811 SPRING WILLOW DR SW,-8979.064 -1683.153|-8954.437 -1683.131|-8954.430 -1669.910|-8956.527 -1667.886|-8958.911 -1665.507|-8978.239 -1665.529|-8979.085 -1665.440
7813 SPRING WILLOW DR SW,-8979.064 -1683.153|-8954.437 -1683.131|-8954.430 -1669.910|-8956.527 -1667.886|-8958.911 -1665.507|-8978.239 -1665.529|-8979.085 -1665.440
7815 SPRING WILLOW DR SW,-8979.064 -1683.153|-8954.437 -1683.131|-8954.430 -1669.910|-8956.527 -1667.886|-8958.911 -1665.507|-8978.239 -1665.529|-8979.085 -1665.440
2323 77 ST SW,-8954.451 -1697.419|-8972.088 -1697.408|-8972.109 -1730.278|-8954.472 -1730.289
2325 77 ST SW,-8954.451 -1697.419|-8972.088 -1697.408|-8972.109 -1730.278|-8954.472 -1730.289
2327 77 ST SW,-8954.451 -1697.419|-8972.088 -1697.408|-8972.109 -1730.278|-8954.472 -1730.289
2329 77 ST SW,-8954.451 -1697.419|-8972.088 -1697.408|-8972.109 -1730.278|-8954.472 -1730.289
2331 77 ST SW,-8954.451 -1697.419|-8972.088 -1697.408|-8972.109 -1730.278|-8954.472 -1730.289
24 7825 SPRING WILLOW DR SW,-8987.676 -1728.521|-8986.495 -1728.398|-8985.356 -1728.054|-8984.307 -1727.498|-8983.391 -1726.742|-8982.636 -1725.819|-8982.077 -1724.773|-8981.734 -1723.639|-8981.616 -1722.449|-8981.602 -1702.468|-8999.819 -1702.457|-8999.833 -1728.510
22 7825 SPRING WILLOW DR SW,-8987.676 -1728.521|-8986.495 -1728.398|-8985.356 -1728.054|-8984.307 -1727.498|-8983.391 -1726.742|-8982.636 -1725.819|-8982.077 -1724.773|-8981.734 -1723.639|-8981.616 -1722.449|-8981.602 -1702.468|-8999.819 -1702.457|-8999.833 -1728.510
20 7825 SPRING WILLOW DR SW,-8987.676 -1728.521|-8986.495 -1728.398|-8985.356 -1728.054|-8984.307 -1727.498|-8983.391 -1726.742|-8982.636 -1725.819|-8982.077 -1724.773|-8981.734 -1723.639|-8981.616 -1722.449|-8981.602 -1702.468|-8999.819 -1702.457|-8999.833 -1728.510
10 7825 SPRING WILLOW DR SW,-8985.090 -1693.750|-8994.010 -1667.030|-8998.470 -1668.075|-9002.853 -1669.376|-9007.159 -1670.922|-9011.367 -1672.723|-9002.398 -1699.566
12 7825 SPRING WILLOW DR SW,-8985.090 -1693.750|-8994.010 -1667.030|-8998.470 -1668.075|-9002.853 -1669.376|-9007.159 -1670.922|-9011.367 -1672.723|-9002.398 -1699.566
14 7825 SPRING WILLOW DR SW,-8985.090 -1693.750|-8994.010 -1667.030|-8998.470 -1668.075|-9002.853 -1669.376|-9007.159 -1670.922|-9011.367 -1672.723|-9002.398 -1699.566
36 7825 SPRING WILLOW DR SW,-9019.574 -1714.732|-9006.711 -1703.202|-9026.019 -1681.530|-9028.669 -1683.620|-9031.220 -1685.833|-9039.035 -1692.894
34 7825 SPRING WILLOW DR SW,-9019.574 -1714.732|-9006.711 -1703.202|-9026.019 -1681.530|-9028.669 -1683.620|-9031.220 -1685.833|-9039.035 -1692.894
32 7825 SPRING WILLOW DR SW,-9019.574 -1714.732|-9006.711 -1703.202|-9026.019 -1681.530|-9028.669 -1683.620|-9031.220 -1685.833|-9039.035 -1692.894
30 7825 SPRING WILLOW DR SW,-9019.574 -1714.732|-9006.711 -1703.202|-9026.019 -1681.530|-9028.669 -1683.620|-9031.220 -1685.833|-9039.035 -1692.894
213 7820 SPRING WILLOW DR SW,-9062.887 -1646.537|-9059.573 -1645.747|-9055.100 -1621.596|-9075.064 -1615.391|-9076.232 -1618.760|-9077.252 -1622.163|-9078.133 -1625.610|-9078.867 -1629.090|-9079.447 -1632.604|-9079.881 -1636.140|-9080.167 -1639.687|-9080.300 -1643.234
215 7820 SPRING WILLOW DR SW,-9062.887 -1646.537|-9059.573 -1645.747|-9055.100 -1621.596|-9075.064 -1615.391|-9076.232 -1618.760|-9077.252 -1622.163|-9078.133 -1625.610|-9078.867 -1629.090|-9079.447 -1632.604|-9079.881 -1636.140|-9080.167 -1639.687|-9080.300 -1643.234
217 7820 SPRING WILLOW DR SW,-9062.887 -1646.537|-9059.573 -1645.747|-9055.100 -1621.596|-9075.064 -1615.391|-9076.232 -1618.760|-9077.252 -1622.163|-9078.133 -1625.610|-9078.867 -1629.090|-9079.447 -1632.604|-9079.881 -1636.140|-9080.167 -1639.687|-9080.300 -1643.234
249 7820 SPRING WILLOW DR SW,-9051.185 -1548.996|-9030.549 -1551.665|-9030.507 -1514.637|-9047.298 -1514.659|-9047.976 -1514.659|-9050.276 -1514.659|-9050.255 -1533.351|-9050.479 -1541.191
251 7820 SPRING WILLOW DR SW,-9051.185 -1548.996|-9030.549 -1551.665|-9030.507 -1514.637|-9047.298 -1514.659|-9047.976 -1514.659|-9050.276 -1514.659|-9050.255 -1533.351|-9050.479 -1541.191
253 7820 SPRING WILLOW DR SW,-9051.185 -1548.996|-9030.549 -1551.665|-9030.507 -1514.637|-9047.298 -1514.659|-9047.976 -1514.659|-9050.276 -1514.659|-9050.255 -1533.351|-9050.479 -1541.191
255 7820 SPRING WILLOW DR SW,-9051.185 -1548.996|-9030.549 -1551.665|-9030.507 -1514.637|-9047.298 -1514.659|-9047.976 -1514.659|-9050.276 -1514.659|-9050.255 -1533.351|-9050.479 -1541.191
203 7820 SPRING WILLOW DR SW,-9064.117 -1648.583|-9078.895 -1660.013|-9078.224 -1663.294|-9077.413 -1666.541|-9076.483 -1669.754|-9075.421 -1672.934|-9074.232 -1676.059|-9072.925 -1679.139|-9071.492 -1682.164|-9069.940 -1685.121|-9067.067 -1685.588|-9064.285 -1686.033|-9061.992 -1683.965|-9045.963 -1669.443|-9045.131 -1668.698|-9061.279 -1647.904
205 7820 SPRING WILLOW DR SW,-9064.117 -1648.583|-9078.895 -1660.013|-9078.224 -1663.294|-9077.413 -1666.541|-9076.483 -1669.754|-9075.421 -1672.934|-9074.232 -1676.059|-9072.925 -1679.139|-9071.492 -1682.164|-9069.940 -1685.121|-9067.067 -1685.588|-9064.285 -1686.033|-9061.992 -1683.965|-9045.963 -1669.443|-9045.131 -1668.698|-9061.279 -1647.904
207 7820 SPRING WILLOW DR SW,-9064.117 -1648.583|-9078.895 -1660.013|-9078.224 -1663.294|-9077.413 -1666.541|-9076.483 -1669.754|-9075.421 -1672.934|-9074.232 -1676.059|-9072.925 -1679.139|-9071.492 -1682.164|-9069.940 -1685.121|-9067.067 -1685.588|-9064.285 -1686.033|-9061.992 -1683.965|-9045.963 -1669.443|-9045.131 -1668.698|-9061.279 -1647.904
31 7825 SPRING WILLOW DR SW,-9039.769 -1736.782|-9033.876 -1736.771|-9020.986 -1725.218|-9044.998 -1698.276|-9053.086 -1705.570|-9057.155 -1709.128|-9061.342 -1712.564
33 7825 SPRING WILLOW DR SW,-9039.769 -1736.782|-9033.876 -1736.771|-9020.986 -1725.218|-9044.998 -1698.276|-9053.086 -1705.570|-9057.155 -1709.128|-9061.342 -1712.564
35 7825 SPRING WILLOW DR SW,-9039.769 -1736.782|-9033.876 -1736.771|-9020.986 -1725.218|-9044.998 -1698.276|-9053.086 -1705.570|-9057.155 -1709.128|-9061.342 -1712.564
37 7825 SPRING WILLOW DR SW,-9039.769 -1736.782|-9033.876 -1736.771|-9020.986 -1725.218|-9044.998 -1698.276|-9053.086 -1705.570|-9057.155 -1709.128|-9061.342 -1712.564
237 7820 SPRING WILLOW DR SW,-9059.769 -1582.032|-9040.273 -1589.104|-9030.549 -1551.665|-9051.185 -1548.996|-9051.772 -1553.233|-9052.499 -1557.447|-9053.366 -1561.639|-9054.373 -1565.798|-9055.519 -1569.923|-9056.798 -1574.004|-9058.217 -1578.041
239 7820 SPRING WILLOW DR SW,-9059.769 -1582.032|-9040.273 -1589.104|-9030.549 -1551.665|-9051.185 -1548.996|-9051.772 -1553.233|-9052.499 -1557.447|-9053.366 -1561.639|-9054.373 -1565.798|-9055.519 -1569.923|-9056.798 -1574.004|-9058.217 -1578.041
241 7820 SPRING WILLOW DR SW,-9059.769 -1582.032|-9040.273 -1589.104|-9030.549 -1551.665|-9051.185 -1548.996|-9051.772 -1553.233|-9052.499 -1557.447|-9053.366 -1561.639|-9054.373 -1565.798|-9055.519 -1569.923|-9056.798 -1574.004|-9058.217 -1578.041
243 7820 SPRING WILLOW DR SW,-9059.769 -1582.032|-9040.273 -1589.104|-9030.549 -1551.665|-9051.185 -1548.996|-9051.772 -1553.233|-9052.499 -1557.447|-9053.366 -1561.639|-9054.373 -1565.798|-9055.519 -1569.923|-9056.798 -1574.004|-9058.217 -1578.041
7828 SPRING WILLOW DR SW,-9021.734 -1633.038|-9016.582 -1650.973|-9011.940 -1649.205|-9007.229 -1647.671|-9002.440 -1646.370|-8997.589 -1645.302|-8998.036 -1641.855|-9002.217 -1627.367
7826 SPRING WILLOW DR SW,-9021.734 -1633.038|-9016.582 -1650.973|-9011.940 -1649.205|-9007.229 -1647.671|-9002.440 -1646.370|-8997.589 -1645.302|-8998.036 -1641.855|-9002.217 -1627.367
7824 SPRING WILLOW DR SW,-9021.734 -1633.038|-9016.582 -1650.973|-9011.940 -1649.205|-9007.229 -1647.671|-9002.440 -1646.370|-8997.589 -1645.302|-8998.036 -1641.855|-9002.217 -1627.367
223 7820 SPRING WILLOW DR SW,-9055.100 -1621.596|-9054.876 -1620.395|-9040.273 -1589.104|-9059.769 -1582.032|-9062.719 -1588.693|-9072.135 -1608.452|-9073.680 -1611.888|-9075.064 -1615.391
225 7820 SPRING WILLOW DR SW,-9055.100 -1621.596|-9054.876 -1620.395|-9040.273 -1589.104|-9059.769 -1582.032|-9062.719 -1588.693|-9072.135 -1608.452|-9073.680 -1611.888|-9075.064 -1615.391
227 7820 SPRING WILLOW DR SW,-9055.100 -1621.596|-9054.876 -1620.395|-9040.273 -1589.104|-9059.769 -1582.032|-9062.719 -1588.693|-9072.135 -1608.452|-9073.680 -1611.888|-9075.064 -1615.391
229 7820 SPRING WILLOW DR SW,-9055.100 -1621.596|-9054.876 -1620.395|-9040.273 -1589.104|-9059.769 -1582.032|-9062.719 -1588.693|-9072.135 -1608.452|-9073.680 -1611.888|-9075.064 -1615.391
226 7820 SPRING WILLOW DR SW,-9043.230 -1616.470|-9027.592 -1623.808|-9018.113 -1603.504|-9034.422 -1597.600
224 7820 SPRING WILLOW DR SW,-9043.230 -1616.470|-9027.592 -1623.808|-9018.113 -1603.504|-9034.422 -1597.600
222 7820 SPRING WILLOW DR SW,-9043.230 -1616.470|-9027.592 -1623.808|-9018.113 -1603.504|-9034.422 -1597.600
7838 SPRING WILLOW DR SW,-9028.305 -1634.950|-9046.250 -1644.502|-9036.924 -1662.193|-9032.702 -1659.346|-9028.347 -1656.711|-9023.859 -1654.298|-9019.259 -1652.119
7836 SPRING WILLOW DR SW,-9028.305 -1634.950|-9046.250 -1644.502|-9036.924 -1662.193|-9032.702 -1659.346|-9028.347 -1656.711|-9023.859 -1654.298|-9019.259 -1652.119
7834 SPRING WILLOW DR SW,-9028.305 -1634.950|-9046.250 -1644.502|-9036.924 -1662.193|-9032.702 -1659.346|-9028.347 -1656.711|-9023.859 -1654.298|-9019.259 -1652.119
236 7820 SPRING WILLOW DR SW,-9018.113 -1603.504|-9015.764 -1598.467|-9011.402 -1581.677|-9027.935 -1577.351|-9031.646 -1591.662|-9034.422 -1597.600
234 7820 SPRING WILLOW DR SW,-9018.113 -1603.504|-9015.764 -1598.467|-9011.402 -1581.677|-9027.935 -1577.351|-9031.646 -1591.662|-9034.422 -1597.600
232 7820 SPRING WILLOW DR SW,-9018.113 -1603.504|-9015.764 -1598.467|-9011.402 -1581.677|-9027.935 -1577.351|-9031.646 -1591.662|-9034.422 -1597.600
258 7820 SPRING WILLOW DR SW,-9004.279 -1514.615|-9021.538 -1514.626|-9021.573 -1541.880|-9004.314 -1541.902
256 7820 SPRING WILLOW DR SW,-9004.279 -1514.615|-9021.538 -1514.626|-9021.573 -1541.880|-9004.314 -1541.902
254 7820 SPRING WILLOW DR SW,-9004.279 -1514.615|-9021.538 -1514.626|-9021.573 -1541.880|-9004.314 -1541.902
252 7820 SPRING WILLOW DR SW,-9004.279 -1514.615|-9021.538 -1514.626|-9021.573 -1541.880|-9004.314 -1541.902
246 7820 SPRING WILLOW DR SW,-9022.664 -1557.047|-9027.935 -1577.351|-9011.402 -1581.677|-9006.131 -1561.372
244 7820 SPRING WILLOW DR SW,-9022.664 -1557.047|-9027.935 -1577.351|-9011.402 -1581.677|-9006.131 -1561.372
242 7820 SPRING WILLOW DR SW,-9022.664 -1557.047|-9027.935 -1577.351|-9011.402 -1581.677|-9006.131 -1561.372
103 7820 SPRING WILLOW DR SW,-8999.281 -1589.416|-8999.302 -1615.769|-8985.335 -1615.780|-8984.559 -1615.702|-8983.811 -1615.480|-8983.119 -1615.113|-8982.517 -1614.613|-8982.021 -1614.012|-8981.651 -1613.312|-8981.427 -1612.567|-8981.350 -1611.788|-8981.329 -1589.427
105 7820 SPRING WILLOW DR SW,-8999.281 -1589.416|-8999.302 -1615.769|-8985.335 -1615.780|-8984.559 -1615.702|-8983.811 -1615.480|-8983.119 -1615.113|-8982.517 -1614.613|-8982.021 -1614.012|-8981.651 -1613.312|-8981.427 -1612.567|-8981.350 -1611.788|-8981.329 -1589.427
107 7820 SPRING WILLOW DR SW,-8999.281 -1589.416|-8999.302 -1615.769|-8985.335 -1615.780|-8984.559 -1615.702|-8983.811 -1615.480|-8983.119 -1615.113|-8982.517 -1614.613|-8982.021 -1614.012|-8981.651 -1613.312|-8981.427 -1612.567|-8981.350 -1611.788|-8981.329 -1589.427
7810 SPRING WILLOW DR SW,-8978.372 -1643.445|-8958.911 -1643.445|-8954.423 -1638.942|-8954.409 -1625.343|-8984.873 -1625.321|-8984.915 -1643.668
7812 SPRING WILLOW DR SW,-8978.372 -1643.445|-8958.911 -1643.445|-8954.423 -1638.942|-8954.409 -1625.343|-8984.873 -1625.321|-8984.915 -1643.668
7814 SPRING WILLOW DR SW,-8978.372 -1643.445|-8958.911 -1643.445|-8954.423 -1638.942|-8954.409 -1625.343|-8984.873 -1625.321|-8984.915 -1643.668
7816 SPRING WILLOW DR SW,-8978.372 -1643.445|-8958.911 -1643.445|-8954.423 -1638.942|-8954.409 -1625.343|-8984.873 -1625.321|-8984.915 -1643.668
2223 77 ST SW,-8971.794 -1562.996|-8954.360 -1563.007|-8954.346 -1542.047|-8971.780 -1542.036
2225 77 ST SW,-8971.794 -1562.996|-8954.360 -1563.007|-8954.346 -1542.047|-8971.780 -1542.036
2227 77 ST SW,-8971.794 -1562.996|-8954.360 -1563.007|-8954.346 -1542.047|-8971.780 -1542.036
2211 77 ST SW,-8954.297 -1514.559|-8956.695 -1514.571|-8971.738 -1514.582|-8971.780 -1542.036|-8954.346 -1542.047
2213 77 ST SW,-8954.297 -1514.559|-8956.695 -1514.571|-8971.738 -1514.582|-8971.780 -1542.036|-8954.346 -1542.047
2215 77 ST SW,-8954.297 -1514.559|-8956.695 -1514.571|-8971.738 -1514.582|-8971.780 -1542.036|-8954.346 -1542.047
2217 77 ST SW,-8954.297 -1514.559|-8956.695 -1514.571|-8971.738 -1514.582|-8971.780 -1542.036|-8954.346 -1542.047
2243 77 ST SW,-8971.836 -1616.281|-8954.402 -1616.303|-8954.381 -1589.238|-8971.815 -1589.216
2245 77 ST SW,-8971.836 -1616.281|-8954.402 -1616.303|-8954.381 -1589.238|-8971.815 -1589.216
2247 77 ST SW,-8971.836 -1616.281|-8954.402 -1616.303|-8954.381 -1589.238|-8971.815 -1589.216
2249 77 ST SW,-8971.836 -1616.281|-8954.402 -1616.303|-8954.381 -1589.238|-8971.815 -1589.216
2233 77 ST SW,-8954.381 -1589.238|-8954.367 -1568.155|-8971.801 -1568.133|-8971.815 -1589.216
2235 77 ST SW,-8954.381 -1589.238|-8954.367 -1568.155|-8971.801 -1568.133|-8971.815 -1589.216
2237 77 ST SW,-8954.381 -1589.238|-8954.367 -1568.155|-8971.801 -1568.133|-8971.815 -1589.216
133 7820 SPRING WILLOW DR SW,-8998.651 -1548.674|-8981.175 -1548.685|-8981.126 -1514.593|-8998.609 -1514.604
135 7820 SPRING WILLOW DR SW,-8998.651 -1548.674|-8981.175 -1548.685|-8981.126 -1514.593|-8998.609 -1514.604
137 7820 SPRING WILLOW DR SW,-8998.651 -1548.674|-8981.175 -1548.685|-8981.126 -1514.593|-8998.609 -1514.604
139 7820 SPRING WILLOW DR SW,-8998.651 -1548.674|-8981.175 -1548.685|-8981.126 -1514.593|-8998.609 -1514.604
117 7820 SPRING WILLOW DR SW,-8999.281 -1589.416|-8981.329 -1589.427|-8981.308 -1563.063|-8999.260 -1563.051
115 7820 SPRING WILLOW DR SW,-8999.281 -1589.416|-8981.329 -1589.427|-8981.308 -1563.063|-8999.260 -1563.051
113 7820 SPRING WILLOW DR SW,-8999.281 -1589.416|-8981.329 -1589.427|-8981.308 -1563.063|-8999.260 -1563.051
102 2231 81 ST SW,-9400.471 -1635.484|-9394.424 -1635.473|-9394.431 -1622.685|-9395.284 -1622.685|-9395.284 -1616.592|-9400.485 -1616.603
104 2231 81 ST SW,-9404.777 -1635.484|-9400.471 -1635.484|-9400.485 -1616.603|-9404.791 -1616.603
106 2231 81 ST SW,-9409.076 -1635.484|-9404.777 -1635.484|-9404.791 -1616.603|-9409.090 -1616.603
108 2231 81 ST SW,-9409.076 -1635.484|-9409.090 -1616.603|-9413.396 -1616.614|-9413.382 -1635.495
110 2231 81 ST SW,-9417.682 -1635.495|-9413.382 -1635.495|-9413.396 -1616.614|-9417.696 -1616.614
112 2231 81 ST SW,-9424.344 -1635.495|-9417.682 -1635.495|-9417.696 -1616.614|-9424.358 -1616.614
116 2231 81 ST SW,-9430.998 -1635.506|-9424.344 -1635.495|-9424.358 -1616.614|-9431.012 -1616.625
118 2231 81 ST SW,-9435.305 -1635.506|-9430.998 -1635.506|-9431.012 -1616.625|-9435.319 -1616.625
120 2231 81 ST SW,-9439.604 -1635.517|-9435.305 -1635.506|-9435.319 -1616.625|-9439.618 -1616.625
122 2231 81 ST SW,-9443.910 -1635.517|-9439.604 -1635.517|-9439.618 -1616.625|-9443.924 -1616.636
124 2231 81 ST SW,-9448.209 -1635.517|-9443.910 -1635.517|-9443.924 -1616.636|-9448.223 -1616.636
126 2231 81 ST SW,-9454.053 -1635.528|-9448.209 -1635.517|-9448.223 -1616.636|-9454.067 -1616.636
130 2231 81 ST SW,-9461.540 -1616.647|-9461.526 -1635.528|-9455.689 -1635.528|-9455.703 -1616.636
132 2231 81 ST SW,-9465.825 -1635.528|-9461.526 -1635.528|-9461.540 -1616.647|-9465.839 -1616.647
134 2231 81 ST SW,-9470.131 -1635.539|-9465.825 -1635.528|-9465.839 -1616.647|-9470.145 -1616.647
136 2231 81 ST SW,-9476.786 -1635.539|-9470.131 -1635.539|-9470.145 -1616.647|-9476.800 -1616.659
140 2231 81 ST SW,-9476.800 -1616.659|-9483.462 -1616.659|-9483.441 -1635.551|-9476.786 -1635.539
142 2231 81 ST SW,-9487.747 -1635.551|-9483.441 -1635.551|-9483.462 -1616.659|-9487.761 -1616.670
144 2231 81 ST SW,-9492.046 -1635.551|-9487.747 -1635.551|-9487.761 -1616.670|-9492.060 -1616.670
146 2231 81 ST SW,-9503.790 -1635.562|-9492.046 -1635.551|-9492.060 -1616.670|-9496.436 -1616.670|-9496.842 -1621.229
150 2231 81 ST SW,-9501.323 -1618.827|-9515.220 -1632.671|-9512.731 -1635.573|-9505.125 -1635.562|-9498.135 -1621.162|-9497.737 -1616.625|-9499.142 -1616.414|-9500.512 -1616.014
152 2231 81 ST SW,-9518.044 -1629.402|-9515.220 -1632.671|-9501.323 -1618.827|-9500.512 -1616.014|-9501.910 -1615.413|-9503.210 -1614.624
154 2231 81 ST SW,-9503.210 -1614.624|-9504.021 -1614.001|-9504.769 -1613.312|-9506.370 -1611.688|-9520.861 -1626.132|-9518.044 -1629.402
156 2231 81 ST SW,-9523.678 -1622.852|-9520.861 -1626.132|-9506.370 -1611.688|-9509.404 -1608.630
158 2231 81 ST SW,-9525.230 -1623.353|-9524.161 -1622.296|-9523.678 -1622.852|-9509.404 -1608.630|-9509.935 -1608.097|-9511.025 -1606.885|-9512.011 -1605.595|-9531.808 -1615.702
162 2231 81 ST SW,-9538.183 -1608.297|-9532.612 -1614.768|-9512.661 -1604.583|-9513.570 -1602.859|-9514.290 -1601.047|-9535.541 -1604.894|-9535.422 -1605.572|-9538.183 -1606.073
164 2231 81 ST SW,-9535.541 -1604.894|-9514.290 -1601.047|-9514.681 -1599.735|-9514.975 -1598.400|-9515.255 -1596.833|-9536.310 -1600.647
166 2231 81 ST SW,-9536.834 -1597.744|-9536.310 -1600.647|-9515.255 -1596.833|-9516.017 -1592.585|-9536.834 -1596.365
101 2231 81 ST SW,-9390.447 -1603.193|-9390.454 -1591.317|-9390.992 -1590.383|-9396.507 -1590.383|-9396.486 -1609.598|-9392.705 -1609.598|-9391.174 -1608.597|-9390.922 -1605.795|-9390.929 -1603.193
103 2231 81 ST SW,-9400.793 -1609.598|-9396.486 -1609.598|-9396.507 -1590.383|-9400.807 -1590.394
105 2231 81 ST SW,-9405.092 -1609.609|-9400.793 -1609.598|-9400.807 -1590.394|-9405.113 -1590.394
107 2231 81 ST SW,-9409.398 -1609.609|-9405.092 -1609.609|-9405.113 -1590.394|-9409.412 -1590.394
109 2231 81 ST SW,-9413.697 -1609.609|-9409.398 -1609.609|-9409.412 -1590.394|-9413.718 -1590.405
111 2231 81 ST SW,-9420.359 -1609.620|-9413.697 -1609.609|-9413.718 -1590.405|-9420.373 -1590.405
115 2231 81 ST SW,-9427.014 -1609.620|-9420.359 -1609.620|-9420.373 -1590.405|-9427.035 -1590.417
117 2231 81 ST SW,-9431.320 -1609.631|-9427.014 -1609.620|-9427.035 -1590.417|-9431.334 -1590.417
119 2231 81 ST SW,-9435.640 -1590.428|-9435.619 -1609.631|-9431.320 -1609.631|-9431.334 -1590.417
121 2231 81 ST SW,-9439.925 -1609.631|-9435.619 -1609.631|-9435.640 -1590.428|-9439.939 -1590.428
123 2231 81 ST SW,-9444.224 -1609.631|-9439.925 -1609.631|-9439.939 -1590.428|-9444.245 -1590.428
125 2231 81 ST SW,-9450.068 -1609.642|-9444.224 -1609.631|-9444.245 -1590.428|-9450.082 -1590.439
129 2231 81 ST SW,-9451.718 -1590.439|-9457.562 -1590.450|-9457.541 -1609.653|-9451.697 -1609.642
131 2231 81 ST SW,-9461.847 -1609.653|-9457.541 -1609.653|-9457.562 -1590.450|-9461.861 -1590.450
133 2231 81 ST SW,-9466.147 -1609.653|-9461.847 -1609.653|-9461.861 -1590.450|-9466.168 -1590.450
135 2231 81 ST SW,-9472.802 -1609.664|-9466.147 -1609.653|-9466.168 -1590.450|-9472.822 -1590.461
139 2231 81 ST SW,-9472.802 -1609.664|-9472.822 -1590.461|-9479.477 -1590.461|-9479.463 -1609.664
141 2231 81 ST SW,-9483.763 -1609.664|-9479.463 -1609.664|-9479.477 -1590.461|-9483.784 -1590.472
143 2231 81 ST SW,-9488.069 -1609.676|-9483.763 -1609.664|-9483.784 -1590.472|-9488.083 -1590.472
145 2231 81 ST SW,-9492.368 -1609.676|-9488.069 -1609.676|-9488.083 -1590.472|-9492.389 -1590.472
147 2231 81 ST SW,-9492.368 -1609.676|-9492.389 -1590.472|-9498.436 -1590.483|-9498.422 -1608.375|-9497.128 -1609.676
168 2231 81 ST SW,-9536.834 -1596.365|-9516.017 -1592.585|-9516.800 -1588.248|-9519.785 -1588.026|-9536.827 -1589.127
2227 81 ST SW,-9378.919 -1591.729|-9359.647 -1591.729|-9359.640 -1585.669|-9378.919 -1585.657
2225 81 ST SW,-9378.919 -1585.657|-9359.640 -1585.669|-9359.640 -1581.354|-9378.919 -1581.343
172 2231 81 ST SW,-9517.345 -1582.755|-9517.345 -1580.854|-9536.925 -1580.832|-9536.925 -1587.726|-9517.100 -1586.447|-9517.282 -1584.601
2223 81 ST SW,-9378.919 -1581.343|-9359.640 -1581.354|-9359.640 -1577.040|-9378.919 -1577.029
174 2231 81 ST SW,-9536.925 -1580.832|-9517.345 -1580.854|-9517.338 -1576.539|-9536.918 -1576.517
2221 81 ST SW,-9378.919 -1577.029|-9359.640 -1577.040|-9359.640 -1572.725|-9378.919 -1572.714
176 2231 81 ST SW,-9536.918 -1572.203|-9536.918 -1576.517|-9517.338 -1576.539|-9517.338 -1572.214
2219 81 ST SW,-9378.919 -1572.714|-9359.640 -1572.725|-9359.640 -1568.400|-9378.919 -1568.400
202 2231 81 ST SW,-9395.955 -1588.693|-9391.418 -1588.682|-9391.425 -1585.924|-9389.915 -1583.600|-9389.915 -1570.123|-9390.524 -1570.123|-9390.887 -1566.732|-9392.229 -1566.176|-9395.976 -1566.187
