ADDRESS,POINTS
324 TEMPLE CL NE,8006.362 3833.983|8004.957 3835.607|8003.790 3837.408|8002.888 3839.354|8002.273 3841.411|7975.961 3835.496|7975.975 3803.505
3440 56 ST NE,8316.383 3987.999|8316.376 4000.186|8285.981 4000.164|8285.981 3987.988
288 TEMPLESIDE CI NE,8575.100 4020.124|8575.072 4050.591|8559.875 4050.591|8559.896 4020.124
5607 TEMPLE DR NE,8179.153 4162.920|8179.146 4199.481|8170.743 4199.481|8170.750 4162.920
5804 TEMPLE DR NE,8436.353 4147.075|8430.356 4148.787|8424.435 4150.767|8412.257 4122.812|8419.436 4120.310|8426.721 4118.131
13 TEMPLEHILL PL NE,8658.623 4327.500|8658.616 4338.475|8635.666 4338.475|8635.232 4336.429|8634.533 4334.472|8633.569 4332.626|8632.366 4330.936|8631.157 4329.279|8630.143 4327.500
4119 58 ST NE,8612.912 4571.439|8612.912 4579.534|8582.482 4579.512|8582.489 4571.450
4215 58 ST NE,8612.912 4630.851|8612.898 4639.957|8582.454 4639.980|8582.461 4630.840
28 TEMPLEWOOD RD NE,8299.962 4731.582|8296.068 4746.293|8266.681 4738.498|8270.574 4723.776
39 TEMPLEWOOD ME NE,8200.662 4703.639|8193.644 4730.125|8192.484 4728.669|8190.974 4726.879|8189.198 4725.333|8187.213 4724.088|8185.053 4723.154|8182.774 4722.575|8180.439 4722.342|8178.090 4722.486|8175.797 4722.976|8167.954 4696.722|8176.755 4697.290
120 TEMPLEMONT CI NE,8051.674 5210.532|8044.153 5243.179|8029.333 5239.754|8036.862 5207.107
96 TEMPLEMONT DR NE,8309.280 5207.419|8297.124 5207.741|8296.306 5177.296|8308.463 5176.962
44 TEMPLEMONT DR NE,8504.203 5165.720|8491.669 5178.152|8472.788 5151.121|8478.436 5146.929|8483.847 5142.447
147 TEMPLEBY PL NE,8807.855 5227.378|8777.761 5243.835|8777.768 5229.102|8808.659 5221.952|8808.275 5223.275|8808.009 5224.632|8807.869 5225.999
6867 TEMPLE DR NE,8869.728 4969.662|8869.714 5000.129|8854.510 5000.118|8854.524 4969.662
151 TEMPLEVALE RD NE,9139.155 4729.102|9139.148 4742.501|9108.746 4742.490|9108.746 4729.091
80 TEMPLEGREEN DR NE,9025.224 4491.790|9025.217 4522.247|9010.013 4522.247|9010.027 4491.790
