ADDRESS,POINTS
724 EARL GREY CR SW,-594.889 -1916.718|-617.363 -1916.685|-617.447 -1956.259|-594.973 -1955.681
2103 HOPE ST SW,-455.205 -1468.525|-470.395 -1468.525|-470.381 -1514.204|-455.191 -1514.204
2221 12 ST SW,-1390.265 -1624.542|-1447.769 -1624.498|-1447.755 -1647.337|-1390.244 -1647.382
739 HILLCREST AV SW,-572.407 -1910.669|-552.366 -1910.702|-549.933 -1910.702|-549.856 -1874.164|-552.289 -1874.164|-572.323 -1874.130
1412 PROSPECT AV SW,-1548.292 -1704.102|-1572.584 -1704.113|-1572.570 -1731.345|-1572.542 -1765.649|-1548.264 -1752.739
1005 SYDENHAM RD SW,-854.941 -1677.137|-849.775 -1658.668|-849.356 -1656.844|-849.111 -1654.987|-849.055 -1653.119|-849.174 -1651.251|-849.468 -1649.394|-849.943 -1647.582|-850.593 -1645.825|-851.404 -1644.135|-852.376 -1642.534|-853.494 -1641.032|-854.753 -1639.643|-856.137 -1638.386|-857.640 -1637.263|-859.241 -1636.296|-860.932 -1635.484|-862.687 -1634.839|-870.817 -1632.537|-879.052 -1630.680|-887.370 -1629.257|-895.759 -1628.290|-895.871 -1677.060
846 HILLCREST AV SW,-714.957 -1817.143|-745.268 -1817.087|-745.170 -1853.626|-714.789 -1853.693
2201 7 ST SW,-586.745 -1646.648|-657.586 -1646.637|-657.586 -1669.376|-583.907 -1669.387|-584.948 -1663.750|-585.773 -1658.079|-586.367 -1652.374
827 PROSPECT AV SW,-654.392 -1780.716|-684.744 -1780.649|-684.576 -1817.210|-654.224 -1817.265
728 EARL GREY CR SW,-617.363 -1916.685|-640.138 -1916.651|-640.201 -1947.097|-640.019 -1948.976|-639.467 -1950.788|-638.565 -1952.445|-637.349 -1953.902|-635.874 -1955.080|-634.196 -1955.948|-632.379 -1956.459|-630.491 -1956.604|-617.447 -1956.259
2222 13 ST SW,-1447.769 -1624.498|-1503.993 -1624.453|-1503.979 -1647.293|-1447.755 -1647.426|-1447.755 -1647.337
