ADDRESS,POINTS
11 1815 VARSITY ESTATES DR NW,-7016.257 5453.726|-7020.899 5457.507|-7025.435 5461.421|-7029.853 5465.458|-7034.153 5469.627|-7038.333 5473.919|-7042.394 5478.323|-7046.323 5482.837|-7050.119 5487.463|-7053.789 5492.200|-7057.319 5497.026|-7060.709 5501.963|-7063.953 5506.989|-7067.057 5512.115|-7070.014 5517.319|-7072.824 5522.601|-7075.473 5527.971|-7087.287 5552.701|-7092.719 5501.651|-7162.484 5421.146|-7170.327 5330.122|-7083.268 5259.658|-7040.780 5333.569|-7040.863 5410.939
12 1815 VARSITY ESTATES DR NW,-7016.257 5453.726|-7020.899 5457.507|-7025.435 5461.421|-7029.853 5465.458|-7034.153 5469.627|-7038.333 5473.919|-7042.394 5478.323|-7046.323 5482.837|-7050.119 5487.463|-7053.789 5492.200|-7057.319 5497.026|-7060.709 5501.963|-7063.953 5506.989|-7067.057 5512.115|-7070.014 5517.319|-7072.824 5522.601|-7075.473 5527.971|-7087.287 5552.701|-7092.719 5501.651|-7162.484 5421.146|-7170.327 5330.122|-7083.268 5259.658|-7040.780 5333.569|-7040.863 5410.939
13 1815 VARSITY ESTATES DR NW,-7016.257 5453.726|-7020.899 5457.507|-7025.435 5461.421|-7029.853 5465.458|-7034.153 5469.627|-7038.333 5473.919|-7042.394 5478.323|-7046.323 5482.837|-7050.119 5487.463|-7053.789 5492.200|-7057.319 5497.026|-7060.709 5501.963|-7063.953 5506.989|-7067.057 5512.115|-7070.014 5517.319|-7072.824 5522.601|-7075.473 5527.971|-7087.287 5552.701|-7092.719 5501.651|-7162.484 5421.146|-7170.327 5330.122|-7083.268 5259.658|-7040.780 5333.569|-7040.863 5410.939
14 1815 VARSITY ESTATES DR NW,-7016.257 5453.726|-7020.899 5457.507|-7025.435 5461.421|-7029.853 5465.458|-7034.153 5469.627|-7038.333 5473.919|-7042.394 5478.323|-7046.323 5482.837|-7050.119 5487.463|-7053.789 5492.200|-7057.319 5497.026|-7060.709 5501.963|-7063.953 5506.989|-7067.057 5512.115|-7070.014 5517.319|-7072.824 5522.601|-7075.473 5527.971|-7087.287 5552.701|-7092.719 5501.651|-7162.484 5421.146|-7170.327 5330.122|-7083.268 5259.658|-7040.780 5333.569|-7040.863 5410.939
15 1815 VARSITY ESTATES DR NW,-7016.257 5453.726|-7020.899 5457.507|-7025.435 5461.421|-7029.853 5465.458|-7034.153 5469.627|-7038.333 5473.919|-7042.394 5478.323|-7046.323 5482.837|-7050.119 5487.463|-7053.789 5492.200|-7057.319 5497.026|-7060.709 5501.963|-7063.953 5506.989|-7067.057 5512.115|-7070.014 5517.319|-7072.824 5522.601|-7075.473 5527.971|-7087.287 5552.701|-7092.719 5501.651|-7162.484 5421.146|-7170.327 5330.122|-7083.268 5259.658|-7040.780 5333.569|-7040.863 5410.939
16 1815 VARSITY ESTATES DR NW,-7016.257 5453.726|-7020.899 5457.507|-7025.435 5461.421|-7029.853 5465.458|-7034.153 5469.627|-7038.333 5473.919|-7042.394 5478.323|-7046.323 5482.837|-7050.119 5487.463|-7053.789 5492.200|-7057.319 5497.026|-7060.709 5501.963|-7063.953 5506.989|-7067.057 5512.115|-7070.014 5517.319|-7072.824 5522.601|-7075.473 5527.971|-7087.287 5552.701|-7092.719 5501.651|-7162.484 5421.146|-7170.327 5330.122|-7083.268 5259.658|-7040.780 5333.569|-7040.863 5410.939
21 1815 VARSITY ESTATES DR NW,-7016.257 5453.726|-7020.899 5457.507|-7025.435 5461.421|-7029.853 5465.458|-7034.153 5469.627|-7038.333 5473.919|-7042.394 5478.323|-7046.323 5482.837|-7050.119 5487.463|-7053.789 5492.200|-7057.319 5497.026|-7060.709 5501.963|-7063.953 5506.989|-7067.057 5512.115|-7070.014 5517.319|-7072.824 5522.601|-7075.473 5527.971|-7087.287 5552.701|-7092.719 5501.651|-7162.484 5421.146|-7170.327 5330.122|-7083.268 5259.658|-7040.780 5333.569|-7040.863 5410.939
22 1815 VARSITY ESTATES DR NW,-7016.257 5453.726|-7020.899 5457.507|-7025.435 5461.421|-7029.853 5465.458|-7034.153 5469.627|-7038.333 5473.919|-7042.394 5478.323|-7046.323 5482.837|-7050.119 5487.463|-7053.789 5492.200|-7057.319 5497.026|-7060.709 5501.963|-7063.953 5506.989|-7067.057 5512.115|-7070.014 5517.319|-7072.824 5522.601|-7075.473 5527.971|-7087.287 5552.701|-7092.719 5501.651|-7162.484 5421.146|-7170.327 5330.122|-7083.268 5259.658|-7040.780 5333.569|-7040.863 5410.939
23 1815 VARSITY ESTATES DR NW,-7016.257 5453.726|-7020.899 5457.507|-7025.435 5461.421|-7029.853 5465.458|-7034.153 5469.627|-7038.333 5473.919|-7042.394 5478.323|-7046.323 5482.837|-7050.119 5487.463|-7053.789 5492.200|-7057.319 5497.026|-7060.709 5501.963|-7063.953 5506.989|-7067.057 5512.115|-7070.014 5517.319|-7072.824 5522.601|-7075.473 5527.971|-7087.287 5552.701|-7092.719 5501.651|-7162.484 5421.146|-7170.327 5330.122|-7083.268 5259.658|-7040.780 5333.569|-7040.863 5410.939
24 1815 VARSITY ESTATES DR NW,-7016.257 5453.726|-7020.899 5457.507|-7025.435 5461.421|-7029.853 5465.458|-7034.153 5469.627|-7038.333 5473.919|-7042.394 5478.323|-7046.323 5482.837|-7050.119 5487.463|-7053.789 5492.200|-7057.319 5497.026|-7060.709 5501.963|-7063.953 5506.989|-7067.057 5512.115|-7070.014 5517.319|-7072.824 5522.601|-7075.473 5527.971|-7087.287 5552.701|-7092.719 5501.651|-7162.484 5421.146|-7170.327 5330.122|-7083.268 5259.658|-7040.780 5333.569|-7040.863 5410.939
