ADDRESS,POINTS
529 WALDEN DR SE,2385.802 -19787.644|2387.256 -19789.379|2388.892 -19790.936|2390.695 -19792.303|2392.639 -19793.460|2394.421 -19794.182|2396.302 -19794.561|2398.224 -19794.572|2400.111 -19794.216|2417.790 -19789.134|2419.384 -19788.445|2417.853 -19785.298|2412.617 -19774.479|2388.997 -19786.076
525 WALDEN DR SE,2385.131 -19786.677|2385.802 -19787.644|2388.997 -19786.076|2412.617 -19774.479|2409.297 -19767.629|2381.559 -19781.251
521 WALDEN DR SE,2377.343 -19774.857|2381.559 -19781.251|2409.297 -19767.629|2405.983 -19760.791
517 WALDEN DR SE,2373.555 -19769.108|2377.343 -19774.857|2405.983 -19760.791|2402.663 -19753.941|2373.212 -19768.408
513 WALDEN DR SE,2369.892 -19761.558|2373.212 -19768.408|2402.663 -19753.941|2399.335 -19747.091
509 WALDEN DR SE,2366.571 -19754.697|2369.892 -19761.558|2399.335 -19747.091|2396.015 -19740.231
505 WALDEN DR SE,2363.251 -19747.848|2366.571 -19754.697|2396.015 -19740.231|2392.687 -19733.381
501 WALDEN DR SE,2359.923 -19740.998|2363.251 -19747.848|2392.687 -19733.381|2389.367 -19726.531
497 WALDEN DR SE,2356.596 -19734.148|2359.923 -19740.998|2389.367 -19726.531|2386.040 -19719.671
493 WALDEN DR SE,2353.275 -19727.299|2356.596 -19734.148|2386.040 -19719.671|2382.712 -19712.821
482 WALDEN DR SE,2294.877 -19731.079|2297.533 -19731.991|2325.642 -19718.181|2322.196 -19711.087|2292.311 -19725.775
489 WALDEN DR SE,2349.948 -19720.449|2353.275 -19727.299|2382.712 -19712.821|2379.385 -19705.972|2351.283 -19719.793
478 WALDEN DR SE,2322.196 -19711.087|2318.875 -19704.237|2288.991 -19718.937|2292.311 -19725.775
485 WALDEN DR SE,2346.620 -19713.600|2349.948 -19720.449|2351.283 -19719.793|2379.385 -19705.972|2376.057 -19699.122
474 WALDEN DR SE,2287.649 -19716.179|2288.991 -19718.937|2318.875 -19704.237|2317.533 -19701.479|2315.617 -19697.454|2285.509 -19711.687
481 WALDEN DR SE,2343.293 -19706.750|2346.620 -19713.600|2376.057 -19699.122|2372.730 -19692.272
470 WALDEN DR SE,2282.217 -19704.393|2285.509 -19711.687|2315.617 -19697.454|2312.674 -19690.938
477 WALDEN DR SE,2339.965 -19699.911|2343.293 -19706.750|2372.730 -19692.272|2369.402 -19685.412
466 WALDEN DR SE,2279.106 -19697.009|2282.217 -19704.393|2312.674 -19690.938|2309.899 -19684.333
473 WALDEN DR SE,2336.638 -19693.062|2339.965 -19699.911|2369.402 -19685.412|2366.068 -19678.562
462 WALDEN DR SE,2276.191 -19689.548|2279.106 -19697.009|2309.899 -19684.333|2307.285 -19677.672
469 WALDEN DR SE,2336.638 -19693.062|2366.068 -19678.562|2365.690 -19677.784|2362.964 -19671.968|2333.136 -19685.612|2336.253 -19692.272
458 WALDEN DR SE,2273.458 -19682.020|2276.191 -19689.548|2307.285 -19677.672|2304.845 -19670.945
465 WALDEN DR SE,2329.829 -19677.973|2333.136 -19685.612|2362.964 -19671.968|2360.084 -19665.308
454 WALDEN DR SE,2270.920 -19674.414|2273.458 -19682.020|2304.845 -19670.945|2302.580 -19664.151
461 WALDEN DR SE,2326.774 -19670.234|2329.829 -19677.973|2360.084 -19665.308|2357.414 -19658.547
450 WALDEN DR SE,2270.920 -19674.414|2302.580 -19664.151|2300.483 -19657.302|2268.572 -19666.753
457 WALDEN DR SE,2323.971 -19662.405|2326.774 -19670.234|2357.414 -19658.547|2354.967 -19651.708
446 WALDEN DR SE,2266.425 -19659.025|2268.572 -19666.753|2300.483 -19657.302|2298.568 -19650.407
453 WALDEN DR SE,2321.413 -19654.488|2323.971 -19662.405|2354.967 -19651.708|2352.737 -19644.803
442 WALDEN DR SE,2264.468 -19651.253|2266.425 -19659.025|2298.568 -19650.407|2296.820 -19643.469
449 WALDEN DR SE,2319.113 -19646.493|2321.413 -19654.488|2352.737 -19644.803|2350.724 -19637.820
438 WALDEN DR SE,2264.468 -19651.253|2296.820 -19643.469|2295.254 -19636.486|2262.721 -19643.436
445 WALDEN DR SE,2317.065 -19638.421|2319.113 -19646.493|2350.724 -19637.820|2348.941 -19630.782
