ADDRESS,POINTS
101 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
102 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
103 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
104 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
105 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
106 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
107 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
108 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
201 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
202 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
203 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
204 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
205 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
206 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
207 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
208 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
301 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
302 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
303 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
304 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
305 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
306 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
307 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
308 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
401 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
402 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
403 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
404 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
405 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
406 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
407 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
408 502 58 AV SW,-180.276 -5175.474|-139.830 -5175.463|-139.690 -5128.684|-180.137 -5128.672
101 510 58 AV SW,-180.137 -5128.672|-220.577 -5128.650|-222.093 -5128.650|-222.233 -5175.486|-220.716 -5175.486|-180.276 -5175.474
102 510 58 AV SW,-180.137 -5128.672|-220.577 -5128.650|-222.093 -5128.650|-222.233 -5175.486|-220.716 -5175.486|-180.276 -5175.474
104 510 58 AV SW,-180.137 -5128.672|-220.577 -5128.650|-222.093 -5128.650|-222.233 -5175.486|-220.716 -5175.486|-180.276 -5175.474
105 510 58 AV SW,-180.137 -5128.672|-220.577 -5128.650|-222.093 -5128.650|-222.233 -5175.486|-220.716 -5175.486|-180.276 -5175.474
107 510 58 AV SW,-180.137 -5128.672|-220.577 -5128.650|-222.093 -5128.650|-222.233 -5175.486|-220.716 -5175.486|-180.276 -5175.474
108 510 58 AV SW,-180.137 -5128.672|-220.577 -5128.650|-222.093 -5128.650|-222.233 -5175.486|-220.716 -5175.486|-180.276 -5175.474
103 510 58 AV SW,-180.137 -5128.672|-220.577 -5128.650|-222.093 -5128.650|-222.233 -5175.486|-220.716 -5175.486|-180.276 -5175.474
201 510 58 AV SW,-180.137 -5128.672|-220.577 -5128.650|-222.093 -5128.650|-222.233 -5175.486|-220.716 -5175.486|-180.276 -5175.474
202 510 58 AV SW,-180.137 -5128.672|-220.577 -5128.650|-222.093 -5128.650|-222.233 -5175.486|-220.716 -5175.486|-180.276 -5175.474
204 510 58 AV SW,-180.137 -5128.672|-220.577 -5128.650|-222.093 -5128.650|-222.233 -5175.486|-220.716 -5175.486|-180.276 -5175.474
205 510 58 AV SW,-180.137 -5128.672|-220.577 -5128.650|-222.093 -5128.650|-222.233 -5175.486|-220.716 -5175.486|-180.276 -5175.474
207 510 58 AV SW,-180.137 -5128.672|-220.577 -5128.650|-222.093 -5128.650|-222.233 -5175.486|-220.716 -5175.486|-180.276 -5175.474
