ADDRESS,POINTS
127 WOODHAVEN BA SW,-4343.623 -12466.214|-4381.399 -12466.248|-4359.442 -12501.485|-4357.038 -12500.262|-4354.458 -12499.495|-4351.774 -12499.206|-4349.089 -12499.406
184 WOODFIELD RD SW,-3878.749 -12659.482|-3897.637 -12659.482|-3897.616 -12695.454|-3878.728 -12695.454
232 WOODFIELD RD SW,-3853.905 -12693.630|-3859.281 -12658.537|-3866.621 -12659.238|-3873.982 -12659.482|-3875.764 -12659.471|-3875.743 -12695.432|-3870.263 -12695.276|-3864.796 -12694.920|-3859.337 -12694.375
43 WOODACRES CR SW,-3317.847 -12588.773|-3317.840 -12562.687|-3317.980 -12561.230|-3318.406 -12559.829|-3319.092 -12558.528|-3320.021 -12557.394|-3321.147 -12556.460|-3322.440 -12555.771|-3323.838 -12555.337|-3325.292 -12555.193|-3335.736 -12555.193|-3335.743 -12588.762
156 WOODACRES DR SW,-3265.419 -13245.202|-3303.999 -13210.464|-3305.250 -13211.710|-3306.641 -13212.811|-3308.151 -13213.722|-3309.766 -13214.456|-3311.451 -13214.990|-3313.185 -13215.324|-3314.946 -13215.446|-3316.715 -13215.368|-3321.559 -13260.035|-3317.414 -13260.502|-3290.675 -13258.111|-3265.433 -13269.887
40 WOODFIELD CO SW,-3872.758 -12313.866|-3844.286 -12274.014|-3857.400 -12276.127|-3877.036 -12279.285|-3880.665 -12311.086|-3878.560 -12311.342|-3876.512 -12311.909|-3874.562 -12312.754
27 WOODFIELD DR SW,-3524.598 -11997.228|-3525.304 -11983.250|-3555.593 -11984.729|-3554.887 -11998.684
75 WOODFIELD DR SW,-3537.425 -12153.301|-3533.259 -12164.754|-3504.780 -12154.279|-3508.946 -12142.826
111 WOODBROOK ME SW,-4464.362 -11009.717|-4498.238 -11009.772|-4498.210 -11023.772|-4464.362 -11023.705
36 WOODGLEN RI SW,-3319.064 -11268.256|-3331.591 -11268.256|-3331.577 -11298.757|-3319.043 -11298.757
63 WOODGLEN GV SW,-3651.475 -11450.282|-3655.690 -11450.271|-3655.690 -11474.600|-3628.651 -11485.720|-3627.924 -11484.185|-3627.036 -11482.751|-3625.987 -11481.417|-3624.799 -11480.216
12 WOODGLEN GA SW,-3473.246 -11806.428|-3505.660 -11806.406|-3505.674 -11821.406|-3473.260 -11821.428
348 WOODBINE BV SW,-3970.618 -11259.249|-3978.804 -11259.249|-3979.929 -11259.360|-3981.013 -11259.694|-3982.005 -11260.228|-3982.879 -11260.950|-3983.592 -11261.829|-3984.131 -11262.830|-3984.452 -11263.908|-3984.564 -11265.042|-3984.564 -11292.763|-3970.618 -11292.763
3 WOODMONT WY SW,-3910.388 -11754.489|-3918.113 -11751.042|-3919.504 -11750.586|-3920.951 -11750.408|-3922.412 -11750.519|-3923.824 -11750.909|-3925.131 -11751.565|-3926.277 -11752.476|-3927.235 -11753.588|-3927.955 -11754.856|-3932.240 -11764.586|-3934.918 -11770.168|-3937.937 -11775.561|-3922.670 -11782.355
240 WOODMONT CO SW,-3871.493 -12007.013|-3872.968 -11997.739|-3901.545 -12002.331|-3902.824 -12002.654|-3904.027 -12003.199|-3905.110 -12003.944|-3906.054 -12004.878|-3906.816 -12005.956|-3907.375 -12007.157|-3907.718 -12008.436|-3907.823 -12009.748|-3907.816 -12016.108
32 WOODMONT PL SW,-4185.953 -12005.934|-4191.916 -11968.517|-4194.369 -11968.917|-4209.098 -11971.286|-4203.841 -12004.288|-4203.471 -12005.701|-4202.835 -12007.024|-4201.947 -12008.191|-4200.856 -12009.170|-4199.591 -12009.915|-4198.207 -12010.393|-4196.753 -12010.593|-4195.292 -12010.504|-4192.733 -12009.893|-4190.287 -12008.914|-4188.008 -12007.580
28 WOODFIELD WY SW,-3926.690 -12341.098|-3960.097 -12341.109|-3960.090 -12358.100|-3926.683 -12358.088|-3926.690 -12345.101
