ADDRESS,POINTS
233 WOODRIDGE DR SW,-2896.895 -12816.423|-2920.886 -12728.368|-2957.062 -12740.677|-2962.088 -12742.256|-2967.177 -12743.612|-2972.322 -12744.735|-2977.516 -12745.636|-2982.745 -12746.281|-2987.995 -12746.704|-2993.258 -12746.882|-2998.529 -12746.826|-3003.786 -12746.526|-3009.029 -12745.992|-3014.244 -12745.214|-3019.410 -12744.213|-3024.534 -12742.979|-3029.595 -12741.500|-3034.579 -12739.810|-3039.486 -12737.886|-3091.607 -12907.970|-3060.605 -12936.146|-3049.420 -12876.112|-3017.215 -12870.286|-2978.236 -12875.979|-2944.654 -12831.612
92 WOODMEADOW CL SW,-2278.734 -11727.224|-2430.469 -11672.272|-2430.462 -11675.752|-2430.420 -11695.256|-2430.378 -11715.371|-2430.336 -11734.263|-2430.294 -11753.455|-2430.252 -11773.570|-2430.210 -11792.762|-2430.175 -11811.343|-2430.127 -11832.670|-2278.559 -11832.793|-2278.587 -11814.568|-2278.615 -11797.822|-2278.643 -11781.065|-2278.671 -11764.308|-2278.699 -11747.562|-2278.727 -11730.805
90 WOODMEADOW CL SW,-2278.734 -11727.224|-2430.469 -11672.272|-2430.462 -11675.752|-2430.420 -11695.256|-2430.378 -11715.371|-2430.336 -11734.263|-2430.294 -11753.455|-2430.252 -11773.570|-2430.210 -11792.762|-2430.175 -11811.343|-2430.127 -11832.670|-2278.559 -11832.793|-2278.587 -11814.568|-2278.615 -11797.822|-2278.643 -11781.065|-2278.671 -11764.308|-2278.699 -11747.562|-2278.727 -11730.805
88 WOODMEADOW CL SW,-2278.734 -11727.224|-2430.469 -11672.272|-2430.462 -11675.752|-2430.420 -11695.256|-2430.378 -11715.371|-2430.336 -11734.263|-2430.294 -11753.455|-2430.252 -11773.570|-2430.210 -11792.762|-2430.175 -11811.343|-2430.127 -11832.670|-2278.559 -11832.793|-2278.587 -11814.568|-2278.615 -11797.822|-2278.643 -11781.065|-2278.671 -11764.308|-2278.699 -11747.562|-2278.727 -11730.805
86 WOODMEADOW CL SW,-2278.734 -11727.224|-2430.469 -11672.272|-2430.462 -11675.752|-2430.420 -11695.256|-2430.378 -11715.371|-2430.336 -11734.263|-2430.294 -11753.455|-2430.252 -11773.570|-2430.210 -11792.762|-2430.175 -11811.343|-2430.127 -11832.670|-2278.559 -11832.793|-2278.587 -11814.568|-2278.615 -11797.822|-2278.643 -11781.065|-2278.671 -11764.308|-2278.699 -11747.562|-2278.727 -11730.805
84 WOODMEADOW CL SW,-2278.734 -11727.224|-2430.469 -11672.272|-2430.462 -11675.752|-2430.420 -11695.256|-2430.378 -11715.371|-2430.336 -11734.263|-2430.294 -11753.455|-2430.252 -11773.570|-2430.210 -11792.762|-2430.175 -11811.343|-2430.127 -11832.670|-2278.559 -11832.793|-2278.587 -11814.568|-2278.615 -11797.822|-2278.643 -11781.065|-2278.671 -11764.308|-2278.699 -11747.562|-2278.727 -11730.805
82 WOODMEADOW CL SW,-2278.734 -11727.224|-2430.469 -11672.272|-2430.462 -11675.752|-2430.420 -11695.256|-2430.378 -11715.371|-2430.336 -11734.263|-2430.294 -11753.455|-2430.252 -11773.570|-2430.210 -11792.762|-2430.175 -11811.343|-2430.127 -11832.670|-2278.559 -11832.793|-2278.587 -11814.568|-2278.615 -11797.822|-2278.643 -11781.065|-2278.671 -11764.308|-2278.699 -11747.562|-2278.727 -11730.805
80 WOODMEADOW CL SW,-2278.734 -11727.224|-2430.469 -11672.272|-2430.462 -11675.752|-2430.420 -11695.256|-2430.378 -11715.371|-2430.336 -11734.263|-2430.294 -11753.455|-2430.252 -11773.570|-2430.210 -11792.762|-2430.175 -11811.343|-2430.127 -11832.670|-2278.559 -11832.793|-2278.587 -11814.568|-2278.615 -11797.822|-2278.643 -11781.065|-2278.671 -11764.308|-2278.699 -11747.562|-2278.727 -11730.805
76 WOODMEADOW CL SW,-2278.734 -11727.224|-2430.469 -11672.272|-2430.462 -11675.752|-2430.420 -11695.256|-2430.378 -11715.371|-2430.336 -11734.263|-2430.294 -11753.455|-2430.252 -11773.570|-2430.210 -11792.762|-2430.175 -11811.343|-2430.127 -11832.670|-2278.559 -11832.793|-2278.587 -11814.568|-2278.615 -11797.822|-2278.643 -11781.065|-2278.671 -11764.308|-2278.699 -11747.562|-2278.727 -11730.805
74 WOODMEADOW CL SW,-2278.734 -11727.224|-2430.469 -11672.272|-2430.462 -11675.752|-2430.420 -11695.256|-2430.378 -11715.371|-2430.336 -11734.263|-2430.294 -11753.455|-2430.252 -11773.570|-2430.210 -11792.762|-2430.175 -11811.343|-2430.127 -11832.670|-2278.559 -11832.793|-2278.587 -11814.568|-2278.615 -11797.822|-2278.643 -11781.065|-2278.671 -11764.308|-2278.699 -11747.562|-2278.727 -11730.805
