ADDRESS,POINTS
101 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
102 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
103 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
104 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
105 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
106 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
112 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
113 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
114 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
115 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
116 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
117 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
118 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
119 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
120 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
201 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
202 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
203 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
204 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
205 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
206 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
207 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
212 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
213 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
214 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
215 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
216 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
217 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
218 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
219 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
220 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
221 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
222 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
223 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
224 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
225 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
301 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
302 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
