ADDRESS,POINTS
3827 9 ST SW,-1066.298 -3032.315|-1104.250 -3032.237|-1104.264 -3039.854|-1104.278 -3047.470|-1104.292 -3055.087|-1066.340 -3055.165|-1066.326 -3047.548|-1066.312 -3039.931
3820 13A ST SW,-1469.299 -2940.056|-1550.081 -2939.923|-1550.270 -3046.670|-1469.502 -3046.781
2517 5 ST SW,-143.555 -2012.790|-166.337 -2012.790|-170.762 -2056.746|-157.795 -2050.330|-143.534 -2035.263
3240 ELBOW DR SW,-454.289 -2426.224|-503.845 -2426.113|-505.292 -2443.059|-498.406 -2578.506|-435.967 -2752.092|-399.533 -2752.159|-395.996 -2752.170|-397.645 -2749.201|-399.470 -2746.221|-401.602 -2743.097|-403.224 -2739.672|-404.545 -2736.503|-406.971 -2732.611|-408.390 -2728.986|-410.403 -2725.050|-411.983 -2721.981|-413.912 -2718.856|-415.737 -2715.832|-416.771 -2713.541|-417.932 -2709.860|-419.903 -2706.335|-421.776 -2702.399|-423.286 -2698.674|-424.153 -2695.205|-424.985 -2693.159|-426.558 -2689.945|-428.124 -2686.565|-430.298 -2682.684|-430.843 -2681.706|-432.304 -2677.925|-433.618 -2674.000|-434.884 -2670.531|-436.093 -2666.550|-437.121 -2664.048|-438.596 -2660.879|-440.015 -2657.766|-440.881 -2654.296|-441.504 -2652.061|-442.622 -2648.848|-443.538 -2645.278|-444.048 -2642.176|-444.719 -2639.474|-444.950 -2638.151|-446.068 -2634.526|-446.879 -2631.423|-447.893 -2627.654|-448.193 -2623.940|-449.473 -2620.437|-450.507 -2616.757|-451.542 -2612.554|-452.276 -2608.640|-452.465 -2606.316|-452.702 -2602.557|-454.121 -2599.032|-455.848 -2595.808|-457.414 -2592.083|-458.225 -2588.513|-458.833 -2585.211|-459.448 -2582.253|-460.175 -2579.962|-460.839 -2576.449|-461.147 -2573.146|-462.314 -2570.133|-462.552 -2568.954|-462.901 -2564.996|-463.468 -2562.038|-463.733 -2559.403|-463.586 -2556.256|-464.146 -2552.442|-464.404 -2549.384|-464.404 -2545.525|-464.621 -2543.090|-464.775 -2539.788|-464.978 -2536.074|-464.768 -2532.126|-464.621 -2528.880|-464.691 -2526.644|-464.754 -2523.542|-464.355 -2520.451|-464.048 -2516.748|-464.111 -2513.857|-463.866 -2511.066|-464.314 -2507.352|-464.320 -2503.683|-463.789 -2500.058|-463.384 -2496.811|-462.978 -2493.497|-462.887 -2491.196|-462.209 -2486.314|-462.007 -2482.467|-462.202 -2478.497|-462.664 -2475.295|-462.573 -2472.348|-462.622 -2468.389|-462.783 -2465.854|-462.328 -2461.896|-461.881 -2459.116|-461.384 -2456.280|-460.888 -2453.345|-460.392 -2450.398|-460.154 -2447.863|-459.455 -2444.427|-458.896 -2441.036|-458.092 -2437.644|-456.841 -2434.720|-455.673 -2430.928|-454.506 -2426.980
604 29 AV SW,-376.010 -2193.382|-417.512 -2148.459|-417.603 -2187.822|-377.597 -2194.861
3823 9 ST SW,-1066.284 -3024.698|-1104.236 -3024.620|-1104.250 -3032.237|-1066.298 -3032.315
800 34 AV SW,-817.130 -2741.329|-668.114 -2741.595|-724.261 -2585.355|-817.214 -2585.166
3015 7 ST SW,-726.002 -2225.206|-763.779 -2225.128|-763.772 -2232.745|-763.765 -2240.362|-763.758 -2247.979|-763.744 -2255.596|-763.737 -2263.213|-763.730 -2270.829|-763.723 -2278.457|-757.865 -2270.852|-752.014 -2263.246|-748.553 -2258.754|-725.925 -2258.731|-725.932 -2255.685|-725.953 -2248.068|-725.967 -2240.451|-725.988 -2232.823
3816 9 ST SW,-1008.187 -2973.014|-1046.145 -2972.948|-1046.152 -2979.041|-1046.166 -2986.658|-1046.187 -2994.275|-1046.201 -3001.892|-1046.215 -3009.508|-1046.229 -3017.125|-1046.243 -3024.742|-1046.257 -3032.359|-1046.271 -3039.965|-1046.285 -3047.582|-1046.299 -3055.198|-1027.327 -3055.232|-1008.347 -3055.265|-1008.333 -3047.659|-1008.319 -3040.043|-1008.305 -3032.426|-1008.291 -3024.809|-1008.277 -3017.192|-1008.264 -3009.575|-1008.243 -3001.958|-1008.229 -2994.341|-1008.215 -2986.725|-1008.201 -2979.108
307 39 AV SW,-241.080 -3254.137|-233.488 -3254.160|-225.896 -3254.171|-218.305 -3254.193|-210.720 -3254.204|-203.128 -3254.226|-195.537 -3254.237|-187.945 -3254.260|-187.868 -3216.175|-195.460 -3216.164|-203.051 -3216.142|-210.643 -3216.131|-218.235 -3216.109|-225.826 -3216.098|-233.418 -3216.075|-241.003 -3216.064
3016 ELBOW DR SW,-416.960 -2282.705|-416.387 -2281.193|-414.262 -2277.145|-411.689 -2273.843|-411.095 -2272.864|-417.030 -2272.875|-432.311 -2272.920|-446.502 -2288.910|-452.003 -2295.103|-457.498 -2301.308|-462.999 -2307.502|-466.159 -2314.473|-457.463 -2309.336|-430.375 -2318.354|-429.997 -2318.476|-429.829 -2317.820|-429.627 -2317.009|-429.585 -2316.809|-429.179 -2315.029|-428.641 -2313.061|-427.634 -2311.238|-427.425 -2310.860|-426.152 -2308.513|-425.090 -2306.056|-424.216 -2304.355|-424.006 -2303.943|-422.727 -2301.597|-421.161 -2299.140|-420.679 -2297.505|-420.378 -2296.482|-419.833 -2293.424|-419.204 -2290.667|-418.232 -2287.342|-417.561 -2284.295
3020 ELBOW DR SW,-429.997 -2318.476|-430.375 -2318.354|-457.463 -2309.336|-466.159 -2314.473|-469.312 -2321.445|-472.471 -2328.406|-475.631 -2335.378|-440.763 -2346.987|-439.945 -2347.254|-439.455 -2346.331|-438.155 -2344.162|-436.890 -2341.950|-436.813 -2341.816|-436.128 -2340.504|-435.429 -2339.170|-434.562 -2336.757|-433.283 -2333.577|-433.241 -2333.443|-432.367 -2330.808|-431.724 -2327.606|-431.416 -2326.027|-431.109 -2324.503|-430.955 -2321.857|-430.354 -2319.889
1006 38 AV SW,-1066.340 -3055.165|-1104.292 -3055.087|-1104.306 -3062.704|-1104.320 -3070.321|-1104.334 -3077.938|-1104.348 -3085.555|-1104.362 -3093.172|-1066.410 -3093.249|-1066.396 -3085.633|-1066.382 -3078.016|-1066.368 -3070.399|-1066.354 -3062.782
