ADDRESS,POINTS
4804 6 ST SW,-361.155 -4125.461|-376.338 -4125.472|-391.515 -4125.472|-406.698 -4125.483|-421.881 -4125.494|-437.065 -4125.505|-452.248 -4125.505|-467.431 -4125.516|-482.615 -4125.527|-497.798 -4125.539|-512.974 -4125.550|-512.960 -4162.099|-497.784 -4162.088|-482.601 -4162.077|-467.417 -4162.066|-452.234 -4162.066|-437.051 -4162.055|-421.867 -4162.044|-406.684 -4162.033|-391.501 -4162.033|-376.324 -4162.022|-361.134 -4162.011
4804 6 ST SW,-361.155 -4119.367|-361.169 -4082.817|-376.352 -4082.829|-391.536 -4082.829|-406.719 -4082.840|-421.902 -4082.851|-437.086 -4082.862|-452.262 -4082.873|-467.445 -4082.884|-482.629 -4082.884|-497.812 -4082.895|-512.995 -4082.906|-512.981 -4119.456|-497.798 -4119.445|-482.615 -4119.434|-467.431 -4119.423|-452.248 -4119.423|-437.065 -4119.412|-421.888 -4119.401|-406.705 -4119.390|-391.522 -4119.390|-376.338 -4119.378
4804 6 ST SW,-361.113 -4224.758|-376.296 -4224.769|-391.480 -4224.780|-406.663 -4224.780|-421.846 -4224.791|-437.030 -4224.802|-452.206 -4224.802|-467.389 -4224.813|-482.573 -4224.825|-497.756 -4224.825|-512.939 -4224.836|-512.925 -4261.385|-497.742 -4261.374|-482.559 -4261.374|-467.375 -4261.363|-452.192 -4261.352|-437.016 -4261.352|-421.832 -4261.341|-406.649 -4261.330|-391.466 -4261.330|-376.282 -4261.319|-361.099 -4261.319
4804 6 ST SW,-361.134 -4182.115|-376.317 -4182.126|-391.494 -4182.137|-406.677 -4182.137|-421.860 -4182.148|-437.044 -4182.159|-452.227 -4182.159|-467.410 -4182.170|-482.594 -4182.181|-497.770 -4182.192|-512.953 -4182.192|-512.939 -4218.742|-497.756 -4218.742|-482.573 -4218.731|-467.396 -4218.720|-452.213 -4218.709|-437.030 -4218.709|-421.846 -4218.698|-406.663 -4218.687|-391.480 -4218.687|-376.303 -4218.675|-361.120 -4218.664
4804 6 ST SW,-361.134 -4162.011|-376.324 -4162.022|-391.501 -4162.033|-406.684 -4162.033|-421.867 -4162.044|-437.051 -4162.055|-452.234 -4162.066|-467.417 -4162.066|-482.601 -4162.077|-497.784 -4162.088|-512.960 -4162.099|-512.953 -4182.192|-497.770 -4182.192|-482.594 -4182.181|-467.410 -4182.170|-452.227 -4182.159|-437.044 -4182.159|-421.860 -4182.148|-406.677 -4182.137|-391.494 -4182.137|-376.317 -4182.126|-361.134 -4182.115
416 PARK AV SW,-17.489 -3828.581|-17.503 -3791.175|-30.680 -3793.077|-32.463 -3793.399|-34.210 -3793.866|-35.916 -3794.456|-37.580 -3795.167|-39.181 -3796.001|-40.719 -3796.958|-42.187 -3798.025|-43.564 -3799.193|-44.850 -3800.460|-46.045 -3801.817|-47.136 -3803.273|-48.107 -3804.786|-48.974 -3806.387|-49.715 -3808.033|-50.330 -3809.734|-50.820 -3811.480|-51.176 -3813.248|-51.407 -3815.049|-51.498 -3816.850|-51.456 -3818.663|-51.281 -3820.464|-50.974 -3822.243|-50.533 -3824.000|-49.967 -3825.724|-49.268 -3827.392|-48.457 -3829.004|-47.520 -3830.561|-46.472 -3832.028|-45.325 -3833.430|-44.067 -3834.730|-42.725 -3835.943|-41.292 -3837.043|-45.878 -3841.658|-17.475 -3870.024
4804 6 ST SW,-361.155 -4119.367|-376.338 -4119.378|-391.522 -4119.390|-406.705 -4119.390|-421.888 -4119.401|-437.065 -4119.412|-452.248 -4119.423|-467.431 -4119.423|-482.615 -4119.434|-497.798 -4119.445|-512.981 -4119.456|-512.974 -4125.550|-497.798 -4125.539|-482.615 -4125.527|-467.431 -4125.516|-452.248 -4125.505|-437.065 -4125.505|-421.881 -4125.494|-406.698 -4125.483|-391.515 -4125.472|-376.338 -4125.472|-361.155 -4125.461
4804 6 ST SW,-361.120 -4218.664|-376.303 -4218.675|-391.480 -4218.687|-406.663 -4218.687|-421.846 -4218.698|-437.030 -4218.709|-452.213 -4218.709|-467.396 -4218.720|-482.573 -4218.731|-497.756 -4218.742|-512.939 -4218.742|-512.939 -4224.836|-497.756 -4224.825|-482.573 -4224.825|-467.389 -4224.813|-452.206 -4224.802|-437.030 -4224.802|-421.846 -4224.791|-406.663 -4224.780|-391.480 -4224.780|-376.296 -4224.769|-361.113 -4224.758
4811 6 ST SW,-532.974 -4224.847|-532.981 -4218.753|-532.995 -4182.204|-548.178 -4182.215|-563.362 -4182.226|-578.545 -4182.226|-593.728 -4182.237|-608.912 -4182.248|-624.088 -4182.259|-639.271 -4182.259|-639.257 -4218.809|-639.257 -4224.902|-639.236 -4261.441|-624.060 -4261.430|-608.877 -4261.430|-593.693 -4261.419|-578.510 -4261.408|-563.327 -4261.408|-548.143 -4261.397|-532.960 -4261.385
416 PARK AV SW,-129.903 -3775.519|-126.149 -3776.709|-122.325 -3777.654|-118.453 -3778.366|-114.538 -3778.833|-110.609 -3779.055|-106.674 -3779.033|-102.738 -3778.777|-98.837 -3778.266|-17.503 -3766.557|-17.503 -3585.798|-98.173 -3585.887
521 46 AV SW,-189.329 -3983.276|-341.127 -3983.387|-340.988 -4062.680|-189.266 -4062.602
620 46 AV SW,-461.832 -3964.695|-430.361 -3964.350|-414.639 -3964.184|-398.918 -3964.006|-383.196 -3963.839|-367.474 -3963.672|-351.746 -3963.505|-336.024 -3963.327|-323.882 -3963.194|-340.757 -3914.680|-349.131 -3917.093|-363.721 -3921.307|-378.310 -3925.510|-392.892 -3929.724|-407.481 -3933.927|-422.070 -3938.142|-436.659 -3942.356|-465.837 -3950.774|-497.371 -3959.869|-493.310 -3965.040
