ADDRESS,POINTS
15625 15 ST NE,3245.512 15871.735|3245.148 16280.743|3245.134 16303.949|3244.883 16645.607|3244.855 16660.574|3244.841 16675.819|3004.284 16675.274|3000.377 16660.507|2988.143 16612.971|2920.273 16339.076|2804.280 15870.945
16455 15 ST NE,2727.853 18279.327|2527.219 18278.938|2440.586 18278.771|2441.041 17877.547|2441.495 17478.791|2442.411 16674.028|2457.636 16674.017|3004.284 16675.274|3244.841 16675.819|3244.855 16677.664|3244.142 17480.959|3243.827 18225.309|3223.142 18261.503|3093.574 18261.269|3041.690 18274.924|2741.603 18274.379
17500 15 ST NE,3263.925 18107.275|3264.260 17480.981|4063.614 17481.726|4063.027 17983.538|3988.509 18039.936|3945.063 18122.809|3795.397 18184.801|3542.474 18230.746|3299.828 18230.602|3286.385 18211.710|3286.413 18157.914
15300 15 ST NE,4805.653 16317.404|4805.632 16419.114|4801.641 16419.114|4800.928 16424.407|4799.900 16429.644|4798.558 16434.815|4796.915 16439.885|4794.972 16444.867|4792.742 16449.715|4790.218 16454.430|4787.422 16458.977|4784.360 16463.359|4781.047 16467.551|4777.489 16471.531|4773.693 16475.301|4769.687 16478.837|4765.472 16482.139|4761.075 16485.175|4756.496 16487.955|4696.937 16521.680|4689.318 16526.284|4681.971 16531.299|4674.903 16536.714|4668.158 16542.518|4661.747 16548.678|4655.687 16555.183|4649.996 16562.022|4644.705 16569.160|4631.199 16588.464|4627.858 16593.423|4624.705 16598.494|4621.734 16603.675|4618.952 16608.957|4616.365 16614.339|4613.968 16619.810|4611.772 16625.358|4609.780 16630.985|4607.991 16636.678|4606.404 16642.438|4605.034 16648.242|4603.866 16654.102|4602.909 16659.985|4602.168 16665.911|4601.643 16671.860|4601.329 16677.809|4282.248 16677.164|4261.424 16607.000|4254.860 16584.150|4248.610 16561.210|4242.675 16538.193|4237.062 16515.086|4231.763 16491.902|4226.786 16468.663|4222.123 16445.345|4217.789 16421.972|4213.777 16398.532|4210.079 16375.048|4206.709 16351.519|4203.668 16327.934|4200.949 16304.316|4198.551 16280.665|4196.482 16256.981|4194.735 16233.274|4188.066 16135.178|4186.507 16112.249|4170.205 15872.424|4805.702 15873.102|4805.702 15977.759|4770.687 15977.759|4770.687 15997.752|4770.687 16012.752|4805.695 16012.763
1200 144 AV NE,3245.512 15871.735|2804.280 15870.945|2443.194 15869.789|2443.522 15467.285|2443.620 15345.638|2443.711 15244.684|2443.704 15230.952|2443.711 15228.594|2443.711 15227.316|2443.746 15207.690|2443.732 15206.189|2443.753 15197.104|2443.739 15195.614|2443.760 15188.175|2443.746 15186.674|2443.767 15179.235|2443.753 15177.745|2443.760 15170.306|2443.760 15168.805|2443.781 15161.377|2443.774 15159.876|2443.774 15158.353|2443.865 15065.249|2452.232 15065.260|2467.346 15065.271|2923.593 15065.838|2923.286 15231.497|3096.929 15231.841|3097.237 15066.128|3247.050 15066.350
1700 144 AV NE,4065.369 15154.628|4063.202 15872.313|3266.022 15871.757|3267.168 15066.372|4043.328 15067.228|4062.719 15144.086
15300 15 ST NE,4139.978 15872.402|4156.266 16117.954|4164.641 16235.309|4166.416 16259.438|4168.527 16283.534|4170.967 16307.608|4173.735 16331.637|4176.832 16355.633|4180.264 16379.573|4184.018 16403.469|4188.108 16427.320|4192.519 16451.105|4197.258 16474.823|4202.326 16498.485|4207.716 16522.069|4213.434 16545.576|4219.474 16569.005|4225.835 16592.345|4232.511 16615.595|4250.952 16677.420|4238.236 16677.387|4225.521 16677.364|4064.558 16677.064|3264.931 16675.830|3265.001 16590.510|3295.494 16590.543|3325.727 16590.554|3473.590 16590.654|3473.457 16631.507|3534.407 16631.563|3534.547 16570.562|3325.734 16570.428|3295.508 16570.417|3265.022 16570.406|3266.022 15871.757|4063.202 15872.313
16500 14 ST NW,-806.413 16665.355|-806.399 16665.644|-806.553 17469.595|-1226.234 17467.860|-1609.466 17466.203|-1609.179 16661.675|-806.434 16665.355
17500 14 ST NW,-806.553 17469.595|-806.700 18273.857|-1609.745 18270.788|-1609.577 17803.369|-1460.498 17804.014|-1226.234 17467.860
16750 CENTRE ST NE,818.180 16670.548|817.572 17456.162|817.600 17474.743|325.904 17473.609|242.137 17473.420|129.122 17473.153|16.079 17472.875|16.191 17233.228|495.961 17232.705|499.079 17058.807|309.316 17058.996|306.470 17217.660|16.219 17217.994|16.492 16668.902|24.922 16668.913|778.062 16670.437
