ADDRESS,POINTS
11333 84 ST SE,11128.372 -10620.056|11128.358 -10578.225|11128.358 -10578.147|10782.350 -10613.907|10782.364 -10613.974|10795.059 -10654.493
1 9550 114 AV SE,12315.782 -10632.855|12344.568 -10632.888|12347.127 -10482.564|12263.779 -10491.292|12235.216 -10494.284|12235.216 -10494.439|12235.035 -10631.231|12234.993 -10662.210|12234.972 -10675.187|12235.125 -10675.187|12301.109 -10675.198|12310.595 -10678.678|12315.726 -10676.810
2 9550 114 AV SE,12315.782 -10632.855|12344.568 -10632.888|12347.127 -10482.564|12263.779 -10491.292|12235.216 -10494.284|12235.216 -10494.439|12235.035 -10631.231|12234.993 -10662.210|12234.972 -10675.187|12235.125 -10675.187|12301.109 -10675.198|12310.595 -10678.678|12315.726 -10676.810
3 9550 114 AV SE,12315.782 -10632.855|12344.568 -10632.888|12347.127 -10482.564|12263.779 -10491.292|12235.216 -10494.284|12235.216 -10494.439|12235.035 -10631.231|12234.993 -10662.210|12234.972 -10675.187|12235.125 -10675.187|12301.109 -10675.198|12310.595 -10678.678|12315.726 -10676.810
4 9550 114 AV SE,12315.782 -10632.855|12344.568 -10632.888|12347.127 -10482.564|12263.779 -10491.292|12235.216 -10494.284|12235.216 -10494.439|12235.035 -10631.231|12234.993 -10662.210|12234.972 -10675.187|12235.125 -10675.187|12301.109 -10675.198|12310.595 -10678.678|12315.726 -10676.810
5 9550 114 AV SE,12315.782 -10632.855|12344.568 -10632.888|12347.127 -10482.564|12263.779 -10491.292|12235.216 -10494.284|12235.216 -10494.439|12235.035 -10631.231|12234.993 -10662.210|12234.972 -10675.187|12235.125 -10675.187|12301.109 -10675.198|12310.595 -10678.678|12315.726 -10676.810
6 9550 114 AV SE,12315.782 -10632.855|12344.568 -10632.888|12347.127 -10482.564|12263.779 -10491.292|12235.216 -10494.284|12235.216 -10494.439|12235.035 -10631.231|12234.993 -10662.210|12234.972 -10675.187|12235.125 -10675.187|12301.109 -10675.198|12310.595 -10678.678|12315.726 -10676.810
7 9550 114 AV SE,12315.782 -10632.855|12344.568 -10632.888|12347.127 -10482.564|12263.779 -10491.292|12235.216 -10494.284|12235.216 -10494.439|12235.035 -10631.231|12234.993 -10662.210|12234.972 -10675.187|12235.125 -10675.187|12301.109 -10675.198|12310.595 -10678.678|12315.726 -10676.810
8605 100 ST SE,12759.153 -8414.738|12760.131 -7772.854|12755.650 -7772.843|12755.839 -7666.697|12730.002 -7640.699|12716.301 -7626.945|12669.339 -7626.956|12668.304 -8414.827|12728.821 -8414.749
10600 84 ST SE,12665.837 -10368.989|12665.865 -10344.404|12665.872 -10338.377|12666.074 -10185.807|12666.284 -10023.317|12393.502 -10023.273|12159.391 -10023.262|11957.610 -10023.329|11716.642 -10023.351|11613.756 -10023.362|11596.475 -10023.373|11572.309 -10023.373|11293.697 -10023.429|11250.698 -10023.440|11188.350 -10023.462|11188.322 -10202.964|11188.315 -10224.458|11203.939 -10224.480|11706.429 -10225.114|11750.553 -10225.170|11957.387 -10225.437|11957.142 -10442.322|12368.623 -10399.701
11425 85 ST SE,11234.096 -10797.223|11234.103 -10781.989|11196.208 -10782.000|11158.312 -10782.000|11158.305 -10797.234|11196.201 -10797.223
11425 85 ST SE,11158.305 -10797.234|11158.298 -10812.457|11158.291 -10827.690|11196.187 -10827.690|11234.082 -10827.679|11234.089 -10812.457|11234.096 -10797.223|11196.201 -10797.223
9050R 114 AV SE,11957.673 -10714.950|11957.722 -10690.231|11907.062 -10690.187
9390 114 AV SE,12234.993 -10826.845|12235.125 -10675.431|12235.125 -10675.187|12235.139 -10662.421|12235.167 -10631.431|12235.286 -10494.428|12235.216 -10494.439|11957.275 -10522.738|11957.722 -10690.231|11957.673 -10714.950|12186.577 -10826.968|12234.993 -10827.179
3 9510 114 AV SE,12310.595 -10678.678|12301.109 -10675.198|12234.972 -10675.187|12234.804 -10826.845|12300.647 -10826.879|12300.668 -10826.890|12302.136 -10826.812|12303.583 -10826.590|12305.002 -10826.234|12306.379 -10825.733|12307.701 -10825.100|12308.952 -10824.344|12310.133 -10823.476|12311.210 -10822.487|12312.195 -10821.397|12313.062 -10820.218|12313.817 -10818.951|12314.439 -10817.627|12314.929 -10816.249|12315.285 -10814.825|12315.502 -10813.369|12315.572 -10811.901|12315.726 -10676.810
7 9510 114 AV SE,12310.595 -10678.678|12301.109 -10675.198|12234.972 -10675.187|12234.804 -10826.845|12300.647 -10826.879|12300.668 -10826.890|12302.136 -10826.812|12303.583 -10826.590|12305.002 -10826.234|12306.379 -10825.733|12307.701 -10825.100|12308.952 -10824.344|12310.133 -10823.476|12311.210 -10822.487|12312.195 -10821.397|12313.062 -10820.218|12313.817 -10818.951|12314.439 -10817.627|12314.929 -10816.249|12315.285 -10814.825|12315.502 -10813.369|12315.572 -10811.901|12315.726 -10676.810
11 9510 114 AV SE,12310.595 -10678.678|12301.109 -10675.198|12234.972 -10675.187|12234.804 -10826.845|12300.647 -10826.879|12300.668 -10826.890|12302.136 -10826.812|12303.583 -10826.590|12305.002 -10826.234|12306.379 -10825.733|12307.701 -10825.100|12308.952 -10824.344|12310.133 -10823.476|12311.210 -10822.487|12312.195 -10821.397|12313.062 -10820.218|12313.817 -10818.951|12314.439 -10817.627|12314.929 -10816.249|12315.285 -10814.825|12315.502 -10813.369|12315.572 -10811.901|12315.726 -10676.810
15 9510 114 AV SE,12310.595 -10678.678|12301.109 -10675.198|12234.972 -10675.187|12234.804 -10826.845|12300.647 -10826.879|12300.668 -10826.890|12302.136 -10826.812|12303.583 -10826.590|12305.002 -10826.234|12306.379 -10825.733|12307.701 -10825.100|12308.952 -10824.344|12310.133 -10823.476|12311.210 -10822.487|12312.195 -10821.397|12313.062 -10820.218|12313.817 -10818.951|12314.439 -10817.627|12314.929 -10816.249|12315.285 -10814.825|12315.502 -10813.369|12315.572 -10811.901|12315.726 -10676.810
19 9510 114 AV SE,12310.595 -10678.678|12301.109 -10675.198|12234.972 -10675.187|12234.804 -10826.845|12300.647 -10826.879|12300.668 -10826.890|12302.136 -10826.812|12303.583 -10826.590|12305.002 -10826.234|12306.379 -10825.733|12307.701 -10825.100|12308.952 -10824.344|12310.133 -10823.476|12311.210 -10822.487|12312.195 -10821.397|12313.062 -10820.218|12313.817 -10818.951|12314.439 -10817.627|12314.929 -10816.249|12315.285 -10814.825|12315.502 -10813.369|12315.572 -10811.901|12315.726 -10676.810
23 9510 114 AV SE,12310.595 -10678.678|12301.109 -10675.198|12234.972 -10675.187|12234.804 -10826.845|12300.647 -10826.879|12300.668 -10826.890|12302.136 -10826.812|12303.583 -10826.590|12305.002 -10826.234|12306.379 -10825.733|12307.701 -10825.100|12308.952 -10824.344|12310.133 -10823.476|12311.210 -10822.487|12312.195 -10821.397|12313.062 -10820.218|12313.817 -10818.951|12314.439 -10817.627|12314.929 -10816.249|12315.285 -10814.825|12315.502 -10813.369|12315.572 -10811.901|12315.726 -10676.810
27 9510 114 AV SE,12310.595 -10678.678|12301.109 -10675.198|12234.972 -10675.187|12234.804 -10826.845|12300.647 -10826.879|12300.668 -10826.890|12302.136 -10826.812|12303.583 -10826.590|12305.002 -10826.234|12306.379 -10825.733|12307.701 -10825.100|12308.952 -10824.344|12310.133 -10823.476|12311.210 -10822.487|12312.195 -10821.397|12313.062 -10820.218|12313.817 -10818.951|12314.439 -10817.627|12314.929 -10816.249|12315.285 -10814.825|12315.502 -10813.369|12315.572 -10811.901|12315.726 -10676.810
9560 114 AV SE,12338.256 -10675.242|12388.769 -10675.242|12468.335 -10675.276|12468.405 -10616.309|12468.579 -10469.765|12347.127 -10482.564|12344.568 -10632.888|12351.601 -10632.899|12351.524 -10658.852|12351.517 -10661.843
