ADDRESS,POINTS
5099 68 ST SE,9514.704 -4249.165|9400.228 -4249.143|9400.256 -4355.901|9506.526 -4355.823|9514.718 -4355.823
5510 50 AV SE,8685.997 -4197.337|8683.781 -4201.907|8681.754 -4206.566|8679.916 -4211.303|8678.273 -4216.107|8676.833 -4220.988|8675.581 -4225.914|8674.540 -4230.885|8673.701 -4235.888|8673.065 -4240.937|8672.632 -4245.996|8672.408 -4251.078|8672.387 -4256.159|8672.583 -4261.230|8672.974 -4266.300|8673.575 -4271.348|8674.379 -4276.363|8675.393 -4281.345|8676.602 -4286.282|8678.014 -4291.163|8679.622 -4295.978|8681.426 -4300.726|8683.418 -4305.407|8685.599 -4309.989|8687.969 -4314.492|8690.520 -4318.884|8693.246 -4323.165|8696.140 -4327.346|8699.209 -4331.394|8702.432 -4335.319|8705.815 -4339.100|8709.352 -4342.747|8713.036 -4346.249|8712.862 -4155.172|8700.789 -4172.652|8696.784 -4178.634|8692.981 -4184.750|8689.388 -4190.988
6620 68 ST SE,9725.957 -5974.699|9726.061 -5966.115|9726.033 -5885.487|9533.299 -5885.676|9533.236 -5957.164|9533.229 -5966.304|9533.215 -5974.921
5302 52 AV SE,7923.609 -4566.604|7923.609 -4530.043|7918.506 -4530.055|7910.921 -4530.066|7910.921 -4566.615|7918.513 -4566.604
5419 51 AV SE,8234.496 -4523.561|8234.496 -4483.975|8082.719 -4484.164|8082.726 -4523.739
5420 51 AV SE,8234.531 -4453.486|8234.531 -4413.900|8082.733 -4414.101|8082.740 -4453.697
5520 51 AV SE,8406.364 -4453.286|8406.357 -4413.678|8254.566 -4413.878|8254.573 -4453.475
5440 52 AV SE,8219.320 -4566.204|8226.912 -4566.193|8234.496 -4566.182|8234.496 -4529.654|8226.905 -4529.654|8219.320 -4529.665
5320 51 AV SE,8062.705 -4453.719|8062.698 -4414.123|7910.907 -4414.323|7910.914 -4453.919
5620 51 AV SE,8578.197 -4453.074|8578.190 -4413.478|8426.392 -4413.667|8426.399 -4453.263
5712 51 AV SE,8696.895 -4452.930|8696.888 -4413.333|8598.225 -4413.444|8598.232 -4453.052
