ADDRESS,POINTS
1100 CRANSTON DR SE,6040.318 -17337.097|6032.077 -17311.222|6024.317 -17313.535|6022.786 -17313.779|6023.311 -17314.836|6026.149 -17321.307|6028.889 -17327.812|6031.524 -17334.362|6034.062 -17340.956|6034.670 -17342.201|6035.488 -17343.302|6036.495 -17344.236|6037.655 -17344.970|6038.927 -17345.481|6040.276 -17345.748|6041.654 -17345.759|6043.003 -17345.515
2 CRANSTON DR SE,5993.916 -17359.103|5995.370 -17358.524|5996.670 -17357.657|5997.767 -17356.534|5998.606 -17355.222|5999.152 -17353.754|5999.382 -17352.197|5999.284 -17350.629|5998.865 -17349.128|5996.390 -17342.913|5993.811 -17336.741|5991.133 -17330.603|5988.365 -17324.521|5987.820 -17323.453|5985.506 -17324.098|5984.451 -17324.387|5983.444 -17324.677|5980.536 -17325.477
1 CRANSTON DR SE,6018.005 -17389.759|6018.389 -17390.849|6018.879 -17391.894|6019.466 -17392.895|6020.144 -17393.829|6020.913 -17394.696|6021.759 -17395.486|6022.681 -17396.175|6023.660 -17396.787|6024.695 -17397.298|6025.771 -17397.709|6026.890 -17398.010|6028.022 -17398.199|6029.176 -17398.277|6030.329 -17398.243|6031.475 -17398.099|6032.601 -17397.854|6033.691 -17397.487|6034.747 -17397.020|6035.754 -17396.453|6036.704 -17395.797|6037.578 -17395.041|6038.382 -17394.218|6039.102 -17393.306|6039.731 -17392.339|6040.263 -17391.316|6040.689 -17390.237|6041.017 -17389.125|6041.234 -17387.991|6041.339 -17386.835|6041.332 -17385.678|6041.213 -17384.533|6040.990 -17383.399|6038.613 -17374.725|6015.642 -17381.097
3 CRANBROOK WY SE,6193.088 -19773.989|6206.195 -19772.266|6203.616 -19770.198|6201.218 -19770.509|6195.053 -19771.310
5 CRANBROOK HT SE,6169.677 -19745.157|6169.356 -19742.655|6165.315 -19739.386|6167.440 -19755.765|6170.509 -19751.584
589 CRANSTON AV SE,6218.701 -19755.442|6221.533 -19751.739|6226.740 -19744.901|6233.759 -19735.694|6240.770 -19726.498|6248.628 -19716.190|6256.093 -19706.394|6263.154 -19697.132|6270.214 -19687.869|6277.282 -19678.606|6279.763 -19675.348|6287.187 -19670.044|6308.312 -19654.933|6329.193 -19639.988|6323.628 -19634.507|6308.969 -19632.405|6294.954 -19647.272|6287.278 -19655.645|6270.662 -19668.188|6214.843 -19744.456|6215.709 -19750.772|6216.031 -19753.285
391 CRANSTON GA SE,7127.764 -19964.611|7127.652 -19962.165|7127.303 -19959.741|7126.715 -19957.361|7125.898 -19955.048|7124.863 -19952.824|7123.612 -19950.723|7122.165 -19948.743|7120.529 -19946.931|7118.725 -19945.274|7116.768 -19943.806|7114.678 -19942.539|7112.469 -19941.494|7110.176 -19940.660|7107.806 -19940.059|7105.395 -19939.692|7102.955 -19939.559|7100.515 -19939.681|7098.096 -19940.048|7095.727 -19940.648|7093.434 -19941.482|7091.225 -19942.528|7089.135 -19943.795|7087.177 -19945.263|7085.367 -19946.909|7083.731 -19948.732|7082.277 -19950.700|7081.026 -19952.802|7079.991 -19955.026|7079.173 -19957.339|7078.579 -19959.718|7078.230 -19962.142|7078.118 -19964.589|7078.230 -19967.035|7078.586 -19969.459|7079.173 -19971.828|7079.991 -19974.140|7081.033 -19976.353|7082.284 -19978.455|7083.731 -19980.423|7085.367 -19982.235|7087.170 -19983.881|7089.128 -19985.349|7091.218 -19986.605|7093.420 -19987.662|7095.720 -19988.485|7098.082 -19989.085|7100.494 -19989.452|7102.927 -19989.574|7105.367 -19989.452|7107.778 -19989.096|7110.141 -19988.496|7112.434 -19987.673|7114.643 -19986.616|7116.733 -19985.360|7118.690 -19983.903|7120.494 -19982.258|7122.130 -19980.445|7123.584 -19978.477|7124.835 -19976.375|7125.877 -19974.163|7126.701 -19971.850|7127.289 -19969.481|7127.645 -19967.057
130 CRANSTON DR SE,5799.601 -17722.754|5810.807 -17722.710|5812.016 -17722.610|5813.191 -17722.310|5814.302 -17721.820|5815.316 -17721.164|5816.211 -17720.342|5816.966 -17719.396|5817.560 -17718.329|5817.965 -17717.195|5814.764 -17717.206|5814.204 -17717.128|5812.219 -17717.273|5810.248 -17717.584|5808.318 -17718.062|5806.431 -17718.696|5804.600 -17719.496|5802.845 -17720.442|5801.174 -17721.531
132 CRANSTON DR SE,5814.910 -17758.148|5818.077 -17758.137|5817.665 -17757.002|5817.064 -17755.946|5816.309 -17755.001|5815.407 -17754.189|5814.386 -17753.544|5813.275 -17753.066|5812.100 -17752.766|5810.891 -17752.677|5799.706 -17752.710|5801.349 -17753.956|5803.097 -17755.057|5804.928 -17755.991|5806.836 -17756.769|5808.801 -17757.381|5810.814 -17757.814|5812.855 -17758.070
177R CRANLEIGH BA SE,5717.030 -17076.934|5719.861 -17072.820|5717.344 -17071.186|5713.849 -17068.862|5703.328 -17061.923|5685.608 -17066.827|5682.958 -17067.561|5684.175 -17067.738|5710.990 -17072.965|5714.520 -17075.289
